	Source	Target	Weight	Metabolites	ABSWeight	SignWeight	ABSRootWeight	SignedRootWeight
bc1002->bc1001	bc1002	bc1001	-0.269915768783746	O2	0.269915768783746	-1.0	0.5195341844226865	-0.5195341844226865
bc1003->bc1001	bc1003	bc1001	-0.1523613679485816	O2	0.1523613679485816	-1.0	0.3903349432840744	-0.3903349432840744
bc1008->bc1001	bc1008	bc1001	-0.0034154906736591317	O2	0.0034154906736591317	-1.0	0.05844219942523666	-0.05844219942523666
bc1009->bc1001	bc1009	bc1001	-0.15236136794858157	O2	0.15236136794858157	-1.0	0.39033494328407436	-0.39033494328407436
bc1010->bc1001	bc1010	bc1001	-0.15236136794858018	O2	0.15236136794858018	-1.0	0.3903349432840726	-0.3903349432840726
bc1011->bc1001	bc1011	bc1001	-0.26940622446608276	O2	0.26940622446608276	-1.0	0.5190435670211921	-0.5190435670211921
bc1012->bc1001	bc1012	bc1001	-0.15236136794858154	O2	0.15236136794858154	-1.0	0.39033494328407436	-0.39033494328407436
bc1015->bc1001	bc1015	bc1001	-0.1523613679485819	O2	0.1523613679485819	-1.0	0.3903349432840748	-0.3903349432840748
bc1016->bc1001	bc1016	bc1001	-0.003415490649107333	O2	0.003415490649107333	-1.0	0.05844219921518468	-0.05844219921518468
bc1001->bc1002	bc1001	bc1002	-0.1486232850950465	D-Glucose	0.1486232850950465	-1.0	0.3855169063673427	-0.3855169063673427
bc1003->bc1002	bc1003	bc1002	-0.14873488086080838	D-Glucose	0.14873488086080838	-1.0	0.3856616144508141	-0.3856616144508141
bc1008->bc1002	bc1008	bc1002	-0.2708708696473618	D-Glucose	0.2708708696473618	-1.0	0.5204525623410473	-0.5204525623410473
bc1009->bc1002	bc1009	bc1002	-0.14866631102024722	D-Glucose	0.14866631102024722	-1.0	0.38557270523242076	-0.38557270523242076
bc1010->bc1002	bc1010	bc1002	-0.2708708696473601	D-Glucose	0.2708708696473601	-1.0	0.5204525623410458	-0.5204525623410458
bc1011->bc1002	bc1011	bc1002	-0.27087086964736146	D-Glucose	0.27087086964736146	-1.0	0.5204525623410471	-0.5204525623410471
bc1012->bc1002	bc1012	bc1002	-0.2708708696473614	D-Glucose	0.2708708696473614	-1.0	0.520452562341047	-0.520452562341047
bc1015->bc1002	bc1015	bc1002	-0.14893050487988482	D-Glucose	0.14893050487988482	-1.0	0.38591515243623803	-0.38591515243623803
bc1016->bc1002	bc1016	bc1002	-0.2708708696473613	D-Glucose	0.2708708696473613	-1.0	0.5204525623410469	-0.5204525623410469
bc1001->bc1003	bc1001	bc1003	-0.15297633046741835	O2	0.15297633046741835	-1.0	0.3911218869705687	-0.3911218869705687
bc1002->bc1003	bc1002	bc1003	-0.2710052055831118	O2	0.2710052055831118	-1.0	0.5205816031931131	-0.5205816031931131
bc1008->bc1003	bc1008	bc1003	-0.003429276312210528	O2	0.003429276312210528	-1.0	0.058560023157530665	-0.058560023157530665
bc1009->bc1003	bc1009	bc1003	-0.1529763304674179	O2	0.1529763304674179	-1.0	0.39112188697056816	-0.39112188697056816
bc1010->bc1003	bc1010	bc1003	-0.15297633046741652	O2	0.15297633046741652	-1.0	0.3911218869705664	-0.3911218869705664
bc1011->bc1003	bc1011	bc1003	-0.270493604637438	O2	0.270493604637438	-1.0	0.5200899966711896	-0.5200899966711896
bc1012->bc1003	bc1012	bc1003	-0.15297633046741788	O2	0.15297633046741788	-1.0	0.39112188697056816	-0.39112188697056816
bc1015->bc1003	bc1015	bc1003	-0.15297633046741824	O2	0.15297633046741824	-1.0	0.3911218869705686	-0.3911218869705686
bc1016->bc1003	bc1016	bc1003	-0.003429276287559633	O2	0.003429276287559633	-1.0	0.058560022947055215	-0.058560022947055215
bc1001->bc1008	bc1001	bc1008	-0.03152386386470465	D-Glucose	0.03152386386470465	-1.0	0.17754960958758723	-0.17754960958758723
bc1002->bc1008	bc1002	bc1008	-0.057453288118459046	D-Glucose	0.057453288118459046	-1.0	0.23969415536983593	-0.23969415536983593
bc1003->bc1008	bc1003	bc1008	-0.031547533976191595	D-Glucose	0.031547533976191595	-1.0	0.1776162548197422	-0.1776162548197422
bc1009->bc1008	bc1009	bc1008	-0.03153298991388202	D-Glucose	0.03153298991388202	-1.0	0.177575307725714	-0.177575307725714
bc1010->bc1008	bc1010	bc1008	-0.05745328811845873	D-Glucose	0.05745328811845873	-1.0	0.23969415536983527	-0.23969415536983527
bc1011->bc1008	bc1011	bc1008	-0.05745328811845902	D-Glucose	0.05745328811845902	-1.0	0.23969415536983588	-0.23969415536983588
bc1012->bc1008	bc1012	bc1008	-0.057453288118459005	D-Glucose	0.057453288118459005	-1.0	0.23969415536983585	-0.23969415536983585
bc1015->bc1008	bc1015	bc1008	-0.03158902696931234	D-Glucose	0.03158902696931234	-1.0	0.17773302160631924	-0.17773302160631924
bc1016->bc1008	bc1016	bc1008	-0.05745328811845898	D-Glucose	0.05745328811845898	-1.0	0.2396941553698358	-0.2396941553698358
bc1001->bc1009	bc1001	bc1009	-0.15319477863951855	O2	0.15319477863951855	-1.0	0.3914010457823517	-0.3914010457823517
bc1002->bc1009	bc1002	bc1009	-0.2713921974243227	O2	0.2713921974243227	-1.0	0.5209531624093693	-0.5209531624093693
bc1003->bc1009	bc1003	bc1009	-0.15319477863951814	O2	0.15319477863951814	-1.0	0.39140104578235113	-0.39140104578235113
bc1008->bc1009	bc1008	bc1009	-0.0034341732733269305	O2	0.0034341732733269305	-1.0	0.058601819710030596	-0.058601819710030596
bc1010->bc1009	bc1010	bc1009	-0.15319477863951672	O2	0.15319477863951672	-1.0	0.39140104578234935	-0.39140104578234935
