	Source	Target	Weight	Metabolites	ABSWeight	SignWeight	ABSRootWeight	SignedRootWeight
bc1008->bc1015	bc1008	bc1015	-1.0000000000000001e-16	D-Glucose	1.0000000000000001e-16	-1.0	1e-08	-1e-08
bc1010->bc1015	bc1010	bc1015	-2.0000000000000002e-16	D-Glucose.O2	2.0000000000000002e-16	-1.0	1.4142135623730952e-08	-1.4142135623730952e-08
bc1016->bc1015	bc1016	bc1015	-1.0000000000000001e-16	D-Glucose	1.0000000000000001e-16	-1.0	1e-08	-1e-08
bc1008->bc1010	bc1008	bc1010	-1.0000000000000001e-16	D-Glucose	1.0000000000000001e-16	-1.0	1e-08	-1e-08
bc1015->bc1010	bc1015	bc1010	-2.0000000000000002e-16	D-Glucose.O2	2.0000000000000002e-16	-1.0	1.4142135623730952e-08	-1.4142135623730952e-08
bc1016->bc1010	bc1016	bc1010	-1.0000000000000001e-16	D-Glucose	1.0000000000000001e-16	-1.0	1e-08	-1e-08
bc1010->bc1008	bc1010	bc1008	-1.0000000000000001e-16	D-Glucose	1.0000000000000001e-16	-1.0	1e-08	-1e-08
bc1015->bc1008	bc1015	bc1008	-1.0000000000000001e-16	D-Glucose	1.0000000000000001e-16	-1.0	1e-08	-1e-08
bc1016->bc1008	bc1016	bc1008	-1.0000000000000001e-16	D-Glucose	1.0000000000000001e-16	-1.0	1e-08	-1e-08
bc1008->bc1016	bc1008	bc1016	-1.0000000000000001e-16	D-Glucose	1.0000000000000001e-16	-1.0	1e-08	-1e-08
bc1010->bc1016	bc1010	bc1016	-1.0000000000000001e-16	D-Glucose	1.0000000000000001e-16	-1.0	1e-08	-1e-08
bc1015->bc1016	bc1015	bc1016	-1.0000000000000001e-16	D-Glucose	1.0000000000000001e-16	-1.0	1e-08	-1e-08
