	0.16755	0.33715	0.36685	0.39665	0.7971	Source	Target
bc1012##1,2-Diacyl-sn-glycerol dioctadecanoyl##Microbe	-2.24552619	-0.48340121	-0.29130007	-0.17309521	-1.07e-05	bc1012	1,2-Diacyl-sn-glycerol dioctadecanoyl
1,2-Diacyl-sn-glycerol dioctadecanoyl##bc1012##Metabolite	2.24552619	0.48340121	0.29130007	0.17309521	1.07e-05	1,2-Diacyl-sn-glycerol dioctadecanoyl	bc1012
bc1012##4-Hydroxybenzoate##Microbe	-0.05057982	-0.01088847	-0.00656145	-0.00389892	-2.4e-07	bc1012	4-Hydroxybenzoate
4-Hydroxybenzoate##bc1012##Metabolite	0.05057982	0.01088847	0.00656145	0.00389892	2.4e-07	4-Hydroxybenzoate	bc1012
bc1012##5-Aminolevulinate##Microbe	-0.40463857	-0.08710777	-0.05249159	-0.03119135	-1.93e-06	bc1012	5-Aminolevulinate
5-Aminolevulinate##bc1012##Metabolite	0.40463857	0.08710777	0.05249159	0.03119135	1.93e-06	5-Aminolevulinate	bc1012
bc1012##AMP##Microbe	-1.9352908	-0.4166159	-0.2510549	-0.14918088	-9.22e-06	bc1012	AMP
AMP##bc1012##Metabolite	1.9352908	0.4166159	0.2510549	0.14918088	9.22e-06	AMP	bc1012
bc1012##Acetate##Microbe	129.79034997	29.16239095	16.56958612	8.49972429	0.00049942	bc1012	Acetate
bc1012##Ala-Ala##Microbe	-0.45080535	-0.09704623	-0.05848056	-0.03475009	-2.15e-06	bc1012	Ala-Ala
Ala-Ala##bc1012##Metabolite	0.45080535	0.09704623	0.05848056	0.03475009	2.15e-06	Ala-Ala	bc1012
bc1012##BET##Microbe	-0.10115964	-0.02177694	-0.0131229	-0.00779784	-4.8e-07	bc1012	BET
BET##bc1012##Metabolite	0.10115964	0.02177694	0.0131229	0.00779784	4.8e-07	BET	bc1012
bc1012##BIOT##Microbe	-0.05057982	-0.01088847	-0.00656145	-0.00389892	-2.4e-07	bc1012	BIOT
BIOT##bc1012##Metabolite	0.05057982	0.01088847	0.00656145	0.00389892	2.4e-07	BIOT	bc1012
bc1012##CMP##Microbe	-1.51593177	-0.32633921	-0.1966537	-0.11685481	-7.22e-06	bc1012	CMP
CMP##bc1012##Metabolite	1.51593177	0.32633921	0.1966537	0.11685481	7.22e-06	CMP	bc1012
bc1012##CO2##Microbe	154.64701712	34.51336078	19.79410827	10.4157875	0.00061786	bc1012	CO2
bc1012##Ca2+##Microbe	-0.05057982	-0.01088847	-0.00656145	-0.00389892	-2.4e-07	bc1012	Ca2+
Ca2+##bc1012##Metabolite	0.05057982	0.01088847	0.00656145	0.00389892	2.4e-07	Ca2+	bc1012
bc1012##Chorismate##Microbe	-0.10115964	-0.02177694	-0.0131229	-0.00779784	-4.8e-07	bc1012	Chorismate
Chorismate##bc1012##Metabolite	0.10115964	0.02177694	0.0131229	0.00779784	4.8e-07	Chorismate	bc1012
bc1012##Cl-##Microbe	-0.05057982	-0.01088847	-0.00656145	-0.00389892	-2.4e-07	bc1012	Cl-
Cl-##bc1012##Metabolite	0.05057982	0.01088847	0.00656145	0.00389892	2.4e-07	Cl-	bc1012
bc1012##Co2+##Microbe	-0.05057982	-0.01088847	-0.00656145	-0.00389892	-2.4e-07	bc1012	Co2+
Co2+##bc1012##Metabolite	0.05057982	0.01088847	0.00656145	0.00389892	2.4e-07	Co2+	bc1012
bc1012##CoA##Microbe	-0.10115964	-0.02177694	-0.0131229	-0.00779784	-4.8e-07	bc1012	CoA
