	Avg_bc1016	Var_bc1016	Avg_bc1010	Var_bc1010	Avg_bc1015	Var_bc1015	Avg_bc1011	Var_bc1011	Avg_InAmount	Var_InAmount	Avg_OutAmount	Var_OutAmount	Avg_AllAmount	Var_AllAmount	In	InAmount	Out	OutAmount	All	AllAmount
1,2-Diacyl-sn-glycerol dioctadecanoyl	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.598912701082451	0.1447401904958322	0.0	0.0	3.598912701082451	0.1447401904958322	bc1010.bc1011.bc1015.bc1016	1		1	bc1010.bc1011.bc1015.bc1016	1
2-Oxoglutarate	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.7994563505412255	0.03618504762395805	0.0	0.0	1.7994563505412255	0.03618504762395805	bc1010.bc1016	1		1	bc1010.bc1016	1
4-Hydroxybenzoate	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.598912701082451	0.1447401904958322	0.0	0.0	3.598912701082451	0.1447401904958322	bc1010.bc1011.bc1015.bc1016	1		1	bc1010.bc1011.bc1015.bc1016	1
5-Aminolevulinate	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.598912701082451	0.1447401904958322	0.0	0.0	3.598912701082451	0.1447401904958322	bc1010.bc1011.bc1015.bc1016	1		1	bc1010.bc1011.bc1015.bc1016	1
AMP	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.598912701082451	0.1447401904958322	0.0	0.0	3.598912701082451	0.1447401904958322	bc1010.bc1011.bc1015.bc1016	1		1	bc1010.bc1011.bc1015.bc1016	1
ARSENOBETAINE	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Acetate	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.598912701082451	0.1447401904958322	0.0	0.0	3.598912701082451	0.1447401904958322	bc1010.bc1011.bc1015.bc1016	1		1	bc1010.bc1011.bc1015.bc1016	1
Adenine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Adenosine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.7994563505412255	0.03618504762395805	0.0	0.0	1.7994563505412255	0.03618504762395805	bc1010.bc1011	1		1	bc1010.bc1011	1
Ala-Ala	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.7994563505412255	0.03618504762395805	0.0	0.0	1.7994563505412255	0.03618504762395805	bc1010.bc1015	1		1	bc1010.bc1015	1
Arsenate	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8997281752706128	0.009046261905989512	0.0	0.0	0.8997281752706128	0.009046261905989512	bc1015	1		1	bc1015	1
Arsenite	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8997281752706128	0.009046261905989512	0.0	0.0	0.8997281752706128	0.009046261905989512	bc1015	1		1	bc1015	1
BET	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.598912701082451	0.1447401904958322	0.0	0.0	3.598912701082451	0.1447401904958322	bc1010.bc1011.bc1015.bc1016	1		1	bc1010.bc1011.bc1015.bc1016	1
BIOT	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.598912701082451	0.1447401904958322	0.0	0.0	3.598912701082451	0.1447401904958322	bc1010.bc1011.bc1015.bc1016	1		1	bc1010.bc1011.bc1015.bc1016	1
CMP	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.598912701082451	0.1447401904958322	0.0	0.0	3.598912701082451	0.1447401904958322	bc1010.bc1011.bc1015.bc1016	1		1	bc1010.bc1011.bc1015.bc1016	1
CO2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.598912701082451	0.1447401904958322	0.0	0.0	3.598912701082451	0.1447401904958322	bc1010.bc1011.bc1015.bc1016	1		1	bc1010.bc1011.bc1015.bc1016	1
Ca2+	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.598912701082451	0.1447401904958322	0.0	0.0	3.598912701082451	0.1447401904958322	bc1010.bc1011.bc1015.bc1016	1		1	bc1010.bc1011.bc1015.bc1016	1
Carnitine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Cbl	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Chitobiose	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8997281752706128	0.009046261905989512	0.0	0.0	0.8997281752706128	0.009046261905989512	bc1016	1		1	bc1016	1
Chorismate	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.598912701082451	0.1447401904958322	0.0	0.0	3.598912701082451	0.1447401904958322	bc1010.bc1011.bc1015.bc1016	1		1	bc1010.bc1011.bc1015.bc1016	1
Citrate	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8997281752706128	0.009046261905989512	0.0	0.0	0.8997281752706128	0.009046261905989512	bc1016	1		1	bc1016	1
Cl-	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.598912701082451	0.1447401904958322	0.0	0.0	3.598912701082451	0.1447401904958322	bc1010.bc1011.bc1015.bc1016	1		1	bc1010.bc1011.bc1015.bc1016	1
Co2+	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.598912701082451	0.1447401904958322	0.0	0.0	3.598912701082451	0.1447401904958322	bc1010.bc1011.bc1015.bc1016	1		1	bc1010.bc1011.bc1015.bc1016	1
CoA	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.598912701082451	0.1447401904958322	0.0	0.0	3.598912701082451	0.1447401904958322	bc1010.bc1011.bc1015.bc1016	1		1	bc1010.bc1011.bc1015.bc1016	1
Cu2+	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.598912701082451	0.1447401904958322	0.0	0.0	3.598912701082451	0.1447401904958322	bc1010.bc1011.bc1015.bc1016	1		1	bc1010.bc1011.bc1015.bc1016	1
Cytidine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8997281752706128	0.009046261905989512	0.0	0.0	0.8997281752706128	0.009046261905989512	bc1016	1		1	bc1016	1
Cytosine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
D-Alanine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.7994563505412255	0.03618504762395805	0.0	0.0	1.7994563505412255	0.03618504762395805	bc1011.bc1016	1		1	bc1011.bc1016	1
D-Arabinose	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.598912701082451	0.1447401904958322	0.0	0.0	3.598912701082451	0.1447401904958322	bc1010.bc1011.bc1015.bc1016	1		1	bc1010.bc1011.bc1015.bc1016	1
D-Galacturonate	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
D-Glucose	0.05169234171063797	2.986062742626928e-05	0.12522086206409835	0.016520118248469152	0.11601945643629351	0.014229710085385807	0.12543048254858408	0.016575474099529402	3.598912701082451	0.1447401904958322	2.2918226333619467	2.0795343030635793	5.890735334444398	2.408618417453812	bc1010.bc1011.bc1015.bc1016	1	bc1016.bc1010.bc1011.bc1016.bc1010.bc1011.bc1015.bc1016	3	bc1016bc1010.bc1011.bc1015.bc1016.bc1010.bc1011.bc1016bc1010.bc1011.bc1015.bc1016.bc1010.bc1011.bc1015.bc1016bc1010.bc1011.bc1015.bc1016	3
D-Serine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Deoxyadenosine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Deoxycytidine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.598912701082451	0.1447401904958322	0.0	0.0	3.598912701082451	0.1447401904958322	bc1010.bc1011.bc1015.bc1016	1		1	bc1010.bc1011.bc1015.bc1016	1
Deoxyguanosine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.6991845258118383	0.0814163571539056	0.0	0.0	2.6991845258118383	0.0814163571539056	bc1010.bc1011.bc1015	1		1	bc1010.bc1011.bc1015	1
Deoxyinosine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Deoxyuridine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Enterobactin	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Fe-enterochlin	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Folate	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.598912701082451	0.1447401904958322	0.0	0.0	3.598912701082451	0.1447401904958322	bc1010.bc1011.bc1015.bc1016	1		1	bc1010.bc1011.bc1015.bc1016	1
Formate	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.6991845258118383	0.0814163571539056	0.0	0.0	2.6991845258118383	0.0814163571539056	bc1011.bc1015.bc1016	1		1	bc1011.bc1015.bc1016	1
Fumarate	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8997281752706128	0.009046261905989512	0.0	0.0	0.8997281752706128	0.009046261905989512	bc1010	1		1	bc1010	1
GTP	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.598912701082451	0.1447401904958322	0.0	0.0	3.598912701082451	0.1447401904958322	bc1010.bc1011.bc1015.bc1016	1		1	bc1010.bc1011.bc1015.bc1016	1
Galactose	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Glucose-1-phosphate	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8997281752706128	0.009046261905989512	0.0	0.0	0.8997281752706128	0.009046261905989512	bc1016	1		1	bc1016	1
Glucuronate	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Glycerol	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.598912701082451	0.1447401904958322	0.0	0.0	3.598912701082451	0.1447401904958322	bc1010.bc1011.bc1015.bc1016	1		1	bc1010.bc1011.bc1015.bc1016	1
Glycine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.598912701082451	0.1447401904958322	0.0	0.0	3.598912701082451	0.1447401904958322	bc1010.bc1011.bc1015.bc1016	1		1	bc1010.bc1011.bc1015.bc1016	1
