	MetConSIN	DirectDFBA	Difference	ABS_Difference	SameSign
bc1001##L-Lysine	-0.04348972726642104	-0.30659605	0.263106322733579	0.263106322733579	1.0
bc1009##H+	0.7814136994392626	5.50884928	-4.727435580560737	4.727435580560737	1.0
bc1009##L-Asparagine	-0.030766231011385054	-0.21689731	0.18613107898861495	0.18613107898861495	1.0
bc1001##CMP	-0.012814141930543707	-0.09033778	0.0775236380694563	0.0775236380694563	1.0
bc1001##NADP	-0.0008551004964613371	-0.00602833	0.005173229503538663	0.005173229503538663	1.0
bc1003##Heme	-0.00042927593094293587	-0.00302633	0.002597054069057064	0.002597054069057064	1.0
bc1009##Cl-	-0.0004298889312803348	-0.00303065	0.0026007610687196654	0.0026007610687196654	1.0
bc1012##GTP	-0.021332939137697852	-0.19840246	0.17706952086230215	0.17706952086230215	1.0
bc1003##Mg	-0.0004292759309417511	-0.00302633	0.002597054069058249	0.002597054069058249	1.0
O2##bc1003	0.15297633046741732	7.04984988	-6.896873549532582	6.896873549532582	1.0
bc1009##Acetate	0.8915634094583766	6.2853882	-5.393824790541624	5.393824790541624	1.0
bc1009##Glycine	-0.07681972235926049	-0.54156751	0.46474778764073954	0.46474778764073954	1.0
bc1003##dGTP	-0.002739597244127022	-0.01931375	0.01657415275587298	0.01657415275587298	1.0
bc1003##TRHL	-0.009061045261647	-0.06387901	0.054817964738353	0.054817964738353	1.0
bc1012##UMP	-0.014752396548005127	-0.13720153	0.12244913345199486	0.12244913345199486	1.0
bc1001##Chorismate	-0.0008551004964822244	-0.00602833	0.005173229503517776	0.005173229503517776	1.0
bc1009##Niacin	0.0004298889312797389	0.00303065	-0.0026007610687202613	0.0026007610687202613	1.0
bc1003##5-Aminolevulinate	-0.0034342074475198743	-0.02421065	0.020776442552480127	0.020776442552480127	1.0
bc1003##L-Asparagine	-0.03072235988870932	-0.21658803	0.18586567011129068	0.18586567011129068	1.0
bc1003##H2O	2.017747583321164	14.22481757	-12.207069986678837	12.207069986678837	1.0
bc1009##5-Aminolevulinate	-0.0034391114502602834	-0.02424522	0.02080610854973972	0.02080610854973972	1.0
bc1001##5-Aminolevulinate	-0.003420401985849328	-0.02411332	0.02069291801415067	0.02069291801415067	1.0
bc1003##Myristic acid	-0.019130147303045443	-0.13486467	0.11573452269695456	0.11573452269695456	1.0
bc1009##Ala-Ala	-0.003831492979963243	-0.02701145	0.023179957020036758	0.023179957020036758	1.0
bc1003##meso-2,6-Diaminopimelate	-0.0038260294606118623	-0.02697293	0.023146900539388136	0.023146900539388136	1.0
bc1001##Ca2+	-0.0004275502482353936	-0.00301417	0.0025866197517646064	0.0025866197517646064	1.0
bc1009##L-Glutamate	-0.03911420980840982	-0.27574931	0.2366351001915902	0.2366351001915902	1.0
bc1001##L-Histidine	-0.012076710535761228	-0.085139	0.07306228946423877	0.07306228946423877	1.0
bc1001##TRHL	-0.009024619997689949	-0.06362222	0.054597600002310044	0.054597600002310044	1.0
bc1003##L-Threonine	-0.032289132122502215	-0.22763353	0.1953443978774978	0.1953443978774978	1.0
bc1001##L-Leucine	-0.05719475832385457	-0.40321446	0.34601970167614543	0.34601970167614543	1.0
bc1012##Riboflavin	-0.0013263059134284482	-0.01233503	0.011008724086571553	0.011008724086571553	1.0
bc1012##L-Glutamine	-0.03363247839660885	-0.31279171	0.2791592316033912	0.2791592316033912	1.0
bc1009##L-Proline	-0.028242172147927704	-0.19910307	0.17086089785207229	0.17086089785207229	1.0
bc1012##1,2-Diacyl-sn-glycerol dioctadecanoyl	-0.019627423262342743	-0.18254068	0.16291325673765727	0.16291325673765727	1.0
bc1001##Deoxycytidine	-0.0035162881768564715	-0.0247893	0.021273011823143527	0.021273011823143527	1.0
bc1012##ddca	-0.003940344762704494	-0.03664634	0.032705995237295504	0.032705995237295504	1.0
bc1001##H2O	2.0183187484056977	14.22884419	-12.210525441594303	12.210525441594303	1.0
bc1003##Riboflavin	-0.0012878277928317255	-0.00907899	0.007791162207168275	0.007791162207168275	1.0
bc1009##Folate	-0.001289666793844382	-0.00909196	0.007802293206155618	0.007802293206155618	1.0
bc1012##Ala-Ala	-0.0039403447627023875	-0.03664634	0.032705995237297614	0.032705995237297614	1.0
bc1003##Glycerol	-0.009529001161064466	-0.06717803	0.05764902883893554	0.05764902883893554	1.0
bc1003##Mn2+	-0.00042927593094220853	-0.00302633	0.0025970540690577913	0.0025970540690577913	1.0
bc1009##L-Serine	-0.0326929694250857	-0.23048053	0.19778756057491428	0.19778756057491428	1.0
bc1001##Ala-Ala	-0.0038106488804391676	-0.0268645	0.023053851119560834	0.023053851119560834	1.0
bc1001##Spermidine	-0.0004275502482366923	-0.00301417	0.002586619751763308	0.002586619751763308	1.0
bc1001##dATP	-0.001364462721004886	-0.00961926	0.008254797278995113	0.008254797278995113	1.0
bc1001##fe3	-0.0012826507447264016	-0.0090425	0.007759849255273598	0.007759849255273598	1.0
bc1009##L-Valine	-0.05396028543239083	-0.38041191	0.3264516245676092	0.3264516245676092	1.0
bc1012##L-Arginine	-0.038866345560492156	-0.36146818	0.3226018344395078	0.3226018344395078	1.0
bc1003##Nicotinamide ribonucleotide	-0.00042927593094244234	-0.00302633	0.0025970540690575575	0.0025970540690575575	1.0
bc1003##Pyridoxal	-0.0004292759309415841	-0.00302633	0.002597054069058416	0.002597054069058416	1.0
bc1003##L-Histidine	-0.012125454678913603	-0.08548264	0.0733571853210864	0.0733571853210864	1.0
bc1012##L-Leucine	-0.059141388641688455	-0.55003191	0.4908905213583115	0.4908905213583115	1.0
bc1001##L-Tryptophan	-0.007191748970735577	-0.05070075	0.04350900102926442	0.04350900102926442	1.0
bc1012##Oxidized glutathione	-0.00022105098557839438	-0.00205584	0.0018347890144216057	0.0018347890144216057	1.0
bc1012##L-Proline	-0.02904452538275389	-0.27012243	0.24107790461724612	0.24107790461724612	1.0
bc1001##Acetate	0.8889466996587707	6.26694079	-5.377994090341229	5.377994090341229	1.0
bc1001##Myristic acid	-0.011501530849753326	-0.08108407	0.06958253915024668	0.06958253915024668	1.0
bc1009##K+	-0.0004298889312803072	-0.00303065	0.002600761068719693	0.002600761068719693	1.0
bc1001##UMP	-0.014266823533210427	-0.10057896	0.08631213646678956	0.08631213646678956	1.0
bc1001##D-Glucose	-0.5486868532173556	-3.86815995	3.3194730967826445	3.3194730967826445	1.0
bc1003##AMP	-0.0164250039465099	-0.11579381	0.0993688060534901	0.0993688060534901	1.0
bc1009##Ca2+	-0.0004298889312813257	-0.00303065	0.0026007610687186745	0.0026007610687186745	1.0
bc1009##TTP	-0.0026691046446532815	-0.01881679	0.01614768535534672	0.01614768535534672	1.0
bc1012##Sulfate	-0.0004421019711564932	-0.00411168	0.003669578028843507	0.003669578028843507	1.0
bc1003##CO2	1.1007472795857265	7.76010308	-6.659355800414274	6.659355800414274	1.0
bc1009##UMP	-0.014344862496895651	-0.10112913	0.08678426750310435	0.08678426750310435	1.0
bc1003##CoA	-0.0008585518618831928	-0.00605266	0.005194108138116807	0.005194108138116807	1.0
bc1012##Ca2+	-0.0004421019711568287	-0.00411168	0.0036695780288431715	0.0036695780288431715	1.0
bc1012##L-Tyrosine	-0.01901223762976808	-0.17681927	0.15780703237023191	0.15780703237023191	1.0
bc1012##L-Valine	-0.055493284004239495	-0.51610349	0.4606102059957605	0.4606102059957605	1.0
bc1012##Pyridoxal	-0.0004421019711559821	-0.00411168	0.003669578028844018	0.003669578028844018	1.0
bc1001##Co2+	-0.0004275502482358986	-0.00301417	0.0025866197517641016	0.0025866197517641016	1.0
bc1003##Niacin	0.00042927593094102816	0.00302633	-0.0025970540690589718	0.0025970540690589718	1.0
bc1012##L-Serine	-0.033621768726942135	-0.31269211	0.2790703412730579	0.2790703412730579	1.0
bc1009##Formate	-0.0004298889312795675	-0.00303065	0.0026007610687204326	0.0026007610687204326	1.0
bc1003##Glycine	-0.0767101812372719	-0.54079526	0.4640850787627281	0.4640850787627281	1.0
bc1012##H+	1.672625654116197	10.6272725	-8.954646845883802	8.954646845883802	1.0
bc1003##L-Leucine	-0.05742560839508149	-0.40484192	0.34741631160491854	0.34741631160491854	1.0
bc1003##dATP	-0.0017319514074685962	-0.01221	0.010478048592531404	0.010478048592531404	1.0
bc1009##Heme	-0.00042988893128129705	-0.00303065	0.002600761068718703	0.002600761068718703	1.0
bc1009##ddca	-0.007985402658401964	-0.05629589	0.04831048734159804	0.04831048734159804	1.0
bc1001##BIOT	-0.00042755024823746727	-0.00301417	0.002586619751762533	0.002586619751762533	1.0
bc1003##Putrescine	-0.0004292759309299804	-0.00302633	0.0025970540690700194	0.0025970540690700194	1.0
bc1009##L-Cysteine	-0.011665245017622193	-0.08223823	0.0705729849823778	0.0705729849823778	1.0
bc1001##Adenosine	-0.0045424411173155595	-0.03202353	0.02748108888268444	0.02748108888268444	1.0
bc1001##L-Asparagine	-0.030598856469820565	-0.21571734	0.18511848353017946	0.18511848353017946	1.0
bc1012##Acetate	1.7856563630091162	11.67849057	-9.892834206990884	9.892834206990884	1.0
bc1001##H+	0.7833684410655245	5.52262991	-4.739261468934475	4.739261468934475	1.0
bc1012##Formate	-0.00044210197115325365	-0.00411168	0.0036695780288467468	0.0036695780288467468	1.0
bc1012##Glycerol	-0.009813711631172046	-0.09127034	0.08145662836882796	0.08145662836882796	1.0
bc1003##BIOT	-0.0004292759309420031	-0.00302633	0.002597054069057997	0.002597054069057997	1.0
bc1009##BET	-0.0008597778625387808	-0.0060613	0.00520152213746122	0.00520152213746122	1.0
bc1003##Chorismate	-0.0008585518618862887	-0.00605266	0.005194108138113711	0.005194108138113711	1.0
bc1003##Ca2+	-0.0004292759309402648	-0.00302633	0.002597054069059735	0.002597054069059735	1.0
bc1003##H+	0.7796113582637348	5.49614304	-4.716531681736265	4.716531681736265	1.0
bc1001##L-Methionine	-0.018616899075226893	-0.13124634	0.11262944092477309	0.11262944092477309	1.0
O2##bc1009	0.15319477863953596	7.04984988	-6.896655101360464	6.896655101360464	1.0
bc1003##GTP	-0.020714038628005693	-0.14603086	0.12531682137199432	0.12531682137199432	1.0
bc1012##Deoxycytidine	-0.003169332254112484	-0.0294757	0.026306367745887516	0.026306367745887516	1.0
bc1012##L-Glutamate	-0.04022543498627036	-0.3741081	0.33388266501372965	0.33388266501372965	1.0
bc1003##Cl-	-0.00042927593093949326	-0.00302633	0.0025970540690605066	0.0025970540690605066	1.0
bc1012##Mn2+	-0.0004421019711578915	-0.00411168	0.003669578028842109	0.003669578028842109	1.0
bc1001##Pyridoxal	-0.0004275502482370468	-0.00301417	0.002586619751762953	0.002586619751762953	1.0
bc1003##Folate	-0.0012878277928207147	-0.00907899	0.007791162207179286	0.007791162207179286	1.0
bc1012##TTP	-0.0018780181314686432	-0.01746611	0.015588091868531356	0.015588091868531356	1.0
bc1009##Deoxycytidine	-0.002239683828977428	-0.01578943	0.013549746171022573	0.013549746171022573	1.0
bc1012##L-Methionine	-0.019250527422064966	-0.17903544	0.15978491257793503	0.15978491257793503	1.0
O2##bc1001	0.1523613679485789	7.04984988	-6.897488512051421	6.897488512051421	1.0
bc1012##Cl-	-0.0004421019711555231	-0.00411168	0.0036695780288444773	0.0036695780288444773	1.0
bc1012##N-Acetyl-D-glucosamine	-0.013992971166174265	-0.13013865	0.11614567883382573	0.11614567883382573	1.0
bc1009##Sulfate	-0.0004298889312799412	-0.00303065	0.002600761068720059	0.002600761068720059	1.0
bc1001##CoA	-0.0008551004964765887	-0.00602833	0.005173229503523412	0.005173229503523412	1.0
bc1003##Oxidized glutathione	-0.00021463796547111584	-0.00151317	0.0012985320345288843	0.0012985320345288843	1.0
bc1003##Formate	-0.00042927593094046817	-0.00302633	0.0025970540690595316	0.0025970540690595316	1.0
bc1009##Glycerol	-0.00954260844840983	-0.06727396	0.05773135155159016	0.05773135155159016	1.0
bc1001##N-Acetyl-D-glucosamine	-0.01567014577001474	-0.11047218	0.09480203422998526	0.09480203422998526	1.0
bc1003##Thiamin	-0.0004292759309436537	-0.00302633	0.0025970540690563463	0.0025970540690563463	1.0
D-Glucose##bc1012	0.1303837282787707	6.83597399	-6.7055902617212295	6.7055902617212295	1.0
bc1012##L-Asparagine	-0.03164029214401134	-0.29426381	0.2626235178559887	0.2626235178559887	1.0
bc1001##L-Aspartate	-0.030598856469821547	-0.21571734	0.18511848353017846	0.18511848353017846	1.0
bc1012##Deoxyguanosine	-0.00044210197115855193	-0.00411168	0.0036695780288414485	0.0036695780288414485	1.0
bc1003##Sulfate	-0.00042927593094232145	-0.00302633	0.0025970540690576785	0.0025970540690576785	1.0
bc1001##Thiamin	-0.0004275502482385666	-0.00301417	0.0025866197517614336	0.0025866197517614336	1.0
bc1012##Myristic acid	-0.01970172381350837	-0.18323169	0.16352996618649163	0.16352996618649163	1.0
bc1009##meso-2,6-Diaminopimelate	-0.003831492979963075	-0.02701145	0.023179957020036925	0.023179957020036925	1.0
bc1012##fe3	-0.0013263059134707635	-0.01233503	0.011008724086529236	0.011008724086529236	1.0
bc1003##CMP	-0.012865862501867859	-0.0907024	0.07783653749813214	0.07783653749813214	1.0
bc1009##Oxidized glutathione	-0.00021494446563967383	-0.00151533	0.0013003855343603262	0.0013003855343603262	1.0
bc1001##L-Serine	-0.032515113035465545	-0.22922667	0.19671155696453446	0.19671155696453446	1.0
bc1001##Putrescine	-0.0004275502482381751	-0.00301417	0.0025866197517618247	0.0025866197517618247	1.0
bc1003##Co2+	-0.00042927593094238683	-0.00302633	0.002597054069057613	0.002597054069057613	1.0
bc1009##CO2	1.1048301105780152	7.78888643	-6.684056319421985	6.684056319421985	1.0
