	In	InAmount	Out	OutAmount	All	AllAmount	Type
1,2-Diacyl-sn-glycerol dioctadecanoyl	bc1008.bc1011.bc1015.bc1003.bc1011.bc1015.bc1003	7		0	bc1008.bc1011.bc1015.bc1003.bc1011.bc1015.bc1003	7	Metabolite
2-Oxoglutarate	bc1008	1		0	bc1008	1	Metabolite
4-Hydroxybenzoate	bc1008.bc1011.bc1015.bc1003.bc1011.bc1015.bc1003	7		0	bc1008.bc1011.bc1015.bc1003.bc1011.bc1015.bc1003	7	Metabolite
5-Aminolevulinate	bc1008.bc1011.bc1015.bc1003.bc1011.bc1015.bc1003	7		0	bc1008.bc1011.bc1015.bc1003.bc1011.bc1015.bc1003	7	Metabolite
AMP	bc1008.bc1011.bc1015.bc1003.bc1011.bc1015.bc1003	7		0	bc1008.bc1011.bc1015.bc1003.bc1011.bc1015.bc1003	7	Metabolite
Acetate	bc1008.bc1011.bc1015.bc1003.bc1011.bc1015.bc1003	7		0	bc1008.bc1011.bc1015.bc1003.bc1011.bc1015.bc1003	7	Metabolite
Adenosine	bc1011.bc1011	2		0	bc1011.bc1011	2	Metabolite
Ala-Ala	bc1015.bc1003.bc1015.bc1003	4		0	bc1015.bc1003.bc1015.bc1003	4	Metabolite
Arsenate	bc1015.bc1015	2		0	bc1015.bc1015	2	Metabolite
Arsenite	bc1015.bc1015	2		0	bc1015.bc1015	2	Metabolite
BET	bc1008.bc1011.bc1015.bc1003.bc1011.bc1015.bc1003	7		0	bc1008.bc1011.bc1015.bc1003.bc1011.bc1015.bc1003	7	Metabolite
BIOT	bc1008.bc1011.bc1015.bc1003.bc1011.bc1015.bc1003	7		0	bc1008.bc1011.bc1015.bc1003.bc1011.bc1015.bc1003	7	Metabolite
CMP	bc1008.bc1011.bc1015.bc1003.bc1011.bc1015.bc1003	7		0	bc1008.bc1011.bc1015.bc1003.bc1011.bc1015.bc1003	7	Metabolite
CO2	bc1008.bc1011.bc1015.bc1003.bc1011.bc1015.bc1003	7		0	bc1008.bc1011.bc1015.bc1003.bc1011.bc1015.bc1003	7	Metabolite
Ca2+	bc1008.bc1011.bc1015.bc1003.bc1011.bc1015.bc1003	7		0	bc1008.bc1011.bc1015.bc1003.bc1011.bc1015.bc1003	7	Metabolite
Chitobiose	bc1008	1		0	bc1008	1	Metabolite
Chorismate	bc1008.bc1011.bc1015.bc1003.bc1011.bc1015.bc1003	7		0	bc1008.bc1011.bc1015.bc1003.bc1011.bc1015.bc1003	7	Metabolite
Citrate	bc1008	1		0	bc1008	1	Metabolite
Cl-	bc1008.bc1011.bc1015.bc1003.bc1011.bc1015.bc1003	7		0	bc1008.bc1011.bc1015.bc1003.bc1011.bc1015.bc1003	7	Metabolite
Co2+	bc1008.bc1011.bc1015.bc1003.bc1011.bc1015.bc1003	7		0	bc1008.bc1011.bc1015.bc1003.bc1011.bc1015.bc1003	7	Metabolite
CoA	bc1008.bc1011.bc1015.bc1003.bc1011.bc1015.bc1003	7		0	bc1008.bc1011.bc1015.bc1003.bc1011.bc1015.bc1003	7	Metabolite
Cu2+	bc1008.bc1011.bc1015.bc1003.bc1011.bc1015.bc1003	7		0	bc1008.bc1011.bc1015.bc1003.bc1011.bc1015.bc1003	7	Metabolite
Cytidine	bc1008	1		0	bc1008	1	Metabolite
D-Alanine	bc1008.bc1011.bc1011	3		0	bc1008.bc1011.bc1011	3	Metabolite
D-Arabinose	bc1008.bc1011.bc1015.bc1003.bc1011.bc1015.bc1003	7		0	bc1008.bc1011.bc1015.bc1003.bc1011.bc1015.bc1003	7	Metabolite
D-Glucose	bc1008.bc1011.bc1015.bc1003.bc1011.bc1015.bc1003	7	bc1008.bc1011.bc1015.bc1003	4	bc1008.bc1011.bc1015.bc1003.bc1011.bc1015.bc1003bc1008.bc1011.bc1015.bc1003	11	Metabolite
Deoxycytidine	bc1008.bc1011.bc1015.bc1003.bc1011.bc1015.bc1003	7		0	bc1008.bc1011.bc1015.bc1003.bc1011.bc1015.bc1003	7	Metabolite
Deoxyguanosine	bc1011.bc1015.bc1003.bc1011.bc1015.bc1003	6		0	bc1011.bc1015.bc1003.bc1011.bc1015.bc1003	6	Metabolite
Folate	bc1008.bc1011.bc1015.bc1003.bc1011.bc1015.bc1003	7		0	bc1008.bc1011.bc1015.bc1003.bc1011.bc1015.bc1003	7	Metabolite
Formate	bc1008.bc1011.bc1015.bc1003.bc1011.bc1015.bc1003	7		0	bc1008.bc1011.bc1015.bc1003.bc1011.bc1015.bc1003	7	Metabolite
GTP	bc1008.bc1011.bc1015.bc1003.bc1011.bc1015.bc1003	7		0	bc1008.bc1011.bc1015.bc1003.bc1011.bc1015.bc1003	7	Metabolite
