	Source	Target	Weight	Metabolites	ABSWeight	SignWeight	ABSRootWeight	SignedRootWeight
bc1011->bc1003	bc1011	bc1003	-0.15297633046741682	O2	0.15297633046741682	-1.0	0.39112188697056677	-0.39112188697056677
bc1012->bc1003	bc1012	bc1003	-0.15297633046742476	O2	0.15297633046742476	-1.0	0.3911218869705769	-0.3911218869705769
bc1016->bc1003	bc1016	bc1003	-0.0034292762875456568	O2	0.0034292762875456568	-1.0	0.05856002294693588	-0.05856002294693588
bc1003->bc1016	bc1003	bc1016	-0.031547533749478725	D-Glucose	0.031547533749478725	-1.0	0.1776162541815324	-0.1776162541815324
bc1011->bc1016	bc1011	bc1016	-0.03249242486996502	D-Glucose	0.03249242486996502	-1.0	0.18025655291823658	-0.18025655291823658
bc1012->bc1016	bc1012	bc1016	-0.05745328770554932	D-Glucose	0.05745328770554932	-1.0	0.2396941545085097	-0.2396941545085097
bc1003->bc1012	bc1003	bc1012	-0.15376053067421958	D-Glucose.O2	0.15376053067421958	-1.0	0.3921231065293393	-0.3921231065293393
bc1011->bc1012	bc1011	bc1012	-0.20526447639206724	D-Glucose.O2	0.20526447639206724	-1.0	0.45306122808299015	-0.45306122808299015
bc1016->bc1012	bc1016	bc1012	-3.09655170155664	D-Glucose.O2	3.09655170155664	-1.0	1.7597021627413658	-1.7597021627413658
bc1003->bc1011	bc1003	bc1011	-0.15278557913560284	O2	0.15278557913560284	-1.0	0.3908779593883529	-0.3908779593883529
bc1012->bc1011	bc1012	bc1011	-0.1527855791356095	O2	0.1527855791356095	-1.0	0.3908779593883614	-0.3908779593883614
bc1016->bc1011	bc1016	bc1011	-0.003425000207599085	O2	0.003425000207599085	-1.0	0.05852350132723678	-0.05852350132723678
