	Source	Target	SourceType	Weight	Variance	ABS_Weight	Sign_Weight	ABSRootWeight	SignedRootWeight
0	bc1016	1,2-Diacyl-sn-glycerol dioctadecanoyl	Microbe	-0.30721390744500005	0.1393922396320854	0.30721390744500005	-1.0	0.5542688043224154	-0.5542688043224154
1	1,2-Diacyl-sn-glycerol dioctadecanoyl	bc1016	Metabolite	0.30721390744500005	0.1393922396320854	0.30721390744500005	1.0	0.5542688043224154	0.5542688043224154
2	bc1016	2-Oxoglutarate	Microbe	-0.013839812595000004	0.0002828896589666669	0.013839812595000004	-1.0	0.11764273286098043	-0.11764273286098043
3	2-Oxoglutarate	bc1016	Metabolite	0.013839812595000004	0.0002828896589666669	0.013839812595000004	1.0	0.11764273286098043	0.11764273286098043
4	bc1016	4-Hydroxybenzoate	Microbe	-0.006919900005000001	7.072235531814882e-05	0.006919900005000001	-1.0	0.08318593634142733	-0.08318593634142733
5	4-Hydroxybenzoate	bc1016	Metabolite	0.006919900005000001	7.072235531814882e-05	0.006919900005000001	1.0	0.08318593634142733	0.08318593634142733
6	bc1016	5-Aminolevulinate	Microbe	-0.05535922521000001	0.004526232641913665	0.05535922521000001	-1.0	0.23528541223373797	-0.23528541223373797
7	5-Aminolevulinate	bc1016	Metabolite	0.05535922521000001	0.004526232641913665	0.05535922521000001	1.0	0.23528541223373797	0.23528541223373797
8	bc1016	AMP	Microbe	-0.26131017657750005	0.10084851375682871	0.26131017657750005	-1.0	0.5111850707693839	-0.5111850707693839
9	AMP	bc1016	Metabolite	0.26131017657750005	0.10084851375682871	0.26131017657750005	1.0	0.5111850707693839	0.5111850707693839
10	bc1016	Acetate	Microbe	64.23099108950251	6093.209295709454	64.23099108950251	1.0	8.014423939966148	8.014423939966148
11	bc1016	BET	Microbe	-0.013839812595000004	0.0002828896589666669	0.013839812595000004	-1.0	0.11764273286098043	-0.11764273286098043
12	BET	bc1016	Metabolite	0.013839812595000004	0.0002828896589666669	0.013839812595000004	1.0	0.11764273286098043	0.11764273286098043
13	bc1016	BIOT	Microbe	-0.006919900005000001	7.072235531814882e-05	0.006919900005000001	-1.0	0.08318593634142733	-0.08318593634142733
14	BIOT	bc1016	Metabolite	0.006919900005000001	7.072235531814882e-05	0.006919900005000001	1.0	0.08318593634142733	0.08318593634142733
15	bc1016	CMP	Microbe	-0.058153573440000016	0.004994703501116665	0.058153573440000016	-1.0	0.2411505202980081	-0.2411505202980081
16	CMP	bc1016	Metabolite	0.058153573440000016	0.004994703501116665	0.058153573440000016	1.0	0.2411505202980081	0.2411505202980081
17	bc1016	CO2	Microbe	1.2825385329899999	2.429392530581182	1.2825385329899999	1.0	1.1324921778935164	1.1324921778935164
