	0.0000-0.6413	0.6413-0.6425	0.6425-1.3322	Source	Target
bc1002##bc1003##O2	-0.15297633046741768	-0.2710052055831226	0.0	bc1002	bc1003
bc1016##bc1003##O2	-0.0034292762875456568	-0.0034292762875456568	0.0	bc1016	bc1003
bc1002##bc1016##D-Glucose	-0.032431085991787345	-0.05745328770557904	-0.05745328770557904	bc1002	bc1016
bc1003##bc1016##D-Glucose	-0.031547533749478725	-0.031547533749478725	-0.05745328770557894	bc1003	bc1016
bc1003##bc1002##O2	-0.1529005008594402	0.0	0.0	bc1003	bc1002
bc1016##bc1002##O2	-0.003427576412305233	0.0	0.0	bc1016	bc1002
bc1003##bc1002##D-Glucose	0.0	-0.14873488086081643	-0.2708708696473838	bc1003	bc1002
bc1016##bc1002##D-Glucose	0.0	-0.27087086964738355	-0.27087086964738355	bc1016	bc1002
bc1002##bc1003##D-Glucose	0.0	0.0	-0.27859525236686483	bc1002	bc1003
bc1016##bc1003##D-Glucose	0.0	0.0	-0.2785952523668641	bc1016	bc1003
