	MetConSIN	DirectDFBA	Difference	ABS_Difference	SameSign
bc1002##dATP	-0.002093377128934604	-0.012013874307499998	0.009920497178565395	0.009920497178565395	1.0
bc1002##4-Hydroxybenzoate	-0.0006121871408495192	-0.003513342027	0.0029011548861504807	0.0029011548861504807	1.0
bc1010##L-Tryptophan	-0.010259449571643523	-0.0589538626495	0.04869441307785648	0.04869441307785648	1.0
bc1002##Oxidized glutathione	-0.0003060935704222028	-0.0017566710135	0.001450577443077797	0.001450577443077797	1.0
bc1011##Riboflavin	-0.001832842102873984	-0.010532091979500002	0.008699249876626017	0.008699249876626017	1.0
bc1002##Acetate	1.24504479566768	7.145305961722501	-5.900261166054821	5.900261166054821	1.0
bc1002##Deoxyguanosine	-0.0006121871408472721	-0.003513342027	0.002901154886152728	0.002901154886152728	1.0
bc1011##Ca2+	-0.0006109473676205971	-0.003510701233	0.0028997538653794033	0.0028997538653794033	1.0
bc1011##L-Tryptophan	-0.01027664027889048	-0.0590528533595	0.04877621308060952	0.04877621308060952	1.0
bc1002##Spermidine	-0.0006121871408491183	-0.003513342027	0.0029011548861508814	0.0029011548861508814	1.0
bc1002##meso-2,6-Diaminopimelate	-0.005456271520174978	-0.031313519562	0.025857248041825022	0.025857248041825022	1.0
bc1011##Deoxycytidine	-0.004977971449500611	-0.028605014197499997	0.023627042747999386	0.023627042747999386	1.0
bc1011##S-Adenosyl-L-methionine	-0.001832842102870211	-0.010532091979500002	0.008699249876629792	0.008699249876629792	1.0
bc1015##Cl-	-0.000581312162111197	-0.0035213425390000002	0.0029400303768888033	0.0029400303768888033	1.0
bc1011##dGTP	-0.004367024081875269	-0.025094316871000003	0.020727292789124732	0.020727292789124732	1.0
bc1010##L-Threonine	-0.045877161292052174	-0.263623870848	0.21774670955594783	0.21774670955594783	1.0
bc1002##UMP	-0.020427928515567167	-0.11723578386	0.09680785534443283	0.09680785534443283	1.0
bc1010##L-Proline	-0.04006992568546039	-0.2302537626415	0.1901838369560396	0.1901838369560396	1.0
bc1011##CMP	-0.01831075133999732	-0.1052194172055	0.08690866586550268	0.08690866586550268	1.0
O2##bc1002	0.06832021742661104	8.1883961917875	-8.120075974360889	8.120075974360889	1.0
bc1011##D-Alanine	-0.010890443460357209	-0.0625799618925	0.051689518432142784	0.051689518432142784	1.0
bc1002##Cl-	-0.0006121871408498309	-0.003513342027	0.0029011548861501693	0.0029011548861501693	1.0
bc1002##1,2-Diacyl-sn-glycerol dioctadecanoyl	-0.02717847219218583	-0.15597711080249999	0.12879863861031415	0.12879863861031415	1.0
bc1002##Mg	-0.0006121871408503942	-0.003513342027	0.0029011548861496055	0.0029011548861496055	1.0
bc1010##BIOT	-0.000609925378232803	-0.003504818044	0.002894892665767197	0.002894892665767197	1.0
bc1011##Oxidized glutathione	-0.0003054736838108713	-0.0017553506165	0.0014498769326891287	0.0014498769326891287	1.0
bc1011##Deoxyguanosine	-0.0006109473676237883	-0.003510701233	0.002899753865376212	0.002899753865376212	1.0
bc1015##Niacin	0.0005813121621100943	0.0035213425390000002	-0.002940030376889906	0.002940030376889906	1.0
bc1011##L-Serine	-0.0464624282149837	-0.26698791425799995	0.22052548604301625	0.22052548604301625	1.0
bc1015##Nicotinamide ribonucleotide	-0.0005813121621099425	-0.0035213425390000002	0.002940030376890058	0.002940030376890058	1.0
bc1015##H+	1.16618638909207	6.393495884113	-5.22730949502093	5.22730949502093	1.0
bc1011##AMP	-0.016745156922564158	-0.096223009441	0.07947785251843584	0.07947785251843584	1.0
bc1011##TTP	-0.0019964193729092505	-0.011472062289999998	0.009475642917090746	0.009475642917090746	1.0
bc1011##O2	-1.4249811961666579	-8.1883961292835	6.7634149331168425	6.7634149331168425	1.0
bc1010##meso-2,6-Diaminopimelate	-0.005436112993270178	-0.0312375342305	0.02580142123722982	0.02580142123722982	1.0
bc1002##L-Glutamine	-0.06900881583510585	-0.39604125517449995	0.3270324393393941	0.3270324393393941	1.0
bc1010##L-Alanine	-0.09844866995879466	-0.5657154690980001	0.46726679913920544	0.46726679913920544	1.0
bc1010##Cl-	-0.0006099253782327463	-0.003504818044	0.002894892665767254	0.002894892665767254	1.0
bc1010##L-Leucine	-0.08159166027257107	-0.46885005526449997	0.3872583949919289	0.3872583949919289	1.0
bc1011##5-Aminolevulinate	-0.004887578940971311	-0.0280855825185	0.02319800357752869	0.02319800357752869	1.0
bc1015##GTP	-0.02805030916707217	-0.1699165888095	0.14186627964242782	0.14186627964242782	1.0
bc1010##Myristic acid	-0.014756917828817728	-0.08479766107799998	0.07004074324918225	0.07004074324918225	1.0
bc1015##L-Glutamine	-0.04422275857022473	-0.267882260555	0.22365950198477524	0.22365950198477524	1.0
bc1002##BIOT	-0.0006121871408494889	-0.003513342027	0.002901154886150511	0.002901154886150511	1.0
bc1015##BET	-0.0011626243242129069	-0.0070426733585	0.005880049034287093	0.005880049034287093	1.0
bc1010##1,2-Diacyl-sn-glycerol dioctadecanoyl	-0.027078059674057794	-0.15559861783049997	0.12852055815644217	0.12852055815644217	1.0
bc1011##K+	-0.0006109473676225192	-0.003510701233	0.002899753865377481	0.002899753865377481	1.0
bc1011##L-Asparagine	-0.043724195903580385	-0.25125316120450003	0.20752896530091963	0.20752896530091963	1.0
bc1002##Mn2+	-0.0006121871408480115	-0.003513342027	0.0029011548861519886	0.0029011548861519886	1.0
bc1002##Thiamin	-0.0006121871408489472	-0.003513342027	0.0029011548861510527	0.0029011548861510527	1.0
bc1011##L-Lysine	-0.06214458885630736	-0.35710261482350003	0.29495802596719267	0.29495802596719267	1.0
bc1010##TTP	-0.0023651590571619322	-0.0135909127315	0.011225753674338068	0.011225753674338068	1.0
bc1010##UMP	-0.020352456291529646	-0.11695128909100001	0.09659883279947037	0.09659883279947037	1.0
