	0.34855	0.37629999999999997	0.40315	0.7985	Source	Target
bc1012##1,2-Diacyl-sn-glycerol dioctadecanoyl##Microbe	1.77293822	0.16479608	0.10099771999999999	0.15099691	bc1012	1,2-Diacyl-sn-glycerol dioctadecanoyl
1,2-Diacyl-sn-glycerol dioctadecanoyl##bc1012##Metabolite	-1.77293822	-0.16479608	-0.10099771999999999	-0.15099691	1,2-Diacyl-sn-glycerol dioctadecanoyl	bc1012
bc1012##4-Hydroxybenzoate##Microbe	0.03993492	0.00371198	0.00227494	0.0034011700000000002	bc1012	4-Hydroxybenzoate
4-Hydroxybenzoate##bc1012##Metabolite	-0.03993492	-0.00371198	-0.00227494	-0.0034011700000000002	4-Hydroxybenzoate	bc1012
bc1012##5-Aminolevulinate##Microbe	0.31947932	0.02969587	0.018199550000000002	0.02720929	bc1012	5-Aminolevulinate
5-Aminolevulinate##bc1012##Metabolite	-0.31947932	-0.02969587	-0.018199550000000002	-0.02720929	5-Aminolevulinate	bc1012
bc1012##AMP##Microbe	1.52799421	0.14202833999999998	0.08704417	0.13013560999999998	bc1012	AMP
AMP##bc1012##Metabolite	-1.52799421	-0.14202833999999998	-0.08704417	-0.13013560999999998	AMP	bc1012
bc1012##Acetate##Microbe	-101.4590921	-10.936877	-7.052043649999999	-7.1724771800000005	bc1012	Acetate
bc1012##Ala-Ala##Microbe	0.35592995	0.03308397999999999	0.020276020000000002	0.0303137	bc1012	Ala-Ala
Ala-Ala##bc1012##Metabolite	-0.35592995	-0.03308397999999999	-0.020276020000000002	-0.0303137	Ala-Ala	bc1012
bc1012##BET##Microbe	0.07986983	0.0074239699999999985	0.00454989	0.006802320000000001	bc1012	BET
BET##bc1012##Metabolite	-0.07986983	-0.0074239699999999985	-0.00454989	-0.006802320000000001	BET	bc1012
bc1012##BIOT##Microbe	0.03993492	0.00371198	0.00227494	0.0034011700000000002	bc1012	BIOT
BIOT##bc1012##Metabolite	-0.03993492	-0.00371198	-0.00227494	-0.0034011700000000002	BIOT	bc1012
bc1012##CMP##Microbe	1.19689246	0.11125215999999999	0.06818252	0.10193647	bc1012	CMP
CMP##bc1012##Metabolite	-1.19689246	-0.11125215999999999	-0.06818252	-0.10193647	CMP	bc1012
bc1012##CO2##Microbe	-121.08448562000001	-12.761073709999998	-8.1700296	-8.843924950000002	bc1012	CO2
bc1012##Ca2+##Microbe	0.03993492	0.00371198	0.00227494	0.0034011700000000002	bc1012	Ca2+
Ca2+##bc1012##Metabolite	-0.03993492	-0.00371198	-0.00227494	-0.0034011700000000002	Ca2+	bc1012
bc1012##Chorismate##Microbe	0.07986983	0.0074239699999999985	0.00454989	0.006802320000000001	bc1012	Chorismate
Chorismate##bc1012##Metabolite	-0.07986983	-0.0074239699999999985	-0.00454989	-0.006802320000000001	Chorismate	bc1012
bc1012##Cl-##Microbe	0.03993492	0.00371198	0.00227494	0.0034011700000000002	bc1012	Cl-
Cl-##bc1012##Metabolite	-0.03993492	-0.00371198	-0.00227494	-0.0034011700000000002	Cl-	bc1012
bc1012##Co2+##Microbe	0.03993492	0.00371198	0.00227494	0.0034011700000000002	bc1012	Co2+
Co2+##bc1012##Metabolite	-0.03993492	-0.00371198	-0.00227494	-0.0034011700000000002	Co2+	bc1012
