	0.6605	1.3458	Source	Target
D-Glucose##bc1016##Metabolite##None	0.0	0.0	D-Glucose	bc1016
bc1016##L-Alanine##Microbe##D-Glucose_e0	0.0	0.0	bc1016	L-Alanine
bc1016##L-Glutamate##Microbe##D-Glucose_e0	0.0	0.0	bc1016	L-Glutamate
bc1016##Riboflavin##Microbe##D-Glucose_e0	0.0	0.0	bc1016	Riboflavin
bc1016##Zn2+##Microbe##D-Glucose_e0	0.0	0.0	bc1016	Zn2+
bc1016##L-Histidine##Microbe##D-Glucose_e0	0.0	0.0	bc1016	L-Histidine
bc1016##Co2+##Microbe##D-Glucose_e0	0.0	0.0	bc1016	Co2+
bc1016##D-Glucose##Microbe##D-Glucose_e0	0.0	0.0	bc1016	D-Glucose
bc1016##K+##Microbe##D-Glucose_e0	0.0	0.0	bc1016	K+
bc1016##L-Proline##Microbe##D-Glucose_e0	0.0	0.0	bc1016	L-Proline
bc1016##L-Glutamine##Microbe##D-Glucose_e0	0.0	0.0	bc1016	L-Glutamine
bc1016##Pyridoxal##Microbe##D-Glucose_e0	0.0	0.0	bc1016	Pyridoxal
bc1016##TRHL##Microbe##D-Glucose_e0	0.0	0.0	bc1016	TRHL
bc1016##AMP##Microbe##D-Glucose_e0	0.0	0.0	bc1016	AMP
bc1016##Deoxycytidine##Microbe##D-Glucose_e0	0.0	0.0	bc1016	Deoxycytidine
bc1016##L-Cysteine##Microbe##D-Glucose_e0	0.0	0.0	bc1016	L-Cysteine
bc1016##Mn2+##Microbe##D-Glucose_e0	0.0	0.0	bc1016	Mn2+
bc1016##D-Alanine##Microbe##D-Glucose_e0	0.0	0.0	bc1016	D-Alanine
bc1016##Chorismate##Microbe##D-Glucose_e0	0.0	0.0	bc1016	Chorismate
bc1016##Glycerol##Microbe##D-Glucose_e0	0.0	0.0	bc1016	Glycerol
bc1016##4-Hydroxybenzoate##Microbe##D-Glucose_e0	0.0	0.0	bc1016	4-Hydroxybenzoate
bc1016##L-Leucine##Microbe##D-Glucose_e0	0.0	0.0	bc1016	L-Leucine
bc1016##L-Aspartate##Microbe##D-Glucose_e0	0.0	0.0	bc1016	L-Aspartate
bc1016##L-Arginine##Microbe##D-Glucose_e0	0.0	0.0	bc1016	L-Arginine
bc1016##CMP##Microbe##D-Glucose_e0	0.0	0.0	bc1016	CMP
bc1016##Sulfate##Microbe##D-Glucose_e0	0.0	0.0	bc1016	Sulfate
bc1016##Acetate##Microbe##D-Glucose_e0	0.0	0.0	bc1016	Acetate
bc1016##Putrescine##Microbe##D-Glucose_e0	0.0	0.0	bc1016	Putrescine
bc1016##L-Phenylalanine##Microbe##D-Glucose_e0	0.0	0.0	bc1016	L-Phenylalanine
bc1016##Oxidized glutathione##Microbe##D-Glucose_e0	0.0	0.0	bc1016	Oxidized glutathione
bc1016##2-Oxoglutarate##Microbe##D-Glucose_e0	0.0	0.0	bc1016	2-Oxoglutarate
bc1016##Uridine##Microbe##D-Glucose_e0	0.0	0.0	bc1016	Uridine
bc1016##Ca2+##Microbe##D-Glucose_e0	0.0	0.0	bc1016	Ca2+
bc1016##L-Tyrosine##Microbe##D-Glucose_e0	0.0	0.0	bc1016	L-Tyrosine
bc1016##Spermidine##Microbe##D-Glucose_e0	0.0	0.0	bc1016	Spermidine
bc1016##Pimelate##Microbe##D-Glucose_e0	0.0	0.0	bc1016	Pimelate
bc1016##NH3##Microbe##D-Glucose_e0	0.0	0.0	bc1016	NH3
bc1016##Glucose-1-phosphate##Microbe##D-Glucose_e0	0.0	0.0	bc1016	Glucose-1-phosphate
bc1016##Cl-##Microbe##D-Glucose_e0	0.0	0.0	bc1016	Cl-
bc1016##BET##Microbe##D-Glucose_e0	0.0	0.0	bc1016	BET
bc1016##1,2-Diacyl-sn-glycerol dioctadecanoyl##Microbe##D-Glucose_e0	0.0	0.0	bc1016	1,2-Diacyl-sn-glycerol dioctadecanoyl
bc1016##fe3##Microbe##D-Glucose_e0	0.0	0.0	bc1016	fe3
bc1016##L-Valine##Microbe##D-Glucose_e0	0.0	0.0	bc1016	L-Valine
bc1016##H+##Microbe##D-Glucose_e0	0.0	0.0	bc1016	H+
bc1016##Cytidine##Microbe##D-Glucose_e0	0.0	0.0	bc1016	Cytidine
bc1016##L-Methionine##Microbe##D-Glucose_e0	0.0	0.0	bc1016	L-Methionine
bc1016##BIOT##Microbe##D-Glucose_e0	0.0	0.0	bc1016	BIOT
bc1016##Glycine##Microbe##D-Glucose_e0	0.0	0.0	bc1016	Glycine
bc1016##L-Isoleucine##Microbe##D-Glucose_e0	0.0	0.0	bc1016	L-Isoleucine
bc1016##ddca##Microbe##D-Glucose_e0	0.0	0.0	bc1016	ddca
bc1016##Myristic acid##Microbe##D-Glucose_e0	0.0	0.0	bc1016	Myristic acid
bc1016##dGTP##Microbe##D-Glucose_e0	0.0	0.0	bc1016	dGTP
bc1016##NADP##Microbe##D-Glucose_e0	0.0	0.0	bc1016	NADP
bc1016##D-Arabinose##Microbe##D-Glucose_e0	0.0	0.0	bc1016	D-Arabinose
bc1016##5-Aminolevulinate##Microbe##D-Glucose_e0	0.0	0.0	bc1016	5-Aminolevulinate
bc1016##TTP##Microbe##D-Glucose_e0	0.0	0.0	bc1016	TTP
bc1016##GTP##Microbe##D-Glucose_e0	0.0	0.0	bc1016	GTP
bc1016##hexadecenoate##Microbe##D-Glucose_e0	0.0	0.0	bc1016	hexadecenoate
bc1016##Formate##Microbe##D-Glucose_e0	0.0	0.0	bc1016	Formate
bc1016##CoA##Microbe##D-Glucose_e0	0.0	0.0	bc1016	CoA
bc1016##Cu2+##Microbe##D-Glucose_e0	0.0	0.0	bc1016	Cu2+
bc1016##L-Asparagine##Microbe##D-Glucose_e0	0.0	0.0	bc1016	L-Asparagine
bc1016##L-Lysine##Microbe##D-Glucose_e0	0.0	0.0	bc1016	L-Lysine
bc1016##L-Serine##Microbe##D-Glucose_e0	0.0	0.0	bc1016	L-Serine
bc1016##Citrate##Microbe##D-Glucose_e0	0.0	0.0	bc1016	Citrate
bc1016##Thiamin##Microbe##D-Glucose_e0	0.0	0.0	bc1016	Thiamin
bc1016##S-Adenosyl-L-methionine##Microbe##D-Glucose_e0	0.0	0.0	bc1016	S-Adenosyl-L-methionine
bc1016##Niacin##Microbe##D-Glucose_e0	0.0	0.0	bc1016	Niacin
bc1016##dATP##Microbe##D-Glucose_e0	0.0	0.0	bc1016	dATP
bc1016##L-Lactate##Microbe##D-Glucose_e0	0.0	0.0	bc1016	L-Lactate
bc1016##Mg##Microbe##D-Glucose_e0	0.0	0.0	bc1016	Mg
bc1016##Folate##Microbe##D-Glucose_e0	0.0	0.0	bc1016	Folate
bc1016##CO2##Microbe##D-Glucose_e0	0.0	0.0	bc1016	CO2
bc1016##H2O##Microbe##D-Glucose_e0	0.0	0.0	bc1016	H2O
bc1016##Heme##Microbe##D-Glucose_e0	0.0	0.0	bc1016	Heme
bc1016##meso-2,6-Diaminopimelate##Microbe##D-Glucose_e0	0.0	0.0	bc1016	meso-2,6-Diaminopimelate
bc1016##O2##Microbe##D-Glucose_e0	0.0	0.0	bc1016	O2
bc1016##L-Tryptophan##Microbe##D-Glucose_e0	0.0	0.0	bc1016	L-Tryptophan
bc1016##Chitobiose##Microbe##D-Glucose_e0	0.0	0.0	bc1016	Chitobiose
bc1016##L-Threonine##Microbe##D-Glucose_e0	0.0	0.0	bc1016	L-Threonine
O2##bc1003##Metabolite##None	-0.15297633046741732	0.0	O2	bc1003
bc1003##dATP##Microbe##O2_e0	0.0017319514074685962	0.0	bc1003	dATP
bc1003##Co2+##Microbe##O2_e0	0.00042927593094238683	0.0	bc1003	Co2+
bc1003##Deoxycytidine##Microbe##O2_e0	0.0031688731750682303	0.0	bc1003	Deoxycytidine
bc1003##Mg##Microbe##O2_e0	0.0004292759309417511	0.0	bc1003	Mg
bc1003##L-Aspartate##Microbe##O2_e0	0.030722359888708143	0.0	bc1003	L-Aspartate
bc1003##5-Aminolevulinate##Microbe##O2_e0	0.0034342074475198743	0.0	bc1003	5-Aminolevulinate
bc1003##Glycine##Microbe##O2_e0	0.0767101812372719	0.0	bc1003	Glycine
bc1003##Chorismate##Microbe##O2_e0	0.0008585518618862887	0.0	bc1003	Chorismate
bc1003##Folate##Microbe##O2_e0	0.0012878277928207147	0.0	bc1003	Folate
bc1003##L-Histidine##Microbe##O2_e0	0.012125454678913603	0.0	bc1003	L-Histidine
bc1003##Myristic acid##Microbe##O2_e0	0.019130147303045443	0.0	bc1003	Myristic acid
bc1003##Heme##Microbe##O2_e0	0.00042927593094293587	0.0	bc1003	Heme
bc1003##L-Proline##Microbe##O2_e0	0.028201900208262395	0.0	bc1003	L-Proline
bc1003##Oxidized glutathione##Microbe##O2_e0	0.00021463796547111584	0.0	bc1003	Oxidized glutathione
bc1003##L-Arginine##Microbe##O2_e0	0.03773877467482258	0.0	bc1003	L-Arginine
bc1003##CMP##Microbe##O2_e0	0.012865862501867859	0.0	bc1003	CMP
bc1003##Thiamin##Microbe##O2_e0	0.0004292759309436537	0.0	bc1003	Thiamin
bc1003##Mn2+##Microbe##O2_e0	0.00042927593094220853	0.0	bc1003	Mn2+
bc1003##GTP##Microbe##O2_e0	0.020714038628005693	0.0	bc1003	GTP
bc1003##L-Alanine##Microbe##O2_e0	0.06928986062036441	0.0	bc1003	L-Alanine
bc1003##H+##Microbe##O2_e0	-0.7796113582637348	0.0	bc1003	H+
bc1003##Sulfate##Microbe##O2_e0	0.00042927593094232145	0.0	bc1003	Sulfate
bc1003##L-Tyrosine##Microbe##O2_e0	0.01846066414598729	0.0	bc1003	L-Tyrosine
bc1003##L-Lysine##Microbe##O2_e0	0.04366526095047156	0.0	bc1003	L-Lysine
bc1003##AMP##Microbe##O2_e0	0.0164250039465099	0.0	bc1003	AMP
bc1003##L-Glutamate##Microbe##O2_e0	0.03905843488115722	0.0	bc1003	L-Glutamate
bc1003##Riboflavin##Microbe##O2_e0	0.0012878277928317255	0.0	bc1003	Riboflavin
bc1003##UMP##Microbe##O2_e0	0.01432440743295375	0.0	bc1003	UMP
bc1003##BIOT##Microbe##O2_e0	0.0004292759309420031	0.0	bc1003	BIOT
bc1003##1,2-Diacyl-sn-glycerol dioctadecanoyl##Microbe##O2_e0	0.019058002322127163	0.0	bc1003	1,2-Diacyl-sn-glycerol dioctadecanoyl
bc1003##CO2##Microbe##O2_e0	-1.1007472795857265	0.0	bc1003	CO2
bc1003##dGTP##Microbe##O2_e0	0.002739597244127022	0.0	bc1003	dGTP
bc1003##Putrescine##Microbe##O2_e0	0.0004292759309299804	0.0	bc1003	Putrescine
bc1003##L-Glutamine##Microbe##O2_e0	0.03265674983488622	0.0	bc1003	L-Glutamine
bc1003##Ala-Ala##Microbe##O2_e0	0.0038260294606103575	0.0	bc1003	Ala-Ala
bc1003##fe3##Microbe##O2_e0	0.0012878277928243533	0.0	bc1003	fe3
bc1003##CoA##Microbe##O2_e0	0.0008585518618831928	0.0	bc1003	CoA
bc1003##Zn2+##Microbe##O2_e0	0.00042927593094197245	0.0	bc1003	Zn2+
bc1003##4-Hydroxybenzoate##Microbe##O2_e0	0.0004292759309373705	0.0	bc1003	4-Hydroxybenzoate
bc1003##NADP##Microbe##O2_e0	0.0008585518618814152	0.0	bc1003	NADP
bc1003##Nicotinamide ribonucleotide##Microbe##O2_e0	0.00042927593094244234	0.0	bc1003	Nicotinamide ribonucleotide
bc1003##Spermidine##Microbe##O2_e0	0.0004292759309391207	0.0	bc1003	Spermidine
bc1003##L-Threonine##Microbe##O2_e0	0.032289132122502215	0.0	bc1003	L-Threonine
bc1003##ddca##Microbe##O2_e0	0.0038260294606114326	0.0	bc1003	ddca
bc1003##N-Acetyl-D-glucosamine##Microbe##O2_e0	0.013443922141698025	0.0	bc1003	N-Acetyl-D-glucosamine
bc1003##BET##Microbe##O2_e0	0.0008585518618818924	0.0	bc1003	BET
bc1003##L-Isoleucine##Microbe##O2_e0	0.036989448823877384	0.0	bc1003	L-Isoleucine
bc1003##L-Tryptophan##Microbe##O2_e0	0.007220776381825903	0.0	bc1003	L-Tryptophan
bc1003##Acetate##Microbe##O2_e0	-0.8896432010027602	0.0	bc1003	Acetate
bc1003##Niacin##Microbe##O2_e0	-0.00042927593094102816	0.0	bc1003	Niacin
bc1003##Ca2+##Microbe##O2_e0	0.0004292759309402648	0.0	bc1003	Ca2+
bc1003##PPi##Microbe##O2_e0	-0.0028235467983611035	0.0	bc1003	PPi
bc1003##L-Phenylalanine##Microbe##O2_e0	0.02363782457069111	0.0	bc1003	L-Phenylalanine
bc1003##K+##Microbe##O2_e0	0.00042927593094156457	0.0	bc1003	K+
bc1003##Formate##Microbe##O2_e0	0.00042927593094046817	0.0	bc1003	Formate
bc1003##Glycerol##Microbe##O2_e0	0.009529001161064466	0.0	bc1003	Glycerol
bc1003##L-Asparagine##Microbe##O2_e0	0.03072235988870932	0.0	bc1003	L-Asparagine
bc1003##O2##Microbe##O2_e0	1.000000000000005	0.0	bc1003	O2
bc1003##D-Arabinose##Microbe##O2_e0	0.01147808838182543	0.0	bc1003	D-Arabinose
bc1003##TTP##Microbe##O2_e0	0.0017319514074675673	0.0	bc1003	TTP
bc1003##S-Adenosyl-L-methionine##Microbe##O2_e0	0.0012878277928241632	0.0	bc1003	S-Adenosyl-L-methionine
bc1003##TRHL##Microbe##O2_e0	0.009061045261647	0.0	bc1003	TRHL
bc1003##D-Glucose##Microbe##O2_e0	0.5490988420218013	0.0	bc1003	D-Glucose
bc1003##Cu2+##Microbe##O2_e0	0.0004292759309409354	0.0	bc1003	Cu2+
bc1003##L-Cysteine##Microbe##O2_e0	0.011648610955585732	0.0	bc1003	L-Cysteine
bc1003##Pyridoxal##Microbe##O2_e0	0.0004292759309415841	0.0	bc1003	Pyridoxal
bc1003##Deoxyguanosine##Microbe##O2_e0	0.00042927593094481154	0.0	bc1003	Deoxyguanosine
bc1003##Cl-##Microbe##O2_e0	0.00042927593093949326	0.0	bc1003	Cl-
bc1003##Nitrite##Microbe##O2_e0	0.00014309197696115588	0.0	bc1003	Nitrite
bc1003##L-Leucine##Microbe##O2_e0	0.05742560839508149	0.0	bc1003	L-Leucine
bc1003##L-Valine##Microbe##O2_e0	0.05388334073607267	0.0	bc1003	L-Valine
bc1003##L-Serine##Microbe##O2_e0	0.032646350868788004	0.0	bc1003	L-Serine
bc1003##meso-2,6-Diaminopimelate##Microbe##O2_e0	0.0038260294606118623	0.0	bc1003	meso-2,6-Diaminopimelate
