	Source	Target	SourceType	Weight	Cofactor	Match	ABS_Weight	Sign_Weight	ABSRootWeight	SignedRootWeight
0	Riboflavin	Akkermansia_muciniphilaYL44	Metabolite	126.68907411791248	None	-1	126.68907411791248	1.0	11.255624110546357	11.255624110546357
9	Akkermansia_muciniphilaYL44	Phosphate-e0	Microbe	-127.45775495913225	Riboflavin	0	127.45775495913225	-1.0	11.289718993807252	-11.289718993807252
11	Akkermansia_muciniphilaYL44	L-Glutamate-e0	Microbe	-1.0	L-Glutamate-e0	1	1.0	-1.0	1.0	-1.0
12	Akkermansia_muciniphilaYL44	Mn2+-e0	Microbe	-0.9241112603224143	Riboflavin	0	0.9241112603224143	-1.0	0.9613070582922058	-0.9613070582922058
13	Akkermansia_muciniphilaYL44	Zn2+-e0	Microbe	-0.9241112603215448	Riboflavin	0	0.9241112603215448	-1.0	0.9613070582917536	-0.9613070582917536
16	Akkermansia_muciniphilaYL44	L-Lysine-e0	Microbe	-41.26899935766771	Riboflavin	0	41.26899935766771	-1.0	6.424095217045565	-6.424095217045565
17	Akkermansia_muciniphilaYL44	L-Aspartate-e0	Microbe	-0.9999999999999999	L-Aspartate-e0	1	0.9999999999999999	-1.0	0.9999999999999999	-0.9999999999999999
20	Akkermansia_muciniphilaYL44	L-Arginine-e0	Microbe	-35.57235834201699	Riboflavin	0	35.57235834201699	-1.0	5.964256730055891	-5.964256730055891
22	Akkermansia_muciniphilaYL44	L-Glutamine-e0	Microbe	0.5000000000005849	L-Glutamate-e0	0	0.5000000000005849	1.0	0.7071067811869611	0.7071067811869611
35	Akkermansia_muciniphilaYL44	L-Glutamine-e0	Microbe	-0.9999999999986438	D-Glucose-e0	0	0.9999999999986438	-1.0	0.9999999999993219	-0.9999999999993219
46	Akkermansia_muciniphilaYL44	L-Glutamine-e0	Microbe	-648.9879403265027	Riboflavin	0	648.9879403265027	-1.0	25.475241712818008	-25.475241712818008
52	Akkermansia_muciniphilaYL44	L-Histidine-e0	Microbe	-11.3932820312458	Riboflavin	0	11.3932820312458	-1.0	3.375393611306065	-3.375393611306065
55	Akkermansia_muciniphilaYL44	L-Proline-e0	Microbe	-26.584324739588403	Riboflavin	0	26.584324739588403	-1.0	5.1559989080282405	-5.1559989080282405
56	Akkermansia_muciniphilaYL44	Co2+-e0	Microbe	-0.9241112603202026	Riboflavin	0	0.9241112603202026	-1.0	0.9613070582910554	-0.9613070582910554
59	Akkermansia_muciniphilaYL44	L-Threonine-e0	Microbe	-74.99313011387751	Riboflavin	0	74.99313011387751	-1.0	8.659857395701012	-8.659857395701012
62	Akkermansia_muciniphilaYL44	H+-e0	Microbe	0.999999999999729	L-Glutamate-e0	0	0.999999999999729	1.0	0.9999999999998644	0.9999999999998644
63	Akkermansia_muciniphilaYL44	H+-e0	Microbe	-2.0000000000000857	L-Aspartate-e0	0	2.0000000000000857	-1.0	1.4142135623731253	-1.4142135623731253
67	Akkermansia_muciniphilaYL44	H+-e0	Microbe	-2.0000000000003273	Neu5Ac-e0	0	2.0000000000003273	-1.0	1.4142135623732108	-1.4142135623732108
74	Akkermansia_muciniphilaYL44	H+-e0	Microbe	-0.9999999999994931	L-Serine-e0	0	0.9999999999994931	-1.0	0.9999999999997465	-0.9999999999997465
77	Akkermansia_muciniphilaYL44	H+-e0	Microbe	335.0632705543063	Riboflavin	0	335.0632705543063	1.0	18.304733555949575	18.304733555949575
83	Akkermansia_muciniphilaYL44	L-Alanine-e0	Microbe	-0.9999999999999997	L-Alanine-e0	1	0.9999999999999997	-1.0	0.9999999999999998	-0.9999999999999998
86	Akkermansia_muciniphilaYL44	L-Cysteine-e0	Microbe	-12.013505963411399	Riboflavin	0	12.013505963411399	-1.0	3.4660504848330467	-3.4660504848330467
93	Akkermansia_muciniphilaYL44	Inosine-e0	Microbe	-60.08478561400297	Riboflavin	0	60.08478561400297	-1.0	7.751437648204555	-7.751437648204555
95	Akkermansia_muciniphilaYL44	Adenosine-e0	Microbe	1.0000000000072082	Riboflavin	0	1.0000000000072082	1.0	1.000000000003604	1.000000000003604
96	Akkermansia_muciniphilaYL44	Neu5Ac-e0	Microbe	-1.000000000000001	Neu5Ac-e0	1	1.000000000000001	-1.0	1.0000000000000004	-1.0000000000000004
98	Akkermansia_muciniphilaYL44	Acetate-e0	Microbe	-0.99999999999764	L-Glutamate-e0	0	0.99999999999764	-1.0	0.9999999999988199	-0.9999999999988199
99	Akkermansia_muciniphilaYL44	Acetate-e0	Microbe	1.9999999999983054	L-Aspartate-e0	0	1.9999999999983054	1.0	1.4142135623724958	1.4142135623724958
102	Akkermansia_muciniphilaYL44	Acetate-e0	Microbe	0.9999999999979052	L-Alanine-e0	0	0.9999999999979052	1.0	0.9999999999989526	0.9999999999989526
103	Akkermansia_muciniphilaYL44	Acetate-e0	Microbe	7.999999999995446	Neu5Ac-e0	0	7.999999999995446	1.0	2.828427124745385	2.828427124745385
109	Akkermansia_muciniphilaYL44	Acetate-e0	Microbe	1.9999999999948368	L-Serine-e0	0	1.9999999999948368	1.0	1.4142135623712695	1.4142135623712695
111	Akkermansia_muciniphilaYL44	Acetate-e0	Microbe	4.000000000004884	D-Glucose-e0	0	4.000000000004884	1.0	2.000000000001221	2.000000000001221
122	Akkermansia_muciniphilaYL44	Acetate-e0	Microbe	-2496.7631749972984	Riboflavin	0	2496.7631749972984	-1.0	49.967621266148925	-49.967621266148925
129	Akkermansia_muciniphilaYL44	L-Asparagine-e0	Microbe	-28.989573168387217	Riboflavin	0	28.989573168387217	-1.0	5.384196613087901	-5.384196613087901
130	Akkermansia_muciniphilaYL44	Ca2+-e0	Microbe	-0.9241112603218471	Riboflavin	0	0.9241112603218471	-1.0	0.9613070582919108	-0.9613070582919108
131	Akkermansia_muciniphilaYL44	Cu2+-e0	Microbe	-0.9241112603195222	Riboflavin	0	0.9241112603195222	-1.0	0.9613070582907015	-0.9613070582907015
132	Akkermansia_muciniphilaYL44	Fe2+-e0	Microbe	-2.848222520623119	Riboflavin	0	2.848222520623119	-1.0	1.6876677755479954	-1.6876677755479954
138	Akkermansia_muciniphilaYL44	Glycine-e0	Microbe	1.999999999997644	L-Glutamate-e0	0	1.999999999997644	1.0	1.414213562372262	1.414213562372262
139	Akkermansia_muciniphilaYL44	Glycine-e0	Microbe	-1.999999999998314	L-Aspartate-e0	0	1.999999999998314	-1.0	1.414213562372499	-1.414213562372499
142	Akkermansia_muciniphilaYL44	Glycine-e0	Microbe	-7.9999999999954525	Neu5Ac-e0	0	7.9999999999954525	-1.0	2.828427124745386	-2.828427124745386
148	Akkermansia_muciniphilaYL44	Glycine-e0	Microbe	-1.9999999999948441	L-Serine-e0	0	1.9999999999948441	-1.0	1.4142135623712722	-1.4142135623712722
150	Akkermansia_muciniphilaYL44	Glycine-e0	Microbe	-4.000000000004894	D-Glucose-e0	0	4.000000000004894	-1.0	2.0000000000012235	-2.0000000000012235
161	Akkermansia_muciniphilaYL44	Glycine-e0	Microbe	2495.839063736981	Riboflavin	0	2495.839063736981	1.0	49.95837330955624	49.95837330955624
169	Akkermansia_muciniphilaYL44	L-Methionine-e0	Microbe	-19.982435295085036	Riboflavin	0	19.982435295085036	-1.0	4.4701717299322	-4.4701717299322
171	Akkermansia_muciniphilaYL44	Sulfate-e0	Microbe	-0.9241112603177805	Riboflavin	0	0.9241112603177805	-1.0	0.9613070582897956	-0.9613070582897956
173	Akkermansia_muciniphilaYL44	Succinate-e0	Microbe	0.4999999999994505	L-Glutamate-e0	0	0.4999999999994505	1.0	0.707106781186159	0.707106781186159
187	Akkermansia_muciniphilaYL44	Succinate-e0	Microbe	0.999999999998793	D-Glucose-e0	0	0.999999999998793	1.0	0.9999999999993965	0.9999999999993965
198	Akkermansia_muciniphilaYL44	Succinate-e0	Microbe	602.5348441503561	Riboflavin	0	602.5348441503561	1.0	24.546585183083128	24.546585183083128
204	Akkermansia_muciniphilaYL44	Cl--e0	Microbe	-0.9241112603204593	Riboflavin	0	0.9241112603204593	-1.0	0.9613070582911889	-0.9613070582911889
209	Akkermansia_muciniphilaYL44	K+-e0	Microbe	-0.924111260319734	Riboflavin	0	0.924111260319734	-1.0	0.9613070582908116	-0.9613070582908116
210	Akkermansia_muciniphilaYL44	Mg-e0	Microbe	-0.9241112603215105	Riboflavin	0	0.9241112603215105	-1.0	0.9613070582917357	-0.9613070582917357
213	Akkermansia_muciniphilaYL44	L-Serine-e0	Microbe	-1.0000000000000004	L-Serine-e0	1	1.0000000000000004	-1.0	1.0000000000000002	-1.0000000000000002
219	Akkermansia_muciniphilaYL44	D-Glucose-e0	Microbe	-0.9999999999999998	D-Glucose-e0	1	0.9999999999999998	-1.0	0.9999999999999999	-0.9999999999999999
226	Akkermansia_muciniphilaYL44	NH3-e0	Microbe	-1.999999999998321	L-Glutamate-e0	0	1.999999999998321	-1.0	1.4142135623725014	-1.4142135623725014
227	Akkermansia_muciniphilaYL44	NH3-e0	Microbe	2.999999999998522	L-Aspartate-e0	0	2.999999999998522	1.0	1.7320508075684506	1.7320508075684506
230	Akkermansia_muciniphilaYL44	NH3-e0	Microbe	0.9999999999983734	L-Alanine-e0	0	0.9999999999983734	1.0	0.9999999999991867	0.9999999999991867
231	Akkermansia_muciniphilaYL44	NH3-e0	Microbe	8.999999999996431	Neu5Ac-e0	0	8.999999999996431	1.0	2.9999999999994054	2.9999999999994054
239	Akkermansia_muciniphilaYL44	NH3-e0	Microbe	2.999999999996222	L-Serine-e0	0	2.999999999996222	1.0	1.7320508075677867	1.7320508075677867
