	Source	Target	SourceType	Weight	ABS_Weight	Sign_Weight	ABSRootWeight	SignedRootWeight
0	Akkermansia_muciniphilaYL44	5'-Deoxyadenosine-e0	Microbe	1.499999999876301	1.499999999876301	1.0	1.2247448713410891	1.2247448713410891
1	Akkermansia_muciniphilaYL44	L-Phenylalanine	Microbe	38.59195172740765	38.59195172740765	1.0	6.212242085383315	6.212242085383315
2	Akkermansia_muciniphilaYL44	L-Glutamate-e0	Microbe	80.28848669792333	80.28848669792333	1.0	8.960384294098292	8.960384294098292
3	Akkermansia_muciniphilaYL44	NH3-e0	Microbe	1978.791418757499	1978.791418757499	1.0	44.48360842779618	44.48360842779618
4	Akkermansia_muciniphilaYL44	Mg-e0	Microbe	-0.9241112603278052	0.9241112603278052	-1.0	0.9613070582950097	-0.9613070582950097
5	Akkermansia_muciniphilaYL44	L-Asparagine-e0	Microbe	-28.989573168570267	28.989573168570267	-1.0	5.3841966131048995	-5.3841966131048995
6	Akkermansia_muciniphilaYL44	Ca2+-e0	Microbe	-0.9241112603276058	0.9241112603276058	-1.0	0.961307058294906	-0.961307058294906
7	Akkermansia_muciniphilaYL44	Glycine-e0	Microbe	-70.54945194284934	70.54945194284934	-1.0	8.39937211598875	-8.39937211598875
8	Akkermansia_muciniphilaYL44	Folate	Microbe	-0.9999999999999994	0.9999999999999994	-1.0	0.9999999999999997	-0.9999999999999997
9	Akkermansia_muciniphilaYL44	D-Glucose-e0	Microbe	-1.0000000000000004	1.0000000000000004	-1.0	1.0000000000000002	-1.0000000000000002
10	Akkermansia_muciniphilaYL44	H2-e0	Microbe	-155.83267223949736	155.83267223949736	-1.0	12.483295728272136	-12.483295728272136
11	Akkermansia_muciniphilaYL44	O2-e0	Microbe	-0.9999999999999992	0.9999999999999992	-1.0	0.9999999999999996	-0.9999999999999996
12	Akkermansia_muciniphilaYL44	Mn2+-e0	Microbe	-0.924111260327051	0.924111260327051	-1.0	0.9613070582946175	-0.9613070582946175
13	Akkermansia_muciniphilaYL44	L-Methionine-e0	Microbe	-19.98243529522697	19.98243529522697	-1.0	4.470171729948076	-4.470171729948076
14	Akkermansia_muciniphilaYL44	Neu5Ac-e0	Microbe	-6.992697026144207	6.992697026144207	-1.0	2.644370818577494	-2.644370818577494
15	Akkermansia_muciniphilaYL44	K+-e0	Microbe	-0.9241112603294297	0.9241112603294297	-1.0	0.9613070582958546	-0.9613070582958546
16	Akkermansia_muciniphilaYL44	PAN	Microbe	-1.0000000000267115	1.0000000000267115	-1.0	1.0000000000133558	-1.0000000000133558
17	Akkermansia_muciniphilaYL44	CO2-e0	Microbe	3184.232862484213	3184.232862484213	1.0	56.429007278918284	56.429007278918284
18	Akkermansia_muciniphilaYL44	Fe2+-e0	Microbe	-2.8482225206376715	2.8482225206376715	-1.0	1.6876677755523068	-1.6876677755523068
19	Akkermansia_muciniphilaYL44	L-Tyrosine	Microbe	-17.083554956539086	17.083554956539086	-1.0	4.133225732589389	-4.133225732589389
20	Akkermansia_muciniphilaYL44	Co2+-e0	Microbe	-0.92411126032594	0.92411126032594	-1.0	0.9613070582940396	-0.9613070582940396
21	Akkermansia_muciniphilaYL44	L-Lysine-e0	Microbe	-41.26899935790108	41.26899935790108	-1.0	6.424095217063729	-6.424095217063729
22	Akkermansia_muciniphilaYL44	L-Alanine-e0	Microbe	164.69692365010187	164.69692365010187	1.0	12.833429925398036	12.833429925398036
23	Akkermansia_muciniphilaYL44	L-Threonine-e0	Microbe	-74.99313011433105	74.99313011433105	-1.0	8.659857395727197	-8.659857395727197
24	Akkermansia_muciniphilaYL44	Acetate-e0	Microbe	-10.663146015407069	10.663146015407069	-1.0	3.2654472917821025	-3.2654472917821025
25	Akkermansia_muciniphilaYL44	Sulfate-e0	Microbe	-0.9241112603231785	0.9241112603231785	-1.0	0.9613070582926032	-0.9613070582926032
26	Akkermansia_muciniphilaYL44	Zn2+-e0	Microbe	-0.9241112603267382	0.9241112603267382	-1.0	0.9613070582944547	-0.9613070582944547
27	Akkermansia_muciniphilaYL44	Cl--e0	Microbe	-0.9241112603270428	0.9241112603270428	-1.0	0.9613070582946132	-0.9613070582946132
28	Akkermansia_muciniphilaYL44	H2S-e0	Microbe	1.0000000000567661	1.0000000000567661	1.0	1.000000000028383	1.000000000028383
29	Akkermansia_muciniphilaYL44	Cu2+-e0	Microbe	-0.9241112603273238	0.9241112603273238	-1.0	0.9613070582947594	-0.9613070582947594
30	Akkermansia_muciniphilaYL44	Formate-e0-e0	Microbe	0.49999999986707777	0.49999999986707777	1.0	0.7071067810925573	0.7071067810925573
31	Akkermansia_muciniphilaYL44	Riboflavin	Microbe	-0.9999999999999313	0.9999999999999313	-1.0	0.9999999999999656	-0.9999999999999656
32	Akkermansia_muciniphilaYL44	Uracil	Microbe	-39.64223087794716	39.64223087794716	-1.0	6.29620765842004	-6.29620765842004
33	Akkermansia_muciniphilaYL44	L-Arginine-e0	Microbe	-35.5723583422311	35.5723583422311	-1.0	5.96425673007384	-5.96425673007384
34	Riboflavin	Akkermansia_muciniphilaYL44	Metabolite	126.68907411871575	126.68907411871575	1.0	11.25562411058204	11.25562411058204
35	Akkermansia_muciniphilaYL44	galactose	Microbe	678.3913123970119	678.3913123970119	1.0	26.04594617972271	26.04594617972271
36	Akkermansia_muciniphilaYL44	L-Aspartate-e0	Microbe	-2712.3962740550705	2712.3962740550705	-1.0	52.08067082954165	-52.08067082954165
37	Akkermansia_muciniphilaYL44	Inosine-e0	Microbe	-59.08478561442173	59.08478561442173	-1.0	7.686662839907949	-7.686662839907949
38	Akkermansia_muciniphilaYL44	Adenosine-e0	Microbe	1.0000000000100675	1.0000000000100675	1.0	1.0000000000050338	1.0000000000050338
39	Akkermansia_muciniphilaYL44	L-Histidine-e0	Microbe	-11.393282031315447	11.393282031315447	-1.0	3.3753936113163823	-3.3753936113163823
40	Akkermansia_muciniphilaYL44	L-Cysteine-e0	Microbe	-13.013505963550259	13.013505963550259	-1.0	3.607423729415531	-3.607423729415531
41	Akkermansia_muciniphilaYL44	Phosphate-e0	Microbe	-127.45775496050544	127.45775496050544	-1.0	11.28971899386807	-11.28971899386807
42	Akkermansia_muciniphilaYL44	Succinate-e0	Microbe	-125.74158287433252	125.74158287433252	-1.0	11.213455438638553	-11.213455438638553
43	Akkermansia_muciniphilaYL44	L-Proline-e0	Microbe	-26.58432473974728	26.58432473974728	-1.0	5.155998908043647	-5.155998908043647
44	Akkermansia_muciniphilaYL44	H+-e0	Microbe	-5022.306234654232	5022.306234654232	-1.0	70.86823149094545	-70.86823149094545
