	0.0000-0.0000	0.0067-0.0071	0.0071-0.0078	0.0078-0.0113	0.0113-0.0176	0.0176-0.2807	0.2807-0.3068	0.3068-0.3069	0.3069-0.3069	0.3131-0.3131	0.3135-20.0000	Source	Target
Riboflavin##Akkermansia_muciniphilaYL44##Metabolite##None	126.6890741174977	126.68907411699925	126.6890741172843	126.68907411804412	126.68907411780162	126.68907411749326	126.68907411814955	126.68907411871575	126.68907411780111	126.68907411782392	126.68907411805017	Riboflavin	Akkermansia_muciniphilaYL44
Akkermansia_muciniphilaYL44##H2O-e0##Microbe##O2-e0	2.5925925925937516	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Akkermansia_muciniphilaYL44	H2O-e0
Akkermansia_muciniphilaYL44##H2O-e0##Microbe##Folate	4.3333333333382225	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Akkermansia_muciniphilaYL44	H2O-e0
Akkermansia_muciniphilaYL44##H2O-e0##Microbe##Riboflavin	-2356.873604597686	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Akkermansia_muciniphilaYL44	H2O-e0
Akkermansia_muciniphilaYL44##Phosphate-e0##Microbe##Riboflavin	-127.457754959254	-127.45775496207834	-127.45775495884563	-127.45775495928314	-127.45775495914046	-127.45775495895064	-127.45775495942273	-127.45775496050544	-127.45775495912662	-127.45775495914997	-127.45775495928224	Akkermansia_muciniphilaYL44	Phosphate-e0
Akkermansia_muciniphilaYL44##L-Glutamate-e0##Microbe##O2-e0	0.1481481481487858	-0.5000000000017756	0.39999999999979113	-0.6666666666637425	-0.4999999999969778	-0.6666666666653032	-0.49999999999991535	-0.6666666666668303	-0.5000000000001749	-0.500000000000206	0.0	Akkermansia_muciniphilaYL44	L-Glutamate-e0
Akkermansia_muciniphilaYL44##L-Glutamate-e0##Microbe##Folate	1.3333333333375974	0.2499999999958866	2.466666666665791	-0.6666666666581051	0.2500000000067456	0.6666666666711444	1.2500000000001328	0.0	1.2499999999977869	1.2499999999978497	4.999999999996445	Akkermansia_muciniphilaYL44	L-Glutamate-e0
Akkermansia_muciniphilaYL44##L-Glutamate-e0##Microbe##Riboflavin	-1819.4775094583138	-1230.2591083049288	-2367.934369859716	-897.1485720486645	-1230.2591083106186	-712.5382630876856	-262.6535180124833	80.95515336459016	-263.52760514015296	-259.9004999473606	-1297.9758806549237	Akkermansia_muciniphilaYL44	L-Glutamate-e0
Akkermansia_muciniphilaYL44##Mn2+-e0##Microbe##Riboflavin	-0.9241112603184295	-0.9241112603150482	-0.9241112603167487	-0.9241112603225186	-0.9241112603206025	-0.9241112603184998	-0.9241112603229661	-0.924111260327051	-0.9241112603205108	-0.9241112603206738	-0.9241112603219835	Akkermansia_muciniphilaYL44	Mn2+-e0
Akkermansia_muciniphilaYL44##Zn2+-e0##Microbe##Riboflavin	-0.9241112603199275	-0.9241112603147061	-0.9241112603189258	-0.924111260322394	-0.9241112603214308	-0.9241112603191503	-0.9241112603236789	-0.9241112603267382	-0.9241112603211394	-0.9241112603213313	-0.9241112603238925	Akkermansia_muciniphilaYL44	Zn2+-e0
Akkermansia_muciniphilaYL44##L-Lysine-e0##Microbe##Riboflavin	-41.268999357466235	-41.26899935732852	-41.26899935739493	-41.26899935768046	-41.26899935758853	-41.268999357469426	-41.268999357704615	-41.26899935790108	-41.26899935757299	-41.26899935758323	-41.268999357630044	Akkermansia_muciniphilaYL44	L-Lysine-e0
Akkermansia_muciniphilaYL44##L-Aspartate-e0##Microbe##Riboflavin	-333.91602467723874	-333.91602467613734	-333.9160246766235	-333.9160246783047	-333.91602467780507	-333.91602467716945	-1683.5702599132662	-2714.396274055114	-1680.947998524525	-1684.5751037176417	-2790.2251521189137	Akkermansia_muciniphilaYL44	L-Aspartate-e0
Akkermansia_muciniphilaYL44##L-Arginine-e0##Microbe##Riboflavin	-35.5723583418762	-35.57235834173429	-35.57235834181739	-35.57235834204239	-35.57235834196946	-35.57235834187906	-35.57235834207101	-35.5723583422311	-35.57235834197079	-35.57235834197828	-35.57235834202763	Akkermansia_muciniphilaYL44	L-Arginine-e0
Akkermansia_muciniphilaYL44##L-Histidine-e0##Microbe##Riboflavin	-11.393282031208072	-11.393282031162151	-11.393282031187107	-11.393282031257076	-11.393282031234948	-11.393282031206164	-11.393282031264976	-11.393282031315447	-11.39328203123713	-11.393282031239302	-11.393282031258142	Akkermansia_muciniphilaYL44	L-Histidine-e0
Akkermansia_muciniphilaYL44##L-Proline-e0##Microbe##Riboflavin	-26.584324739477978	-26.584324739380847	-26.584324739432073	-26.584324739604515	-26.584324739547714	-26.584324739472397	-26.584324739620634	-26.58432473974728	-26.58432473954076	-26.584324739548258	-26.58432473958318	Akkermansia_muciniphilaYL44	L-Proline-e0
Akkermansia_muciniphilaYL44##Co2+-e0##Microbe##Riboflavin	-0.9241112603179403	-0.9241112603131775	-0.9241112603169499	-0.9241112603213796	-0.9241112603197993	-0.9241112603174371	-0.924111260322179	-0.92411126032594	-0.9241112603197773	-0.9241112603199094	-0.9241112603222557	Akkermansia_muciniphilaYL44	Co2+-e0
