	Source	Target	Microbe	Weight	ABS_Weight	Sign_Weight	ABSRootWeight	SignedRootWeight
2	Riboflavin	Phosphate-e0	Bacteroides_caecimuris_I48	-127.45775495944667	127.45775495944667	-1.0	11.289718993821179	-11.289718993821179
3	Riboflavin	Mn2+-e0	Bacteroides_caecimuris_I48	-0.9241112603187086	0.9241112603187086	-1.0	0.9613070582902783	-0.9613070582902783
4	Riboflavin	Zn2+-e0	Bacteroides_caecimuris_I48	-0.9241112603174623	0.9241112603174623	-1.0	0.9613070582896301	-0.9613070582896301
17	Riboflavin	Sulfate-e0	Bacteroides_caecimuris_I48	-0.9241112595650534	0.9241112595650534	-1.0	0.9613070578982833	-0.9613070578982833
19	Riboflavin	Co2+-e0	Bacteroides_caecimuris_I48	-0.9241112603172755	0.9241112603172755	-1.0	0.961307058289533	-0.961307058289533
21	Spermidine-e0	Spermidine-e0	Bacteroides_caecimuris_I48	-0.9999999999999999	0.9999999999999999	-1.0	0.9999999999999999	-0.9999999999999999
34	Riboflavin	fe3-e0	Bacteroides_caecimuris_I48	-0.9241112600240609	0.9241112600240609	-1.0	0.9613070581370247	-0.9613070581370247
37	Spermidine-e0	H+-e0	Bacteroides_caecimuris_I48	6.000000000006539	6.000000000006539	1.0	2.449489742784513	2.449489742784513
43	D-Glucose-e0	H+-e0	Bacteroides_caecimuris_I48	3.000000000006003	3.000000000006003	1.0	1.7320508075706103	1.7320508075706103
63	O2-e0	H+-e0	Bacteroides_caecimuris_I48	-0.9999999999921004	0.9999999999921004	-1.0	0.9999999999960502	-0.9999999999960502
70	L-Serine	H+-e0	Bacteroides_caecimuris_I48	0.5000000000001606	0.5000000000001606	1.0	0.7071067811866611	0.7071067811866611
71	Folate	H+-e0	Bacteroides_caecimuris_I48	2.499999999990197	2.499999999990197	1.0	1.5811388300810898	1.5811388300810898
72	Riboflavin	H+-e0	Bacteroides_caecimuris_I48	-2181.342956186451	2181.342956186451	-1.0	46.70484938618741	-46.70484938618741
76	XAN-e0-e0	H+-e0	Bacteroides_caecimuris_I48	-3.499999999993683	3.499999999993683	-1.0	1.8708286933852825	-1.8708286933852825
90	Riboflavin	Uracil-e0	Bacteroides_caecimuris_I48	-39.642230877364824	39.642230877364824	-1.0	6.2962076583737945	-6.2962076583737945
111	Spermidine-e0	L-Aspartate-e0	Bacteroides_caecimuris_I48	0.3333333333357712	0.3333333333357712	1.0	0.577350269191737	0.577350269191737
116	D-Glucose-e0	L-Aspartate-e0	Bacteroides_caecimuris_I48	1.0000000000025449	1.0000000000025449	1.0	1.0000000000012723	1.0000000000012723
136	O2-e0	L-Aspartate-e0	Bacteroides_caecimuris_I48	-0.9999999999966127	0.9999999999966127	-1.0	0.9999999999983064	-0.9999999999983064
143	L-Serine	L-Aspartate-e0	Bacteroides_caecimuris_I48	0.49999999999994016	0.49999999999994016	1.0	0.7071067811865052	0.7071067811865052
144	Folate	L-Aspartate-e0	Bacteroides_caecimuris_I48	4.1666666666578385	4.1666666666578385	1.0	2.0412414523171525	2.0412414523171525
145	Riboflavin	L-Aspartate-e0	Bacteroides_caecimuris_I48	-1381.87768001605	1381.87768001605	-1.0	37.17361537456439	-37.17361537456439
149	XAN-e0-e0	L-Aspartate-e0	Bacteroides_caecimuris_I48	-1.8333333333284392	1.8333333333284392	-1.0	1.3540064007708528	-1.3540064007708528
150	D-Glucose-e0	D-Glucose-e0	Bacteroides_caecimuris_I48	-0.9999999999999993	0.9999999999999993	-1.0	0.9999999999999997	-0.9999999999999997
164	Riboflavin	L-Cysteine-e0	Bacteroides_caecimuris_I48	-13.013505963849322	13.013505963849322	-1.0	3.607423729456982	-3.607423729456982
180	Folate	L-Glutamate-e0	Bacteroides_caecimuris_I48	0.9999999999981439	0.9999999999981439	1.0	0.999999999999072	0.999999999999072
181	Riboflavin	L-Glutamate-e0	Bacteroides_caecimuris_I48	-67.04418553988118	67.04418553988118	-1.0	8.188051388448974	-8.188051388448974
195	Riboflavin	L-Histidine-e0	Bacteroides_caecimuris_I48	-11.393282031325867	11.393282031325867	-1.0	3.3753936113179255	-3.3753936113179255
197	Spermidine-e0	L-Arginine-e0	Bacteroides_caecimuris_I48	1.0000000000001779	1.0000000000001779	1.0	1.0000000000000888	1.0000000000000888
210	Riboflavin	L-Arginine-e0	Bacteroides_caecimuris_I48	-36.57235834205614	36.57235834205614	-1.0	6.0475084408420745	-6.0475084408420745
224	Riboflavin	L-Lysine-e0	Bacteroides_caecimuris_I48	-41.268999357656426	41.268999357656426	-1.0	6.4240952170446874	-6.4240952170446874
