	0.0000-0.0012	0.0727-0.0821	0.0821-0.0985	0.0985-0.1232	0.1246-0.2301	0.2301-0.2302	0.2302-0.2302	0.2302-0.2376	0.2378-0.2431	0.2431-0.2431	0.2431-0.2432	0.2471-19.3033	19.3711-19.3729	19.3729-19.5635	19.5635-19.5759	19.5759-19.5763	19.5909-19.5944	19.6012-19.6200	19.6200-19.8922	19.8922-20.0000	Source	Target
Acutalibacter_muris_KB1##Ca2+-e0##Microbe	-1.412125071952282	-1.412125071952282	-1.412125071952282	-1.412125071952282	-1.412125071952282	-1.412125071952282	-1.412125071952282	-1.412125071952282	-1.412125071952282	-1.412125071952282	-1.412125071952282	-1.412125071952282	-1.4121250719621863	-1.4121250719409173	-1.4121250719233	-1.4121250720508232	-1.412125072004401	-1.4121250719466807	-1.412125071991386	-1.4121250719531062	Acutalibacter_muris_KB1	Ca2+-e0
Bacteroides_caecimuris_I48##L-Serine##Microbe	-797.8186188975216	-2637.764353079918	-2637.7643530825085	-1.0	-0.9999999999999996	-1.0000000000000007	-0.9999999999999999	-1.0	-1.0000000000000007	-1.0000000000000007	-0.9999999999999998	-1.0000000000000004	-1.0000000000000004	-1.0000000000000004	-1.0000000000000004	-1.0000000000000004	-1.0000000000000004	-1.0000000000000004	-1.0000000000000004	-1.0000000000000004	Bacteroides_caecimuris_I48	L-Serine
Bacteroides_caecimuris_I48##H2O-e0##Microbe	-254.94995650631333	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Bacteroides_caecimuris_I48	H2O-e0
Acutalibacter_muris_KB1##PAN##Microbe	-2.0000000000076352	-2.0000000000076352	-2.0000000000076352	-2.0000000000076352	-2.0000000000076352	-2.0000000000076352	-2.0000000000076352	-2.0000000000076352	-2.0000000000076352	-2.0000000000076352	-2.0000000000076352	-2.0000000000076352	-1.9999999999347164	-2.0000000001501013	-2.00000000003203	-1.9999999999416116	-2.000000000018021	-1.9999999999772788	-1.9999999998682922	-1.999999999979988	Acutalibacter_muris_KB1	PAN
Acutalibacter_muris_KB1##CO2-e0##Microbe	7119.69337044713	7119.69337044713	7119.69337044713	7119.69337044713	7119.69337044713	7119.69337044713	7119.69337044713	7119.69337044713	7119.69337044713	7119.69337044713	7119.69337044713	7119.69337044713	-177.39976708860956	-177.3997670912645	-177.39976708703438	22210.218889970787	44513.18752858954	11143.879447162357	44355.101656480874	11161.850754309347	Acutalibacter_muris_KB1	CO2-e0
Acutalibacter_muris_KB1##Fe2+-e0##Microbe	-4.246772178070191	-4.246772178070191	-4.246772178070191	-4.246772178070191	-4.246772178070191	-4.246772178070191	-4.246772178070191	-4.246772178070191	-4.246772178070191	-4.246772178070191	-4.246772178070191	-4.246772178070191	-4.246772178104783	-4.246772177956414	-4.246772178020944	-4.246772177987681	-4.24677217802984	-4.246772178051002	-4.2467721780816134	-4.246772178053459	Acutalibacter_muris_KB1	Fe2+-e0
Bacteroides_caecimuris_I48##L-Tyrosine##Microbe	-17.083554956501292	-17.083554956351403	-17.083554956350152	-0.0816747801699346	-17.08355495661387	-17.083554956613927	-17.083554956533604	-17.083554956628518	-17.08355495660401	-17.08355495673227	-17.083554956664173	-17.08355495669464	-17.08355495669464	-17.08355495669464	-17.08355495669464	-17.08355495669464	-17.08355495669464	-17.08355495669464	-17.08355495669464	-17.08355495669464	Bacteroides_caecimuris_I48	L-Tyrosine
Acutalibacter_muris_KB1##L-Lysine-e0##Microbe	-72.7193238692557	-72.7193238692557	-72.7193238692557	-72.7193238692557	-72.7193238692557	-72.7193238692557	-72.7193238692557	-72.7193238692557	-72.7193238692557	-72.7193238692557	-72.7193238692557	-72.7193238692557	-72.71932386959973	-72.71932386921766	-72.71932386877933	-72.71932386873539	-72.719323869836	-72.71932386913691	-72.71932387027238	-72.71932386916791	Acutalibacter_muris_KB1	L-Lysine-e0
Acutalibacter_muris_KB1##Niacin##Microbe	-2.0000000000011053	-2.0000000000011053	-2.0000000000011053	-2.0000000000011053	-2.0000000000011053	-2.0000000000011053	-2.0000000000011053	-2.0000000000011053	-2.0000000000011053	-2.0000000000011053	-2.0000000000011053	-2.0000000000011053	-2.000000000153339	-1.9999999998008413	-1.9999999999250642	-1.9999999999196718	-1.9999999998526288	-1.999999999930176	-1.9999999997556384	-1.999999999930618	Acutalibacter_muris_KB1	Niacin
Acutalibacter_muris_KB1##Zn2+-e0##Microbe	-1.4121250719209246	-1.4121250719209246	-1.4121250719209246	-1.4121250719209246	-1.4121250719209246	-1.4121250719209246	-1.4121250719209246	-1.4121250719209246	-1.4121250719209246	-1.4121250719209246	-1.4121250719209246	-1.4121250719209246	-1.4121250719893608	-1.4121250719924474	-1.4121250720378606	-1.412125071670942	-1.412125072009072	-1.4121250719556024	-1.4121250718599996	-1.412125071956048	Acutalibacter_muris_KB1	Zn2+-e0
