	Source	Target	Microbe	Weight	ABS_Weight	Sign_Weight	ABSRootWeight	SignedRootWeight
2	Riboflavin	Phosphate-e0	Bacteroides_caecimuris_I48	-127.45775496005396	127.45775496005396	-1.0	11.289718993848073	-11.289718993848073
3	Riboflavin	Mn2+-e0	Bacteroides_caecimuris_I48	-0.9241112603207772	0.9241112603207772	-1.0	0.9613070582913542	-0.9613070582913542
4	Riboflavin	Zn2+-e0	Bacteroides_caecimuris_I48	-0.9241112603197029	0.9241112603197029	-1.0	0.9613070582907955	-0.9613070582907955
17	Folate	Sulfate-e0	Bacteroides_caecimuris_I48	0.06181781926867299	0.06181781926867299	1.0	0.24863189511539543	0.24863189511539543
18	Riboflavin	Sulfate-e0	Bacteroides_caecimuris_I48	-1.016837987635209	1.016837987635209	-1.0	1.0083838493526207	-1.0083838493526207
20	Riboflavin	Co2+-e0	Bacteroides_caecimuris_I48	-0.9241112603192746	0.9241112603192746	-1.0	0.9613070582905727	-0.9613070582905727
22	Spermidine-e0	Spermidine-e0	Bacteroides_caecimuris_I48	-0.9999999999999994	0.9999999999999994	-1.0	0.9999999999999997	-0.9999999999999997
35	Folate	fe3-e0	Bacteroides_caecimuris_I48	-0.07786151279701338	0.07786151279701338	-1.0	0.27903675886343965	-0.27903675886343965
36	Riboflavin	fe3-e0	Bacteroides_caecimuris_I48	-0.8073189907189798	0.8073189907189798	-1.0	0.8985093158776818	-0.8985093158776818
39	Spermidine-e0	H+-e0	Bacteroides_caecimuris_I48	5.666666666682325	5.666666666682325	1.0	2.3804761428509056	2.3804761428509056
45	L-Aspartate-e0	H+-e0	Bacteroides_caecimuris_I48	-0.9999999999909601	0.9999999999909601	-1.0	0.9999999999954801	-0.9999999999954801
46	D-Glucose-e0	H+-e0	Bacteroides_caecimuris_I48	2.000000000016753	2.000000000016753	1.0	1.414213562379018	1.414213562379018
48	L-Asparagine-e0	H+-e0	Bacteroides_caecimuris_I48	-0.999999999988363	0.999999999988363	-1.0	0.9999999999941814	-0.9999999999941814
62	Sucrose-e0	H+-e0	Bacteroides_caecimuris_I48	4.000000000027537	4.000000000027537	1.0	2.0000000000068843	2.0000000000068843
66	Glycerol-e0	H+-e0	Bacteroides_caecimuris_I48	1.000000000007868	1.000000000007868	1.0	1.000000000003934	1.000000000003934
73	Folate	H+-e0	Bacteroides_caecimuris_I48	-2.6476704646684164	2.6476704646684164	-1.0	1.6271663912054035	-1.6271663912054035
74	Riboflavin	H+-e0	Bacteroides_caecimuris_I48	-697.3586388246089	697.3586388246089	-1.0	26.407548898461002	-26.407548898461002
92	Folate	Uracil-e0	Bacteroides_caecimuris_I48	-0.04169463279595782	0.04169463279595782	-1.0	0.20419263648809136	-0.20419263648809136
93	Riboflavin	Uracil-e0	Bacteroides_caecimuris_I48	-39.579688928180936	39.579688928180936	-1.0	6.291239061439403	-6.291239061439403
111	Folate	Na+-e0	Bacteroides_caecimuris_I48	0.33305363969568536	0.33305363969568536	1.0	0.577107996561896	0.577107996561896
112	Riboflavin	Na+-e0	Bacteroides_caecimuris_I48	-0.49958045813730223	0.49958045813730223	-1.0	0.7068100580334877	-0.7068100580334877
115	L-Aspartate-e0	L-Aspartate-e0	Bacteroides_caecimuris_I48	-1.0	1.0	-1.0	1.0	-1.0
116	D-Glucose-e0	D-Glucose-e0	Bacteroides_caecimuris_I48	-1.000000000000002	1.000000000000002	-1.0	1.0000000000000009	-1.0000000000000009
130	Folate	L-Cysteine-e0	Bacteroides_caecimuris_I48	-0.013596100753126308	0.013596100753126308	-1.0	0.11660231881539194	-0.11660231881539194
131	Riboflavin	L-Cysteine-e0	Bacteroides_caecimuris_I48	-11.993111811965413	11.993111811965413	-1.0	3.4631072481177094	-3.4631072481177094
147	Folate	L-Glutamate-e0	Bacteroides_caecimuris_I48	1.08980439910303	1.08980439910303	1.0	1.0439369708478716	1.0439369708478716
148	Riboflavin	L-Glutamate-e0	Bacteroides_caecimuris_I48	-67.17889213748259	67.17889213748259	-1.0	8.196273063867663	-8.196273063867663
162	Folate	L-Histidine-e0	Bacteroides_caecimuris_I48	0.004949451268288962	0.004949451268288962	1.0	0.0703523366228085	0.0703523366228085
163	Riboflavin	L-Histidine-e0	Bacteroides_caecimuris_I48	-11.400706208354304	11.400706208354304	-1.0	3.3764931820387707	-3.3764931820387707
165	Spermidine-e0	L-Arginine-e0	Bacteroides_caecimuris_I48	1.0000000000001663	1.0000000000001663	1.0	1.000000000000083	1.000000000000083
178	Folate	L-Arginine-e0	Bacteroides_caecimuris_I48	0.09278007620665206	0.09278007620665206	1.0	0.3045982209512263	0.3045982209512263
179	Riboflavin	L-Arginine-e0	Bacteroides_caecimuris_I48	-36.71152845642996	36.71152845642996	-1.0	6.0590039161919975	-6.0590039161919975
193	Folate	L-Lysine-e0	Bacteroides_caecimuris_I48	0.04783263665028517	0.04783263665028517	1.0	0.21870673663672358	0.21870673663672358
194	Riboflavin	L-Lysine-e0	Bacteroides_caecimuris_I48	-41.34074831279513	41.34074831279513	-1.0	6.429677154631881	-6.429677154631881
214	Folate	Inosine-e0	Bacteroides_caecimuris_I48	1.0117018609149828	1.0117018609149828	1.0	1.0058339131859608	1.0058339131859608
215	Riboflavin	Inosine-e0	Bacteroides_caecimuris_I48	-59.102338405676996	59.102338405676996	-1.0	7.687804524418984	-7.687804524418984
219	Spermidine-e0	NH3-e0	Bacteroides_caecimuris_I48	-1.9999999999987028	1.9999999999987028	-1.0	1.4142135623726364	-1.4142135623726364
224	L-Aspartate-e0	NH3-e0	Bacteroides_caecimuris_I48	1.0000000000009466	1.0000000000009466	1.0	1.0000000000004732	1.0000000000004732
226	L-Asparagine-e0	NH3-e0	Bacteroides_caecimuris_I48	2.0000000000011116	2.0000000000011116	1.0	1.414213562373488	1.414213562373488
242	L-Serine	NH3-e0	Bacteroides_caecimuris_I48	1.0000000000005684	1.0000000000005684	1.0	1.0000000000002842	1.0000000000002842
243	Folate	NH3-e0	Bacteroides_caecimuris_I48	1.3302889221951504	1.3302889221951504	1.0	1.1533815163228298	1.1533815163228298
244	Riboflavin	NH3-e0	Bacteroides_caecimuris_I48	-386.75154260382504	386.75154260382504	-1.0	19.66599965940773	-19.66599965940773
258	Folate	Neu5Ac-e0	Bacteroides_caecimuris_I48	0.0909258974614069	0.0909258974614069	1.0	0.30153921380378856	0.30153921380378856
259	Riboflavin	Neu5Ac-e0	Bacteroides_caecimuris_I48	-7.129085871892584	7.129085871892584	-1.0	2.67003480724364	-2.67003480724364
262	Spermidine-e0	Acetate-e0	Bacteroides_caecimuris_I48	1.6666666666785133	1.6666666666785133	1.0	1.2909944487403937	1.2909944487403937
267	L-Aspartate-e0	Acetate-e0	Bacteroides_caecimuris_I48	1.000000000006993	1.000000000006993	1.0	1.0000000000034965	1.0000000000034965
268	D-Glucose-e0	Acetate-e0	Bacteroides_caecimuris_I48	2.000000000013092	2.000000000013092	1.0	1.4142135623777239	1.4142135623777239
270	L-Asparagine-e0	Acetate-e0	Bacteroides_caecimuris_I48	1.0000000000088884	1.0000000000088884	1.0	1.0000000000044442	1.0000000000044442
283	Sucrose-e0	Acetate-e0	Bacteroides_caecimuris_I48	4.000000000020443	4.000000000020443	1.0	2.0000000000051106	2.0000000000051106
287	Glycerol-e0	Acetate-e0	Bacteroides_caecimuris_I48	1.0000000000058893	1.0000000000058893	1.0	1.0000000000029445	1.0000000000029445
295	L-Serine	Acetate-e0	Bacteroides_caecimuris_I48	1.00000000000442	1.00000000000442	1.0	1.00000000000221	1.00000000000221
296	Folate	Acetate-e0	Bacteroides_caecimuris_I48	1.829534380494395	1.829534380494395	1.0	1.3526028169771032	1.3526028169771032
297	Riboflavin	Acetate-e0	Bacteroides_caecimuris_I48	-914.6319429799004	914.6319429799004	-1.0	30.242882517708203	-30.242882517708203
302	L-Asparagine-e0	L-Asparagine-e0	Bacteroides_caecimuris_I48	-0.999999999999999	0.999999999999999	-1.0	0.9999999999999994	-0.9999999999999994
303	Riboflavin	Ca2+-e0	Bacteroides_caecimuris_I48	-0.9241112603193428	0.9241112603193428	-1.0	0.9613070582906081	-0.9613070582906081
304	Riboflavin	Cu2+-e0	Bacteroides_caecimuris_I48	-0.9241112603185396	0.9241112603185396	-1.0	0.9613070582901905	-0.9613070582901905
317	Folate	Fe2+-e0	Bacteroides_caecimuris_I48	0.07786151279699008	0.07786151279699008	1.0	0.2790367588633979	0.2790367588633979
318	Riboflavin	Fe2+-e0	Bacteroides_caecimuris_I48	-2.0409035299173977	2.0409035299173977	-1.0	1.4286019494307705	-1.4286019494307705
333	Folate	Formate-e0	Bacteroides_caecimuris_I48	-0.9077325826847237	0.9077325826847237	-1.0	0.9527500105928751	-0.9527500105928751
334	Riboflavin	Formate-e0	Bacteroides_caecimuris_I48	1.3615988738400888	1.3615988738400888	1.0	1.1668756891117789	1.1668756891117789
349	Folate	Galactose-e0	Bacteroides_caecimuris_I48	-0.007289590207706728	0.007289590207706728	-1.0	0.08537909701857199	-0.08537909701857199
350	Riboflavin	Galactose-e0	Bacteroides_caecimuris_I48	0.010934384526061642	0.010934384526061642	1.0	0.10456760744160518	0.10456760744160518
355	Riboflavin	K+-e0	Bacteroides_caecimuris_I48	-0.9241112603201314	0.9241112603201314	-1.0	0.9613070582910184	-0.9613070582910184
358	Spermidine-e0	L-Methionine-e0	Bacteroides_caecimuris_I48	1.0000000000004143	1.0000000000004143	1.0	1.0000000000002072	1.0000000000002072
371	Folate	L-Methionine-e0	Bacteroides_caecimuris_I48	0.025297961668120015	0.025297961668120015	1.0	0.15905332963544025	0.15905332963544025
