	Source	Target	Microbe	Weight	ABS_Weight	Sign_Weight	ABSRootWeight	SignedRootWeight
0	Spermidine-e0	Phosphate-e0	Bacteroides_caecimuris_I48	-254.9155098765093	254.9155098765093	-1.0	15.966073715115726	-15.966073715115726
16	Spermidine-e0	Mn2+-e0	Bacteroides_caecimuris_I48	-1.84822252032813	1.84822252032813	-1.0	1.3594934793253441	-1.3594934793253441
30	Spermidine-e0	Zn2+-e0	Bacteroides_caecimuris_I48	-1.8482225203245368	1.8482225203245368	-1.0	1.3594934793240228	-1.3594934793240228
44	Spermidine-e0	Sulfate-e0	Bacteroides_caecimuris_I48	-1.8482225187619714	1.8482225187619714	-1.0	1.359493478749336	-1.359493478749336
58	Spermidine-e0	Co2+-e0	Bacteroides_caecimuris_I48	-1.8482225203255955	1.8482225203255955	-1.0	1.359493479324412	-1.359493479324412
73	Spermidine-e0	Spermidine-e0	Bacteroides_caecimuris_I48	-1.000000000000145	1.000000000000145	-1.0	1.0000000000000724	-1.0000000000000724
74	Spermidine-e0	fe3-e0	Bacteroides_caecimuris_I48	-1.848222519738274	1.848222519738274	-1.0	1.3594934791084046	-1.3594934791084046
89	Spermidine-e0	H+-e0	Bacteroides_caecimuris_I48	-723.6020981337608	723.6020981337608	-1.0	26.89985312476187	-26.89985312476187
95	L-Aspartate-e0	H+-e0	Bacteroides_caecimuris_I48	-1.000000000007288	1.000000000007288	-1.0	1.000000000003644	-1.000000000003644
96	D-Glucose-e0	H+-e0	Bacteroides_caecimuris_I48	1.999999999966238	1.999999999966238	1.0	1.4142135623611582	1.4142135623611582
98	L-Asparagine-e0	H+-e0	Bacteroides_caecimuris_I48	-1.0000000000039222	1.0000000000039222	-1.0	1.000000000001961	-1.000000000001961
110	Sucrose-e0	H+-e0	Bacteroides_caecimuris_I48	3.9999999999619105	3.9999999999619105	1.0	1.9999999999904776	1.9999999999904776
123	Spermidine-e0	Uracil-e0	Bacteroides_caecimuris_I48	-79.28446174151391	79.28446174151391	-1.0	8.904182261247458	-8.904182261247458
156	L-Aspartate-e0	L-Aspartate-e0	Bacteroides_caecimuris_I48	-0.9999999999999998	0.9999999999999998	-1.0	0.9999999999999999	-0.9999999999999999
157	D-Glucose-e0	D-Glucose-e0	Bacteroides_caecimuris_I48	-1.0000000000000009	1.0000000000000009	-1.0	1.0000000000000004	-1.0000000000000004
158	Spermidine-e0	L-Cysteine-e0	Bacteroides_caecimuris_I48	-26.027011923253195	26.027011923253195	-1.0	5.101667562988909	-5.101667562988909
173	Spermidine-e0	L-Glutamate-e0	Bacteroides_caecimuris_I48	-131.08837105737837	131.08837105737837	-1.0	11.449382998982014	-11.449382998982014
189	Spermidine-e0	L-Histidine-e0	Bacteroides_caecimuris_I48	-22.786564058847237	22.786564058847237	-1.0	4.77352742307481	-4.77352742307481
203	Spermidine-e0	L-Arginine-e0	Bacteroides_caecimuris_I48	-72.14471667190607	72.14471667190607	-1.0	8.493804605234692	-8.493804605234692
217	Spermidine-e0	L-Lysine-e0	Bacteroides_caecimuris_I48	-82.53799870153787	82.53799870153787	-1.0	9.085042581162615	-9.085042581162615
231	Spermidine-e0	Inosine-e0	Bacteroides_caecimuris_I48	-115.16957120850148	115.16957120850148	-1.0	10.731708680750772	-10.731708680750772
254	Spermidine-e0	NH3-e0	Bacteroides_caecimuris_I48	3402.4178711167083	3402.4178711167083	1.0	58.3302483375196	58.3302483375196
260	L-Aspartate-e0	NH3-e0	Bacteroides_caecimuris_I48	-0.9999999999595037	0.9999999999595037	-1.0	0.9999999999797519	-0.9999999999797519
261	D-Glucose-e0	NH3-e0	Bacteroides_caecimuris_I48	-1.9999999998136426	1.9999999998136426	-1.0	1.4142135623072078	-1.4142135623072078
263	L-Asparagine-e0	NH3-e0	Bacteroides_caecimuris_I48	-0.9999999999771301	0.9999999999771301	-1.0	0.999999999988565	-0.999999999988565
275	Sucrose-e0	NH3-e0	Bacteroides_caecimuris_I48	-4.99999999978636	4.99999999978636	-1.0	2.2360679774520182	-2.2360679774520182
280	O2-e0	NH3-e0	Bacteroides_caecimuris_I48	2.0000000001463074	2.0000000001463074	1.0	1.4142135624248224	1.4142135624248224
291	Spermidine-e0	Neu5Ac-e0	Bacteroides_caecimuris_I48	-13.985394049571923	13.985394049571923	-1.0	3.73970507521274	-3.73970507521274
306	Spermidine-e0	Acetate-e0	Bacteroides_caecimuris_I48	5848.3600390372585	5848.3600390372585	1.0	76.4745711922418	76.4745711922418
311	L-Aspartate-e0	Acetate-e0	Bacteroides_caecimuris_I48	-2.9999999999293316	2.9999999999293316	-1.0	1.732050807548477	-1.732050807548477
312	D-Glucose-e0	Acetate-e0	Bacteroides_caecimuris_I48	-1.999999999673451	1.999999999673451	-1.0	1.4142135622576426	-1.4142135622576426
314	L-Asparagine-e0	Acetate-e0	Bacteroides_caecimuris_I48	-4.999999999960124	4.999999999960124	-1.0	2.2360679774908734	-2.2360679774908734
328	Sucrose-e0	Acetate-e0	Bacteroides_caecimuris_I48	-5.999999999625421	5.999999999625421	-1.0	2.4494897427067177	-2.4494897427067177
333	O2-e0	Acetate-e0	Bacteroides_caecimuris_I48	4.000000000256416	4.000000000256416	1.0	2.000000000064104	2.000000000064104
340	L-Serine	Acetate-e0	Bacteroides_caecimuris_I48	-0.9999999999253327	0.9999999999253327	-1.0	0.9999999999626663	-0.9999999999626663
344	L-Asparagine-e0	L-Asparagine-e0	Bacteroides_caecimuris_I48	-1.0000000000000002	1.0000000000000002	-1.0	1.0	-1.0
345	Spermidine-e0	Ca2+-e0	Bacteroides_caecimuris_I48	-1.848222520326879	1.848222520326879	-1.0	1.359493479324884	-1.359493479324884
359	Spermidine-e0	Cu2+-e0	Bacteroides_caecimuris_I48	-1.848222520325532	1.848222520325532	-1.0	1.3594934793243887	-1.3594934793243887
373	Spermidine-e0	Fe2+-e0	Bacteroides_caecimuris_I48	-3.8482225205612375	3.8482225205612375	-1.0	1.9616886910417863	-1.9616886910417863
388	Spermidine-e0	Formate-e0	Bacteroides_caecimuris_I48	-2823.147041456277	2823.147041456277	-1.0	53.13329503669311	-53.13329503669311
393	L-Aspartate-e0	Formate-e0	Bacteroides_caecimuris_I48	1.9999999999661122	1.9999999999661122	1.0	1.4142135623611138	1.4142135623611138
394	D-Glucose-e0	Formate-e0	Bacteroides_caecimuris_I48	1.9999999998433657	1.9999999998433657	1.0	1.4142135623177166	1.4142135623177166
396	L-Asparagine-e0	Formate-e0	Bacteroides_caecimuris_I48	2.9999999999808455	2.9999999999808455	1.0	1.7320508075633478	1.7320508075633478
409	Sucrose-e0	Formate-e0	Bacteroides_caecimuris_I48	4.9999999998205045	4.9999999998205045	1.0	2.2360679774596535	2.2360679774596535
414	O2-e0	Formate-e0	Bacteroides_caecimuris_I48	-2.0000000001231033	2.0000000001231033	-1.0	1.4142135624166186	-1.4142135624166186
421	L-Serine	Formate-e0	Bacteroides_caecimuris_I48	0.9999999999641522	0.9999999999641522	1.0	0.9999999999820761	0.9999999999820761
426	Fumarate-e0	Fumarate-e0	Bacteroides_caecimuris_I48	-1.0000000000000002	1.0000000000000002	-1.0	1.0	-1.0
443	Spermidine-e0	K+-e0	Bacteroides_caecimuris_I48	-1.8482225203272358	1.8482225203272358	-1.0	1.3594934793250153	-1.3594934793250153
459	Spermidine-e0	L-Methionine-e0	Bacteroides_caecimuris_I48	-37.9648705832652	37.9648705832652	-1.0	6.161563972179888	-6.161563972179888
476	Spermidine-e0	Succinate-e0	Bacteroides_caecimuris_I48	41.1821787233877	41.1821787233877	1.0	6.41733423809199	6.41733423809199
480	Fumarate-e0	Succinate-e0	Bacteroides_caecimuris_I48	1.0000000000001852	1.0000000000001852	1.0	1.0000000000000926	1.0000000000000926
496	Spermidine-e0	Cl--e0	Bacteroides_caecimuris_I48	-1.84822252032631	1.84822252032631	-1.0	1.359493479324675	-1.359493479324675
515	Spermidine-e0	H2-e0	Bacteroides_caecimuris_I48	2072.610459890729	2072.610459890729	1.0	45.525931730067086	45.525931730067086
