	Source	Target	SourceType	Weight	Cofactor	Match	ABS_Weight	Sign_Weight	ABSRootWeight	SignedRootWeight
0	Spermidine-e0	Bacteroides_caecimuris_I48	Metabolite	253.37814817741386	None	-1	253.37814817741386	1.0	15.917856268273496	15.917856268273496
14	Bacteroides_caecimuris_I48	Phosphate-e0	Microbe	-254.91550986083112	Spermidine-e0	0	254.91550986083112	-1.0	15.966073714624743	-15.966073714624743
30	Bacteroides_caecimuris_I48	Mn2+-e0	Microbe	-1.8482225202147813	Spermidine-e0	0	1.8482225202147813	-1.0	1.3594934792836564	-1.3594934792836564
44	Bacteroides_caecimuris_I48	Zn2+-e0	Microbe	-1.848222520214428	Spermidine-e0	0	1.848222520214428	-1.0	1.3594934792835265	-1.3594934792835265
58	Bacteroides_caecimuris_I48	Sulfate-e0	Microbe	-1.848222518076451	Spermidine-e0	0	1.848222518076451	-1.0	1.3594934784972126	-1.3594934784972126
72	Bacteroides_caecimuris_I48	Co2+-e0	Microbe	-1.84822252021021	Spermidine-e0	0	1.84822252021021	-1.0	1.359493479281975	-1.359493479281975
87	Bacteroides_caecimuris_I48	Spermidine-e0	Microbe	-0.9999999999998425	Spermidine-e0	1	0.9999999999998425	-1.0	0.9999999999999212	-0.9999999999999212
88	Bacteroides_caecimuris_I48	fe3-e0	Microbe	-1.848222519383559	Spermidine-e0	0	1.848222519383559	-1.0	1.359493478977946	-1.359493478977946
103	Bacteroides_caecimuris_I48	H+-e0	Microbe	1524.6597388947857	Spermidine-e0	0	1524.6597388947857	1.0	39.04689153946554	39.04689153946554
109	Bacteroides_caecimuris_I48	H+-e0	Microbe	-1.999999999953146	L-Aspartate-e0	0	1.999999999953146	-1.0	1.4142135623565297	-1.4142135623565297
110	Bacteroides_caecimuris_I48	H+-e0	Microbe	1.0000000001165874	D-Glucose-e0	0	1.0000000001165874	1.0	1.0000000000582936	1.0000000000582936
112	Bacteroides_caecimuris_I48	H+-e0	Microbe	-2.4999999999481513	L-Asparagine-e0	0	2.4999999999481513	-1.0	1.5811388300677935	-1.5811388300677935
122	Bacteroides_caecimuris_I48	H+-e0	Microbe	1.5000000001686482	Sucrose-e0	0	1.5000000001686482	1.0	1.2247448714604394	1.2247448714604394
127	Bacteroides_caecimuris_I48	H+-e0	Microbe	1.0000000000433131	O2-e0	0	1.0000000000433131	1.0	1.0000000000216565	1.0000000000216565
134	Bacteroides_caecimuris_I48	H+-e0	Microbe	-0.49999999996437494	L-Serine	0	0.49999999996437494	-1.0	0.7071067811613568	-0.7071067811613568
135	Bacteroides_caecimuris_I48	H+-e0	Microbe	-0.4999999999644975	L-Threonine	0	0.4999999999644975	-1.0	0.7071067811614434	-0.7071067811614434
140	Bacteroides_caecimuris_I48	Uracil-e0	Microbe	-79.28446173652682	Spermidine-e0	0	79.28446173652682	-1.0	8.904182260967417	-8.904182260967417
173	Bacteroides_caecimuris_I48	L-Aspartate-e0	Microbe	-1.0000000000000009	L-Aspartate-e0	1	1.0000000000000009	-1.0	1.0000000000000004	-1.0000000000000004
174	Bacteroides_caecimuris_I48	D-Glucose-e0	Microbe	-0.9999999999999993	D-Glucose-e0	1	0.9999999999999993	-1.0	0.9999999999999997	-0.9999999999999997
175	Bacteroides_caecimuris_I48	L-Cysteine-e0	Microbe	-24.027011920797506	Spermidine-e0	0	24.027011920797506	-1.0	4.901735602906128	-4.901735602906128
190	Bacteroides_caecimuris_I48	L-Glutamate-e0	Microbe	-131.08837104832983	Spermidine-e0	0	131.08837104832983	-1.0	11.44938299858686	-11.44938299858686
206	Bacteroides_caecimuris_I48	L-Histidine-e0	Microbe	-22.78656405757788	Spermidine-e0	0	22.78656405757788	-1.0	4.773527422941852	-4.773527422941852
220	Bacteroides_caecimuris_I48	L-Arginine-e0	Microbe	-72.1447166676366	Spermidine-e0	0	72.1447166676366	-1.0	8.493804604983364	-8.493804604983364
234	Bacteroides_caecimuris_I48	L-Lysine-e0	Microbe	-82.53799869669425	Spermidine-e0	0	82.53799869669425	-1.0	9.085042580896044	-9.085042580896044
248	Bacteroides_caecimuris_I48	Inosine-e0	Microbe	-115.16957120138574	Spermidine-e0	0	115.16957120138574	-1.0	10.731708680419244	-10.731708680419244
270	Bacteroides_caecimuris_I48	NH3-e0	Microbe	-1094.1058030685087	Spermidine-e0	0	1094.1058030685087	-1.0	33.077270187675836	-33.077270187675836
275	Bacteroides_caecimuris_I48	NH3-e0	Microbe	0.9999999999677422	L-Aspartate-e0	0	0.9999999999677422	1.0	0.9999999999838711	0.9999999999838711
277	Bacteroides_caecimuris_I48	NH3-e0	Microbe	1.9999999999643063	L-Asparagine-e0	0	1.9999999999643063	1.0	1.4142135623604755	1.4142135623604755
293	Bacteroides_caecimuris_I48	NH3-e0	Microbe	0.9999999999754076	L-Serine	0	0.9999999999754076	1.0	0.9999999999877037	0.9999999999877037
294	Bacteroides_caecimuris_I48	NH3-e0	Microbe	0.9999999999755063	L-Threonine	0	0.9999999999755063	1.0	0.9999999999877531	0.9999999999877531
296	Bacteroides_caecimuris_I48	Neu5Ac-e0	Microbe	-13.985394048745594	Spermidine-e0	0	13.985394048745594	-1.0	3.7397050751022594	-3.7397050751022594
311	Bacteroides_caecimuris_I48	Acetate-e0	Microbe	-5388.949146272689	Spermidine-e0	0	5388.949146272689	-1.0	73.40946223936454	-73.40946223936454
316	Bacteroides_caecimuris_I48	Acetate-e0	Microbe	1.9999999998467384	L-Aspartate-e0	0	1.9999999998467384	1.0	1.414213562318909	1.414213562318909
317	Bacteroides_caecimuris_I48	Acetate-e0	Microbe	2.999999999619734	D-Glucose-e0	0	2.999999999619734	1.0	1.732050807459104	1.732050807459104
319	Bacteroides_caecimuris_I48	Acetate-e0	Microbe	2.4999999998308104	L-Asparagine-e0	0	2.4999999998308104	1.0	1.5811388300306872	1.5811388300306872
334	Bacteroides_caecimuris_I48	Acetate-e0	Microbe	6.4999999994519815	Sucrose-e0	0	6.4999999994519815	1.0	2.5495097566889173	2.5495097566889173
339	Bacteroides_caecimuris_I48	Acetate-e0	Microbe	-1.0000000001421032	O2-e0	0	1.0000000001421032	-1.0	1.0000000000710516	-1.0000000000710516
345	Bacteroides_caecimuris_I48	Acetate-e0	Microbe	1.499999999883081	L-Serine	0	1.499999999883081	1.0	1.2247448713438571	1.2247448713438571
346	Bacteroides_caecimuris_I48	Acetate-e0	Microbe	2.499999999883649	L-Threonine	0	2.499999999883649	1.0	1.5811388300473963	1.5811388300473963
351	Bacteroides_caecimuris_I48	L-Asparagine-e0	Microbe	-0.9999999999999992	L-Asparagine-e0	1	0.9999999999999992	-1.0	0.9999999999999996	-0.9999999999999996
352	Bacteroides_caecimuris_I48	Ca2+-e0	Microbe	-1.8482225202147613	Spermidine-e0	0	1.8482225202147613	-1.0	1.359493479283649	-1.359493479283649
366	Bacteroides_caecimuris_I48	Cu2+-e0	Microbe	-1.8482225202136453	Spermidine-e0	0	1.8482225202136453	-1.0	1.3594934792832385	-1.3594934792832385
380	Bacteroides_caecimuris_I48	Fe2+-e0	Microbe	-3.848222520604702	Spermidine-e0	0	3.848222520604702	-1.0	1.9616886910528648	-1.9616886910528648
395	Bacteroides_caecimuris_I48	Formate-e0	Microbe	6165.900306676826	Spermidine-e0	0	6165.900306676826	1.0	78.52324691883815	78.52324691883815
400	Bacteroides_caecimuris_I48	Formate-e0	Microbe	-1.9999999998228146	L-Aspartate-e0	0	1.9999999998228146	-1.0	1.4142135623104506	-1.4142135623104506
401	Bacteroides_caecimuris_I48	Formate-e0	Microbe	-1.9999999995603144	D-Glucose-e0	0	1.9999999995603144	-1.0	1.4142135622176426	-1.4142135622176426
403	Bacteroides_caecimuris_I48	Formate-e0	Microbe	-2.999999999804278	L-Asparagine-e0	0	2.999999999804278	-1.0	1.7320508075123773	-1.7320508075123773
418	Bacteroides_caecimuris_I48	Formate-e0	Microbe	-4.999999999365923	Sucrose-e0	0	4.999999999365923	-1.0	2.236067977358006	-2.236067977358006
423	Bacteroides_caecimuris_I48	Formate-e0	Microbe	2.0000000001639595	O2-e0	0	2.0000000001639595	1.0	1.4142135624310634	1.4142135624310634
430	Bacteroides_caecimuris_I48	Formate-e0	Microbe	-0.9999999998648554	L-Serine	0	0.9999999998648554	-1.0	0.9999999999324277	-0.9999999999324277
431	Bacteroides_caecimuris_I48	Formate-e0	Microbe	-1.999999999865465	L-Threonine	0	1.999999999865465	-1.0	1.4142135623255296	-1.4142135623255296
436	Bacteroides_caecimuris_I48	Fumarate-e0	Microbe	-1.0000000000000002	Fumarate-e0	1	1.0000000000000002	-1.0	1.0	-1.0
453	Bacteroides_caecimuris_I48	K+-e0	Microbe	-1.8482225202186664	Spermidine-e0	0	1.8482225202186664	-1.0	1.3594934792850852	-1.3594934792850852
469	Bacteroides_caecimuris_I48	L-Methionine-e0	Microbe	-39.96487058172977	Spermidine-e0	0	39.96487058172977	-1.0	6.32177748593936	-6.32177748593936
486	Bacteroides_caecimuris_I48	Succinate-e0	Microbe	41.18217872075055	Spermidine-e0	0	41.18217872075055	1.0	6.417334237886519	6.417334237886519
490	Bacteroides_caecimuris_I48	Succinate-e0	Microbe	1.0000000000001876	Fumarate-e0	0	1.0000000000001876	1.0	1.0000000000000937	1.0000000000000937
506	Bacteroides_caecimuris_I48	Cl--e0	Microbe	-1.8482225202126907	Spermidine-e0	0	1.8482225202126907	-1.0	1.3594934792828874	-1.3594934792828874
525	Bacteroides_caecimuris_I48	H2-e0	Microbe	2072.6104597598637	Spermidine-e0	0	2072.6104597598637	1.0	45.52593172862982	45.52593172862982
531	Bacteroides_caecimuris_I48	H2-e0	Microbe	2.0000000001554925	D-Glucose-e0	0	2.0000000001554925	1.0	1.41421356242807	1.41421356242807
532	Bacteroides_caecimuris_I48	H2-e0	Microbe	-0.9999999999308212	L-Asparagine-e0	0	0.9999999999308212	-1.0	0.9999999999654106	-0.9999999999654106
533	Bacteroides_caecimuris_I48	H2-e0	Microbe	-0.9999999999908795	Fumarate-e0	0	0.9999999999908795	-1.0	0.9999999999954398	-0.9999999999954398
543	Bacteroides_caecimuris_I48	H2-e0	Microbe	3.0000000002250156	Sucrose-e0	0	3.0000000002250156	1.0	1.7320508076338337	1.7320508076338337
564	Bacteroides_caecimuris_I48	Mg-e0	Microbe	-1.8482225202158973	Spermidine-e0	0	1.8482225202158973	-1.0	1.3594934792840667	-1.3594934792840667
604	Bacteroides_caecimuris_I48	Sucrose-e0	Microbe	-1.0000000000000013	Sucrose-e0	1	1.0000000000000013	-1.0	1.0000000000000007	-1.0000000000000007
646	Bacteroides_caecimuris_I48	CO2-e0	Microbe	-1207.7858818267916	Spermidine-e0	0	1207.7858818267916	-1.0	34.75321397837604	-34.75321397837604
651	Bacteroides_caecimuris_I48	CO2-e0	Microbe	1.9999999999670275	L-Aspartate-e0	0	1.9999999999670275	1.0	1.4142135623614376	1.4142135623614376
652	Bacteroides_caecimuris_I48	CO2-e0	Microbe	1.9999999999184828	D-Glucose-e0	0	1.9999999999184828	1.0	1.4142135623442744	1.4142135623442744
654	Bacteroides_caecimuris_I48	CO2-e0	Microbe	1.9999999999635807	L-Asparagine-e0	0	1.9999999999635807	1.0	1.4142135623602188	1.4142135623602188
664	Bacteroides_caecimuris_I48	CO2-e0	Microbe	3.9999999998828244	Sucrose-e0	0	3.9999999998828244	1.0	1.999999999970706	1.999999999970706
674	Bacteroides_caecimuris_I48	CO2-e0	Microbe	0.9999999999748306	L-Serine	0	0.9999999999748306	1.0	0.9999999999874153	0.9999999999874153
675	Bacteroides_caecimuris_I48	CO2-e0	Microbe	0.9999999999749601	L-Threonine	0	0.9999999999749601	1.0	0.99999999998748	0.99999999998748
680	Bacteroides_caecimuris_I48	O2-e0	Microbe	-1.0	O2-e0	1	1.0	-1.0	1.0	-1.0
728	Bacteroides_caecimuris_I48	L-Phenylalanine	Microbe	-44.56039193413142	Spermidine-e0	0	44.56039193413142	-1.0	6.675357064167535	-6.675357064167535
742	Bacteroides_caecimuris_I48	L-Proline	Microbe	-53.168649466882215	Spermidine-e0	0	53.168649466882215	-1.0	7.291683582471349	-7.291683582471349
756	Bacteroides_caecimuris_I48	L-Serine	Microbe	-0.9999999999999993	L-Serine	1	0.9999999999999993	-1.0	0.9999999999999997	-0.9999999999999997
757	Bacteroides_caecimuris_I48	L-Threonine	Microbe	-1.0000000000000002	L-Threonine	1	1.0000000000000002	-1.0	1.0	-1.0
758	Bacteroides_caecimuris_I48	L-Tryptophan	Microbe	-13.671938434465163	Spermidine-e0	0	13.671938434465163	-1.0	3.697558442332611	-3.697558442332611
772	Bacteroides_caecimuris_I48	L-Tyrosine	Microbe	-34.16710990550717	Spermidine-e0	0	34.16710990550717	-1.0	5.845263886729766	-5.845263886729766
786	Bacteroides_caecimuris_I48	Folate	Microbe	-2.9999999999104183	Spermidine-e0	0	2.9999999999104183	-1.0	1.7320508075430172	-1.7320508075430172
800	Bacteroides_caecimuris_I48	Riboflavin	Microbe	-1.9999999995366946	Spermidine-e0	0	1.9999999995366946	-1.0	1.414213562209292	-1.414213562209292
