	Source	Target	SourceType	Weight	Cofactor	Match	ABS_Weight	Sign_Weight	ABSRootWeight	SignedRootWeight
1	PAN	Bacteroides_caecimuris_I48	Metabolite	126.68907411628561	None	-1	126.68907411628561	1.0	11.255624110474088	11.255624110474088
4	Bacteroides_caecimuris_I48	Phosphate-e0	Microbe	-127.45775495826369	PAN	0	127.45775495826369	-1.0	11.289718993768787	-11.289718993768787
6	Bacteroides_caecimuris_I48	Mn2+-e0	Microbe	-0.9241112603098751	PAN	0	0.9241112603098751	-1.0	0.9613070582856839	-0.9613070582856839
8	Bacteroides_caecimuris_I48	Zn2+-e0	Microbe	-0.9241112603085105	PAN	0	0.9241112603085105	-1.0	0.9613070582849741	-0.9613070582849741
22	Bacteroides_caecimuris_I48	Sulfate-e0	Microbe	-0.9241112594651549	PAN	0	0.9241112594651549	-1.0	0.9613070578463236	-0.9613070578463236
25	Bacteroides_caecimuris_I48	Co2+-e0	Microbe	-0.9241112603079236	PAN	0	0.9241112603079236	-1.0	0.9613070582846688	-0.9613070582846688
27	Bacteroides_caecimuris_I48	Spermidine-e0	Microbe	-1.0000000000000009	Spermidine-e0	1	1.0000000000000009	-1.0	1.0000000000000004	-1.0000000000000004
41	Bacteroides_caecimuris_I48	fe3-e0	Microbe	-0.92411125997967	PAN	0	0.92411125997967	-1.0	0.9613070581139358	-0.9613070581139358
44	Bacteroides_caecimuris_I48	H+-e0	Microbe	5.888888888884098	Spermidine-e0	0	5.888888888884098	1.0	2.426703296425852	2.426703296425852
50	Bacteroides_caecimuris_I48	H+-e0	Microbe	-0.3333333333369155	L-Aspartate-e0	0	0.3333333333369155	-1.0	0.577350269192728	-0.577350269192728
51	Bacteroides_caecimuris_I48	H+-e0	Microbe	2.6666666666626804	D-Glucose-e0	0	2.6666666666626804	1.0	1.6329931618542315	1.6329931618542315
70	Bacteroides_caecimuris_I48	H+-e0	Microbe	-0.6666666666649119	O2-e0	0	0.6666666666649119	-1.0	0.8164965809266514	-0.8164965809266514
77	Bacteroides_caecimuris_I48	H+-e0	Microbe	0.3333333333377734	L-Serine	0	0.3333333333377734	1.0	0.577350269193471	0.577350269193471
78	Bacteroides_caecimuris_I48	H+-e0	Microbe	1.1111111111035241	Folate	0	1.1111111111035241	1.0	1.054092553385861	1.054092553385861
79	Bacteroides_caecimuris_I48	H+-e0	Microbe	1.44444444443831	Riboflavin	0	1.44444444443831	1.0	1.201850425152111	1.201850425152111
80	Bacteroides_caecimuris_I48	H+-e0	Microbe	-1616.5585424852989	PAN	0	1616.5585424852989	-1.0	40.20644901611306	-40.20644901611306
99	Bacteroides_caecimuris_I48	Uracil-e0	Microbe	-39.64223087695335	PAN	0	39.64223087695335	-1.0	6.296207658341118	-6.296207658341118
119	Bacteroides_caecimuris_I48	L-Aspartate-e0	Microbe	-1.0	L-Aspartate-e0	1	1.0	-1.0	1.0	-1.0
120	Bacteroides_caecimuris_I48	D-Glucose-e0	Microbe	-0.9999999999999999	D-Glucose-e0	1	0.9999999999999999	-1.0	0.9999999999999999	-0.9999999999999999
134	Bacteroides_caecimuris_I48	L-Cysteine-e0	Microbe	-13.013505963771413	PAN	0	13.013505963771413	-1.0	3.6074237294461837	-3.6074237294461837
149	Bacteroides_caecimuris_I48	L-Glutamate-e0	Microbe	0.9999999999972353	Folate	0	0.9999999999972353	1.0	0.9999999999986177	0.9999999999986177
150	Bacteroides_caecimuris_I48	L-Glutamate-e0	Microbe	-67.04418553834785	PAN	0	67.04418553834785	-1.0	8.188051388355342	-8.188051388355342
165	Bacteroides_caecimuris_I48	L-Histidine-e0	Microbe	-11.393282031227244	PAN	0	11.393282031227244	-1.0	3.3753936113033163	-3.3753936113033163
167	Bacteroides_caecimuris_I48	L-Arginine-e0	Microbe	0.9999999999997984	Spermidine-e0	0	0.9999999999997984	1.0	0.9999999999998992	0.9999999999998992
181	Bacteroides_caecimuris_I48	L-Arginine-e0	Microbe	-36.5723583417153	PAN	0	36.5723583417153	-1.0	6.047508440813894	-6.047508440813894
196	Bacteroides_caecimuris_I48	L-Lysine-e0	Microbe	-41.26899935727017	PAN	0	41.26899935727017	-1.0	6.4240952170146235	-6.4240952170146235
216	Bacteroides_caecimuris_I48	Inosine-e0	Microbe	0.9999999999993663	Folate	0	0.9999999999993663	1.0	0.9999999999996831	0.9999999999996831
217	Bacteroides_caecimuris_I48	Inosine-e0	Microbe	0.9999999999991732	Riboflavin	0	0.9999999999991732	1.0	0.9999999999995866	0.9999999999995866
218	Bacteroides_caecimuris_I48	Inosine-e0	Microbe	-60.08478561353192	PAN	0	60.08478561353192	-1.0	7.7514376481741705	-7.7514376481741705
223	Bacteroides_caecimuris_I48	NH3-e0	Microbe	-2.4444444444358613	Spermidine-e0	0	2.4444444444358613	-1.0	1.5634719199383982	-1.5634719199383982
229	Bacteroides_caecimuris_I48	NH3-e0	Microbe	-0.33333333332981147	L-Aspartate-e0	0	0.33333333332981147	-1.0	0.5773502691865757	-0.5773502691865757
230	Bacteroides_caecimuris_I48	NH3-e0	Microbe	-1.3333333333270134	D-Glucose-e0	0	1.3333333333270134	-1.0	1.154700538376515	-1.154700538376515
249	Bacteroides_caecimuris_I48	NH3-e0	Microbe	1.3333333333343873	O2-e0	0	1.3333333333343873	1.0	1.154700538379708	1.154700538379708
256	Bacteroides_caecimuris_I48	NH3-e0	Microbe	0.3333333333299764	L-Serine	0	0.3333333333299764	1.0	0.5773502691867186	0.5773502691867186
257	Bacteroides_caecimuris_I48	NH3-e0	Microbe	-3.5555555555443927	Folate	0	3.5555555555443927	-1.0	1.8856180831611666	-1.8856180831611666
258	Bacteroides_caecimuris_I48	NH3-e0	Microbe	-4.222222222208972	Riboflavin	0	4.222222222208972	-1.0	2.054804667653101	-2.054804667653101
259	Bacteroides_caecimuris_I48	NH3-e0	Microbe	1416.4943268013828	PAN	0	1416.4943268013828	1.0	37.636343164571436	37.636343164571436
277	Bacteroides_caecimuris_I48	Neu5Ac-e0	Microbe	-6.992697025903491	PAN	0	6.992697025903491	-1.0	2.6443708185319794	-2.6443708185319794
280	Bacteroides_caecimuris_I48	Acetate-e0	Microbe	1.444444444449568	Spermidine-e0	0	1.444444444449568	1.0	1.2018504251567947	1.2018504251567947
285	Bacteroides_caecimuris_I48	Acetate-e0	Microbe	0.3333333333335386	L-Aspartate-e0	0	0.3333333333335386	1.0	0.5773502691898035	0.5773502691898035
286	Bacteroides_caecimuris_I48	Acetate-e0	Microbe	1.333333333336549	D-Glucose-e0	0	1.333333333336549	1.0	1.154700538380644	1.154700538380644
304	Bacteroides_caecimuris_I48	Acetate-e0	Microbe	0.6666666666697938	O2-e0	0	0.6666666666697938	1.0	0.816496580929641	0.816496580929641
311	Bacteroides_caecimuris_I48	Acetate-e0	Microbe	0.6666666666677148	L-Serine	0	0.6666666666677148	1.0	0.8164965809283679	0.8164965809283679
312	Bacteroides_caecimuris_I48	Acetate-e0	Microbe	-0.4444444444395064	Folate	0	0.4444444444395064	-1.0	0.6666666666629631	-0.6666666666629631
313	Bacteroides_caecimuris_I48	Acetate-e0	Microbe	1.2222222222314438	Riboflavin	0	1.2222222222314438	1.0	1.1055415967893039	1.1055415967893039
314	Bacteroides_caecimuris_I48	Acetate-e0	Microbe	-110.9150553023082	PAN	0	110.9150553023082	-1.0	10.53162168435176	-10.53162168435176
320	Bacteroides_caecimuris_I48	L-Asparagine-e0	Microbe	0.22222222221501708	Spermidine-e0	0	0.22222222221501708	1.0	0.47140452078338946	0.47140452078338946
325	Bacteroides_caecimuris_I48	L-Asparagine-e0	Microbe	0.6666666666641997	L-Aspartate-e0	0	0.6666666666641997	1.0	0.8164965809262154	0.8164965809262154
326	Bacteroides_caecimuris_I48	L-Asparagine-e0	Microbe	0.6666666666615045	D-Glucose-e0	0	0.6666666666615045	1.0	0.8164965809245649	0.8164965809245649
345	Bacteroides_caecimuris_I48	L-Asparagine-e0	Microbe	-0.6666666666681973	O2-e0	0	0.6666666666681973	-1.0	0.8164965809286634	-0.8164965809286634
351	Bacteroides_caecimuris_I48	L-Asparagine-e0	Microbe	0.3333333333353694	L-Serine	0	0.3333333333353694	1.0	0.5773502691913891	0.5773502691913891
352	Bacteroides_caecimuris_I48	L-Asparagine-e0	Microbe	2.777777777768774	Folate	0	2.777777777768774	1.0	1.6666666666639656	1.6666666666639656
353	Bacteroides_caecimuris_I48	L-Asparagine-e0	Microbe	2.111111111099648	Riboflavin	0	2.111111111099648	1.0	1.452966314509613	1.452966314509613
354	Bacteroides_caecimuris_I48	L-Asparagine-e0	Microbe	-944.7770491713097	PAN	0	944.7770491713097	-1.0	30.737225788468773	-30.737225788468773
360	Bacteroides_caecimuris_I48	Ca2+-e0	Microbe	-0.9241112603085294	PAN	0	0.9241112603085294	-1.0	0.9613070582849839	-0.9613070582849839
362	Bacteroides_caecimuris_I48	Cu2+-e0	Microbe	-0.9241112603086415	PAN	0	0.9241112603086415	-1.0	0.9613070582850423	-0.9613070582850423
376	Bacteroides_caecimuris_I48	Fe2+-e0	Microbe	-1.9241112606267252	PAN	0	1.9241112606267252	-1.0	1.3871233761373662	-1.3871233761373662
394	Bacteroides_caecimuris_I48	Formate-e0	Microbe	-1.0000000000013352	Folate	0	1.0000000000013352	-1.0	1.0000000000006675	-1.0000000000006675
395	Bacteroides_caecimuris_I48	Formate-e0	Microbe	-3.000000000002765	Riboflavin	0	3.000000000002765	-1.0	1.7320508075696754	-1.7320508075696754
396	Bacteroides_caecimuris_I48	Formate-e0	Microbe	82.54945194401326	PAN	0	82.54945194401326	1.0	9.08567289439881	9.08567289439881
398	Bacteroides_caecimuris_I48	Fumarate-e0	Microbe	-1.0000000000000007	Fumarate-e0	1	1.0000000000000007	-1.0	1.0000000000000002	-1.0000000000000002
