	Source	Target	SourceType	Weight	ABS_Weight	Sign_Weight	ABSRootWeight	SignedRootWeight
4	Bacteroides_caecimuris_I48	L-Serine	Microbe	-0.9999999999999991	0.9999999999999991	-1.0	0.9999999999999996	-0.9999999999999996
5	Riboflavin	Bacteroides_caecimuris_I48	Metabolite	0.29099824561285603	0.29099824561285603	1.0	0.5394425322616451	0.5394425322616451
11	D-Glucose-e0	Bacteroides_caecimuris_I48	Metabolite	0.09189418282513442	0.09189418282513442	1.0	0.3031405331280105	0.3031405331280105
13	Flavonifractor_plautii_YL31	D-Glucose-e0	Microbe	-301.58498370622846	301.58498370622846	-1.0	17.366202339781385	-17.366202339781385
19	Flavonifractor_plautii_YL31	O2-e0	Microbe	-1.0000000000000009	1.0000000000000009	-1.0	1.0000000000000004	-1.0000000000000004
24	O2-e0	Bacteroides_caecimuris_I48	Metabolite	-0.09189418282481523	0.09189418282481523	-1.0	0.303140533127484	-0.303140533127484
27	Bacteroides_caecimuris_I48	L-Asparagine-e0	Microbe	-1.0000000000000007	1.0000000000000007	-1.0	1.0000000000000002	-1.0000000000000002
28	L-Serine	Bacteroides_caecimuris_I48	Metabolite	0.045947091412506094	0.045947091412506094	1.0	0.2143527266271789	0.2143527266271789
29	L-Aspartate-e0	Bacteroides_caecimuris_I48	Metabolite	0.09189418282499125	0.09189418282499125	1.0	0.30314053312777434	0.30314053312777434
32	Bacteroides_caecimuris_I48	Folate	Microbe	-1.0000000000000004	1.0000000000000004	-1.0	1.0000000000000002	-1.0000000000000002
38	Flavonifractor_plautii_YL31	Riboflavin	Microbe	-0.9999999999999946	0.9999999999999946	-1.0	0.9999999999999972	-0.9999999999999972
45	Flavonifractor_plautii_YL31	Spermidine-e0	Microbe	-1.0000000000000009	1.0000000000000009	-1.0	1.0000000000000004	-1.0000000000000004
47	Bacteroides_caecimuris_I48	L-Aspartate-e0	Microbe	-0.9999999999999993	0.9999999999999993	-1.0	0.9999999999999997	-0.9999999999999997
49	L-Asparagine-e0	Bacteroides_caecimuris_I48	Metabolite	0.13784127423744513	0.13784127423744513	1.0	0.3712698132590975	0.3712698132590975
51	Bacteroides_caecimuris_I48	D-Glucose-e0	Microbe	-0.9999999999999991	0.9999999999999991	-1.0	0.9999999999999996	-0.9999999999999996
56	Folate	Bacteroides_caecimuris_I48	Metabolite	0.3828924284376435	0.3828924284376435	1.0	0.6187830220987349	0.6187830220987349
69	Bacteroides_caecimuris_I48	Riboflavin	Microbe	-0.9999999999999981	0.9999999999999981	-1.0	0.999999999999999	-0.999999999999999
85	Riboflavin	Flavonifractor_plautii_YL31	Metabolite	126.68907411822438	126.68907411822438	1.0	11.255624110560213	11.255624110560213
86	Bacteroides_caecimuris_I48	O2-e0	Microbe	-1.0	1.0	-1.0	1.0	-1.0
95	Flavonifractor_plautii_YL31	L-Aspartate-e0	Microbe	-127.08740931648333	127.08740931648333	-1.0	11.273305163814351	-11.273305163814351
99	Spermidine-e0	Bacteroides_caecimuris_I48	Metabolite	0.030631394275265643	0.030631394275265643	1.0	0.1750182684043744	0.1750182684043744
106	Bacteroides_caecimuris_I48	Spermidine-e0	Microbe	-1.0	1.0	-1.0	1.0	-1.0
