	Source	Target	SourceType	Weight	ABS_Weight	Sign_Weight	ABSRootWeight	SignedRootWeight
10	Thiamine	Limosilactobacillus_reuteri_I49	Metabolite	135.56370855458889	135.56370855458889	1.0	11.643182921975798	11.643182921975798
22	Folate-e0	Limosilactobacillus_reuteri_I49	Metabolite	67.7818542772671	67.7818542772671	1.0	8.232973598722827	8.232973598722827
33	Limosilactobacillus_reuteri_I49	Folate-e0	Microbe	-0.9999999999999506	0.9999999999999506	-1.0	0.9999999999999752	-0.9999999999999752
43	Limosilactobacillus_reuteri_I49	Thiamine	Microbe	-0.9999999999999806	0.9999999999999806	-1.0	0.9999999999999902	-0.9999999999999902
47	Limosilactobacillus_reuteri_I49	PAN	Microbe	-4.201521861146665	4.201521861146665	-1.0	2.049761415664434	-2.049761415664434
55	Riboflavin	Limosilactobacillus_reuteri_I49	Metabolite	203.34556283194715	203.34556283194715	1.0	14.259928570366233	14.259928570366233
59	Limosilactobacillus_reuteri_I49	Riboflavin	Microbe	-0.9999999999996884	0.9999999999996884	-1.0	0.9999999999998441	-0.9999999999998441
76	Bacteroides_caecimuris_I48	Riboflavin	Microbe	-0.9999999999999994	0.9999999999999994	-1.0	0.9999999999999997	-0.9999999999999997
89	PAN	Bacteroides_caecimuris_I48	Metabolite	126.6890741173128	126.6890741173128	1.0	11.255624110519719	11.255624110519719
92	Bacteroides_caecimuris_I48	PAN	Microbe	-1.0000000000000044	1.0000000000000044	-1.0	1.0000000000000022	-1.0000000000000022
