	Source	Target	Microbe	Weight	Variance	ABS_Weight	Sign_Weight	ABSRootWeight	SignedRootWeight
0	PAN	Phosphate-e0	Bacteroides_caecimuris_I48	-127.45775495890307	1.1728192880756205e-19	127.45775495890307	-1.0	11.289718993797102	-11.289718993797102
1	PAN	Mn2+-e0	Bacteroides_caecimuris_I48	-0.9241112603158925	1.077589912725076e-23	0.9241112603158925	-1.0	0.9613070582888136	-0.9613070582888136
2	PAN	Zn2+-e0	Bacteroides_caecimuris_I48	-0.9241112603150043	1.1445582476416315e-23	0.9241112603150043	-1.0	0.9613070582883516	-0.9613070582883516
3	PAN	Sulfate-e0	Bacteroides_caecimuris_I48	-0.9241112601338833	1.0046056907282129e-19	0.9241112601338833	-1.0	0.9613070581941461	-0.9613070581941461
4	PAN	Co2+-e0	Bacteroides_caecimuris_I48	-0.9241112603154309	1.324677355745171e-23	0.9241112603154309	-1.0	0.9613070582885735	-0.9613070582885735
5	Spermidine-e0	Spermidine-e0	Bacteroides_caecimuris_I48	-0.9999999999999994	9.754984727283927e-32	0.9999999999999994	-1.0	0.9999999999999997	-0.9999999999999997
6	PAN	fe3-e0	Bacteroides_caecimuris_I48	-0.9241112602510122	1.5713716423620923e-20	0.9241112602510122	-1.0	0.9613070582550678	-0.9613070582550678
7	Spermidine-e0	H+-e0	Bacteroides_caecimuris_I48	4.178035231872575	0.2697368174579662	4.178035231872575	1.0	2.044024273797299	2.044024273797299
8	Folate	H+-e0	Bacteroides_caecimuris_I48	-3.7507506753703606	0.528684162206066	3.7507506753703606	-1.0	1.9366854869519625	-1.9366854869519625
9	Riboflavin	H+-e0	Bacteroides_caecimuris_I48	-4.537108397135811	1.823420886015673	4.537108397135811	-1.0	2.1300489189536966	-2.1300489189536966
10	PAN	H+-e0	Bacteroides_caecimuris_I48	1016.4588907168975	430686.26463610254	1016.4588907168975	1.0	31.881952429499947	31.881952429499947
11	PAN	Uracil-e0	Bacteroides_caecimuris_I48	-39.642230877392635	4.8273517530880007e-20	39.642230877392635	-1.0	6.296207658376003	-6.296207658376003
12	Folate	L-Aspartate-e0	Bacteroides_caecimuris_I48	1.8880387075291356	0.11537435138911022	1.8880387075291356	1.0	1.3740592081599452	1.3740592081599452
13	Riboflavin	L-Aspartate-e0	Bacteroides_caecimuris_I48	0.9777861711483737	0.09576647080518391	0.9777861711483737	1.0	0.9888307090439565	0.9888307090439565
14	PAN	L-Aspartate-e0	Bacteroides_caecimuris_I48	-1059.9973275199504	22414.20146273412	1059.9973275199504	-1.0	32.557600149887435	-32.557600149887435
15	Spermidine-e0	D-Glucose-e0	Bacteroides_caecimuris_I48	0.7450219136168234	0.06579394291055486	0.7450219136168234	1.0	0.8631465192056464	0.8631465192056464
16	Folate	D-Glucose-e0	Bacteroides_caecimuris_I48	1.0430306790520167	0.12895612810183502	1.0430306790520167	1.0	1.0212887344194181	1.0212887344194181
17	Riboflavin	D-Glucose-e0	Bacteroides_caecimuris_I48	1.9370569754031195	0.44476705407506556	1.9370569754031195	1.0	1.391781942476306	1.391781942476306
18	PAN	D-Glucose-e0	Bacteroides_caecimuris_I48	-938.978992304767	104510.41481693811	938.978992304767	-1.0	30.64276411005977	-30.64276411005977
19	PAN	L-Cysteine-e0	Bacteroides_caecimuris_I48	-13.013505963550092	1.012864810010077e-20	13.013505963550092	-1.0	3.607423729415508	-3.607423729415508
20	Folate	L-Glutamate-e0	Bacteroides_caecimuris_I48	0.8880387075444758	0.11537435138644599	0.8880387075444758	1.0	0.9423580569743518	0.9423580569743518
21	PAN	L-Glutamate-e0	Bacteroides_caecimuris_I48	-52.89018502213251	22414.2014624541	52.89018502213251	-1.0	7.272563854799249	-7.272563854799249
22	PAN	L-Histidine-e0	Bacteroides_caecimuris_I48	-11.393282031204627	4.509995248396062e-23	11.393282031204627	-1.0	3.375393611299966	-3.375393611299966
23	Spermidine-e0	L-Arginine-e0	Bacteroides_caecimuris_I48	0.9999999999999893	2.7617226930836566e-27	0.9999999999999893	1.0	0.9999999999999947	0.9999999999999947
24	PAN	L-Arginine-e0	Bacteroides_caecimuris_I48	-36.57235834181105	3.749500616656636e-21	36.57235834181105	-1.0	6.047508440821811	-6.047508440821811
