	0.0000-0.0000	0.0000-0.0012	0.0012-0.0727	0.0727-0.0728	0.0728-0.0732	0.0732-20.0000	Source	Target
PAN##Phosphate-e0##Bacteroides_caecimuris_I48	-127.45775495898921	-127.45775495898921	-127.45775495902124	-127.45775495792736	-127.45775495761023	-127.45775495792573	PAN	Phosphate-e0
PAN##Mn2+-e0##Bacteroides_caecimuris_I48	-0.9241112603168885	-0.9241112603168885	-0.9241112603170236	-0.92411126030749	-0.9241112603043268	-0.9241112603064634	PAN	Mn2+-e0
PAN##Zn2+-e0##Bacteroides_caecimuris_I48	-0.9241112603162648	-0.9241112603162648	-0.9241112603161651	-0.9241112603065029	-0.924111260302338	-0.9241112603053329	PAN	Zn2+-e0
PAN##Sulfate-e0##Bacteroides_caecimuris_I48	-0.9241112602938009	-0.9241112602938009	-0.9241112602420382	-0.9241112596091954	-0.9241112591473549	-0.9241112592142461	PAN	Sulfate-e0
PAN##Co2+-e0##Bacteroides_caecimuris_I48	-0.9241112603166932	-0.9241112603166932	-0.9241112603166803	-0.9241112603062759	-0.9241112603011978	-0.924111260305067	PAN	Co2+-e0
Spermidine-e0##Spermidine-e0##Bacteroides_caecimuris_I48	-1.0000000000000018	-1.0000000000000018	-0.9999999999999996	-0.9999999999999998	-0.9999999999999991	-0.9999999999999992	Spermidine-e0	Spermidine-e0
PAN##fe3-e0##Bacteroides_caecimuris_I48	-0.9241112603162324	-0.9241112603162324	-0.9241112602937493	-0.9241112600415697	-0.9241112598537963	-0.9241112598877136	PAN	fe3-e0
Spermidine-e0##H+-e0##Bacteroides_caecimuris_I48	4.000000000006949	4.000000000006949	4.000000000003091	7.333333333312817	5.6666666666626995	5.666666666664763	Spermidine-e0	H+-e0
Folate##H+-e0##Bacteroides_caecimuris_I48	-3.9999999999888938	-3.9999999999888938	-3.999999999984756	0.6666666665981325	-1.6666666666852568	-1.6666666666841516	Folate	H+-e0
Riboflavin##H+-e0##Bacteroides_caecimuris_I48	-4.999999999997434	-4.999999999997434	-4.999999999996257	3.666666666609908	-0.6666666666798222	-0.6666666666764316	Riboflavin	H+-e0
PAN##H+-e0##Bacteroides_caecimuris_I48	1241.4349110990406	1241.4349110990406	1241.4349110991125	-2959.689803654198	-864.7545514766175	-864.7545514781004	PAN	H+-e0
PAN##Uracil-e0##Bacteroides_caecimuris_I48	-39.64223087747768	-39.64223087747768	-39.64223087746805	-39.64223087689856	-39.64223087664513	-39.642230876759434	PAN	Uracil-e0
Folate##L-Aspartate-e0##Bacteroides_caecimuris_I48	1.999999999989986	1.999999999989986	1.999999999985571	1.9999999999732154	-0.33333333331238546	0.9999999999726795	Folate	L-Aspartate-e0
Riboflavin##L-Aspartate-e0##Bacteroides_caecimuris_I48	0.9999999999976354	0.9999999999976354	0.999999999996312	0.999999999973871	-3.333333333318724	0.9999999999730969	Riboflavin	L-Aspartate-e0
PAN##L-Aspartate-e0##Bacteroides_caecimuris_I48	-1074.1513280393933	-1074.1513280393933	-1074.151328039567	-1074.1513280287008	1020.7839241503082	-1040.003322385811	PAN	L-Aspartate-e0
Spermidine-e0##D-Glucose-e0##Bacteroides_caecimuris_I48	0.8333333333274123	0.8333333333274123	0.8333333333322629	0.0	0.0	0.0	Spermidine-e0	D-Glucose-e0
Folate##D-Glucose-e0##Bacteroides_caecimuris_I48	1.1666666666570895	1.1666666666570895	1.1666666666520675	0.0	0.0	0.0	Folate	D-Glucose-e0
Riboflavin##D-Glucose-e0##Bacteroides_caecimuris_I48	2.166666666664504	2.166666666664504	2.166666666662952	0.0	0.0	0.0	Riboflavin	D-Glucose-e0
PAN##D-Glucose-e0##Bacteroides_caecimuris_I48	-1050.2811786935656	-1050.2811786935656	-1050.2811786938544	0.0	0.0	0.0	PAN	D-Glucose-e0
PAN##L-Cysteine-e0##Bacteroides_caecimuris_I48	-13.013505963492717	-13.013505963492717	-13.013505963515883	-13.013505963676224	-13.013505963832495	-13.013505963843834	PAN	L-Cysteine-e0
Folate##L-Glutamate-e0##Bacteroides_caecimuris_I48	0.9999999999993869	0.9999999999993869	0.999999999999575	0.9999999999977724	-1.333333333285836	0.0	Folate	L-Glutamate-e0
PAN##L-Glutamate-e0##Bacteroides_caecimuris_I48	-67.04418554083968	-67.04418554083968	-67.04418554076432	-67.04418553916028	2027.8910666376844	-32.89617989615433	PAN	L-Glutamate-e0
PAN##L-Histidine-e0##Bacteroides_caecimuris_I48	-11.39328203119328	-11.39328203119328	-11.393282031202583	-11.393282031178291	-11.3932820312082	-11.393282031224338	PAN	L-Histidine-e0
Spermidine-e0##L-Arginine-e0##Bacteroides_caecimuris_I48	0.999999999999793	0.999999999999793	1.0000000000000084	0.9999999999997955	0.9999999999997701	0.9999999999998633	Spermidine-e0	L-Arginine-e0
PAN##L-Arginine-e0##Bacteroides_caecimuris_I48	-36.57235834181465	-36.57235834181465	-36.57235834183234	-36.57235834159414	-36.57235834157041	-36.57235834163744	PAN	L-Arginine-e0
PAN##L-Lysine-e0##Bacteroides_caecimuris_I48	-41.268999357414245	-41.268999357414245	-41.26899935743239	-41.268999357137545	-41.26899935709991	-41.26899935717821	PAN	L-Lysine-e0
Folate##Inosine-e0##Bacteroides_caecimuris_I48	0.9999999999994093	0.9999999999994093	0.9999999999991195	0.9999999999984993	0.9999999999983455	0.999999999998447	Folate	Inosine-e0
Riboflavin##Inosine-e0##Bacteroides_caecimuris_I48	0.999999999999868	0.999999999999868	0.9999999999997767	0.99999999999865	0.9999999999983239	0.999999999998633	Riboflavin	Inosine-e0
PAN##Inosine-e0##Bacteroides_caecimuris_I48	-60.08478561389323	-60.08478561389323	-60.08478561390647	-60.08478561336348	-60.08478561320504	-60.08478561334353	PAN	Inosine-e0
Spermidine-e0##NH3-e0##Bacteroides_caecimuris_I48	-2.833333333324839	-2.833333333324839	-0.9999999999990138	-2.6666666666382834	-0.9999999999844588	-0.9999999999880561	Spermidine-e0	NH3-e0
Folate##NH3-e0##Bacteroides_caecimuris_I48	-4.233333333317306	-4.233333333317306	-5.999999999981471	-8.333333333252144	-5.999999999964201	-5.999999999966365	Folate	NH3-e0
Riboflavin##NH3-e0##Bacteroides_caecimuris_I48	-2.3666666666626464	-2.3666666666626464	-2.9999999999952314	-7.333333333260712	-2.999999999962012	-2.999999999968473	Riboflavin	NH3-e0
PAN##NH3-e0##Bacteroides_caecimuris_I48	1546.7054403364955	1546.7054403364955	1284.9888171638406	3385.551174522352	1290.6159223403415	1290.6159223432269	PAN	NH3-e0
PAN##Neu5Ac-e0##Bacteroides_caecimuris_I48	-6.992697026089294	-6.992697026089294	-6.9926970260830315	-6.992697025910717	-6.992697025807088	-6.992697025836037	PAN	Neu5Ac-e0
PAN##L-Asparagine-e0##Bacteroides_caecimuris_I48	-28.989573168200064	-28.989573168200064	-28.989573168131436	-28.989573167011716	-28.989573166299795	-28.989573166458378	PAN	L-Asparagine-e0
PAN##Ca2+-e0##Bacteroides_caecimuris_I48	-0.9241112603168471	-0.9241112603168471	-0.9241112603168654	-0.9241112603060788	-0.9241112603031101	-0.9241112603047233	PAN	Ca2+-e0
PAN##Cu2+-e0##Bacteroides_caecimuris_I48	-0.9241112603174788	-0.9241112603174788	-0.9241112603173518	-0.9241112603050392	-0.9241112603019326	-0.9241112603048423	PAN	Cu2+-e0
PAN##Fe2+-e0##Bacteroides_caecimuris_I48	-1.9241112603154504	-1.9241112603154504	-1.9241112603384827	-1.9241112605607895	-1.9241112607361883	-1.9241112607076603	PAN	Fe2+-e0
PAN##K+-e0##Bacteroides_caecimuris_I48	-0.9241112603192252	-0.9241112603192252	-0.9241112603191125	-0.9241112603085064	-0.9241112603031001	-0.9241112603062298	PAN	K+-e0
Spermidine-e0##L-Methionine-e0##Bacteroides_caecimuris_I48	0.9999999999998942	0.9999999999998942	0.9999999999998449	0.9999999999995047	0.9999999999993124	0.9999999999993847	Spermidine-e0	L-Methionine-e0
PAN##L-Methionine-e0##Bacteroides_caecimuris_I48	-19.48243529502173	-19.48243529502173	-19.48243529500562	-19.482435294588704	-19.482435294353202	-19.482435294418988	PAN	L-Methionine-e0
PAN##Cl--e0##Bacteroides_caecimuris_I48	-0.9241112603180015	-0.9241112603180015	-0.9241112603180778	-0.9241112603058695	-0.9241112603019171	-0.9241112603052624	PAN	Cl--e0
PAN##Mg-e0##Bacteroides_caecimuris_I48	-0.9241112603172534	-0.9241112603172534	-0.9241112603172864	-0.9241112603073935	-0.9241112603046469	-0.9241112603067755	PAN	Mg-e0
PAN##Sucrose-e0##Bacteroides_caecimuris_I48	-6.9926970261079004	-6.9926970261079004	-6.992697026121277	-6.992697026173473	-6.99269702622729	-6.992697026238125	PAN	Sucrose-e0
Spermidine-e0##H2O-e0##Bacteroides_caecimuris_I48	1.8333333333319048	1.8333333333319048	0.0	0.0	0.0	0.0	Spermidine-e0	H2O-e0
Folate##H2O-e0##Bacteroides_caecimuris_I48	-1.766666666670421	-1.766666666670421	0.0	0.0	0.0	0.0	Folate	H2O-e0
Riboflavin##H2O-e0##Bacteroides_caecimuris_I48	-0.6333333333344977	-0.6333333333344977	0.0	0.0	0.0	0.0	Riboflavin	H2O-e0
PAN##H2O-e0##Bacteroides_caecimuris_I48	-261.716623173011	-261.716623173011	0.0	0.0	0.0	0.0	PAN	H2O-e0
PAN##L-Glycine##Bacteroides_caecimuris_I48	-77.04945194228354	-77.04945194228354	-77.04945194248053	-4278.174166682971	-88.30366232692359	-88.3036623271036	PAN	L-Glycine
PAN##L-Phenylalanine##Bacteroides_caecimuris_I48	-22.28019597210331	-22.28019597210331	-22.28019597210547	-22.28019597187099	-22.280195971795195	-22.280195971847284	PAN	L-Phenylalanine
PAN##L-Proline##Bacteroides_caecimuris_I48	-26.58432473943982	-26.58432473943982	-26.584324739442877	-26.584324739164813	-26.584324739075743	-26.584324739137802	PAN	L-Proline
Spermidine-e0##L-Serine##Bacteroides_caecimuris_I48	0.8333333333291619	0.8333333333291619	-1.0000000000003693	-2.666666666653757	-1.0000000000049623	-1.000000000003531	Spermidine-e0	L-Serine
Folate##L-Serine##Bacteroides_caecimuris_I48	4.233333333324328	4.233333333324328	5.999999999992282	3.6666666667029095	5.999999999985777	5.999999999986636	Folate	L-Serine
Riboflavin##L-Serine##Bacteroides_caecimuris_I48	1.3666666666643374	1.3666666666643374	1.999999999998112	-2.3333333333011175	1.9999999999863933	1.999999999988836	Riboflavin	L-Serine
PAN##L-Serine##Bacteroides_caecimuris_I48	-810.5852855642523	-810.5852855642523	-548.8686623913384	1551.693694983335	-543.2415571930442	-543.2415571941228	PAN	L-Serine
PAN##L-Threonine##Bacteroides_caecimuris_I48	-75.99313011345495	-75.99313011345495	-75.9931301134841	-75.99313011290123	-75.99313011280155	-75.99313011295247	PAN	L-Threonine
PAN##L-Tryptophan##Bacteroides_caecimuris_I48	-6.835969218711976	-6.835969218711976	-6.835969218715426	-6.835969218680876	-6.835969218680376	-6.8359692186914085	PAN	L-Tryptophan
PAN##L-Tyrosine##Bacteroides_caecimuris_I48	-17.08355495650266	-17.08355495650266	-17.08355495650958	-17.08355495640422	-17.083554956374368	-17.083554956419132	PAN	L-Tyrosine
Folate##Folate##Bacteroides_caecimuris_I48	-1.0000000000000004	-1.0000000000000004	-1.0000000000000004	-1.0000000000000007	-0.9999999999999996	-1.0000000000000007	Folate	Folate
Riboflavin##Riboflavin##Bacteroides_caecimuris_I48	-0.9999999999999992	-0.9999999999999992	-0.9999999999999994	-0.9999999999999998	-0.9999999999999993	-1.0000000000000002	Riboflavin	Riboflavin
PAN##PAN##Bacteroides_caecimuris_I48	-1.0000000000002573	-1.0000000000002573	-1.0000000000000044	-1.0000000000000804	-0.9999999999999036	-0.9999999999998952	PAN	PAN
Spermidine-e0##H2O-e0##Turicimonas_muris_YL45	-0.9999999999836297	-0.999999999983026	-0.999999999983026	-0.999999999983026	-0.999999999983026	-0.999999999983026	Spermidine-e0	H2O-e0
Folate##H2O-e0##Turicimonas_muris_YL45	10.499999999980227	10.499999999961402	10.499999999961402	10.499999999961402	10.499999999961402	10.499999999961402	Folate	H2O-e0
Riboflavin##H2O-e0##Turicimonas_muris_YL45	-5254.119353031597	-5247.119353027718	-5247.119353027718	-5247.119353027718	-5247.119353027718	-5247.119353027718	Riboflavin	H2O-e0
Riboflavin##Phosphate-e0##Turicimonas_muris_YL45	-127.45775495970794	-127.45775495960842	-127.45775495960842	-127.45775495960842	-127.45775495960842	-127.45775495960842	Riboflavin	Phosphate-e0
