	Source	Target	SourceType	Weight	Cofactor	Match	ABS_Weight	Sign_Weight	ABSRootWeight	SignedRootWeight
1	PAN	Bacteroides_caecimuris_I48	Metabolite	126.68907411573402	None	-1	126.68907411573402	1.0	11.255624110449585	11.255624110449585
4	Bacteroides_caecimuris_I48	Phosphate-e0	Microbe	-127.45775495761148	PAN	0	127.45775495761148	-1.0	11.289718993739902	-11.289718993739902
6	Bacteroides_caecimuris_I48	Mn2+-e0	Microbe	-0.9241112603057615	PAN	0	0.9241112603057615	-1.0	0.9613070582835442	-0.9613070582835442
8	Bacteroides_caecimuris_I48	Zn2+-e0	Microbe	-0.9241112603047356	PAN	0	0.9241112603047356	-1.0	0.9613070582830107	-0.9613070582830107
22	Bacteroides_caecimuris_I48	Sulfate-e0	Microbe	-0.9241112598300851	PAN	0	0.9241112598300851	-1.0	0.9613070580361329	-0.9613070580361329
25	Bacteroides_caecimuris_I48	Co2+-e0	Microbe	-0.9241112603037622	PAN	0	0.9241112603037622	-1.0	0.9613070582825044	-0.9613070582825044
27	Bacteroides_caecimuris_I48	Spermidine-e0	Microbe	-1.0000000000000007	Spermidine-e0	1	1.0000000000000007	-1.0	1.0000000000000002	-1.0000000000000002
41	Bacteroides_caecimuris_I48	fe3-e0	Microbe	-0.9241112601300211	PAN	0	0.9241112601300211	-1.0	0.9613070581921372	-0.9613070581921372
44	Bacteroides_caecimuris_I48	H+-e0	Microbe	5.666666666658839	Spermidine-e0	0	5.666666666658839	1.0	2.3804761428459726	2.3804761428459726
49	Bacteroides_caecimuris_I48	H+-e0	Microbe	1.9999999999920353	D-Glucose-e0	0	1.9999999999920353	1.0	1.4142135623702792	1.4142135623702792
72	Bacteroides_caecimuris_I48	H+-e0	Microbe	-1.6666666666870087	Folate	0	1.6666666666870087	-1.0	1.290994448743684	-1.290994448743684
73	Bacteroides_caecimuris_I48	H+-e0	Microbe	-0.6666666666875298	Riboflavin	0	0.6666666666875298	-1.0	0.816496580940502	-0.816496580940502
74	Bacteroides_caecimuris_I48	H+-e0	Microbe	-782.0779943369596	PAN	0	782.0779943369596	-1.0	27.965657409346907	-27.965657409346907
93	Bacteroides_caecimuris_I48	Uracil-e0	Microbe	-39.64223087688516	PAN	0	39.64223087688516	-1.0	6.296207658335703	-6.296207658335703
131	Bacteroides_caecimuris_I48	L-Aspartate-e0	Microbe	0.9999999999917845	Folate	0	0.9999999999917845	1.0	0.9999999999958922	0.9999999999958922
132	Bacteroides_caecimuris_I48	L-Aspartate-e0	Microbe	-301.5090491721949	PAN	0	301.5090491721949	-1.0	17.36401592870137	-17.36401592870137
133	Bacteroides_caecimuris_I48	L-Aspartate-e0	Microbe	1.0000000000005704	Glutamine	0	1.0000000000005704	1.0	1.000000000000285	1.000000000000285
135	Bacteroides_caecimuris_I48	D-Glucose-e0	Microbe	-0.9999999999999994	D-Glucose-e0	1	0.9999999999999994	-1.0	0.9999999999999997	-0.9999999999999997
149	Bacteroides_caecimuris_I48	L-Cysteine-e0	Microbe	-13.013505963559819	PAN	0	13.013505963559819	-1.0	3.607423729416856	-3.607423729416856
166	Bacteroides_caecimuris_I48	L-Glutamate-e0	Microbe	0.9999999999980818	Folate	0	0.9999999999980818	1.0	0.9999999999990409	0.9999999999990409
167	Bacteroides_caecimuris_I48	L-Glutamate-e0	Microbe	-67.0441855393887	PAN	0	67.0441855393887	-1.0	8.188051388418902	-8.188051388418902
168	Bacteroides_caecimuris_I48	L-Glutamate-e0	Microbe	1.0000000000006137	Glutamine	0	1.0000000000006137	1.0	1.0000000000003069	1.0000000000003069
183	Bacteroides_caecimuris_I48	L-Histidine-e0	Microbe	-11.393282031116938	PAN	0	11.393282031116938	-1.0	3.3753936112869765	-3.3753936112869765
185	Bacteroides_caecimuris_I48	L-Arginine-e0	Microbe	0.9999999999997173	Spermidine-e0	0	0.9999999999997173	1.0	0.9999999999998587	0.9999999999998587
199	Bacteroides_caecimuris_I48	L-Arginine-e0	Microbe	-36.57235834145778	PAN	0	36.57235834145778	-1.0	6.047508440792603	-6.047508440792603
214	Bacteroides_caecimuris_I48	L-Lysine-e0	Microbe	-41.26899935699875	PAN	0	41.26899935699875	-1.0	6.424095216993499	-6.424095216993499
234	Bacteroides_caecimuris_I48	Inosine-e0	Microbe	0.999999999998339	Folate	0	0.999999999998339	1.0	0.9999999999991694	0.9999999999991694
235	Bacteroides_caecimuris_I48	Inosine-e0	Microbe	0.9999999999983522	Riboflavin	0	0.9999999999983522	1.0	0.9999999999991761	0.9999999999991761
236	Bacteroides_caecimuris_I48	Inosine-e0	Microbe	-60.08478561320181	PAN	0	60.08478561320181	-1.0	7.751437648152877	-7.751437648152877
241	Bacteroides_caecimuris_I48	NH3-e0	Microbe	-2.666666666639912	Spermidine-e0	0	2.666666666639912	-1.0	1.6329931618472602	-1.6329931618472602
247	Bacteroides_caecimuris_I48	NH3-e0	Microbe	-1.9999999999732296	D-Glucose-e0	0	1.9999999999732296	-1.0	1.4142135623636303	-1.4142135623636303
267	Bacteroides_caecimuris_I48	NH3-e0	Microbe	1.9999999999980387	O2-e0	0	1.9999999999980387	1.0	1.4142135623724017	1.4142135623724017
275	Bacteroides_caecimuris_I48	NH3-e0	Microbe	-7.333333333266201	Folate	0	7.333333333266201	-1.0	2.708012801532925	-2.708012801532925
276	Bacteroides_caecimuris_I48	NH3-e0	Microbe	-6.333333333263363	Riboflavin	0	6.333333333263363	-1.0	2.516611478409682	-2.516611478409682
277	Bacteroides_caecimuris_I48	NH3-e0	Microbe	2535.8594437151683	PAN	0	2535.8594437151683	1.0	50.357317677922126	50.357317677922126
278	Bacteroides_caecimuris_I48	NH3-e0	Microbe	-1.0000000000015918	Glutamine	0	1.0000000000015918	-1.0	1.0000000000007958	-1.0000000000007958
296	Bacteroides_caecimuris_I48	Neu5Ac-e0	Microbe	-6.992697025922361	PAN	0	6.992697025922361	-1.0	2.6443708185355472	-2.6443708185355472
298	Bacteroides_caecimuris_I48	Acetate-e0	Microbe	1.0000000000179354	Spermidine-e0	0	1.0000000000179354	1.0	1.0000000000089677	1.0000000000089677
322	Bacteroides_caecimuris_I48	Acetate-e0	Microbe	1.9999999999993232	O2-e0	0	1.9999999999993232	1.0	1.4142135623728558	1.4142135623728558
330	Bacteroides_caecimuris_I48	Acetate-e0	Microbe	-5.999999999956125	Folate	0	5.999999999956125	-1.0	2.449489742774222	-2.449489742774222
331	Bacteroides_caecimuris_I48	Acetate-e0	Microbe	-2.9999999999537748	Riboflavin	0	2.9999999999537748	-1.0	1.7320508075555332	-1.7320508075555332
332	Bacteroides_caecimuris_I48	Acetate-e0	Microbe	1662.0792341655042	PAN	0	1662.0792341655042	1.0	40.76860598751819	40.76860598751819
333	Bacteroides_caecimuris_I48	Acetate-e0	Microbe	-1.0000000000014173	Glutamine	0	1.0000000000014173	-1.0	1.0000000000007085	-1.0000000000007085
350	Bacteroides_caecimuris_I48	L-Asparagine-e0	Microbe	-28.9895731672683	PAN	0	28.9895731672683	-1.0	5.384196612983993	-5.384196612983993
353	Bacteroides_caecimuris_I48	Ca2+-e0	Microbe	-0.9241112603046066	PAN	0	0.9241112603046066	-1.0	0.9613070582829435	-0.9613070582829435
355	Bacteroides_caecimuris_I48	Cu2+-e0	Microbe	-0.9241112603058714	PAN	0	0.9241112603058714	-1.0	0.9613070582836014	-0.9613070582836014
369	Bacteroides_caecimuris_I48	Fe2+-e0	Microbe	-1.924111260461581	PAN	0	1.924111260461581	-1.0	1.3871233760778388	-1.3871233760778388
387	Bacteroides_caecimuris_I48	Formate-e0	Microbe	-0.9999999999979291	Folate	0	0.9999999999979291	-1.0	0.9999999999989645	-0.9999999999989645
388	Bacteroides_caecimuris_I48	Formate-e0	Microbe	-2.9999999999994245	Riboflavin	0	2.9999999999994245	-1.0	1.732050807568711	-1.732050807568711
389	Bacteroides_caecimuris_I48	Formate-e0	Microbe	82.54945194250271	PAN	0	82.54945194250271	1.0	9.085672894315683	9.085672894315683
409	Bacteroides_caecimuris_I48	K+-e0	Microbe	-0.9241112603060418	PAN	0	0.9241112603060418	-1.0	0.96130705828369	-0.96130705828369
412	Bacteroides_caecimuris_I48	L-Methionine-e0	Microbe	0.9999999999995761	Spermidine-e0	0	0.9999999999995761	1.0	0.9999999999997881	0.9999999999997881
426	Bacteroides_caecimuris_I48	L-Methionine-e0	Microbe	-19.482435294624153	PAN	0	19.482435294624153	-1.0	4.413891173853763	-4.413891173853763
451	Bacteroides_caecimuris_I48	Succinate-e0	Microbe	-0.9999999999930969	Folate	0	0.9999999999930969	-1.0	0.9999999999965484	-0.9999999999965484
452	Bacteroides_caecimuris_I48	Succinate-e0	Microbe	261.77130174825095	PAN	0	261.77130174825095	1.0	16.179348001333395	16.179348001333395
453	Bacteroides_caecimuris_I48	Succinate-e0	Microbe	-1.0000000000003737	Glutamine	0	1.0000000000003737	-1.0	1.0000000000001867	-1.0000000000001867
458	Bacteroides_caecimuris_I48	Cl--e0	Microbe	-0.9241112603047222	PAN	0	0.9241112603047222	-1.0	0.9613070582830037	-0.9613070582830037
464	Bacteroides_caecimuris_I48	H2-e0	Microbe	2.6666666666708	Spermidine-e0	0	2.6666666666708	1.0	1.6329931618567177	1.6329931618567177
469	Bacteroides_caecimuris_I48	H2-e0	Microbe	2.000000000006058	D-Glucose-e0	0	2.000000000006058	1.0	1.4142135623752368	1.4142135623752368
497	Bacteroides_caecimuris_I48	H2-e0	Microbe	-4.66666666664637	Folate	0	4.66666666664637	-1.0	2.160246899464589	-2.160246899464589
498	Bacteroides_caecimuris_I48	H2-e0	Microbe	0.3333333333505315	Riboflavin	0	0.3333333333505315	1.0	0.5773502692045198	0.5773502692045198
499	Bacteroides_caecimuris_I48	H2-e0	Microbe	765.0599870611414	PAN	0	765.0599870611414	1.0	27.659717769007358	27.659717769007358
506	Bacteroides_caecimuris_I48	Mg-e0	Microbe	-0.9241112603061694	PAN	0	0.9241112603061694	-1.0	0.9613070582837564	-0.9613070582837564
546	Bacteroides_caecimuris_I48	Sucrose-e0	Microbe	-6.992697026095807	PAN	0	6.992697026095807	-1.0	2.6443708185683428	-2.6443708185683428
552	Bacteroides_caecimuris_I48	Glycerol-e0	Microbe	3.9543954169848807	PAN	0	3.9543954169848807	1.0	1.988566171135595	1.988566171135595
590	Bacteroides_caecimuris_I48	CO2-e0	Microbe	-1.9999999999752296	Spermidine-e0	0	1.9999999999752296	-1.0	1.4142135623643375	-1.4142135623643375
614	Bacteroides_caecimuris_I48	CO2-e0	Microbe	1.9999999999985967	O2-e0	0	1.9999999999985967	1.0	1.4142135623725989	1.4142135623725989
622	Bacteroides_caecimuris_I48	CO2-e0	Microbe	-5.999999999938496	Folate	0	5.999999999938496	-1.0	2.449489742770624	-2.449489742770624
623	Bacteroides_caecimuris_I48	CO2-e0	Microbe	-2.9999999999356617	Riboflavin	0	2.9999999999356617	-1.0	1.7320508075503045	-1.7320508075503045
624	Bacteroides_caecimuris_I48	CO2-e0	Microbe	2304.0323607073933	PAN	0	2304.0323607073933	1.0	48.000337089518375	48.000337089518375
625	Bacteroides_caecimuris_I48	CO2-e0	Microbe	-1.0000000000016311	Glutamine	0	1.0000000000016311	-1.0	1.0000000000008156	-1.0000000000008156
629	Bacteroides_caecimuris_I48	O2-e0	Microbe	-1.0000000000000004	O2-e0	1	1.0000000000000004	-1.0	1.0000000000000002	-1.0000000000000002
630	Bacteroides_caecimuris_I48	5-Methylthio-D-ribose-e0	Microbe	-0.9999999999999944	Spermidine-e0	0	0.9999999999999944	-1.0	0.9999999999999972	-0.9999999999999972
632	Bacteroides_caecimuris_I48	5-Methylthio-D-ribose-e0	Microbe	0.4999999999919961	PAN	0	0.4999999999919961	1.0	0.7071067811808879	0.7071067811808879
669	Bacteroides_caecimuris_I48	L-Phenylalanine	Microbe	-22.280195971828988	PAN	0	22.280195971828988	-1.0	4.720190247418952	-4.720190247418952
671	Bacteroides_caecimuris_I48	L-Proline	Microbe	-26.58432473911248	PAN	0	26.58432473911248	-1.0	5.155998907982087	-5.155998907982087
673	Bacteroides_caecimuris_I48	L-Serine	Microbe	0.6666666666398489	Spermidine-e0	0	0.6666666666398489	1.0	0.8164965809113035	0.8164965809113035
678	Bacteroides_caecimuris_I48	L-Serine	Microbe	1.9999999999726497	D-Glucose-e0	0	1.9999999999726497	1.0	1.4142135623634253	1.4142135623634253
698	Bacteroides_caecimuris_I48	L-Serine	Microbe	-1.9999999999966338	O2-e0	0	1.9999999999966338	-1.0	1.414213562371905	-1.414213562371905
705	Bacteroides_caecimuris_I48	L-Serine	Microbe	8.333333333263461	Folate	0	8.333333333263461	1.0	2.886751345936027	2.886751345936027
706	Bacteroides_caecimuris_I48	L-Serine	Microbe	6.333333333261573	Riboflavin	0	6.333333333261573	1.0	2.5166114784093256	2.5166114784093256
707	Bacteroides_caecimuris_I48	L-Serine	Microbe	-2649.431019747923	PAN	0	2649.431019747923	-1.0	51.472623983511106	-51.472623983511106
708	Bacteroides_caecimuris_I48	L-Serine	Microbe	1.0000000000009326	Glutamine	0	1.0000000000009326	1.0	1.0000000000004663	1.0000000000004663
728	Bacteroides_caecimuris_I48	L-Threonine	Microbe	-75.99313011266312	PAN	0	75.99313011266312	-1.0	8.717403863115619	-8.717403863115619
743	Bacteroides_caecimuris_I48	L-Tryptophan	Microbe	-6.835969218649042	PAN	0	6.835969218649042	-1.0	2.6145686486778352	-2.6145686486778352
758	Bacteroides_caecimuris_I48	L-Tyrosine	Microbe	-17.083554956342407	PAN	0	17.083554956342407	-1.0	4.133225732565596	-4.133225732565596
760	Bacteroides_caecimuris_I48	Folate	Microbe	-1.0000000000000009	Folate	1	1.0000000000000009	-1.0	1.0000000000000004	-1.0000000000000004
761	Bacteroides_caecimuris_I48	Riboflavin	Microbe	-0.9999999999999994	Riboflavin	1	0.9999999999999994	-1.0	0.9999999999999997	-0.9999999999999997
762	Bacteroides_caecimuris_I48	PAN	Microbe	-0.9999999999999862	PAN	1	0.9999999999999862	-1.0	0.9999999999999931	-0.9999999999999931
763	Bacteroides_caecimuris_I48	Glutamine	Microbe	-1.0000000000000002	Glutamine	1	1.0000000000000002	-1.0	1.0	-1.0
765	Bacteroides_caecimuris_I48	Glycolaldehyde-e0	Microbe	-0.9999999999999396	Folate	0	0.9999999999999396	-1.0	0.9999999999999698	-0.9999999999999698
766	Bacteroides_caecimuris_I48	Glycolaldehyde-e0	Microbe	1.4999999999704565	PAN	0	1.4999999999704565	1.0	1.224744871379528	1.224744871379528
781	Bacteroides_caecimuris_I48	5'-Deoxyadenosine-e0	Microbe	1.500000000002879	PAN	0	1.500000000002879	1.0	1.2247448713927644	1.2247448713927644
799	Bacteroides_caecimuris_I48	Sorbitol-e0-e0	Microbe	6.992697024126019	PAN	0	6.992697024126019	1.0	2.6443708181958936	2.6443708181958936
