	0.0000-20.0000	Source	Target
Putrescine-e0##H2O-e0##Bifidobacterium_animalis_YL2	-0.6666666666684635	Putrescine-e0	H2O-e0
Spermidine-e0##H2O-e0##Bifidobacterium_animalis_YL2	-1.6666666666713532	Spermidine-e0	H2O-e0
Thiamin-e0##H2O-e0##Bifidobacterium_animalis_YL2	-14.333333333356306	Thiamin-e0	H2O-e0
Melitose-e0##H2O-e0##Bifidobacterium_animalis_YL2	-2.0000000000054836	Melitose-e0	H2O-e0
Sucrose-e0##H2O-e0##Bifidobacterium_animalis_YL2	-1.0000000000054103	Sucrose-e0	H2O-e0
Folate##H2O-e0##Bifidobacterium_animalis_YL2	-12.000000000023237	Folate	H2O-e0
Riboflavin##H2O-e0##Bifidobacterium_animalis_YL2	1139.6634997103026	Riboflavin	H2O-e0
Riboflavin##Phosphate-e0##Bifidobacterium_animalis_YL2	-129.86418561970612	Riboflavin	Phosphate-e0
Putrescine-e0##L-Glutamate-e0##Bifidobacterium_animalis_YL2	2.0000000000002265	Putrescine-e0	L-Glutamate-e0
Spermidine-e0##L-Glutamate-e0##Bifidobacterium_animalis_YL2	2.000000000000487	Spermidine-e0	L-Glutamate-e0
Thiamin-e0##L-Glutamate-e0##Bifidobacterium_animalis_YL2	4.000000000002696	Thiamin-e0	L-Glutamate-e0
Folate##L-Glutamate-e0##Bifidobacterium_animalis_YL2	4.000000000002794	Folate	L-Glutamate-e0
Riboflavin##L-Glutamate-e0##Bifidobacterium_animalis_YL2	-142.09682062181184	Riboflavin	L-Glutamate-e0
Putrescine-e0##D-Glucose-e0##Bifidobacterium_animalis_YL2	-0.13333333332996097	Putrescine-e0	D-Glucose-e0
Spermidine-e0##D-Glucose-e0##Bifidobacterium_animalis_YL2	2.266666666676059	Spermidine-e0	D-Glucose-e0
Thiamin-e0##D-Glucose-e0##Bifidobacterium_animalis_YL2	12.133333333376763	Thiamin-e0	D-Glucose-e0
Melitose-e0##D-Glucose-e0##Bifidobacterium_animalis_YL2	2.5333333333440295	Melitose-e0	D-Glucose-e0
Sucrose-e0##D-Glucose-e0##Bifidobacterium_animalis_YL2	2.4000000000105794	Sucrose-e0	D-Glucose-e0
Folate##D-Glucose-e0##Bifidobacterium_animalis_YL2	9.800000000044323	Folate	D-Glucose-e0
Riboflavin##D-Glucose-e0##Bifidobacterium_animalis_YL2	-2223.034508971328	Riboflavin	D-Glucose-e0
Riboflavin##Mn2+-e0##Bifidobacterium_animalis_YL2	-0.70606253597714	Riboflavin	Mn2+-e0
Riboflavin##Zn2+-e0##Bifidobacterium_animalis_YL2	-0.7060625359782816	Riboflavin	Zn2+-e0
Riboflavin##L-Lysine-e0##Bifidobacterium_animalis_YL2	-36.359661934773506	Riboflavin	L-Lysine-e0
Thiamin-e0##L-Aspartate-e0##Bifidobacterium_animalis_YL2	2.000000000000936	Thiamin-e0	L-Aspartate-e0
Folate##L-Aspartate-e0##Bifidobacterium_animalis_YL2	1.000000000000956	Folate	L-Aspartate-e0
Riboflavin##L-Aspartate-e0##Bifidobacterium_animalis_YL2	-49.356509203758684	Riboflavin	L-Aspartate-e0
Riboflavin##L-Arginine-e0##Bifidobacterium_animalis_YL2	-21.72374738380848	Riboflavin	L-Arginine-e0
Riboflavin##L-Leucine-e0##Bifidobacterium_animalis_YL2	-47.22328715539825	Riboflavin	L-Leucine-e0
Melitose-e0##Galactose-e0##Bifidobacterium_animalis_YL2	1.000000000000004	Melitose-e0	Galactose-e0
Putrescine-e0##Putrescine-e0##Bifidobacterium_animalis_YL2	-1.0000000000000016	Putrescine-e0	Putrescine-e0
Riboflavin##L-Histidine-e0##Bifidobacterium_animalis_YL2	-9.204977705001488	Riboflavin	L-Histidine-e0
Riboflavin##L-Proline-e0##Bifidobacterium_animalis_YL2	-18.087781190335544	Riboflavin	L-Proline-e0
Riboflavin##Co2+-e0##Bifidobacterium_animalis_YL2	-0.7060625359663923	Riboflavin	Co2+-e0
Riboflavin##L-Valine-e0##Bifidobacterium_animalis_YL2	-34.56469128230363	Riboflavin	L-Valine-e0
Putrescine-e0##L-Threonine-e0##Bifidobacterium_animalis_YL2	-0.33333333333317605	Putrescine-e0	L-Threonine-e0
Spermidine-e0##L-Threonine-e0##Bifidobacterium_animalis_YL2	-0.3333333333330352	Spermidine-e0	L-Threonine-e0
Thiamin-e0##L-Threonine-e0##Bifidobacterium_animalis_YL2	2.333333333334705	Thiamin-e0	L-Threonine-e0
Folate##L-Threonine-e0##Bifidobacterium_animalis_YL2	2.0000000000014944	Folate	L-Threonine-e0
Riboflavin##L-Threonine-e0##Bifidobacterium_animalis_YL2	-79.87901037004686	Riboflavin	L-Threonine-e0
Spermidine-e0##Spermidine-e0##Bifidobacterium_animalis_YL2	-0.9999999999999998	Spermidine-e0	Spermidine-e0
Thiamin-e0##Thiamin-e0##Bifidobacterium_animalis_YL2	-1.0000000000000027	Thiamin-e0	Thiamin-e0
Riboflavin##L-Isoleucine-e0##Bifidobacterium_animalis_YL2	-38.57060811266219	Riboflavin	L-Isoleucine-e0
Riboflavin##fe3-e0##Bifidobacterium_animalis_YL2	-0.7060625359774212	Riboflavin	fe3-e0
Putrescine-e0##H+-e0##Bifidobacterium_animalis_YL2	2.666666666642336	Putrescine-e0	H+-e0
Spermidine-e0##H+-e0##Bifidobacterium_animalis_YL2	-0.3333333333540036	Spermidine-e0	H+-e0
Thiamin-e0##H+-e0##Bifidobacterium_animalis_YL2	-31.666666666514377	Thiamin-e0	H+-e0
Melitose-e0##H+-e0##Bifidobacterium_animalis_YL2	-1.3333333333537536	Melitose-e0	H+-e0
Sucrose-e0##H+-e0##Bifidobacterium_animalis_YL2	-1.0000000000204206	Sucrose-e0	H+-e0
Folate##H+-e0##Bifidobacterium_animalis_YL2	-27.999999999926708	Folate	H+-e0
Riboflavin##H+-e0##Bifidobacterium_animalis_YL2	5039.442807944446	Riboflavin	H+-e0
Riboflavin##Uracil-e0##Bifidobacterium_animalis_YL2	-12.165428977296356	Riboflavin	Uracil-e0
Thiamin-e0##L-Alanine-e0##Bifidobacterium_animalis_YL2	-0.9999999999986954	Thiamin-e0	L-Alanine-e0
Riboflavin##L-Alanine-e0##Bifidobacterium_animalis_YL2	-51.534440073271604	Riboflavin	L-Alanine-e0
Spermidine-e0##L-Methionine-e0##Bifidobacterium_animalis_YL2	1.0000000000000595	Spermidine-e0	L-Methionine-e0
Riboflavin##L-Methionine-e0##Bifidobacterium_animalis_YL2	-13.748894121423692	Riboflavin	L-Methionine-e0
Thiamin-e0##L-Cysteine-e0##Bifidobacterium_animalis_YL2	1.0000000000001792	Thiamin-e0	L-Cysteine-e0
Riboflavin##L-Cysteine-e0##Bifidobacterium_animalis_YL2	-8.397459504982425	Riboflavin	L-Cysteine-e0
Thiamin-e0##L-Tyrosine-e0##Bifidobacterium_animalis_YL2	1.000000000000335	Thiamin-e0	L-Tyrosine-e0
Riboflavin##L-Tyrosine-e0##Bifidobacterium_animalis_YL2	-12.97274479028763	Riboflavin	L-Tyrosine-e0
Riboflavin##L-Phenylalanine-e0##Bifidobacterium_animalis_YL2	-19.790702065759497	Riboflavin	L-Phenylalanine-e0
Putrescine-e0##L-Serine-e0##Bifidobacterium_animalis_YL2	0.33333333333336473	Putrescine-e0	L-Serine-e0
Spermidine-e0##L-Serine-e0##Bifidobacterium_animalis_YL2	0.3333333333335494	Spermidine-e0	L-Serine-e0
Thiamin-e0##L-Serine-e0##Bifidobacterium_animalis_YL2	-0.3333333333318964	Thiamin-e0	L-Serine-e0
Folate##L-Serine-e0##Bifidobacterium_animalis_YL2	-0.9999999999987079	Folate	L-Serine-e0
Riboflavin##L-Serine-e0##Bifidobacterium_animalis_YL2	-44.46607190644972	Riboflavin	L-Serine-e0
Folate##NH3-e0##Bifidobacterium_animalis_YL2	1.0000000000001807	Folate	NH3-e0
Riboflavin##NH3-e0##Bifidobacterium_animalis_YL2	-14.084762773289095	Riboflavin	NH3-e0
Riboflavin##L-Asparagine-e0##Bifidobacterium_animalis_YL2	-16.66100964603599	Riboflavin	L-Asparagine-e0
Riboflavin##Ca2+-e0##Bifidobacterium_animalis_YL2	-0.7060625359769327	Riboflavin	Ca2+-e0
Riboflavin##Cu2+-e0##Bifidobacterium_animalis_YL2	-0.706062535975837	Riboflavin	Cu2+-e0
Riboflavin##Fe2+-e0##Bifidobacterium_animalis_YL2	-1.7060625359812425	Riboflavin	Fe2+-e0
Thiamin-e0##Fumarate-e0##Bifidobacterium_animalis_YL2	-2.0000000000002003	Thiamin-e0	Fumarate-e0
Folate##Fumarate-e0##Bifidobacterium_animalis_YL2	-1.000000000000364	Folate	Fumarate-e0
Riboflavin##Fumarate-e0##Bifidobacterium_animalis_YL2	31.012331325485448	Riboflavin	Fumarate-e0
Riboflavin##Glycerol-e0##Bifidobacterium_animalis_YL2	2.5233134356646127	Riboflavin	Glycerol-e0
Riboflavin##K+-e0##Bifidobacterium_animalis_YL2	-0.7060625359929842	Riboflavin	K+-e0
Melitose-e0##Melitose-e0##Bifidobacterium_animalis_YL2	-1.0000000000000002	Melitose-e0	Melitose-e0
Riboflavin##Sulfate-e0##Bifidobacterium_animalis_YL2	-0.7060625400385554	Riboflavin	Sulfate-e0
Riboflavin##L-Tryptophan-e0##Bifidobacterium_animalis_YL2	-6.121310173834112	Riboflavin	L-Tryptophan-e0
Riboflavin##Cl--e0##Bifidobacterium_animalis_YL2	-0.7060625359760536	Riboflavin	Cl--e0
Putrescine-e0##D-Lactate-e0##Bifidobacterium_animalis_YL2	0.46666666666375295	Putrescine-e0	D-Lactate-e0
Spermidine-e0##D-Lactate-e0##Bifidobacterium_animalis_YL2	-0.9333333333413032	Spermidine-e0	D-Lactate-e0
Thiamin-e0##D-Lactate-e0##Bifidobacterium_animalis_YL2	-10.466666666703135	Thiamin-e0	D-Lactate-e0
Melitose-e0##D-Lactate-e0##Bifidobacterium_animalis_YL2	-0.5333333333424581	Melitose-e0	D-Lactate-e0
Sucrose-e0##D-Lactate-e0##Bifidobacterium_animalis_YL2	-0.40000000000901414	Sucrose-e0	D-Lactate-e0
Folate##D-Lactate-e0##Bifidobacterium_animalis_YL2	-8.800000000037494	Folate	D-Lactate-e0
Riboflavin##D-Lactate-e0##Bifidobacterium_animalis_YL2	1895.3183443434204	Riboflavin	D-Lactate-e0
Riboflavin##Mg-e0##Bifidobacterium_animalis_YL2	-0.7060625359766874	Riboflavin	Mg-e0
Sucrose-e0##Sucrose-e0##Bifidobacterium_animalis_YL2	-0.9999999999999996	Sucrose-e0	Sucrose-e0
Putrescine-e0##CO2-e0##Bifidobacterium_animalis_YL2	-1.6666666666667893	Putrescine-e0	CO2-e0
Spermidine-e0##CO2-e0##Bifidobacterium_animalis_YL2	-2.666666666667427	Spermidine-e0	CO2-e0
Thiamin-e0##CO2-e0##Bifidobacterium_animalis_YL2	2.6666666666629815	Thiamin-e0	CO2-e0
Folate##CO2-e0##Bifidobacterium_animalis_YL2	4.999999999996646	Folate	CO2-e0
Riboflavin##CO2-e0##Bifidobacterium_animalis_YL2	126.94963177244493	Riboflavin	CO2-e0
Spermidine-e0##5-Methylthio-D-ribose-e0##Bifidobacterium_animalis_YL2	-1.0000000000000022	Spermidine-e0	5-Methylthio-D-ribose-e0
Riboflavin##5-Methylthio-D-ribose-e0##Bifidobacterium_animalis_YL2	0.5000000000047197	Riboflavin	5-Methylthio-D-ribose-e0
Putrescine-e0##Acetate-e0##Bifidobacterium_animalis_YL2	0.19999999999511742	Putrescine-e0	Acetate-e0
Spermidine-e0##Acetate-e0##Bifidobacterium_animalis_YL2	-2.4000000000135984	Spermidine-e0	Acetate-e0
Thiamin-e0##Acetate-e0##Bifidobacterium_animalis_YL2	-16.20000000006255	Thiamin-e0	Acetate-e0
Melitose-e0##Acetate-e0##Bifidobacterium_animalis_YL2	-0.8000000000155599	Melitose-e0	Acetate-e0
Sucrose-e0##Acetate-e0##Bifidobacterium_animalis_YL2	-0.6000000000153817	Sucrose-e0	Acetate-e0
Folate##Acetate-e0##Bifidobacterium_animalis_YL2	-13.200000000063975	Folate	Acetate-e0
Riboflavin##Acetate-e0##Bifidobacterium_animalis_YL2	3219.922534591814	Riboflavin	Acetate-e0
Folate##Folate##Bifidobacterium_animalis_YL2	-1.0	Folate	Folate
Riboflavin##Riboflavin##Bifidobacterium_animalis_YL2	-0.9999999999998503	Riboflavin	Riboflavin
Riboflavin##Niacin##Bifidobacterium_animalis_YL2	-0.9999999999979223	Riboflavin	Niacin
Riboflavin##PAN##Bifidobacterium_animalis_YL2	-1.000000000001697	Riboflavin	PAN
Folate##Glycolaldehyde-e0##Bifidobacterium_animalis_YL2	-1.0000000000000207	Folate	Glycolaldehyde-e0
Riboflavin##Glycolaldehyde-e0##Bifidobacterium_animalis_YL2	1.5000000000027678	Riboflavin	Glycolaldehyde-e0
Thiamin-e0##5'-Deoxyadenosine-e0##Bifidobacterium_animalis_YL2	-1.0000000000000988	Thiamin-e0	5'-Deoxyadenosine-e0
Riboflavin##5'-Deoxyadenosine-e0##Bifidobacterium_animalis_YL2	1.5000000000068836	Riboflavin	5'-Deoxyadenosine-e0
Putrescine-e0##2-Oxoglutarate-e0-e0##Bifidobacterium_animalis_YL2	-1.0000000000001052	Putrescine-e0	2-Oxoglutarate-e0-e0
Spermidine-e0##2-Oxoglutarate-e0-e0##Bifidobacterium_animalis_YL2	-1.000000000000182	Spermidine-e0	2-Oxoglutarate-e0-e0
Thiamin-e0##2-Oxoglutarate-e0-e0##Bifidobacterium_animalis_YL2	-4.0000000000015525	Thiamin-e0	2-Oxoglutarate-e0-e0
Folate##2-Oxoglutarate-e0-e0##Bifidobacterium_animalis_YL2	-3.000000000001499	Folate	2-Oxoglutarate-e0-e0
