	Source	Target	Microbe	Weight	ABS_Weight	Sign_Weight	ABSRootWeight	SignedRootWeight
1	PAN	Phosphate-e0	Clostridium_innocuum_I46	-127.4577549585378	127.4577549585378	-1.0	11.289718993780927	-11.289718993780927
5	L-Aspartate-e0	D-Glucose-e0	Clostridium_innocuum_I46	-0.8125000000088268	0.8125000000088268	-1.0	0.9013878188708936	-0.9013878188708936
6	L-Glutamine-e0	D-Glucose-e0	Clostridium_innocuum_I46	-1.8124999999921856	1.8124999999921856	-1.0	1.3462912017807238	-1.3462912017807238
8	Spermidine-e0	D-Glucose-e0	Clostridium_innocuum_I46	-1.687499999973464	1.687499999973464	-1.0	1.2990381056664442	-1.2990381056664442
9	Thiamin-e0	D-Glucose-e0	Clostridium_innocuum_I46	-4.99999999994164	4.99999999994164	-1.0	2.23606797748674	-2.23606797748674
11	N-Acetyl-D-glucosamine-e0	D-Glucose-e0	Clostridium_innocuum_I46	0.18749999999413233	0.18749999999413233	1.0	0.43301270188544394	0.43301270188544394
15	D-Mannose-e0	D-Glucose-e0	Clostridium_innocuum_I46	0.9999999999975163	0.9999999999975163	1.0	0.9999999999987581	0.9999999999987581
18	Folate-e0	D-Glucose-e0	Clostridium_innocuum_I46	-0.37500000001163375	0.37500000001163375	-1.0	0.6123724357052934	-0.6123724357052934
19	N-Acetyl-D-chondrosamine-e0	D-Glucose-e0	Clostridium_innocuum_I46	1.7500000000067186	1.7500000000067186	1.0	1.3228756555348347	1.3228756555348347
25	Riboflavin	D-Glucose-e0	Clostridium_innocuum_I46	-0.12499999997958512	0.12499999997958512	-1.0	0.35355339056440277	-0.35355339056440277
26	PAN	D-Glucose-e0	Clostridium_innocuum_I46	1366.1948755147641	1366.1948755147641	1.0	36.96207347423524	36.96207347423524
30	PAN	Mn2+-e0	Clostridium_innocuum_I46	-0.9241112603156415	0.9241112603156415	-1.0	0.961307058288683	-0.961307058288683
31	PAN	Zn2+-e0	Clostridium_innocuum_I46	-0.9241112603167992	0.9241112603167992	-1.0	0.9613070582892852	-0.9613070582892852
32	L-Aspartate-e0	L-Aspartate-e0	Clostridium_innocuum_I46	-0.9999999999999979	0.9999999999999979	-1.0	0.9999999999999989	-0.9999999999999989
33	PAN	Sulfate-e0	Clostridium_innocuum_I46	-0.9241112603260262	0.9241112603260262	-1.0	0.9613070582940844	-0.9613070582940844
40	PAN	L-Arginine-e0	Clostridium_innocuum_I46	-35.57235834174084	35.57235834174084	-1.0	5.964256730032741	-5.964256730032741
41	L-Glutamine-e0	L-Glutamine-e0	Clostridium_innocuum_I46	-0.9999999999999991	0.9999999999999991	-1.0	0.9999999999999996	-0.9999999999999996
43	PAN	L-Leucine-e0	Clostridium_innocuum_I46	-64.72644010465918	64.72644010465918	-1.0	8.045274395858675	-8.045274395858675
44	PAN	L-Histidine-e0	Clostridium_innocuum_I46	-11.393282031159028	11.393282031159028	-1.0	3.3753936112932115	-3.3753936112932115
45	PAN	L-Proline-e0	Clostridium_innocuum_I46	-26.5843247393585	26.5843247393585	-1.0	5.155998908005945	-5.155998908005945
46	PAN	Co2+-e0	Clostridium_innocuum_I46	-0.9241112603121658	0.9241112603121658	-1.0	0.9613070582868752	-0.9613070582868752
49	L-Aspartate-e0	L-Threonine-e0	Clostridium_innocuum_I46	0.6250000000208554	0.6250000000208554	1.0	0.790569415055285	0.790569415055285
50	L-Glutamine-e0	L-Threonine-e0	Clostridium_innocuum_I46	1.6249999999815745	1.6249999999815745	1.0	1.2747548783909692	1.2747548783909692
52	Spermidine-e0	L-Threonine-e0	Clostridium_innocuum_I46	2.37499999993777	2.37499999993777	1.0	1.541103500722054	1.541103500722054
53	Thiamin-e0	L-Threonine-e0	Clostridium_innocuum_I46	9.999999999862693	9.999999999862693	1.0	3.1622776601466693	3.1622776601466693
55	N-Acetyl-D-glucosamine-e0	L-Threonine-e0	Clostridium_innocuum_I46	0.625000000013838	0.625000000013838	1.0	0.7905694150508468	0.7905694150508468
61	Folate-e0	L-Threonine-e0	Clostridium_innocuum_I46	1.7500000000269933	1.7500000000269933	1.0	1.3228756555424979	1.3228756555424979
62	N-Acetyl-D-chondrosamine-e0	L-Threonine-e0	Clostridium_innocuum_I46	-0.500000000015974	0.500000000015974	-1.0	0.7071067811978429	-0.7071067811978429
67	Riboflavin	L-Threonine-e0	Clostridium_innocuum_I46	0.2499999999522574	0.2499999999522574	1.0	0.4999999999522574	0.4999999999522574
68	PAN	L-Threonine-e0	Clostridium_innocuum_I46	-3219.73435039251	3219.73435039251	-1.0	56.74270305856525	-56.74270305856525
72	Spermidine-e0	Spermidine-e0	Clostridium_innocuum_I46	-0.9999999999999998	0.9999999999999998	-1.0	0.9999999999999999	-0.9999999999999999
73	Thiamin-e0	Thiamin-e0	Clostridium_innocuum_I46	-1.0000000000000027	1.0000000000000027	-1.0	1.0000000000000013	-1.0000000000000013
81	PAN	L-Isoleucine-e0	Clostridium_innocuum_I46	-44.4844526742411	44.4844526742411	-1.0	6.669666608927398	-6.669666608927398
83	PAN	fe3-e0	Clostridium_innocuum_I46	-0.9241112603097527	0.9241112603097527	-1.0	0.9613070582856201	-0.9613070582856201
86	L-Aspartate-e0	H+-e0	Clostridium_innocuum_I46	1.625000000021004	1.625000000021004	1.0	1.2747548784064346	1.2747548784064346
87	L-Glutamine-e0	H+-e0	Clostridium_innocuum_I46	3.6249999999800875	3.6249999999800875	1.0	1.9039432764607478	1.9039432764607478
89	Spermidine-e0	H+-e0	Clostridium_innocuum_I46	6.374999999933985	6.374999999933985	1.0	2.5248762345774467	2.5248762345774467
90	Thiamin-e0	H+-e0	Clostridium_innocuum_I46	7.999999999852312	7.999999999852312	1.0	2.8284271247200823	2.8284271247200823
93	N-Acetyl-D-glucosamine-e0	H+-e0	Clostridium_innocuum_I46	1.6250000000139355	1.6250000000139355	1.0	1.2747548784036622	1.2747548784036622
99	Folate-e0	H+-e0	Clostridium_innocuum_I46	1.750000000026801	1.750000000026801	1.0	1.322875655542425	1.322875655542425
100	N-Acetyl-D-chondrosamine-e0	H+-e0	Clostridium_innocuum_I46	-1.5000000000160365	1.5000000000160365	-1.0	1.224744871398136	-1.224744871398136
106	Riboflavin	H+-e0	Clostridium_innocuum_I46	-0.7500000000505477	0.7500000000505477	-1.0	0.8660254038136224	-0.8660254038136224
107	PAN	H+-e0	Clostridium_innocuum_I46	-3316.2577228472524	3316.2577228472524	-1.0	57.58695792318997	-57.58695792318997
116	PAN	Uracil-e0	Clostridium_innocuum_I46	-39.642230876866314	39.642230876866314	-1.0	6.296207658334207	-6.296207658334207
120	Spermidine-e0	XAN-e0	Clostridium_innocuum_I46	-0.9999999999990585	0.9999999999990585	-1.0	0.9999999999995293	-0.9999999999995293
121	Thiamin-e0	XAN-e0	Clostridium_innocuum_I46	-1.9999999999979077	1.9999999999979077	-1.0	1.4142135623723553	-1.4142135623723553
125	Folate-e0	XAN-e0	Clostridium_innocuum_I46	0.9999999999996118	0.9999999999996118	1.0	0.9999999999998058	0.9999999999998058
129	Riboflavin	XAN-e0	Clostridium_innocuum_I46	-1.9999999999992797	1.9999999999992797	-1.0	1.4142135623728405	-1.4142135623728405
130	PAN	XAN-e0	Clostridium_innocuum_I46	42.89405662079084	42.89405662079084	1.0	6.549355435521181	6.549355435521181
135	L-Aspartate-e0	L-Malate-e0	Clostridium_innocuum_I46	1.625000000020035	1.625000000020035	1.0	1.2747548784060545	1.2747548784060545
136	L-Glutamine-e0	L-Malate-e0	Clostridium_innocuum_I46	1.6249999999818676	1.6249999999818676	1.0	1.274754878391084	1.274754878391084
138	Spermidine-e0	L-Malate-e0	Clostridium_innocuum_I46	2.3749999999394205	2.3749999999394205	1.0	1.5411035007225895	1.5411035007225895
139	Thiamin-e0	L-Malate-e0	Clostridium_innocuum_I46	8.999999999865869	8.999999999865869	1.0	2.999999999977645	2.999999999977645
141	N-Acetyl-D-glucosamine-e0	L-Malate-e0	Clostridium_innocuum_I46	0.62500000001328	0.62500000001328	1.0	0.7905694150504938	0.7905694150504938
