	Source	Target	Microbe	Weight	ABS_Weight	Sign_Weight	ABSRootWeight	SignedRootWeight
3	Spermidine-e0	Phosphate-e0	Clostridium_innocuum_I46	-1.0000000000005798	1.0000000000005798	-1.0	1.0000000000002898	-1.0000000000002898
4	Thiamin-e0	Phosphate-e0	Clostridium_innocuum_I46	-1.999999999998885	1.999999999998885	-1.0	1.4142135623727008	-1.4142135623727008
12	Riboflavin	Phosphate-e0	Clostridium_innocuum_I46	-28.97891272569553	28.97891272569553	-1.0	5.383206546817197	-5.383206546817197
13	Inosine	Phosphate-e0	Clostridium_innocuum_I46	-1.0000000000019096	1.0000000000019096	-1.0	1.0000000000009548	-1.0000000000009548
15	D-Glucose-e0	L-Glutamate-e0	Clostridium_innocuum_I46	-5.000000000184563	5.000000000184563	-1.0	2.236067977541059	-2.236067977541059
16	L-Threonine-e0	L-Glutamate-e0	Clostridium_innocuum_I46	1.0000000000965423	1.0000000000965423	1.0	1.0000000000482712	1.0000000000482712
18	Spermidine-e0	L-Glutamate-e0	Clostridium_innocuum_I46	1.5000000001394564	1.5000000001394564	1.0	1.2247448714485218	1.2247448714485218
19	Thiamin-e0	L-Glutamate-e0	Clostridium_innocuum_I46	-5.000000000213803	5.000000000213803	-1.0	2.2360679775475973	-2.2360679775475973
22	L-Asparagine-e0	L-Glutamate-e0	Clostridium_innocuum_I46	0.999999999919728	0.999999999919728	1.0	0.999999999959864	0.999999999959864
26	D-Mannose-e0	L-Glutamate-e0	Clostridium_innocuum_I46	-4.000000000143689	4.000000000143689	-1.0	2.000000000035922	-2.000000000035922
27	Sucrose-e0	L-Glutamate-e0	Clostridium_innocuum_I46	-9.000000000397604	9.000000000397604	-1.0	3.0000000000662674	-3.0000000000662674
31	L-Serine-e0	L-Glutamate-e0	Clostridium_innocuum_I46	0.9999999999955707	0.9999999999955707	1.0	0.9999999999977853	0.9999999999977853
32	Folate-e0	L-Glutamate-e0	Clostridium_innocuum_I46	-17.000000001164956	17.000000001164956	-1.0	4.1231056257589325	-4.1231056257589325
33	N-Acetyl-D-chondrosamine-e0	L-Glutamate-e0	Clostridium_innocuum_I46	-3.0000000001709894	3.0000000001709894	-1.0	1.7320508076182377	-1.7320508076182377
39	Riboflavin	L-Glutamate-e0	Clostridium_innocuum_I46	6214.359091410954	6214.359091410954	1.0	78.83120632979654	78.83120632979654
40	Inosine	L-Glutamate-e0	Clostridium_innocuum_I46	5.500000000411328	5.500000000411328	1.0	2.34520787999941	2.34520787999941
42	D-Glucose-e0	D-Glucose-e0	Clostridium_innocuum_I46	-1.0	1.0	-1.0	1.0	-1.0
43	Riboflavin	Mn2+-e0	Clostridium_innocuum_I46	-0.9241112603632152	0.9241112603632152	-1.0	0.9613070583134273	-0.9613070583134273
44	Riboflavin	Zn2+-e0	Clostridium_innocuum_I46	-0.9241112603684913	0.9241112603684913	-1.0	0.9613070583161716	-0.9613070583161716
51	Riboflavin	L-Lysine-e0	Clostridium_innocuum_I46	-41.268999359603946	41.268999359603946	-1.0	6.424095217196267	-6.424095217196267
52	L-Aspartate-e0	L-Aspartate-e0	Clostridium_innocuum_I46	-0.9999999999999983	0.9999999999999983	-1.0	0.9999999999999991	-0.9999999999999991
53	Riboflavin	Sulfate-e0	Clostridium_innocuum_I46	-0.9241112603795535	0.9241112603795535	-1.0	0.9613070583219253	-0.9613070583219253
60	Riboflavin	L-Arginine-e0	Clostridium_innocuum_I46	-35.572358343703954	35.572358343703954	-1.0	5.964256730197314	-5.964256730197314
61	L-Glutamine-e0	L-Glutamine-e0	Clostridium_innocuum_I46	-0.9999999999999988	0.9999999999999988	-1.0	0.9999999999999993	-0.9999999999999993
63	Riboflavin	L-Leucine-e0	Clostridium_innocuum_I46	-64.72644010827965	64.72644010827965	-1.0	8.045274396083682	-8.045274396083682
64	Putrescine-e0	Putrescine-e0	Clostridium_innocuum_I46	-0.9999999999999999	0.9999999999999999	-1.0	0.9999999999999999	-0.9999999999999999
65	Riboflavin	L-Histidine-e0	Clostridium_innocuum_I46	-11.393282031796636	11.393282031796636	-1.0	3.375393611387661	-3.375393611387661
66	Riboflavin	L-Proline-e0	Clostridium_innocuum_I46	-26.584324740858758	26.584324740858758	-1.0	5.155998908151432	-5.155998908151432
67	Riboflavin	Co2+-e0	Clostridium_innocuum_I46	-0.9241112603623888	0.9241112603623888	-1.0	0.9613070583129975	-0.9613070583129975
68	L-Threonine-e0	L-Threonine-e0	Clostridium_innocuum_I46	-1.0000000000000002	1.0000000000000002	-1.0	1.0	-1.0
70	Spermidine-e0	Spermidine-e0	Clostridium_innocuum_I46	-1.0000000000000004	1.0000000000000004	-1.0	1.0000000000000002	-1.0000000000000002
71	Thiamin-e0	Thiamin-e0	Clostridium_innocuum_I46	-1.0000000000000009	1.0000000000000009	-1.0	1.0000000000000004	-1.0000000000000004
79	Riboflavin	L-Isoleucine-e0	Clostridium_innocuum_I46	-44.4844526767649	44.4844526767649	-1.0	6.669666609116598	-6.669666609116598
81	Riboflavin	fe3-e0	Clostridium_innocuum_I46	-0.9241112603679381	0.9241112603679381	-1.0	0.9613070583158838	-0.9613070583158838
83	D-Glucose-e0	H+-e0	Clostridium_innocuum_I46	2.00000000001611	2.00000000001611	1.0	1.4142135623787908	1.4142135623787908
84	L-Aspartate-e0	H+-e0	Clostridium_innocuum_I46	-0.9999999999968555	0.9999999999968555	-1.0	0.9999999999984277	-0.9999999999984277
85	Putrescine-e0	H+-e0	Clostridium_innocuum_I46	2.0000000000049587	2.0000000000049587	1.0	1.4142135623748482	1.4142135623748482
86	L-Threonine-e0	H+-e0	Clostridium_innocuum_I46	0.9999999999917919	0.9999999999917919	1.0	0.999999999995896	0.999999999995896
88	Spermidine-e0	H+-e0	Clostridium_innocuum_I46	2.4999999999879714	2.4999999999879714	1.0	1.581138830080386	1.581138830080386
89	Thiamin-e0	H+-e0	Clostridium_innocuum_I46	-1.9999999999819753	1.9999999999819753	-1.0	1.4142135623667225	-1.4142135623667225
92	L-Asparagine-e0	H+-e0	Clostridium_innocuum_I46	-0.9999999999930904	0.9999999999930904	-1.0	0.9999999999965452	-0.9999999999965452
96	D-Mannose-e0	H+-e0	Clostridium_innocuum_I46	2.0000000000125895	2.0000000000125895	1.0	1.414213562377546	1.414213562377546
97	Sucrose-e0	H+-e0	Clostridium_innocuum_I46	4.000000000034701	4.000000000034701	1.0	2.0000000000086753	2.0000000000086753
101	N-Acetyl-D-chondrosamine-e0	H+-e0	Clostridium_innocuum_I46	2.0000000000148104	2.0000000000148104	1.0	1.4142135623783314	1.4142135623783314
108	Riboflavin	H+-e0	Clostridium_innocuum_I46	-530.4610299745382	530.4610299745382	-1.0	23.03173962110848	-23.03173962110848
109	Inosine	H+-e0	Clostridium_innocuum_I46	-0.5000000000358309	0.5000000000358309	-1.0	0.7071067812118838	-0.7071067812118838
117	Riboflavin	Uracil-e0	Clostridium_innocuum_I46	-39.64223087945713	39.64223087945713	-1.0	6.2962076585399505	-6.2962076585399505
120	Spermidine-e0	XAN-e0	Clostridium_innocuum_I46	-0.5000000000001181	0.5000000000001181	-1.0	0.7071067811866311	-0.7071067811866311
121	Thiamin-e0	XAN-e0	Clostridium_innocuum_I46	-0.9999999999998066	0.9999999999998066	-1.0	0.9999999999999033	-0.9999999999999033
126	Folate-e0	XAN-e0	Clostridium_innocuum_I46	1.0000000000010907	1.0000000000010907	1.0	1.0000000000005453	1.0000000000005453
130	Riboflavin	XAN-e0	Clostridium_innocuum_I46	-8.345364496795218	8.345364496795218	-1.0	2.888834452992282	-2.888834452992282
131	Inosine	XAN-e0	Clostridium_innocuum_I46	0.4999999999995955	0.4999999999995955	1.0	0.7071067811862615	0.7071067811862615
146	D-Glucose-e0	L-Alanine-e0	Clostridium_innocuum_I46	5.000000000192418	5.000000000192418	1.0	2.2360679775428154	2.2360679775428154
147	L-Aspartate-e0	L-Alanine-e0	Clostridium_innocuum_I46	1.0000000000375915	1.0000000000375915	1.0	1.0000000000187956	1.0000000000187956
