	Source	Target	SourceType	Weight	Cofactor	Match	ABS_Weight	Sign_Weight	ABSRootWeight	SignedRootWeight
3	N-Acetyl-D-glucosamine-e0	Clostridium_innocuum_I46	Metabolite	18.117340654736093	None	-1	18.117340654736093	1.0	4.256446951946669	4.256446951946669
10	Clostridium_innocuum_I46	Phosphate-e0	Microbe	1.9999999999951952	L-Glutamine-e0	0	1.9999999999951952	1.0	1.4142135623713963	1.4142135623713963
12	Clostridium_innocuum_I46	Phosphate-e0	Microbe	0.9999999999945158	Spermidine-e0	0	0.9999999999945158	1.0	0.9999999999972579	0.9999999999972579
15	Clostridium_innocuum_I46	Phosphate-e0	Microbe	-43.75678047189941	N-Acetyl-D-glucosamine-e0	0	43.75678047189941	-1.0	6.614890813301412	-6.614890813301412
20	Clostridium_innocuum_I46	Phosphate-e0	Microbe	-0.9999999999984488	Folate-e0	0	0.9999999999984488	-1.0	0.9999999999992244	-0.9999999999992244
22	Clostridium_innocuum_I46	Phosphate-e0	Microbe	-1.9999999999952598	O2-e0	0	1.9999999999952598	-1.0	1.4142135623714192	-1.4142135623714192
30	Clostridium_innocuum_I46	Phosphate-e0	Microbe	-4.999999999991771	Riboflavin	0	4.999999999991771	-1.0	2.2360679774979495	-2.2360679774979495
34	Clostridium_innocuum_I46	D-Glucose-e0	Microbe	-0.49999999999977124	L-Aspartate-e0	0	0.49999999999977124	-1.0	0.7071067811863858	-0.7071067811863858
35	Clostridium_innocuum_I46	D-Glucose-e0	Microbe	-2.499999999997017	L-Glutamine-e0	0	2.499999999997017	-1.0	1.5811388300832463	-1.5811388300832463
37	Clostridium_innocuum_I46	D-Glucose-e0	Microbe	-1.2499999999974492	Spermidine-e0	0	1.2499999999974492	-1.0	1.118033988748754	-1.118033988748754
40	Clostridium_innocuum_I46	D-Glucose-e0	Microbe	0.5635723540209605	N-Acetyl-D-glucosamine-e0	0	0.5635723540209605	1.0	0.750714562281138	0.750714562281138
41	Clostridium_innocuum_I46	D-Glucose-e0	Microbe	-1.4999999999994449	L-Asparagine-e0	0	1.4999999999994449	-1.0	1.2247448713913625	-1.2247448713913625
45	Clostridium_innocuum_I46	D-Glucose-e0	Microbe	1.0000000000000417	D-Mannose-e0	0	1.0000000000000417	1.0	1.0000000000000209	1.0000000000000209
49	Clostridium_innocuum_I46	D-Glucose-e0	Microbe	-0.7499999999995974	Folate-e0	0	0.7499999999995974	-1.0	0.8660254037842062	-0.8660254037842062
51	Clostridium_innocuum_I46	D-Glucose-e0	Microbe	1.4999999999974911	O2-e0	0	1.4999999999974911	1.0	1.2247448713905649	1.2247448713905649
60	Clostridium_innocuum_I46	D-Glucose-e0	Microbe	2.749999999995108	Riboflavin	0	2.749999999995108	1.0	1.6583123951762249	1.6583123951762249
66	Clostridium_innocuum_I46	Mn2+-e0	Microbe	-0.13215376797617592	N-Acetyl-D-glucosamine-e0	0	0.13215376797617592	-1.0	0.3635295971116739	-0.3635295971116739
73	Clostridium_innocuum_I46	Zn2+-e0	Microbe	-0.13215376797627834	N-Acetyl-D-glucosamine-e0	0	0.13215376797627834	-1.0	0.36352959711181476	-0.36352959711181476
77	Clostridium_innocuum_I46	L-Aspartate-e0	Microbe	-1.0000000000000004	L-Aspartate-e0	1	1.0000000000000004	-1.0	1.0000000000000002	-1.0000000000000002
81	Clostridium_innocuum_I46	Sulfate-e0	Microbe	-0.1321537679756259	N-Acetyl-D-glucosamine-e0	0	0.1321537679756259	-1.0	0.36352959711091737	-0.36352959711091737
88	Clostridium_innocuum_I46	L-Arginine-e0	Microbe	-5.087072728740305	N-Acetyl-D-glucosamine-e0	0	5.087072728740305	-1.0	2.2554539961480713	-2.2554539961480713
92	Clostridium_innocuum_I46	L-Glutamine-e0	Microbe	-1.0000000000000024	L-Glutamine-e0	1	1.0000000000000024	-1.0	1.000000000000001	-1.000000000000001
97	Clostridium_innocuum_I46	L-Leucine-e0	Microbe	-9.256291222572504	N-Acetyl-D-glucosamine-e0	0	9.256291222572504	-1.0	3.0424153599685404	-3.0424153599685404
104	Clostridium_innocuum_I46	L-Histidine-e0	Microbe	-1.6293115501303257	N-Acetyl-D-glucosamine-e0	0	1.6293115501303257	-1.0	1.276444887227931	-1.276444887227931
111	Clostridium_innocuum_I46	L-Proline-e0	Microbe	-3.801726950301825	N-Acetyl-D-glucosamine-e0	0	3.801726950301825	-1.0	1.9498017720532068	-1.9498017720532068
118	Clostridium_innocuum_I46	Co2+-e0	Microbe	-0.13215376797584147	N-Acetyl-D-glucosamine-e0	0	0.13215376797584147	-1.0	0.36352959711121385	-0.36352959711121385
125	Clostridium_innocuum_I46	L-Valine-e0	Microbe	-7.277591590567681	N-Acetyl-D-glucosamine-e0	0	7.277591590567681	-1.0	2.6977011677663043	-2.6977011677663043
132	Clostridium_innocuum_I46	L-Threonine-e0	Microbe	-4.36293426200002	N-Acetyl-D-glucosamine-e0	0	4.36293426200002	-1.0	2.08876381192322	-2.08876381192322
137	Clostridium_innocuum_I46	Spermidine-e0	Microbe	-1.000000000000001	Spermidine-e0	1	1.000000000000001	-1.0	1.0000000000000004	-1.0000000000000004
141	Clostridium_innocuum_I46	L-Isoleucine-e0	Microbe	-6.361558710236664	N-Acetyl-D-glucosamine-e0	0	6.361558710236664	-1.0	2.522213058057678	-2.522213058057678
150	Clostridium_innocuum_I46	fe3-e0	Microbe	-0.13215376797588652	N-Acetyl-D-glucosamine-e0	0	0.13215376797588652	-1.0	0.3635295971112758	-0.3635295971112758
156	Clostridium_innocuum_I46	H+-e0	Microbe	0.9999999999990832	L-Aspartate-e0	0	0.9999999999990832	1.0	0.9999999999995416	0.9999999999995416
157	Clostridium_innocuum_I46	H+-e0	Microbe	6.999999999986188	L-Glutamine-e0	0	6.999999999986188	1.0	2.6457513110619804	2.6457513110619804
159	Clostridium_innocuum_I46	H+-e0	Microbe	6.499999999986759	Spermidine-e0	0	6.499999999986759	1.0	2.5495097567937957	2.5495097567937957
162	Clostridium_innocuum_I46	H+-e0	Microbe	-139.85990683707863	N-Acetyl-D-glucosamine-e0	0	139.85990683707863	-1.0	11.826238067833685	-11.826238067833685
163	Clostridium_innocuum_I46	H+-e0	Microbe	1.9999999999968527	L-Asparagine-e0	0	1.9999999999968527	1.0	1.4142135623719823	1.4142135623719823
169	Clostridium_innocuum_I46	H+-e0	Microbe	-2.5000000000056675	Folate-e0	0	2.5000000000056675	-1.0	1.5811388300859819	-1.5811388300859819
170	Clostridium_innocuum_I46	H+-e0	Microbe	0.999999999996775	N-Acetyl-D-chondrosamine-e0	0	0.999999999996775	1.0	0.9999999999983875	0.9999999999983875
172	Clostridium_innocuum_I46	H+-e0	Microbe	-4.9999999999870095	O2-e0	0	4.9999999999870095	-1.0	2.236067977496885	-2.236067977496885
180	Clostridium_innocuum_I46	H+-e0	Microbe	-13.499999999975671	Riboflavin	0	13.499999999975671	-1.0	3.6742346141714566	-3.6742346141714566
185	Clostridium_innocuum_I46	Uracil-e0	Microbe	-5.6690902993464105	N-Acetyl-D-glucosamine-e0	0	5.6690902993464105	-1.0	2.3809851531133934	-2.3809851531133934
191	Clostridium_innocuum_I46	XAN-e0	Microbe	-0.9999999999983956	L-Glutamine-e0	0	0.9999999999983956	-1.0	0.9999999999991978	-0.9999999999991978
193	Clostridium_innocuum_I46	XAN-e0	Microbe	-1.4999999999984248	Spermidine-e0	0	1.4999999999984248	-1.0	1.224744871390946	-1.224744871390946
196	Clostridium_innocuum_I46	XAN-e0	Microbe	18.898878785540568	N-Acetyl-D-glucosamine-e0	0	18.898878785540568	1.0	4.347284070030456	4.347284070030456
201	Clostridium_innocuum_I46	XAN-e0	Microbe	1.5000000000007359	Folate-e0	0	1.5000000000007359	1.0	1.2247448713918894	1.2247448713918894
203	Clostridium_innocuum_I46	XAN-e0	Microbe	0.9999999999984635	O2-e0	0	0.9999999999984635	1.0	0.9999999999992317	0.9999999999992317
211	Clostridium_innocuum_I46	XAN-e0	Microbe	0.4999999999971262	Riboflavin	0	0.4999999999971262	1.0	0.7071067811845154	0.7071067811845154
216	Clostridium_innocuum_I46	L-Malate-e0	Microbe	0.9999999999996951	L-Aspartate-e0	0	0.9999999999996951	1.0	0.9999999999998476	0.9999999999998476
217	Clostridium_innocuum_I46	L-Malate-e0	Microbe	1.999999999995675	L-Glutamine-e0	0	1.999999999995675	1.0	1.414213562371566	1.414213562371566
219	Clostridium_innocuum_I46	L-Malate-e0	Microbe	0.9999999999960557	Spermidine-e0	0	0.9999999999960557	1.0	0.9999999999980278	0.9999999999980278
222	Clostridium_innocuum_I46	L-Malate-e0	Microbe	-43.989831374884346	N-Acetyl-D-glucosamine-e0	0	43.989831374884346	-1.0	6.63248304746302	-6.63248304746302
223	Clostridium_innocuum_I46	L-Malate-e0	Microbe	0.9999999999989709	L-Asparagine-e0	0	0.9999999999989709	1.0	0.9999999999994854	0.9999999999994854
228	Clostridium_innocuum_I46	L-Malate-e0	Microbe	-1.0000000000023697	Folate-e0	0	1.0000000000023697	-1.0	1.0000000000011848	-1.0000000000011848
230	Clostridium_innocuum_I46	L-Malate-e0	Microbe	-1.9999999999959635	O2-e0	0	1.9999999999959635	-1.0	1.4142135623716678	-1.4142135623716678
238	Clostridium_innocuum_I46	L-Malate-e0	Microbe	-4.999999999992275	Riboflavin	0	4.999999999992275	-1.0	2.2360679774980623	-2.2360679774980623
254	Clostridium_innocuum_I46	L-Alanine-e0	Microbe	0.9999999999995033	L-Aspartate-e0	0	0.9999999999995033	1.0	0.9999999999997516	0.9999999999997516
255	Clostridium_innocuum_I46	L-Alanine-e0	Microbe	4.999999999992498	L-Glutamine-e0	0	4.999999999992498	1.0	2.236067977498112	2.236067977498112
257	Clostridium_innocuum_I46	L-Alanine-e0	Microbe	3.4999999999928644	Spermidine-e0	0	3.4999999999928644	1.0	1.8708286933850635	1.8708286933850635
260	Clostridium_innocuum_I46	L-Alanine-e0	Microbe	-96.41822511492545	N-Acetyl-D-glucosamine-e0	0	96.41822511492545	-1.0	9.819278237982944	-9.819278237982944
261	Clostridium_innocuum_I46	L-Alanine-e0	Microbe	1.9999999999981417	L-Asparagine-e0	0	1.9999999999981417	1.0	1.4142135623724381	1.4142135623724381
267	Clostridium_innocuum_I46	L-Alanine-e0	Microbe	2.4999999999955267	Folate-e0	0	2.4999999999955267	1.0	1.5811388300827751	1.5811388300827751
268	Clostridium_innocuum_I46	L-Alanine-e0	Microbe	0.9999999999979569	N-Acetyl-D-chondrosamine-e0	0	0.9999999999979569	1.0	0.9999999999989784	0.9999999999989784
270	Clostridium_innocuum_I46	L-Alanine-e0	Microbe	-2.9999999999928257	O2-e0	0	2.9999999999928257	-1.0	1.7320508075668062	-1.7320508075668062
279	Clostridium_innocuum_I46	L-Alanine-e0	Microbe	-7.499999999986436	Riboflavin	0	7.499999999986436	-1.0	2.738612787523354	-2.738612787523354
283	Clostridium_innocuum_I46	L-Methionine-e0	Microbe	0.9999999999998032	Spermidine-e0	0	0.9999999999998032	1.0	0.9999999999999015	0.9999999999999015
285	Clostridium_innocuum_I46	L-Methionine-e0	Microbe	-2.9291180811339492	N-Acetyl-D-glucosamine-e0	0	2.9291180811339492	-1.0	1.7114666462230426	-1.7114666462230426
292	Clostridium_innocuum_I46	L-Cysteine-e0	Microbe	-1.8610138427219562	N-Acetyl-D-glucosamine-e0	0	1.8610138427219562	-1.0	1.3641898118377649	-1.3641898118377649
296	Clostridium_innocuum_I46	N-Acetyl-D-glucosamine-e0	Microbe	-1.0000000000000586	N-Acetyl-D-glucosamine-e0	1	1.0000000000000586	-1.0	1.0000000000000293	-1.0000000000000293
