	Source	Target	Microbe	Weight	ABS_Weight	Sign_Weight	ABSRootWeight	SignedRootWeight
3	L-Glutamine-e0	Phosphate-e0	Clostridium_innocuum_I46	3.9999999999872737	3.9999999999872737	1.0	1.9999999999968183	1.9999999999968183
5	Spermidine-e0	Phosphate-e0	Clostridium_innocuum_I46	3.9999999999856284	3.9999999999856284	1.0	1.999999999996407	1.999999999996407
6	Thiamin-e0	Phosphate-e0	Clostridium_innocuum_I46	-5.999999999990684	5.999999999990684	-1.0	2.4494897427812763	-2.4494897427812763
9	N-Acetyl-D-glucosamine-e0	Phosphate-e0	Clostridium_innocuum_I46	-38.23901316501051	38.23901316501051	-1.0	6.183770141670089	-6.183770141670089
15	Folate-e0	Phosphate-e0	Clostridium_innocuum_I46	3.9999999999853593	3.9999999999853593	1.0	1.9999999999963398	1.9999999999963398
17	O2-e0	Phosphate-e0	Clostridium_innocuum_I46	-3.999999999988097	3.999999999988097	-1.0	1.9999999999970242	-1.9999999999970242
28	L-Aspartate-e0	D-Glucose-e0	Clostridium_innocuum_I46	-0.500000000000035	0.500000000000035	-1.0	0.7071067811865722	-0.7071067811865722
29	L-Glutamine-e0	D-Glucose-e0	Clostridium_innocuum_I46	-3.0000000000024705	3.0000000000024705	-1.0	1.7320508075695904	-1.7320508075695904
31	Spermidine-e0	D-Glucose-e0	Clostridium_innocuum_I46	-2.750000000003017	2.750000000003017	-1.0	1.6583123951786096	-1.6583123951786096
32	Thiamin-e0	D-Glucose-e0	Clostridium_innocuum_I46	2.7500000000012887	2.7500000000012887	1.0	1.6583123951780885	1.6583123951780885
35	N-Acetyl-D-glucosamine-e0	D-Glucose-e0	Clostridium_innocuum_I46	-8.998924091599743	8.998924091599743	-1.0	2.9998206765738087	-2.9998206765738087
39	D-Mannose-e0	D-Glucose-e0	Clostridium_innocuum_I46	0.9999999999998748	0.9999999999998748	1.0	0.9999999999999374	0.9999999999999374
43	Folate-e0	D-Glucose-e0	Clostridium_innocuum_I46	-2.7500000000032636	2.7500000000032636	-1.0	1.658312395178684	-1.658312395178684
44	N-Acetyl-D-chondrosamine-e0	D-Glucose-e0	Clostridium_innocuum_I46	0.4999999999999541	0.4999999999999541	1.0	0.707106781186515	0.707106781186515
46	O2-e0	D-Glucose-e0	Clostridium_innocuum_I46	2.0000000000022604	2.0000000000022604	1.0	1.4142135623738943	1.4142135623738943
54	Riboflavin	D-Glucose-e0	Clostridium_innocuum_I46	-1.2500000000006712	1.2500000000006712	-1.0	1.118033988750195	-1.118033988750195
60	N-Acetyl-D-glucosamine-e0	Mn2+-e0	Clostridium_innocuum_I46	-0.13215376797563494	0.13215376797563494	-1.0	0.3635295971109298	-0.3635295971109298
68	N-Acetyl-D-glucosamine-e0	Zn2+-e0	Clostridium_innocuum_I46	-0.13215376797582304	0.13215376797582304	-1.0	0.3635295971111885	-0.3635295971111885
73	L-Aspartate-e0	L-Aspartate-e0	Clostridium_innocuum_I46	-1.0000000000000007	1.0000000000000007	-1.0	1.0000000000000002	-1.0000000000000002
77	N-Acetyl-D-glucosamine-e0	Sulfate-e0	Clostridium_innocuum_I46	-0.13215376797578834	0.13215376797578834	-1.0	0.3635295971111408	-0.3635295971111408
85	N-Acetyl-D-glucosamine-e0	L-Arginine-e0	Clostridium_innocuum_I46	-5.08707272871157	5.08707272871157	-1.0	2.2554539961417013	-2.2554539961417013
90	L-Glutamine-e0	L-Glutamine-e0	Clostridium_innocuum_I46	-1.0000000000000024	1.0000000000000024	-1.0	1.000000000000001	-1.000000000000001
95	N-Acetyl-D-glucosamine-e0	L-Leucine-e0	Clostridium_innocuum_I46	-9.25629122252449	9.25629122252449	-1.0	3.04241535996065	-3.04241535996065
103	N-Acetyl-D-glucosamine-e0	L-Histidine-e0	Clostridium_innocuum_I46	-1.629311550120655	1.629311550120655	-1.0	1.276444887224143	-1.276444887224143
111	N-Acetyl-D-glucosamine-e0	L-Proline-e0	Clostridium_innocuum_I46	-3.801726950281992	3.801726950281992	-1.0	1.9498017720481209	-1.9498017720481209
119	N-Acetyl-D-glucosamine-e0	Co2+-e0	Clostridium_innocuum_I46	-0.13215376797568865	0.13215376797568865	-1.0	0.3635295971110037	-0.3635295971110037
127	N-Acetyl-D-glucosamine-e0	L-Threonine-e0	Clostridium_innocuum_I46	-4.362934261992316	4.362934261992316	-1.0	2.0887638119213756	-2.0887638119213756
133	Spermidine-e0	Spermidine-e0	Clostridium_innocuum_I46	-0.9999999999999996	0.9999999999999996	-1.0	0.9999999999999998	-0.9999999999999998
134	Thiamin-e0	Thiamin-e0	Clostridium_innocuum_I46	-0.9999999999999977	0.9999999999999977	-1.0	0.9999999999999988	-0.9999999999999988
138	N-Acetyl-D-glucosamine-e0	L-Isoleucine-e0	Clostridium_innocuum_I46	-6.361558710191873	6.361558710191873	-1.0	2.522213058048799	-2.522213058048799
148	N-Acetyl-D-glucosamine-e0	fe3-e0	Clostridium_innocuum_I46	-0.1321537679757029	0.1321537679757029	-1.0	0.3635295971110233	-0.3635295971110233
155	L-Aspartate-e0	H+-e0	Clostridium_innocuum_I46	0.9999999999986091	0.9999999999986091	1.0	0.9999999999993046	0.9999999999993046
156	L-Glutamine-e0	H+-e0	Clostridium_innocuum_I46	11.999999999969916	11.999999999969916	1.0	3.464101615133412	3.464101615133412
158	Spermidine-e0	H+-e0	Clostridium_innocuum_I46	14.499999999968797	14.499999999968797	1.0	3.8078865529278567	3.8078865529278567
159	Thiamin-e0	H+-e0	Clostridium_innocuum_I46	-14.499999999974461	14.499999999974461	-1.0	3.8078865529286006	-3.8078865529286006
162	N-Acetyl-D-glucosamine-e0	H+-e0	Clostridium_innocuum_I46	-108.47252650416237	108.47252650416237	-1.0	10.415014474505659	-10.415014474505659
169	Folate-e0	H+-e0	Clostridium_innocuum_I46	11.499999999957897	11.499999999957897	1.0	3.391164991556426	3.391164991556426
