	Source	Target	SourceType	Weight	Cofactor	Match	ABS_Weight	Sign_Weight	ABSRootWeight	SignedRootWeight
0	PAN	Clostridium_innocuum_I46	Metabolite	126.68907411838975	None	-1	126.68907411838975	1.0	11.25562411056756	11.25562411056756
2	Clostridium_innocuum_I46	Phosphate-e0	Microbe	-127.45775495993807	PAN	0	127.45775495993807	-1.0	11.289718993842941	-11.289718993842941
4	Clostridium_innocuum_I46	D-Glucose-e0	Microbe	-1.0000000000000007	D-Glucose-e0	1	1.0000000000000007	-1.0	1.0000000000000002	-1.0000000000000002
6	Clostridium_innocuum_I46	Mn2+-e0	Microbe	-0.9241112603246922	PAN	0	0.9241112603246922	-1.0	0.9613070582933906	-0.9613070582933906
7	Clostridium_innocuum_I46	Zn2+-e0	Microbe	-0.9241112603260926	PAN	0	0.9241112603260926	-1.0	0.9613070582941189	-0.9613070582941189
14	Clostridium_innocuum_I46	L-Lysine-e0	Microbe	-41.268999357772515	PAN	0	41.268999357772515	-1.0	6.424095217053723	-6.424095217053723
15	Clostridium_innocuum_I46	L-Aspartate-e0	Microbe	-0.9999999999999996	L-Aspartate-e0	1	0.9999999999999996	-1.0	0.9999999999999998	-0.9999999999999998
16	Clostridium_innocuum_I46	Sulfate-e0	Microbe	-0.9241112603258449	PAN	0	0.9241112603258449	-1.0	0.9613070582939901	-0.9613070582939901
23	Clostridium_innocuum_I46	L-Arginine-e0	Microbe	-35.57235834212934	PAN	0	35.57235834212934	-1.0	5.964256730065309	-5.964256730065309
24	Clostridium_innocuum_I46	L-Glutamine-e0	Microbe	-0.9999999999999998	L-Glutamine-e0	1	0.9999999999999998	-1.0	0.9999999999999999	-0.9999999999999999
29	Clostridium_innocuum_I46	D-Ribose-e0	Microbe	1.0000000000008917	Spermidine-e0	0	1.0000000000008917	1.0	1.0000000000004459	1.0000000000004459
30	Clostridium_innocuum_I46	D-Ribose-e0	Microbe	1.9999999999967575	Thiamin-e0	0	1.9999999999967575	1.0	1.4142135623719487	1.4142135623719487
38	Clostridium_innocuum_I46	D-Ribose-e0	Microbe	3.0000000000023417	Riboflavin	0	3.0000000000023417	1.0	1.7320508075695533	1.7320508075695533
39	Clostridium_innocuum_I46	D-Ribose-e0	Microbe	-101.47884223569491	PAN	0	101.47884223569491	-1.0	10.073670742867018	-10.073670742867018
40	Clostridium_innocuum_I46	D-Ribose-e0	Microbe	1.0000000000018272	Inosine	0	1.0000000000018272	1.0	1.0000000000009135	1.0000000000009135
48	Clostridium_innocuum_I46	L-Leucine-e0	Microbe	-54.18138565989719	PAN	0	54.18138565989719	-1.0	7.360800612698132	-7.360800612698132
49	Clostridium_innocuum_I46	Putrescine-e0	Microbe	-0.9999999999999994	Putrescine-e0	1	0.9999999999999994	-1.0	0.9999999999999997	-0.9999999999999997
50	Clostridium_innocuum_I46	L-Histidine-e0	Microbe	-11.393282031288313	PAN	0	11.393282031288313	-1.0	3.375393611312363	-3.375393611312363
51	Clostridium_innocuum_I46	L-Proline-e0	Microbe	-26.584324739670688	PAN	0	26.584324739670688	-1.0	5.15599890803622	-5.15599890803622
52	Clostridium_innocuum_I46	Co2+-e0	Microbe	-0.9241112603239471	PAN	0	0.9241112603239471	-1.0	0.961307058293003	-0.961307058293003
59	Clostridium_innocuum_I46	L-Valine-e0	Microbe	-61.435047518595724	PAN	0	61.435047518595724	-1.0	7.8380512577167885	-7.8380512577167885
62	Clostridium_innocuum_I46	L-Threonine-e0	Microbe	0.9999999999944426	Thiamin-e0	0	0.9999999999944426	1.0	0.9999999999972212	0.9999999999972212
66	Clostridium_innocuum_I46	L-Threonine-e0	Microbe	-0.9999999999946915	Folate-e0	0	0.9999999999946915	-1.0	0.9999999999973457	-0.9999999999973457
68	Clostridium_innocuum_I46	L-Threonine-e0	Microbe	-167.12385985562946	PAN	0	167.12385985562946	-1.0	12.927639376762853	-12.927639376762853
70	Clostridium_innocuum_I46	Spermidine-e0	Microbe	-1.0000000000000007	Spermidine-e0	1	1.0000000000000007	-1.0	1.0000000000000002	-1.0000000000000002
71	Clostridium_innocuum_I46	Thiamin-e0	Microbe	-0.9999999999999991	Thiamin-e0	1	0.9999999999999991	-1.0	0.9999999999999996	-0.9999999999999996
79	Clostridium_innocuum_I46	L-Isoleucine-e0	Microbe	-44.4844526747945	PAN	0	44.4844526747945	-1.0	6.6696666089688845	-6.6696666089688845
81	Clostridium_innocuum_I46	fe3-e0	Microbe	-0.9241112603255183	PAN	0	0.9241112603255183	-1.0	0.9613070582938202	-0.9613070582938202
84	Clostridium_innocuum_I46	H+-e0	Microbe	-0.999999999998196	L-Aspartate-e0	0	0.999999999998196	-1.0	0.9999999999990979	-0.9999999999990979
85	Clostridium_innocuum_I46	H+-e0	Microbe	0.9999999999994046	L-Glutamine-e0	0	0.9999999999994046	1.0	0.9999999999997022	0.9999999999997022
86	Clostridium_innocuum_I46	H+-e0	Microbe	2.0000000000000955	Putrescine-e0	0	2.0000000000000955	1.0	1.414213562373129	1.414213562373129
88	Clostridium_innocuum_I46	H+-e0	Microbe	3.0000000000011395	Spermidine-e0	0	3.0000000000011395	1.0	1.7320508075692063	1.7320508075692063
89	Clostridium_innocuum_I46	H+-e0	Microbe	0.49999999999627665	Thiamin-e0	0	0.49999999999627665	1.0	0.7071067811839147	0.7071067811839147
91	Clostridium_innocuum_I46	H+-e0	Microbe	-1.9999999999985323	L-Malate-e0	0	1.9999999999985323	-1.0	1.4142135623725762	-1.4142135623725762
92	Clostridium_innocuum_I46	H+-e0	Microbe	1.0000000000017186	N-Acetyl-D-glucosamine-e0	0	1.0000000000017186	1.0	1.0000000000008593	1.0000000000008593
97	Clostridium_innocuum_I46	H+-e0	Microbe	1.000000000004989	Folate-e0	0	1.000000000004989	1.0	1.0000000000024944	1.0000000000024944
98	Clostridium_innocuum_I46	H+-e0	Microbe	1.0000000000005083	N-Acetyl-D-chondrosamine-e0	0	1.0000000000005083	1.0	1.000000000000254	1.000000000000254
100	Clostridium_innocuum_I46	H+-e0	Microbe	0.9999999999986617	O2-e0	0	0.9999999999986617	1.0	0.9999999999993309	0.9999999999993309
106	Clostridium_innocuum_I46	H+-e0	Microbe	-128.05818905694807	PAN	0	128.05818905694807	-1.0	11.316279824083004	-11.316279824083004
107	Clostridium_innocuum_I46	H+-e0	Microbe	-0.499999999997065	Inosine	0	0.499999999997065	-1.0	0.7071067811844721	-0.7071067811844721
116	Clostridium_innocuum_I46	Uracil-e0	Microbe	-39.64223087779496	PAN	0	39.64223087779496	-1.0	6.296207658407953	-6.296207658407953
120	Clostridium_innocuum_I46	XAN-e0	Microbe	1.0000000000018365	Folate-e0	0	1.0000000000018365	1.0	1.0000000000009182	1.0000000000009182
121	Clostridium_innocuum_I46	XAN-e0	Microbe	1.000000000001265	Riboflavin	0	1.000000000001265	1.0	1.0000000000006324	1.0000000000006324
122	Clostridium_innocuum_I46	XAN-e0	Microbe	-58.58478561439245	PAN	0	58.58478561439245	-1.0	7.6540698725836345	-7.6540698725836345
123	Clostridium_innocuum_I46	XAN-e0	Microbe	1.0000000000010192	Inosine	0	1.0000000000010192	1.0	1.0000000000005096	1.0000000000005096
126	Clostridium_innocuum_I46	L-Malate-e0	Microbe	-1.0000000000000002	L-Malate-e0	1	1.0000000000000002	-1.0	1.0	-1.0
140	Clostridium_innocuum_I46	L-Alanine-e0	Microbe	4.000000000015862	D-Glucose-e0	0	4.000000000015862	1.0	2.0000000000039653	2.0000000000039653
142	Clostridium_innocuum_I46	L-Alanine-e0	Microbe	1.0000000000108447	L-Aspartate-e0	0	1.0000000000108447	1.0	1.0000000000054223	1.0000000000054223
143	Clostridium_innocuum_I46	L-Alanine-e0	Microbe	2.0000000000003726	Putrescine-e0	0	2.0000000000003726	1.0	1.4142135623732268	1.4142135623732268
145	Clostridium_innocuum_I46	L-Alanine-e0	Microbe	2.000000000006809	Spermidine-e0	0	2.000000000006809	1.0	1.4142135623755026	1.4142135623755026
146	Clostridium_innocuum_I46	L-Alanine-e0	Microbe	-4.000000000025812	Thiamin-e0	0	4.000000000025812	-1.0	2.000000000006453	-2.000000000006453
149	Clostridium_innocuum_I46	L-Alanine-e0	Microbe	2.0000000000112657	L-Malate-e0	0	2.0000000000112657	1.0	1.414213562377078	1.414213562377078
150	Clostridium_innocuum_I46	L-Alanine-e0	Microbe	3.0000000000133307	N-Acetyl-D-glucosamine-e0	0	3.0000000000133307	1.0	1.7320508075727254	1.7320508075727254
154	Clostridium_innocuum_I46	L-Alanine-e0	Microbe	4.000000000017701	D-Mannose-e0	0	4.000000000017701	1.0	2.0000000000044253	2.0000000000044253
157	Clostridium_innocuum_I46	L-Alanine-e0	Microbe	4.000000000023981	Folate-e0	0	4.000000000023981	1.0	2.000000000005995	2.000000000005995
158	Clostridium_innocuum_I46	L-Alanine-e0	Microbe	3.0000000000056968	N-Acetyl-D-chondrosamine-e0	0	3.0000000000056968	1.0	1.7320508075705219	1.7320508075705219
160	Clostridium_innocuum_I46	L-Alanine-e0	Microbe	-2.0000000000104716	O2-e0	0	2.0000000000104716	-1.0	1.4142135623767973	-1.4142135623767973
169	Clostridium_innocuum_I46	L-Alanine-e0	Microbe	-1.9999999999858586	Riboflavin	0	1.9999999999858586	-1.0	1.4142135623680954	-1.4142135623680954
170	Clostridium_innocuum_I46	L-Alanine-e0	Microbe	-787.5819094571217	PAN	0	787.5819094571217	-1.0	28.06388977773968	-28.06388977773968
171	Clostridium_innocuum_I46	L-Alanine-e0	Microbe	1.0000000000126028	Inosine	0	1.0000000000126028	1.0	1.0000000000063014	1.0000000000063014
176	Clostridium_innocuum_I46	L-Methionine-e0	Microbe	1.0000000000001605	Spermidine-e0	0	1.0000000000001605	1.0	1.0000000000000802	1.0000000000000802
181	Clostridium_innocuum_I46	L-Methionine-e0	Microbe	-20.48243529521004	PAN	0	20.48243529521004	-1.0	4.525752456245264	-4.525752456245264
184	Clostridium_innocuum_I46	L-Cysteine-e0	Microbe	0.9999999999996152	Thiamin-e0	0	0.9999999999996152	1.0	0.9999999999998076	0.9999999999998076
189	Clostridium_innocuum_I46	L-Cysteine-e0	Microbe	-13.013505963580272	PAN	0	13.013505963580272	-1.0	3.607423729419691	-3.607423729419691
190	Clostridium_innocuum_I46	N-Acetyl-D-glucosamine-e0	Microbe	-1.000000000000001	N-Acetyl-D-glucosamine-e0	1	1.000000000000001	-1.0	1.0000000000000004	-1.0000000000000004
192	Clostridium_innocuum_I46	L-Asparagine-e0	Microbe	-2.0000000000048854	D-Glucose-e0	0	2.0000000000048854	-1.0	1.4142135623748222	-1.4142135623748222
194	Clostridium_innocuum_I46	L-Asparagine-e0	Microbe	1.000000000001991	L-Glutamine-e0	0	1.000000000001991	1.0	1.0000000000009954	1.0000000000009954
196	Clostridium_innocuum_I46	L-Asparagine-e0	Microbe	2.500000000007911	Thiamin-e0	0	2.500000000007911	1.0	1.5811388300866913	1.5811388300866913
199	Clostridium_innocuum_I46	L-Asparagine-e0	Microbe	-1.0000000000034346	L-Malate-e0	0	1.0000000000034346	-1.0	1.0000000000017173	-1.0000000000017173
200	Clostridium_innocuum_I46	L-Asparagine-e0	Microbe	-1.0000000000041274	N-Acetyl-D-glucosamine-e0	0	1.0000000000041274	-1.0	1.0000000000020637	-1.0000000000020637
204	Clostridium_innocuum_I46	L-Asparagine-e0	Microbe	-2.000000000005467	D-Mannose-e0	0	2.000000000005467	-1.0	1.414213562375028	-1.414213562375028
207	Clostridium_innocuum_I46	L-Asparagine-e0	Microbe	-1.0000000000017206	N-Acetyl-D-chondrosamine-e0	0	1.0000000000017206	-1.0	1.0000000000008602	-1.0000000000008602
209	Clostridium_innocuum_I46	L-Asparagine-e0	Microbe	1.0000000000031823	O2-e0	0	1.0000000000031823	1.0	1.0000000000015912	1.0000000000015912
218	Clostridium_innocuum_I46	L-Asparagine-e0	Microbe	0.9999999999958574	Riboflavin	0	0.9999999999958574	1.0	0.9999999999979287	0.9999999999979287
219	Clostridium_innocuum_I46	L-Asparagine-e0	Microbe	245.1084354671891	PAN	0	245.1084354671891	1.0	15.655939303254504	15.655939303254504
220	Clostridium_innocuum_I46	L-Asparagine-e0	Microbe	-0.5000000000037361	Inosine	0	0.5000000000037361	-1.0	0.7071067811891893	-0.7071067811891893
222	Clostridium_innocuum_I46	Ca2+-e0	Microbe	-0.924111260324825	PAN	0	0.924111260324825	-1.0	0.9613070582934596	-0.9613070582934596
229	Clostridium_innocuum_I46	Cu2+-e0	Microbe	-0.9241112603252564	PAN	0	0.9241112603252564	-1.0	0.961307058293684	-0.961307058293684
231	Clostridium_innocuum_I46	Fe2+-e0	Microbe	-1.9241112603285098	PAN	0	1.9241112603285098	-1.0	1.387123376029872	-1.387123376029872
241	Clostridium_innocuum_I46	Fumarate-e0	Microbe	46.62518935007024	PAN	0	46.62518935007024	1.0	6.828264007057009	6.828264007057009
251	Clostridium_innocuum_I46	K+-e0	Microbe	-0.924111260324516	PAN	0	0.924111260324516	-1.0	0.9613070582932989	-0.9613070582932989
252	Clostridium_innocuum_I46	D-Mannose-e0	Microbe	-1.0000000000000018	D-Mannose-e0	1	1.0000000000000018	-1.0	1.0000000000000009	-1.0000000000000009
255	Clostridium_innocuum_I46	Succinate-e0	Microbe	0.9999999999992527	L-Glutamine-e0	0	0.9999999999992527	1.0	0.9999999999996263	0.9999999999996263
256	Clostridium_innocuum_I46	Succinate-e0	Microbe	1.0000000000000921	Putrescine-e0	0	1.0000000000000921	1.0	1.000000000000046	1.000000000000046
258	Clostridium_innocuum_I46	Succinate-e0	Microbe	1.0000000000008642	Spermidine-e0	0	1.0000000000008642	1.0	1.000000000000432	1.000000000000432
263	Clostridium_innocuum_I46	Succinate-e0	Microbe	1.0000000000028932	Folate-e0	0	1.0000000000028932	1.0	1.0000000000014466	1.0000000000014466
265	Clostridium_innocuum_I46	Succinate-e0	Microbe	-95.57828552625097	PAN	0	95.57828552625097	-1.0	9.776414758297182	-9.776414758297182
266	Clostridium_innocuum_I46	Sucrose-e0	Microbe	-6.99269702615626	PAN	0	6.99269702615626	-1.0	2.644370818579773	-2.644370818579773
268	Clostridium_innocuum_I46	Cl--e0	Microbe	-0.9241112603249485	PAN	0	0.9241112603249485	-1.0	0.9613070582935239	-0.9613070582935239
270	Clostridium_innocuum_I46	Mg-e0	Microbe	-0.9241112603247498	PAN	0	0.9241112603247498	-1.0	0.9613070582934206	-0.9613070582934206
274	Clostridium_innocuum_I46	Folate-e0	Microbe	-1.000000000000001	Folate-e0	1	1.000000000000001	-1.0	1.0000000000000004	-1.0000000000000004
278	Clostridium_innocuum_I46	H2O-e0	Microbe	-1.000000000012469	Spermidine-e0	0	1.000000000012469	-1.0	1.0000000000062343	-1.0000000000062343
279	Clostridium_innocuum_I46	H2O-e0	Microbe	-6.499999999952798	Thiamin-e0	0	6.499999999952798	-1.0	2.549509756787135	-2.549509756787135
281	Clostridium_innocuum_I46	H2O-e0	Microbe	-1.000000000024075	N-Acetyl-D-glucosamine-e0	0	1.000000000024075	-1.0	1.0000000000120375	-1.0000000000120375
286	Clostridium_innocuum_I46	H2O-e0	Microbe	-7.000000000044193	Folate-e0	0	7.000000000044193	-1.0	2.6457513110729423	-2.6457513110729423
