	Source	Target	Microbe	Weight	ABS_Weight	Sign_Weight	ABSRootWeight	SignedRootWeight
7	PAN	Phosphate-e0	Clostridium_innocuum_I46	-125.45775496007153	125.45775496007153	-1.0	11.200792604100458	-11.200792604100458
8	L-Glutamate-e0	L-Glutamate-e0	Clostridium_innocuum_I46	-1.000000000000002	1.000000000000002	-1.0	1.0000000000000009	-1.0000000000000009
9	D-Glucose-e0	D-Glucose-e0	Clostridium_innocuum_I46	-0.9999999999999997	0.9999999999999997	-1.0	0.9999999999999998	-0.9999999999999998
11	PAN	Mn2+-e0	Clostridium_innocuum_I46	-0.9241112603179076	0.9241112603179076	-1.0	0.9613070582898617	-0.9613070582898617
12	PAN	Zn2+-e0	Clostridium_innocuum_I46	-0.9241112603172483	0.9241112603172483	-1.0	0.9613070582895188	-0.9613070582895188
19	PAN	L-Lysine-e0	Clostridium_innocuum_I46	-41.26899935749188	41.26899935749188	-1.0	6.42409521703188	-6.42409521703188
20	L-Aspartate-e0	L-Aspartate-e0	Clostridium_innocuum_I46	-1.0000000000000009	1.0000000000000009	-1.0	1.0000000000000004	-1.0000000000000004
21	PAN	Sulfate-e0	Clostridium_innocuum_I46	-0.9241112603208298	0.9241112603208298	-1.0	0.9613070582913816	-0.9613070582913816
28	PAN	L-Arginine-e0	Clostridium_innocuum_I46	-35.57235834186837	35.57235834186837	-1.0	5.964256730043432	-5.964256730043432
29	L-Glutamine-e0	L-Glutamine-e0	Clostridium_innocuum_I46	-0.9999999999999993	0.9999999999999993	-1.0	0.9999999999999997	-0.9999999999999997
32	L-Glutamate-e0	D-Ribose-e0	Clostridium_innocuum_I46	2.999999999968909	2.999999999968909	1.0	1.7320508075599022	1.7320508075599022
33	D-Glucose-e0	D-Ribose-e0	Clostridium_innocuum_I46	5.999999999922168	5.999999999922168	1.0	2.4494897427672906	2.4494897427672906
35	L-Aspartate-e0	D-Ribose-e0	Clostridium_innocuum_I46	4.499999999956077	4.499999999956077	1.0	2.1213203435492898	2.1213203435492898
36	L-Glutamine-e0	D-Ribose-e0	Clostridium_innocuum_I46	2.9999999999608775	2.9999999999608775	1.0	1.7320508075575836	1.7320508075575836
37	Putrescine-e0	D-Ribose-e0	Clostridium_innocuum_I46	5.999999999931517	5.999999999931517	1.0	2.4494897427691993	2.4494897427691993
38	L-Threonine-e0	D-Ribose-e0	Clostridium_innocuum_I46	2.999999999964694	2.999999999964694	1.0	1.7320508075586853	1.7320508075586853
40	Spermidine-e0	D-Ribose-e0	Clostridium_innocuum_I46	6.999999999948271	6.999999999948271	1.0	2.6457513110548145	2.6457513110548145
43	L-Malate-e0	D-Ribose-e0	Clostridium_innocuum_I46	1.4999999999608722	1.4999999999608722	1.0	1.2247448713756153	1.2247448713756153
44	Citrate-e0	D-Ribose-e0	Clostridium_innocuum_I46	2.999999999961416	2.999999999961416	1.0	1.7320508075577392	1.7320508075577392
45	N-Acetyl-D-glucosamine-e0	D-Ribose-e0	Clostridium_innocuum_I46	5.99999999993554	5.99999999993554	1.0	2.44948974277002	2.44948974277002
46	L-Asparagine-e0	D-Ribose-e0	Clostridium_innocuum_I46	4.49999999994574	4.49999999994574	1.0	2.1213203435468535	2.1213203435468535
48	Fumarate-e0	D-Ribose-e0	Clostridium_innocuum_I46	4.499999999932404	4.499999999932404	1.0	2.1213203435437102	2.1213203435437102
51	D-Mannose-e0	D-Ribose-e0	Clostridium_innocuum_I46	5.99999999993145	5.99999999993145	1.0	2.4494897427691855	2.4494897427691855
52	Sucrose-e0	D-Ribose-e0	Clostridium_innocuum_I46	11.999999999838739	11.999999999838739	1.0	3.4641016151144783	3.4641016151144783
57	N-Acetyl-D-chondrosamine-e0	D-Ribose-e0	Clostridium_innocuum_I46	5.999999999919493	5.999999999919493	1.0	2.449489742766745	2.449489742766745
59	O2-e0	D-Ribose-e0	Clostridium_innocuum_I46	-2.9999999999680393	2.9999999999680393	-1.0	1.732050807559651	-1.732050807559651
68	PAN	D-Ribose-e0	Clostridium_innocuum_I46	-2395.494057414856	2395.494057414856	-1.0	48.94378466582714	-48.94378466582714
69	Inosine	D-Ribose-e0	Clostridium_innocuum_I46	2.4999999999638214	2.4999999999638214	1.0	1.581138830072749	1.581138830072749
71	Putrescine-e0	Putrescine-e0	Clostridium_innocuum_I46	-1.0000000000000013	1.0000000000000013	-1.0	1.0000000000000007	-1.0000000000000007
72	PAN	L-Histidine-e0	Clostridium_innocuum_I46	-11.393282031210349	11.393282031210349	-1.0	3.375393611300814	-3.375393611300814
73	PAN	L-Proline-e0	Clostridium_innocuum_I46	-26.584324739472553	26.584324739472553	-1.0	5.155998908017006	-5.155998908017006
74	PAN	Co2+-e0	Clostridium_innocuum_I46	-0.9241112603201798	0.9241112603201798	-1.0	0.9613070582910436	-0.9613070582910436
75	PAN	L-Valine-e0	Clostridium_innocuum_I46	-115.61643317766297	115.61643317766297	-1.0	10.752508227277158	-10.752508227277158
76	L-Threonine-e0	L-Threonine-e0	Clostridium_innocuum_I46	-1.0000000000000002	1.0000000000000002	-1.0	1.0	-1.0
78	Spermidine-e0	Spermidine-e0	Clostridium_innocuum_I46	-0.9999999999999971	0.9999999999999971	-1.0	0.9999999999999986	-0.9999999999999986
86	PAN	L-Isoleucine-e0	Clostridium_innocuum_I46	-44.48445267446307	44.48445267446307	-1.0	6.669666608944039	-6.669666608944039
