	Source	Target	SourceType	Weight	Cofactor	Match	ABS_Weight	Sign_Weight	ABSRootWeight	SignedRootWeight
0	PAN	Clostridium_innocuum_I46	Metabolite	126.6890741197459	None	-1	126.6890741197459	1.0	11.255624110627801	11.255624110627801
8	Clostridium_innocuum_I46	Phosphate-e0	Microbe	-125.45775496137692	PAN	0	125.45775496137692	-1.0	11.20079260415873	-11.20079260415873
9	Clostridium_innocuum_I46	L-Glutamate-e0	Microbe	-1.0000000000000004	L-Glutamate-e0	1	1.0000000000000004	-1.0	1.0000000000000002	-1.0000000000000002
10	Clostridium_innocuum_I46	D-Glucose-e0	Microbe	-1.0000000000000027	D-Glucose-e0	1	1.0000000000000027	-1.0	1.0000000000000013	-1.0000000000000013
12	Clostridium_innocuum_I46	Mn2+-e0	Microbe	-0.9241112603355297	PAN	0	0.9241112603355297	-1.0	0.9613070582990274	-0.9613070582990274
13	Clostridium_innocuum_I46	Zn2+-e0	Microbe	-0.9241112603340537	PAN	0	0.9241112603340537	-1.0	0.9613070582982597	-0.9613070582982597
20	Clostridium_innocuum_I46	L-Lysine-e0	Microbe	-41.268999358190875	PAN	0	41.268999358190875	-1.0	6.424095217086284	-6.424095217086284
21	Clostridium_innocuum_I46	L-Aspartate-e0	Microbe	-1.0000000000000018	L-Aspartate-e0	1	1.0000000000000018	-1.0	1.0000000000000009	-1.0000000000000009
22	Clostridium_innocuum_I46	Sulfate-e0	Microbe	-0.9241112603370134	PAN	0	0.9241112603370134	-1.0	0.9613070582997991	-0.9613070582997991
29	Clostridium_innocuum_I46	L-Arginine-e0	Microbe	-35.57235834251274	PAN	0	35.57235834251274	-1.0	5.964256730097452	-5.964256730097452
30	Clostridium_innocuum_I46	L-Glutamine-e0	Microbe	-1.000000000000001	L-Glutamine-e0	1	1.000000000000001	-1.0	1.0000000000000004	-1.0000000000000004
33	Clostridium_innocuum_I46	D-Ribose-e0	Microbe	-4.000000000113675	L-Glutamate-e0	0	4.000000000113675	-1.0	2.0000000000284186	-2.0000000000284186
34	Clostridium_innocuum_I46	D-Ribose-e0	Microbe	-8.000000000221393	D-Glucose-e0	0	8.000000000221393	-1.0	2.828427124785327	-2.828427124785327
36	Clostridium_innocuum_I46	D-Ribose-e0	Microbe	-6.000000000178878	L-Aspartate-e0	0	6.000000000178878	-1.0	2.4494897428196913	-2.4494897428196913
37	Clostridium_innocuum_I46	D-Ribose-e0	Microbe	-4.000000000114231	L-Glutamine-e0	0	4.000000000114231	-1.0	2.0000000000285576	-2.0000000000285576
38	Clostridium_innocuum_I46	D-Ribose-e0	Microbe	-8.000000000211715	Putrescine-e0	0	8.000000000211715	-1.0	2.8284271247836164	-2.8284271247836164
39	Clostridium_innocuum_I46	D-Ribose-e0	Microbe	-6.000000000178923	L-Threonine-e0	0	6.000000000178923	-1.0	2.4494897428197007	-2.4494897428197007
41	Clostridium_innocuum_I46	D-Ribose-e0	Microbe	-7.000000000243031	Spermidine-e0	0	7.000000000243031	-1.0	2.6457513111105193	-2.6457513111105193
44	Clostridium_innocuum_I46	D-Ribose-e0	Microbe	2.0000000000736167	L-Malate-e0	0	2.0000000000736167	1.0	1.4142135623991225	1.4142135623991225
45	Clostridium_innocuum_I46	D-Ribose-e0	Microbe	-4.000000000104981	Citrate-e0	0	4.000000000104981	-1.0	2.0000000000262452	-2.0000000000262452
46	Clostridium_innocuum_I46	D-Ribose-e0	Microbe	-2.0000000000647953	L-Cysteine-e0	0	2.0000000000647953	-1.0	1.4142135623960037	-1.4142135623960037
47	Clostridium_innocuum_I46	D-Ribose-e0	Microbe	-8.0000000002367	N-Acetyl-D-glucosamine-e0	0	8.0000000002367	-1.0	2.8284271247880333	-2.8284271247880333
48	Clostridium_innocuum_I46	D-Ribose-e0	Microbe	-6.000000000166884	L-Asparagine-e0	0	6.000000000166884	-1.0	2.449489742817243	-2.449489742817243
50	Clostridium_innocuum_I46	D-Ribose-e0	Microbe	-6.000000000151377	Fumarate-e0	0	6.000000000151377	-1.0	2.4494897428140776	-2.4494897428140776
53	Clostridium_innocuum_I46	D-Ribose-e0	Microbe	-8.000000000219659	D-Mannose-e0	0	8.000000000219659	-1.0	2.8284271247850206	-2.8284271247850206
54	Clostridium_innocuum_I46	D-Ribose-e0	Microbe	-16.000000000423725	Sucrose-e0	0	16.000000000423725	-1.0	4.000000000052966	-4.000000000052966
