	Source	Target	Microbe	Weight	ABS_Weight	Sign_Weight	ABSRootWeight	SignedRootWeight
1	PAN	Phosphate-e0	Clostridium_innocuum_I46	-127.45775495964567	127.45775495964567	-1.0	11.289718993829991	-11.289718993829991
4	L-Glutamine-e0	L-Glutamate-e0	Clostridium_innocuum_I46	0.9999999999991448	0.9999999999991448	1.0	0.9999999999995723	0.9999999999995723
6	Spermidine-e0	L-Glutamate-e0	Clostridium_innocuum_I46	0.4999999999991044	0.4999999999991044	1.0	0.7071067811859142	0.7071067811859142
7	Thiamin-e0	L-Glutamate-e0	Clostridium_innocuum_I46	-1.000000000003596	1.000000000003596	-1.0	1.000000000001798	-1.000000000001798
10	N-Acetyl-D-glucosamine-e0	L-Glutamate-e0	Clostridium_innocuum_I46	-0.9999999999995524	0.9999999999995524	-1.0	0.9999999999997762	-0.9999999999997762
15	Folate-e0	L-Glutamate-e0	Clostridium_innocuum_I46	-0.4999999999998404	0.4999999999998404	-1.0	0.7071067811864347	-0.7071067811864347
17	O2-e0	L-Glutamate-e0	Clostridium_innocuum_I46	-1.0000000000009446	1.0000000000009446	-1.0	1.0000000000004723	-1.0000000000004723
24	Riboflavin	L-Glutamate-e0	Clostridium_innocuum_I46	-2.50000000000421	2.50000000000421	-1.0	1.581138830085521	-1.581138830085521
25	PAN	L-Glutamate-e0	Clostridium_innocuum_I46	-92.53442982626983	92.53442982626983	-1.0	9.619481785744481	-9.619481785744481
28	D-Glucose-e0	D-Glucose-e0	Clostridium_innocuum_I46	-0.9999999999999998	0.9999999999999998	-1.0	0.9999999999999999	-0.9999999999999999
29	PAN	Mn2+-e0	Clostridium_innocuum_I46	-0.9241112603217227	0.9241112603217227	-1.0	0.961307058291846	-0.961307058291846
30	PAN	Zn2+-e0	Clostridium_innocuum_I46	-0.9241112603228157	0.9241112603228157	-1.0	0.9613070582924145	-0.9613070582924145
32	D-Glucose-e0	L-Aspartate-e0	Clostridium_innocuum_I46	-2.000000000003872	2.000000000003872	-1.0	1.414213562374464	-1.414213562374464
33	L-Glutamine-e0	L-Aspartate-e0	Clostridium_innocuum_I46	1.0000000000022964	1.0000000000022964	1.0	1.0000000000011482	1.0000000000011482
35	Spermidine-e0	L-Aspartate-e0	Clostridium_innocuum_I46	0.5000000000020107	0.5000000000020107	1.0	0.7071067811879693	0.7071067811879693
36	Thiamin-e0	L-Aspartate-e0	Clostridium_innocuum_I46	2.0000000000098415	2.0000000000098415	1.0	1.4142135623765746	1.4142135623765746
39	N-Acetyl-D-glucosamine-e0	L-Aspartate-e0	Clostridium_innocuum_I46	-1.0000000000012428	1.0000000000012428	-1.0	1.0000000000006213	-1.0000000000006213
40	L-Asparagine-e0	L-Aspartate-e0	Clostridium_innocuum_I46	2.000000000003113	2.000000000003113	1.0	1.4142135623741956	1.4142135623741956
44	D-Mannose-e0	L-Aspartate-e0	Clostridium_innocuum_I46	-2.0000000000043685	2.0000000000043685	-1.0	1.4142135623746395	-1.4142135623746395
48	Folate-e0	L-Aspartate-e0	Clostridium_innocuum_I46	0.5000000000001832	0.5000000000001832	1.0	0.707106781186677	0.707106781186677
49	N-Acetyl-D-chondrosamine-e0	L-Aspartate-e0	Clostridium_innocuum_I46	-1.0000000000005749	1.0000000000005749	-1.0	1.0000000000002873	-1.0000000000002873
51	O2-e0	L-Aspartate-e0	Clostridium_innocuum_I46	1.0000000000027338	1.0000000000027338	1.0	1.000000000001367	1.000000000001367
59	Riboflavin	L-Aspartate-e0	Clostridium_innocuum_I46	2.500000000011289	2.500000000011289	1.0	1.5811388300877596	1.5811388300877596
60	PAN	L-Aspartate-e0	Clostridium_innocuum_I46	249.28714851191404	249.28714851191404	1.0	15.788829865189948	15.788829865189948
63	PAN	Sulfate-e0	Clostridium_innocuum_I46	-0.9241112603227208	0.9241112603227208	-1.0	0.9613070582923652	-0.9613070582923652
70	PAN	L-Arginine-e0	Clostridium_innocuum_I46	-35.572358342018944	35.572358342018944	-1.0	5.9642567300560545	-5.9642567300560545
