	Source	Target	SourceType	Weight	Cofactor	Match	ABS_Weight	Sign_Weight	ABSRootWeight	SignedRootWeight
0	PAN	Clostridium_innocuum_I46	Metabolite	126.68907411716027	None	-1	126.68907411716027	1.0	11.255624110512942	11.255624110512942
2	Clostridium_innocuum_I46	Phosphate-e0	Microbe	-127.45775495883558	PAN	0	127.45775495883558	-1.0	11.289718993794114	-11.289718993794114
5	Clostridium_innocuum_I46	L-Glutamate-e0	Microbe	-5.999999999979961	D-Glucose-e0	0	5.999999999979961	-1.0	2.449489742779088	-2.449489742779088
6	Clostridium_innocuum_I46	L-Glutamate-e0	Microbe	2.999999999996977	L-Glutamine-e0	0	2.999999999996977	1.0	1.7320508075680046	1.7320508075680046
8	Clostridium_innocuum_I46	L-Glutamate-e0	Microbe	-1.4999999999801512	Spermidine-e0	0	1.4999999999801512	-1.0	1.2247448713834859	-1.2247448713834859
9	Clostridium_innocuum_I46	L-Glutamate-e0	Microbe	8.999999999992125	Thiamin-e0	0	8.999999999992125	1.0	2.9999999999986877	2.9999999999986877
12	Clostridium_innocuum_I46	L-Glutamate-e0	Microbe	-2.999999999993101	N-Acetyl-D-glucosamine-e0	0	2.999999999993101	-1.0	1.7320508075668857	-1.7320508075668857
13	Clostridium_innocuum_I46	L-Glutamate-e0	Microbe	1.9999999999999278	L-Asparagine-e0	0	1.9999999999999278	1.0	1.4142135623730696	1.4142135623730696
17	Clostridium_innocuum_I46	L-Glutamate-e0	Microbe	-5.999999999981799	D-Mannose-e0	0	5.999999999981799	-1.0	2.4494897427794626	-2.4494897427794626
22	Clostridium_innocuum_I46	L-Glutamate-e0	Microbe	3.499999999971025	Folate-e0	0	3.499999999971025	1.0	1.8708286933792269	1.8708286933792269
23	Clostridium_innocuum_I46	L-Glutamate-e0	Microbe	-2.9999999999851954	N-Acetyl-D-chondrosamine-e0	0	2.9999999999851954	-1.0	1.7320508075646035	-1.7320508075646035
25	Clostridium_innocuum_I46	L-Glutamate-e0	Microbe	2.9999999999869233	O2-e0	0	2.9999999999869233	1.0	1.7320508075651024	1.7320508075651024
34	Clostridium_innocuum_I46	L-Glutamate-e0	Microbe	9.499999999972921	Riboflavin	0	9.499999999972921	1.0	3.0822070014800955	3.0822070014800955
35	Clostridium_innocuum_I46	L-Glutamate-e0	Microbe	905.679802311955	PAN	0	905.679802311955	1.0	30.09451448872294	30.09451448872294
38	Clostridium_innocuum_I46	D-Glucose-e0	Microbe	-0.9999999999999988	D-Glucose-e0	1	0.9999999999999988	-1.0	0.9999999999999993	-0.9999999999999993
39	Clostridium_innocuum_I46	Mn2+-e0	Microbe	-0.9241112603158281	PAN	0	0.9241112603158281	-1.0	0.9613070582887802	-0.9613070582887802
40	Clostridium_innocuum_I46	Zn2+-e0	Microbe	-0.9241112603162652	PAN	0	0.9241112603162652	-1.0	0.9613070582890075	-0.9613070582890075
42	Clostridium_innocuum_I46	L-Aspartate-e0	Microbe	-1.9999999999944413	D-Glucose-e0	0	1.9999999999944413	-1.0	1.4142135623711298	-1.4142135623711298
43	Clostridium_innocuum_I46	L-Aspartate-e0	Microbe	0.9999999999991683	L-Glutamine-e0	0	0.9999999999991683	1.0	0.9999999999995841	0.9999999999995841
45	Clostridium_innocuum_I46	L-Aspartate-e0	Microbe	0.5000000000051623	Spermidine-e0	0	0.5000000000051623	1.0	0.7071067811901979	0.7071067811901979
46	Clostridium_innocuum_I46	L-Aspartate-e0	Microbe	2.9999999999971347	Thiamin-e0	0	2.9999999999971347	1.0	1.73205080756805	1.73205080756805
49	Clostridium_innocuum_I46	L-Aspartate-e0	Microbe	-0.999999999998059	N-Acetyl-D-glucosamine-e0	0	0.999999999998059	-1.0	0.9999999999990294	-0.9999999999990294
50	Clostridium_innocuum_I46	L-Aspartate-e0	Microbe	1.9999999999999578	L-Asparagine-e0	0	1.9999999999999578	1.0	1.41421356237308	1.41421356237308
54	Clostridium_innocuum_I46	L-Aspartate-e0	Microbe	-1.999999999994941	D-Mannose-e0	0	1.999999999994941	-1.0	1.4142135623713064	-1.4142135623713064
58	Clostridium_innocuum_I46	L-Aspartate-e0	Microbe	0.49999999999261346	Folate-e0	0	0.49999999999261346	1.0	0.7071067811813244	0.7071067811813244
59	Clostridium_innocuum_I46	L-Aspartate-e0	Microbe	-0.9999999999958965	N-Acetyl-D-chondrosamine-e0	0	0.9999999999958965	-1.0	0.9999999999979482	-0.9999999999979482
61	Clostridium_innocuum_I46	L-Aspartate-e0	Microbe	0.9999999999963751	O2-e0	0	0.9999999999963751	1.0	0.9999999999981876	0.9999999999981876
70	Clostridium_innocuum_I46	L-Aspartate-e0	Microbe	2.499999999992185	Riboflavin	0	2.499999999992185	1.0	1.5811388300817184	1.5811388300817184
71	Clostridium_innocuum_I46	L-Aspartate-e0	Microbe	247.78714851025902	PAN	0	247.78714851025902	1.0	15.741256255784004	15.741256255784004
74	Clostridium_innocuum_I46	Sulfate-e0	Microbe	-0.9241112603176045	PAN	0	0.9241112603176045	-1.0	0.9613070582897041	-0.9613070582897041
81	Clostridium_innocuum_I46	L-Arginine-e0	Microbe	-35.572358341790924	PAN	0	35.572358341790924	-1.0	5.964256730036939	-5.964256730036939
82	Clostridium_innocuum_I46	L-Glutamine-e0	Microbe	-0.9999999999999982	L-Glutamine-e0	1	0.9999999999999982	-1.0	0.9999999999999991	-0.9999999999999991
84	Clostridium_innocuum_I46	L-Leucine-e0	Microbe	-64.72644010477926	PAN	0	64.72644010477926	-1.0	8.045274395866139	-8.045274395866139
85	Clostridium_innocuum_I46	L-Histidine-e0	Microbe	-11.393282031178307	PAN	0	11.393282031178307	-1.0	3.3753936112960674	-3.3753936112960674
86	Clostridium_innocuum_I46	L-Proline-e0	Microbe	-26.58432473941076	PAN	0	26.58432473941076	-1.0	5.155998908011013	-5.155998908011013
87	Clostridium_innocuum_I46	Co2+-e0	Microbe	-0.9241112603156376	PAN	0	0.9241112603156376	-1.0	0.961307058288681	-0.961307058288681
94	Clostridium_innocuum_I46	L-Threonine-e0	Microbe	-30.508677439053304	PAN	0	30.508677439053304	-1.0	5.52346607114168	-5.52346607114168
96	Clostridium_innocuum_I46	Spermidine-e0	Microbe	-1.0000000000000013	Spermidine-e0	1	1.0000000000000013	-1.0	1.0000000000000007	-1.0000000000000007
