	Source	Target	SourceType	Weight	Cofactor	Match	ABS_Weight	Sign_Weight	ABSRootWeight	SignedRootWeight
0	PAN	Clostridium_innocuum_I46	Metabolite	126.68907411807939	None	-1	126.68907411807939	1.0	11.255624110553772	11.255624110553772
2	Clostridium_innocuum_I46	Phosphate-e0	Microbe	-127.45775496053166	PAN	0	127.45775496053166	-1.0	11.28971899386923	-11.28971899386923
5	Clostridium_innocuum_I46	L-Glutamate-e0	Microbe	-4.571428571432104	D-Glucose-e0	0	4.571428571432104	-1.0	2.138089935300221	-2.138089935300221
6	Clostridium_innocuum_I46	L-Glutamate-e0	Microbe	1.0000000000030693	Putrescine-e0	0	1.0000000000030693	1.0	1.0000000000015346	1.0000000000015346
8	Clostridium_innocuum_I46	L-Glutamate-e0	Microbe	0.9999999999987178	Spermidine-e0	0	0.9999999999987178	1.0	0.9999999999993588	0.9999999999993588
9	Clostridium_innocuum_I46	L-Glutamate-e0	Microbe	5.714285714283864	Thiamin-e0	0	5.714285714283864	1.0	2.3904572186684003	2.3904572186684003
12	Clostridium_innocuum_I46	L-Glutamate-e0	Microbe	-2.2857142857183264	L-Malate-e0	0	2.2857142857183264	-1.0	1.5118578920382453	-1.5118578920382453
13	Clostridium_innocuum_I46	L-Glutamate-e0	Microbe	-2.285714285719304	N-Acetyl-D-glucosamine-e0	0	2.285714285719304	-1.0	1.5118578920385686	-1.5118578920385686
17	Clostridium_innocuum_I46	L-Glutamate-e0	Microbe	-4.571428571433207	D-Mannose-e0	0	4.571428571433207	-1.0	2.138089935300479	-2.138089935300479
18	Clostridium_innocuum_I46	L-Glutamate-e0	Microbe	-5.714285714291049	D-Mannitol-e0	0	5.714285714291049	-1.0	2.390457218669903	-2.390457218669903
22	Clostridium_innocuum_I46	L-Glutamate-e0	Microbe	0.9999999999903321	Folate-e0	0	0.9999999999903321	1.0	0.999999999995166	0.999999999995166
23	Clostridium_innocuum_I46	L-Glutamate-e0	Microbe	-2.2857142857150574	N-Acetyl-D-chondrosamine-e0	0	2.2857142857150574	-1.0	1.5118578920371641	-1.5118578920371641
25	Clostridium_innocuum_I46	L-Glutamate-e0	Microbe	2.285714285712555	O2-e0	0	2.285714285712555	1.0	1.5118578920363366	1.5118578920363366
34	Clostridium_innocuum_I46	L-Glutamate-e0	Microbe	2.285714285708753	Riboflavin	0	2.285714285708753	1.0	1.5118578920350791	1.5118578920350791
35	Clostridium_innocuum_I46	L-Glutamate-e0	Microbe	518.5798434452676	PAN	0	518.5798434452676	1.0	22.772348219831603	22.772348219831603
36	Clostridium_innocuum_I46	L-Glutamate-e0	Microbe	-1.1428571428612546	Inosine	0	1.1428571428612546	-1.0	1.0690449676516207	-1.0690449676516207
38	Clostridium_innocuum_I46	D-Glucose-e0	Microbe	-1.0000000000000004	D-Glucose-e0	1	1.0000000000000004	-1.0	1.0000000000000002	-1.0000000000000002
40	Clostridium_innocuum_I46	Heme-e0	Microbe	0.5714285714290965	D-Glucose-e0	0	0.5714285714290965	1.0	0.7559289460188018	0.7559289460188018
42	Clostridium_innocuum_I46	Heme-e0	Microbe	-0.7142857142854809	Thiamin-e0	0	0.7142857142854809	-1.0	0.8451542547283786	-0.8451542547283786
45	Clostridium_innocuum_I46	Heme-e0	Microbe	0.2857142857148798	L-Malate-e0	0	0.2857142857148798	1.0	0.5345224838254045	0.5345224838254045
46	Clostridium_innocuum_I46	Heme-e0	Microbe	0.28571428571501295	N-Acetyl-D-glucosamine-e0	0	0.28571428571501295	1.0	0.534522483825529	0.534522483825529
