	0.0000-0.0006	0.0006-0.0009	0.0009-0.0010	0.0010-0.0017	0.0022-0.0023	0.0023-0.0023	0.0023-0.0026	0.0026-0.0033	0.0033-0.0033	0.0033-0.0044	0.0044-0.0048	0.0048-0.0057	0.0057-0.0058	0.0083-0.0083	0.0090-0.0097	0.0112-0.0117	0.0117-0.0120	0.0120-0.0120	0.0121-0.0121	0.0121-0.0128	0.0128-0.0128	0.0129-0.0138	0.0138-0.0212	0.0212-0.1018	0.1018-0.1028	0.1028-0.1364	0.2061-0.2069	0.2072-0.2077	0.2081-0.2083	0.2083-0.2085	0.2085-0.2088	0.2088-0.2091	0.2091-0.2102	0.2102-0.2105	0.2117-0.2123	0.2128-0.2139	0.2139-0.2148	0.2148-0.2155	0.2155-0.2155	0.2155-0.2316	0.2316-0.2319	0.2319-0.2325	0.2326-0.2326	0.2326-0.2328	0.2328-0.2328	0.2330-0.2343	0.2355-0.2432	0.2455-0.2801	0.2846-0.2849	0.2849-0.2898	0.2898-0.3009	0.3009-0.3038	0.3038-0.3076	0.3125-0.3168	0.3168-0.3241	0.3241-0.3259	0.3285-0.3303	0.3303-0.3349	0.3349-0.3360	0.3360-0.3363	0.3363-0.3574	0.3975-0.3993	0.3993-0.4879	0.4879-0.4880	0.4880-0.4880	0.4881-0.4883	0.4883-0.5221	0.5221-0.5232	0.5232-0.5236	0.5238-0.5360	0.5360-0.5512	0.5518-0.5546	0.5546-0.5546	0.5547-0.5549	0.5549-0.5558	0.5598-0.5598	0.5726-0.5782	0.5786-0.5787	0.5787-0.5787	0.5788-0.5789	0.5789-0.5953	0.6417-0.6582	0.6582-0.6582	0.6582-0.6584	0.6584-0.6586	0.6586-0.6615	0.6615-0.6615	0.6615-0.6616	0.6628-0.6703	0.6703-0.6885	0.6885-0.6920	0.7008-0.7278	0.7278-0.7354	0.7354-0.7372	0.7424-0.7432	0.7791-0.7792	0.7792-0.8249	0.9102-0.9112	0.9112-0.9166	0.9166-2.6258	2.6305-2.6473	2.6473-3.4846	3.4846-4.2916	4.2916-4.6761	4.6761-6.0375	6.0375-6.2118	6.2118-6.2154	6.2199-6.2212	6.2212-7.9488	7.9488-8.5734	8.5734-20.0000	Source	Target
PAN##Clostridium_innocuum_I46##Metabolite##None	126.68907411693637	126.68907411693637	126.68907411914006	126.68907411978684	126.68907411868092	126.6890741104065	126.6890741104065	126.68907412175169	126.68907411739825	126.68907412394617	126.68907411930077	126.68907411961247	126.68907411961247	126.68907414086526	126.68907411769358	126.68907411769358	126.68907411769358	126.68907411769358	126.68907411769358	126.68907411769358	126.68907411769358	126.68907411769358	126.68907411769358	126.68907411769358	126.68907411763959	126.68907411734497	126.68907411793067	126.68907411764049	126.68907411801321	126.68907411818218	126.68907411834164	126.6890741183928	126.68907411761224	126.68907411765908	126.68907411812812	126.68907411765036	126.68907411765866	126.6890741177883	126.68907411777738	126.689074117275	126.68907411786051	126.68907411793023	126.68907411807939	126.68907411763814	126.68907411810159	126.68907411827445	126.68907411828165	126.68907411828165	126.6890741216415	126.68907412148424	126.68907412148424	126.68907412156419	126.68907412175668	126.6890741217191	126.68907412172311	126.68907411906541	126.68907411902462	126.68907411902462	126.68907411934032	126.68907411847371	126.68907411858294	126.6890741122161	126.6890741122161	126.6890741222416	126.6890741242912	126.68907412094131	126.68907411869755	126.68907411869755	126.68907411869755	126.68907411607339	126.68907412082923	126.68907412082923	126.68907415714907	126.68907411626061	126.68907411895101	126.68907411907283	126.68907411591212	126.68907412100883	126.68907411405708	126.68907411630313	126.68907411966033	126.68907412943612	126.68907412943612	126.68907412943612	126.68907412943612	126.68907412943612	126.68907412943612	126.68907412943612	126.68907412943612	126.68907411723119	126.68907411692585	126.6890741167646	126.6890741167646	126.6890741167646	126.6890741167646	126.6890741167646	126.6890741167646	126.68907411683378	126.68907411683378	126.68907411683378	126.68907411669628	126.68907411694889	126.6890741169398	126.68907411695926	126.68907411695926	126.68907411702526	126.68907411624559	126.6890741165122	126.68907411681859	126.68907411956653	126.68907411956653	PAN	Clostridium_innocuum_I46
Clostridium_innocuum_I46##Phosphate-e0##Microbe##PAN	-127.45775495872242	-127.45775495872242	-127.45775496092017	-127.4577549615127	-127.4577549603749	-127.45775495196784	-127.45775495196784	-127.45775496354652	-127.4577549590853	-127.45775496536272	-127.45775496079528	-127.4577549663156	-127.4577549663156	-127.45775498102351	-127.45775495919483	-127.45775495919483	-127.45775495919483	-127.45775495919483	-127.45775495919483	-127.45775495919483	-127.45775495919483	-127.45775495919483	-127.45775495919483	-127.45775495919483	-127.45775495914182	-127.45775495884982	-127.45775495941432	-127.45775495914424	-127.4577549587473	-127.45775496077871	-127.45775496093007	-127.45775496097816	-127.45775495917421	-127.45775495921882	-127.45775495966355	-127.45775495920567	-127.4577549592153	-127.45775495934251	-127.45775495932924	-127.4577549580577	-127.45775496012364	-127.45775496018847	-127.45775496053166	-127.45775495944132	-127.45775495996791	-127.4577549598713	-127.45775495986814	-127.45775495986814	-127.45775496900825	-127.45775496583484	-127.45775496583484	-127.45775496604118	-127.45775496641242	-127.45775496638319	-127.45775496639115	-127.45775496049662	-127.45775496049885	-127.45775496049885	-127.45775496081014	-127.45775496023718	-127.4577549603568	-127.45775495714906	-127.45775495714906	-127.45775496343232	-127.45775495191026	-127.45775496221843	-127.45775496002841	-127.45775496002841	-127.45775496002841	-127.45775495845419	-127.45775496888322	-127.45775496888322	-127.45775499840889	-127.45775495806711	-127.45775496492503	-127.4577549656163	-127.45775496291053	-127.45775497488026	-127.45775496103649	-127.45775496305203	-127.45775496112832	-127.45775497048275	-127.45775497048275	-127.45775497048275	-127.45775497048275	-127.45775497048275	-127.45775497048275	-127.45775497048275	-127.45775497048275	-127.45775495886107	-127.4577549585457	-127.45775495857485	-127.45775495857485	-127.45775495857485	-127.45775495857485	-127.45775495857485	-127.45775495857485	-127.45775495862951	-127.45775495862951	-127.45775495862951	-127.45775495849576	-127.45775495874375	-127.45775495873376	-127.45775495875239	-127.45775495875239	-127.45775495879735	-127.45775495807172	-127.4577549583161	-127.45775495862165	-127.4577549611682	-127.4577549611682	Clostridium_innocuum_I46	Phosphate-e0
Clostridium_innocuum_I46##D-Glucose-e0##Microbe##L-Aspartate-e0	0.05555555557294457	0.05555555557294457	-0.4999999999971339	0.055555555587107376	0.1250000000291922	-1.7499999999750335	-1.7499999999750335	0.6363636364435794	-0.4038461538413468	-0.4038461538335986	-0.35714285713356553	-0.4999999999974079	-0.4999999999974079	-0.4999999999894574	-0.49999999999815486	-0.49999999999815486	-0.49999999999815486	-0.49999999999815486	-0.49999999999815486	-0.49999999999815486	-0.49999999999815486	-0.49999999999815486	-0.49999999999815486	-0.49999999999815486	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Clostridium_innocuum_I46	D-Glucose-e0
Clostridium_innocuum_I46##D-Glucose-e0##Microbe##Spermidine-e0	0.4722222222294139	0.4722222222294139	0.7500000000004913	0.4722222222233305	0.4999999999970146	4.249999999849265	4.249999999849265	-0.5227272727877962	-0.05769230769767957	-0.057692307701191964	-0.07857142857960109	-0.25000000000175676	-0.25000000000175676	-0.24999999997958477	-0.2500000000015893	-0.2500000000015893	-0.2500000000015893	-0.2500000000015893	-0.2500000000015893	-0.2500000000015893	-0.2500000000015893	-0.2500000000015893	-0.2500000000015893	-0.2500000000015893	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Clostridium_innocuum_I46	D-Glucose-e0
Clostridium_innocuum_I46##D-Glucose-e0##Microbe##Thiamin-e0	4.97222222214843	4.97222222214843	-1.2499999999953009	4.972222222305076	5.812500000018082	-15.374999999158588	-15.374999999158588	11.590909091257206	0.846153846144689	0.846153846224724	1.2857142857392725	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Clostridium_innocuum_I46	D-Glucose-e0
Clostridium_innocuum_I46##D-Glucose-e0##Microbe##N-Acetyl-D-glucosamine-e0	1.499999999984102	1.499999999984102	-0.4999999999977879	1.5000000000341405	1.6250000000272666	-1.7499999999095448	-1.7499999999095448	2.545454545553169	1.076923076928192	1.0769230769390545	1.1428571428680594	1.0000000000030087	1.0000000000030087	1.000000000010903	1.0000000000016118	1.0000000000016118	1.0000000000016118	1.0000000000016118	1.0000000000016118	1.0000000000016118	1.0000000000016118	1.0000000000016118	1.0000000000016118	1.0000000000016118	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Clostridium_innocuum_I46	D-Glucose-e0
Clostridium_innocuum_I46##D-Glucose-e0##Microbe##D-Mannose-e0	1.000000000004771	1.000000000004771	1.0000000000005296	1.0000000000052645	1.0000000000060019	0.999999999989863	0.999999999989863	1.0000000000111369	1.0000000000013753	1.0000000000012497	1.000000000001615	1.0000000000005047	1.0000000000005047	1.000000000000471	1.0000000000004667	1.0000000000004667	1.0000000000004667	1.0000000000004667	1.0000000000004667	1.0000000000004667	1.0000000000004667	1.0000000000004667	1.0000000000004667	1.0000000000004667	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Clostridium_innocuum_I46	D-Glucose-e0
Clostridium_innocuum_I46##D-Glucose-e0##Microbe##Folate-e0	6.583333333296586	6.583333333296586	-0.24999999999072306	6.5833333334667445	7.250000000091256	-16.74999999917537	-16.74999999917537	13.795454545976774	2.096153846161533	2.0961538462483182	2.621428571471162	1.2500000000127336	1.2500000000127336	1.2500000000695954	1.2500000000054454	1.2500000000054454	1.2500000000054454	1.2500000000054454	1.2500000000054454	1.2500000000054454	1.2500000000054454	1.2500000000054454	1.2500000000054454	1.2500000000054454	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Clostridium_innocuum_I46	D-Glucose-e0
Clostridium_innocuum_I46##D-Glucose-e0##Microbe##N-Acetyl-D-chondrosamine-e0	1.0555555555423586	1.0555555555423586	1.4999999999976403	1.0555555555311733	0.9999999999776182	1.0000000000390274	1.0000000000390274	0.9999999999605402	1.4038461538432032	1.4038461538400824	1.385714285709261	1.4999999999984879	1.4999999999984879	1.4999999999921532	1.4999999999985276	1.4999999999985276	1.4999999999985276	1.4999999999985276	1.4999999999985276	1.4999999999985276	1.4999999999985276	1.4999999999985276	1.4999999999985276	1.4999999999985276	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Clostridium_innocuum_I46	D-Glucose-e0
Clostridium_innocuum_I46##D-Glucose-e0##Microbe##O2-e0	0.4444444444267957	0.4444444444267957	-0.9999999999989713	0.44444444446311177	0.6250000000052272	-4.24999999980856	-4.24999999980856	1.954545454627486	-0.3461538461548759	-0.34615384613768896	-0.2714285714189072	-0.49999999999720646	-0.49999999999720646	-0.49999999998451966	-0.4999999999983579	-0.4999999999983579	-0.4999999999983579	-0.4999999999983579	-0.4999999999983579	-0.4999999999983579	-0.4999999999983579	-0.4999999999983579	-0.4999999999983579	-0.4999999999983579	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Clostridium_innocuum_I46	D-Glucose-e0
