	Source	Target	SourceType	Weight	ABS_Weight	Sign_Weight	ABSRootWeight	SignedRootWeight
0	Turicimonas_muris_YL45	L-Aspartate-e0	Microbe	-680.617161643273	680.617161643273	-1.0	26.08864047134831	-26.08864047134831
1	Turicimonas_muris_YL45	Pyridoxal	Microbe	-0.49999999999728445	0.49999999999728445	-1.0	0.7071067811846273	-0.7071067811846273
2	Turicimonas_muris_YL45	Phosphate-e0	Microbe	-127.45775495982701	127.45775495982701	-1.0	11.289718993838022	-11.289718993838022
3	Turicimonas_muris_YL45	Succinate-e0	Microbe	392.16908350854766	392.16908350854766	1.0	19.803259416281644	19.803259416281644
4	Clostridium_innocuum_I46	Inosine	Microbe	-95.478842236907	95.478842236907	-1.0	9.771327557548513	-9.771327557548513
5	Turicimonas_muris_YL45	L-Proline-e0	Microbe	-26.58432473950207	26.58432473950207	-1.0	5.155998908019868	-5.155998908019868
6	Turicimonas_muris_YL45	L-Malate-e0	Microbe	-1.0	1.0	-1.0	1.0	-1.0
7	Clostridium_innocuum_I46	L-Asparagine-e0	Microbe	-96.50044303282961	96.50044303282961	-1.0	9.823463901945669	-9.823463901945669
8	Riboflavin	Turicimonas_muris_YL45	Metabolite	126.68907411760277	126.68907411760277	1.0	11.2556241105326	11.2556241105326
9	Clostridium_innocuum_I46	fe3-e0	Microbe	-0.9241112603354055	0.9241112603354055	-1.0	0.9613070582989628	-0.9613070582989628
10	Clostridium_innocuum_I46	Mn2+-e0	Microbe	-0.9241112603338151	0.9241112603338151	-1.0	0.9613070582981356	-0.9613070582981356
11	Turicimonas_muris_YL45	carbonate	Microbe	-272.0871878875891	272.0871878875891	-1.0	16.495065561785108	-16.495065561785108
12	Turicimonas_muris_YL45	L-Asparagine-e0	Microbe	-28.98957316831629	28.98957316831629	-1.0	5.384196613081314	-5.384196613081314
13	Clostridium_innocuum_I46	XAN-e0	Microbe	38.8940566218327	38.8940566218327	1.0	6.23650997127662	6.23650997127662
14	Turicimonas_muris_YL45	fe3-e0	Microbe	-0.9241112603314343	0.9241112603314343	-1.0	0.9613070582968973	-0.9613070582968973
15	Clostridium_innocuum_I46	Co2+-e0	Microbe	-0.9241112603365417	0.9241112603365417	-1.0	0.9613070582995538	-0.9613070582995538
16	Clostridium_innocuum_I46	Acetate-e0	Microbe	4.496348513223271	4.496348513223271	1.0	2.120459505207131	2.120459505207131
17	Clostridium_innocuum_I46	Sulfate-e0	Microbe	-0.9241112603340682	0.9241112603340682	-1.0	0.9613070582982672	-0.9613070582982672
18	Clostridium_innocuum_I46	N-Acetyl-D-glucosamine-e0	Microbe	-1.0000000000000002	1.0000000000000002	-1.0	1.0	-1.0
19	Clostridium_innocuum_I46	Cl--e0	Microbe	-0.924111260334017	0.924111260334017	-1.0	0.9613070582982406	-0.9613070582982406
20	Clostridium_innocuum_I46	Cu2+-e0	Microbe	-0.92411126033579	0.92411126033579	-1.0	0.9613070582991629	-0.9613070582991629
21	Turicimonas_muris_YL45	L-Threonine-e0	Microbe	-75.9931301133335	75.9931301133335	-1.0	8.71740386315407	-8.71740386315407
22	PAN	Clostridium_innocuum_I46	Metabolite	126.68907411950164	126.68907411950164	1.0	11.255624110616951	11.255624110616951
23	Turicimonas_muris_YL45	Acetate-e0	Microbe	6545.185124228645	6545.185124228645	1.0	80.90231841071457	80.90231841071457
24	Clostridium_innocuum_I46	Folate-e0	Microbe	-1.0000000000000004	1.0000000000000004	-1.0	1.0000000000000002	-1.0000000000000002
25	Turicimonas_muris_YL45	Sulfate-e0	Microbe	-0.9241112602878971	0.9241112602878971	-1.0	0.9613070582742526	-0.9613070582742526
26	Turicimonas_muris_YL45	Cl--e0	Microbe	-0.9241112603212231	0.9241112603212231	-1.0	0.9613070582915862	-0.9613070582915862
27	Turicimonas_muris_YL45	Formate-e0-e0	Microbe	6907.529200718915	6907.529200718915	1.0	83.11154673520952	83.11154673520952
28	Clostridium_innocuum_I46	Fumarate-e0	Microbe	24.591089365616444	24.591089365616444	1.0	4.9589403470516205	4.9589403470516205
29	Clostridium_innocuum_I46	Succinate-e0	Microbe	37.50729427767659	37.50729427767659	1.0	6.124319903277146	6.124319903277146
30	Clostridium_innocuum_I46	D-Glucose-e0	Microbe	-293.1821438782637	293.1821438782637	-1.0	17.122562421502913	-17.122562421502913
31	Clostridium_innocuum_I46	L-Isoleucine-e0	Microbe	-44.48445267514627	44.48445267514627	-1.0	6.669666608995255	-6.669666608995255
32	Turicimonas_muris_YL45	Fumarate-e0	Microbe	371.0733706705439	371.0733706705439	1.0	19.263264797809946	19.263264797809946
33	Clostridium_innocuum_I46	Mg-e0	Microbe	-0.9241112603352519	0.9241112603352519	-1.0	0.961307058298883	-0.961307058298883
34	Clostridium_innocuum_I46	Ca2+-e0	Microbe	-0.9241112603315229	0.9241112603315229	-1.0	0.9613070582969434	-0.9613070582969434
35	Clostridium_innocuum_I46	CO2-e0	Microbe	461.5295508697469	461.5295508697469	1.0	21.483238835653875	21.483238835653875
36	Clostridium_innocuum_I46	Fe2+-e0	Microbe	-1.9241112603481685	1.9241112603481685	-1.0	1.3871233760369581	-1.3871233760369581
37	Clostridium_innocuum_I46	L-Methionine-e0	Microbe	-19.482435295447768	19.482435295447768	-1.0	4.413891173947062	-4.413891173947062
38	Clostridium_innocuum_I46	K+-e0	Microbe	-0.9241112603321336	0.9241112603321336	-1.0	0.961307058297261	-0.961307058297261
39	Turicimonas_muris_YL45	Ca2+-e0	Microbe	-0.9241112603181814	0.9241112603181814	-1.0	0.9613070582900041	-0.9613070582900041
40	Turicimonas_muris_YL45	Mg	Microbe	-0.9241112603200317	0.9241112603200317	-1.0	0.9613070582909665	-0.9613070582909665
41	Turicimonas_muris_YL45	PAN	Microbe	-1.0000000000492226	1.0000000000492226	-1.0	1.0000000000246112	-1.0000000000246112
42	Turicimonas_muris_YL45	CO2-e0	Microbe	1158.5792764168189	1158.5792764168189	1.0	34.03790940138391	34.03790940138391
43	Turicimonas_muris_YL45	Fe2+-e0	Microbe	-1.9241112602946657	1.9241112602946657	-1.0	1.3871233760176727	-1.3871233760176727
44	Clostridium_innocuum_I46	L-Alanine-e0	Microbe	-43.22204984721395	43.22204984721395	-1.0	6.5743478647858264	-6.5743478647858264
45	Turicimonas_muris_YL45	L-Methionine-e0	Microbe	-18.982435295122983	18.982435295122983	-1.0	4.356883667843678	-4.356883667843678
46	Turicimonas_muris_YL45	K+-e0	Microbe	-0.9241112603200611	0.9241112603200611	-1.0	0.9613070582909818	-0.9613070582909818
47	Clostridium_innocuum_I46	L-Threonine-e0	Microbe	-30.50867743960602	30.50867743960602	-1.0	5.523466071191713	-5.523466071191713
48	Clostridium_innocuum_I46	Riboflavin	Microbe	-1.000000000000001	1.000000000000001	-1.0	1.0000000000000004	-1.0000000000000004
49	Clostridium_innocuum_I46	L-Arginine-e0	Microbe	-35.572358342449675	35.572358342449675	-1.0	5.964256730092164	-5.964256730092164
50	Clostridium_innocuum_I46	L-Histidine-e0	Microbe	-11.393282031390946	11.393282031390946	-1.0	3.3753936113275658	-3.3753936113275658
51	Clostridium_innocuum_I46	L-Cysteine-e0	Microbe	-12.013505963891467	12.013505963891467	-1.0	3.4660504849022997	-3.4660504849022997
52	Turicimonas_muris_YL45	Riboflavin	Microbe	-1.0000000000016553	1.0000000000016553	-1.0	1.0000000000008276	-1.0000000000008276
53	Turicimonas_muris_YL45	L-Arginine-e0	Microbe	-35.572358341882484	35.572358341882484	-1.0	5.964256730044615	-5.964256730044615
54	Clostridium_innocuum_I46	H+-e0	Microbe	-114.59372462115171	114.59372462115171	-1.0	10.70484584761274	-10.70484584761274
55	Clostridium_innocuum_I46	L-Leucine-e0	Microbe	-64.72644010597092	64.72644010597092	-1.0	8.045274395940199	-8.045274395940199
56	Turicimonas_muris_YL45	L-Histidine-e0	Microbe	-11.393282031206558	11.393282031206558	-1.0	3.375393611300252	-3.375393611300252
57	Turicimonas_muris_YL45	L-Cysteine-e0	Microbe	-13.013505963518668	13.013505963518668	-1.0	3.6074237294111526	-3.6074237294111526
58	Turicimonas_muris_YL45	Spermidine-e0	Microbe	-0.9999999999999997	0.9999999999999997	-1.0	0.9999999999999998	-0.9999999999999998
