	0.0000-0.0009	0.0009-0.0010	0.0010-0.0012	0.0029-0.0030	0.0040-0.0113	0.0113-0.0121	0.0121-0.0122	0.0122-0.0122	0.0122-0.0170	0.0234-0.0991	0.0991-0.0995	0.1013-0.2024	0.2024-0.2034	0.2034-0.2043	0.2052-0.2121	0.2121-0.2136	0.2136-0.2145	0.2145-0.2169	0.2195-0.2207	0.2223-0.2233	0.2233-0.2276	0.2281-0.2316	0.2335-0.2338	0.2338-0.2794	0.2794-0.2977	0.2977-0.3104	0.3146-0.3285	0.3285-0.3286	0.3286-0.3287	0.3746-0.3928	0.3928-0.4108	0.4108-0.4151	0.4196-0.4540	0.4540-0.4553	0.4553-0.4615	0.4615-0.5183	0.5183-0.5186	0.5186-0.5190	0.5190-20.0000	Source	Target
PAN##Phosphate-e0##Clostridium_innocuum_I46	-127.45775495872242	-127.45775496109079	-127.45775496013715	-127.45775495917604	-127.4577549592895	834.2163522574383	834.2163522557985	834.2163522612452	1098.9558856588033	-109.44374089916077	-1192.662405317771	-124.8337550844372	-577.4232797502635	-4418.229341335814	120.20172370272651	-110.7411684202868	-20.71336349456491	-317.86971580644393	-25.97891272412545	-25.978912724065907	-25.978912724146827	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	PAN	Phosphate-e0
L-Aspartate-e0##D-Glucose-e0##Clostridium_innocuum_I46	0.05555555557294457	-0.49999999999697536	-0.4999999999974146	-0.49999999999857364	-0.4999999999983878	-0.4999999999974772	0.5000000000116026	-0.4999999999910412	-0.33974358973797214	-0.49999999999844486	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	L-Aspartate-e0	D-Glucose-e0
Spermidine-e0##D-Glucose-e0##Clostridium_innocuum_I46	0.4722222222294139	0.7500000000002356	0.7500000000004472	-0.7500000000029265	-0.25000000000155903	-0.4999999999990638	8.899999999991818	-1.4999999999612967	0.16666666665880772	1.6249999999922675	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Spermidine-e0	D-Glucose-e0
Thiamin-e0##D-Glucose-e0##Clostridium_innocuum_I46	4.97222222214843	-1.249999999994292	-1.2499999999992486	-0.2500000000006411	-1.5000000000046294	0.0	-30.200000000091308	5.999999999811759	0.19871794868126175	-0.8750000000015686	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Thiamin-e0	D-Glucose-e0
N-Acetyl-D-glucosamine-e0##D-Glucose-e0##Clostridium_innocuum_I46	1.499999999984102	-0.49999999999728983	-0.49999999999895384	0.5000000000018103	0.5000000000011506	0.5000000000018734	1.5000000000071523	0.5000000000075906	0.6602564102602135	0.5000000000012622	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	N-Acetyl-D-glucosamine-e0	D-Glucose-e0
D-Mannose-e0##D-Glucose-e0##Clostridium_innocuum_I46	1.000000000004771	1.0000000000005396	1.0000000000005378	1.000000000000373	1.000000000000377	1.0000000000006526	1.0000000000025682	1.000000000001443	1.0000000000017277	1.000000000000289	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	D-Mannose-e0	D-Glucose-e0
Folate-e0##D-Glucose-e0##Clostridium_innocuum_I46	6.583333333296586	-0.24999999998921332	-0.24999999999494013	0.2500000000008831	0.7500000000016163	0.0	30.600000000021783	-3.9999999998473696	1.5448717948736552	-2.1249999999832605	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Folate-e0	D-Glucose-e0
N-Acetyl-D-chondrosamine-e0##D-Glucose-e0##Clostridium_innocuum_I46	1.0555555555423586	1.4999999999976201	1.4999999999979459	1.4999999999989249	1.4999999999986857	1.4999999999980227	0.6999999999917215	0.499999999997211	0.5320512820470001	0.49999999999943456	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	N-Acetyl-D-chondrosamine-e0	D-Glucose-e0
O2-e0##D-Glucose-e0##Clostridium_innocuum_I46	0.4444444444267957	-0.9999999999985892	-0.9999999999998197	0.0	-0.5000000000003599	0.0	-12.80000000001832	1.999999999931594	-0.37179487179963994	-0.5000000000001075	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	O2-e0	D-Glucose-e0
Riboflavin##D-Glucose-e0##Clostridium_innocuum_I46	2.52777777768366	-3.7499999999961333	-3.7500000000012115	-1.249999999998765	-1.2500000000007856	-1.000000000004488	-3.0000000000217084	0.0	-0.48076923077876854	-2.499999999993057	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Riboflavin	D-Glucose-e0
PAN##D-Glucose-e0##Clostridium_innocuum_I46	-2774.460073332106	-289.1821438776663	-289.1821438756229	-195.14771404760023	-222.64401728652285	-342.853280687487	-1785.0491851453448	-725.189891268397	-890.6520996404913	-135.40233304704043	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	PAN	D-Glucose-e0
PAN##Mn2+-e0##Clostridium_innocuum_I46	-0.9241112603138921	-0.924111260329299	-0.9241112603227104	-0.9241112603191717	-0.9241112603199356	-0.9241112603150753	-0.9241112603131125	-0.9241112603194174	-0.9241112603134728	-0.9241112603316949	-0.9241112603585736	-0.9241112603319017	-0.9241112603398014	-0.9241112604109336	-0.9241112603174925	-0.9241112603153521	-0.9241112603157645	-0.9241112603126375	-0.9241112603161846	-0.924111260314068	-0.9241112603169784	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	PAN	Mn2+-e0
PAN##Zn2+-e0##Clostridium_innocuum_I46	-0.9241112603127367	-0.9241112603287924	-0.9241112603189446	-0.9241112603164817	-0.9241112603174048	-0.9241112603137173	-0.9241112603117567	-0.9241112603170614	-0.9241112603123061	-0.9241112603303195	-0.9241112603569889	-0.9241112603303718	-0.924111260338388	-0.9241112604110131	-0.9241112603203417	-0.9241112603198779	-0.9241112603194132	-0.9241112603182388	-0.9241112603197423	-0.9241112603176557	-0.9241112603207301	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	PAN	Zn2+-e0
L-Aspartate-e0##L-Aspartate-e0##Clostridium_innocuum_I46	-0.9999999999999989	-1.0000000000000002	-1.0000000000000004	-1.0000000000000007	-1.0000000000000002	-0.999999999999999	-1.0000000000000016	-1.0000000000000016	-0.9999999999999978	-0.9999999999999963	-0.9999999999999982	-1.0000000000000004	-0.9999999999999988	-1.000000000000001	-1.0000000000000002	-1.0000000000000004	-1.0	-0.9999999999999996	-1.0000000000000004	-1.0	-1.0000000000000004	-0.9999999999999999	-1.0000000000000004	-0.9999999999999979	-1.0000000000000007	-1.0000000000000002	-0.9999999999999989	-1.0000000000000007	-1.000000000000002	-0.9999999999999992	-1.0000000000000013	-0.9999999999999991	-1.0000000000000004	-0.9999999999999986	-0.9999999999999989	-1.0000000000000013	-0.9999999999999998	-0.9999999999999991	-1.0000000000000016	L-Aspartate-e0	L-Aspartate-e0
PAN##Sulfate-e0##Clostridium_innocuum_I46	-0.9241112603078692	-0.9241112603165401	-0.9241112603203404	-0.924111260316998	-0.924111260317893	-0.924111260313581	-0.9241112603093231	-0.9241112603170152	-0.9241112603112512	-0.9241112603319137	-0.9241112603629975	-0.9241112603323011	-0.9241112603407055	-0.9241112604212739	-0.9241112603190633	-0.9241112603188592	-0.924111260318142	-0.9241112603150873	-0.9241112603180548	-0.9241112603156667	-0.924111260319632	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	PAN	Sulfate-e0
PAN##L-Arginine-e0##Clostridium_innocuum_I46	-35.57235834172135	-35.57235834240325	-35.57235834209124	-35.57235834181442	-35.57235834184457	-35.57235834169878	-35.57235834166426	-35.57235834189836	-35.57235834166185	-35.57235834234808	-35.57235834335511	-35.57235834235105	-35.57235834265685	-35.57235834537249	-35.572358341930176	-35.572358341891324	-35.572358341879465	-35.57235834182112	-35.57235834190007	-35.57235834181994	-35.572358341931725	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	PAN	L-Arginine-e0
Spermidine-e0##L-Glutamine-e0##Clostridium_innocuum_I46	1.5000000000003484	1.000000000001986	1.500000000000172	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.7373803728878727	-1.999999999993437	-1.9999999999913232	-0.6666666666710679	-1.9999999999898703	0.0	-1.0000000000008207	0.0	-0.333333333335974	1.5000000000002356	-0.06893839189055344	-0.6250000000081655	0.07603226939281857	-0.6250000000060969	0.0	0.0	0.0	0.0	Spermidine-e0	L-Glutamine-e0
