	Source	Target	SourceType	Weight	ABS_Weight	Sign_Weight	ABSRootWeight	SignedRootWeight
0	Enterocloster_clostridioformis_YL32	Putrescine-e0	Microbe	-1.0000000000000002	1.0000000000000002	-1.0	1.0	-1.0
1	Blautia_coccoides_YL58	Phosphate-e0	Microbe	-129.8641856184341	129.8641856184341	-1.0	11.39579683999474	-11.39579683999474
2	Blautia_coccoides_YL58	Succinate-e0	Microbe	1996.9602517650544	1996.9602517650544	1.0	44.68736120834452	44.68736120834452
3	Enterocloster_clostridioformis_YL32	Puryvate	Microbe	-1.0000000000000009	1.0000000000000009	-1.0	1.0000000000000004	-1.0000000000000004
4	Blautia_coccoides_YL58	L-Proline-e0	Microbe	-18.087781190136088	18.087781190136088	-1.0	4.252973217660333	-4.252973217660333
5	Blautia_coccoides_YL58	D-Ribose-e0	Microbe	-1.0000000000000002	1.0000000000000002	-1.0	1.0	-1.0
6	Enterocloster_clostridioformis_YL32	L-Aspartate-e0	Microbe	-0.999999999999999	0.999999999999999	-1.0	0.9999999999999994	-0.9999999999999994
7	Blautia_coccoides_YL58	Urea-e0	Microbe	-2.7622348852673895e-12	2.7622348852673895e-12	-1.0	1.6619972579000814e-06	-1.6619972579000814e-06
8	Enterocloster_clostridioformis_YL32	Inosine-e0	Microbe	-28.90825412945886	28.90825412945886	-1.0	5.376639668925086	-5.376639668925086
9	Enterocloster_clostridioformis_YL32	Phosphate-e0	Microbe	-18.227266887644866	18.227266887644866	-1.0	4.269340334014713	-4.269340334014713
10	Blautia_coccoides_YL58	L-Asparagine-e0	Microbe	-16.661009645867814	16.661009645867814	-1.0	4.08179000511636	-4.08179000511636
11	Enterocloster_clostridioformis_YL32	D-Ribose-e0	Microbe	12.824111081175975	12.824111081175975	1.0	3.58107680470218	3.58107680470218
12	Blautia_coccoides_YL58	L-Tyrosine-e0	Microbe	-11.972744790137208	11.972744790137208	-1.0	3.4601654281460603	-3.4601654281460603
13	Blautia_coccoides_YL58	N-acetylneuraminate (as sialic residue)	Microbe	-0.9999999999999996	0.9999999999999996	-1.0	0.9999999999999998	-0.9999999999999998
14	Blautia_coccoides_YL58	fe3-e0	Microbe	-0.7060625359704032	0.7060625359704032	-1.0	0.8402752739253984	-0.8402752739253984
15	Blautia_coccoides_YL58	Mn2+-e0	Microbe	-0.7060625359687701	0.7060625359687701	-1.0	0.8402752739244266	-0.8402752739244266
16	Enterocloster_clostridioformis_YL32	L-Valine-e0	Microbe	-7.2775915906048985	7.2775915906048985	-1.0	2.6977011677732023	-2.6977011677732023
17	PAN	Blautia_coccoides_YL58	Metabolite	96.79614651616605	96.79614651616605	1.0	9.83850326605455	9.83850326605455
18	Enterocloster_clostridioformis_YL32	L-Glutamate-e0	Microbe	-0.9999999999999984	0.9999999999999984	-1.0	0.9999999999999992	-0.9999999999999992
19	Enterocloster_clostridioformis_YL32	L-Asparagine-e0	Microbe	-0.999999999999999	0.999999999999999	-1.0	0.9999999999999994	-0.9999999999999994
20	Blautia_coccoides_YL58	XAN-e0	Microbe	12.165428977160017	12.165428977160017	1.0	3.4878975009538364	3.4878975009538364
