	Source	Target	Microbe	Weight	ABS_Weight	Sign_Weight	ABSRootWeight	SignedRootWeight
1	Riboflavin	Phosphate-e0	Flavonifractor_plautii_YL31	-127.45775495972157	127.45775495972157	-1.0	11.289718993833352	-11.289718993833352
4	Heme-e0	L-Glutamate-e0	Flavonifractor_plautii_YL31	10.999999999996664	10.999999999996664	1.0	3.316624790354897	3.316624790354897
8	Inosine-e0	L-Glutamate-e0	Flavonifractor_plautii_YL31	0.4999999999996532	0.4999999999996532	1.0	0.7071067811863023	0.7071067811863023
14	O2-e0	L-Glutamate-e0	Flavonifractor_plautii_YL31	-1.000000000000019	1.000000000000019	-1.0	1.0000000000000095	-1.0000000000000095
20	Riboflavin	L-Glutamate-e0	Flavonifractor_plautii_YL31	86.92493321063563	86.92493321063563	1.0	9.323354182408584	9.323354182408584
33	Riboflavin	D-Glucose-e0	Flavonifractor_plautii_YL31	-8.74087128264845	8.74087128264845	-1.0	2.9564964540226413	-2.9564964540226413
36	Heme-e0	Heme-e0	Flavonifractor_plautii_YL31	-1.0000000000000007	1.0000000000000007	-1.0	1.0000000000000002	-1.0000000000000002
37	Riboflavin	Mn2+-e0	Flavonifractor_plautii_YL31	-0.9241112603220797	0.9241112603220797	-1.0	0.9613070582920318	-0.9613070582920318
38	Riboflavin	Zn2+-e0	Flavonifractor_plautii_YL31	-0.9241112603226249	0.9241112603226249	-1.0	0.9613070582923153	-0.9613070582923153
41	Riboflavin	L-Lysine-e0	Flavonifractor_plautii_YL31	-41.268999357692024	41.268999357692024	-1.0	6.424095217047458	-6.424095217047458
48	Riboflavin	L-Aspartate-e0	Flavonifractor_plautii_YL31	-86.81840995854407	86.81840995854407	-1.0	9.3176397203661	-9.3176397203661
52	Riboflavin	Sulfate-e0	Flavonifractor_plautii_YL31	-0.9241112603215649	0.9241112603215649	-1.0	0.961307058291764	-0.961307058291764
53	Heme-e0	L-Arginine-e0	Flavonifractor_plautii_YL31	6.000000000028281	6.000000000028281	1.0	2.449489742788951	2.449489742788951
76	Riboflavin	L-Arginine-e0	Flavonifractor_plautii_YL31	-1163.7593482603625	1163.7593482603625	-1.0	34.11391722245281	-34.11391722245281
81	Heme-e0	Ornithine-e0	Flavonifractor_plautii_YL31	-6.000000000027496	6.000000000027496	-1.0	2.4494897427887907	-2.4494897427887907
83	Putrescine-e0	Ornithine-e0	Flavonifractor_plautii_YL31	1.0000000000000047	1.0000000000000047	1.0	1.0000000000000022	1.0000000000000022
85	Spermidine-e0	Ornithine-e0	Flavonifractor_plautii_YL31	0.9999999999920929	0.9999999999920929	1.0	0.9999999999960464	0.9999999999960464
106	Riboflavin	Ornithine-e0	Flavonifractor_plautii_YL31	1127.1869899183382	1127.1869899183382	1.0	33.57360555433893	33.57360555433893
114	Riboflavin	L-Leucine-e0	Flavonifractor_plautii_YL31	-64.72644010527424	64.72644010527424	-1.0	8.0452743958969	-8.0452743958969
117	Putrescine-e0	Putrescine-e0	Flavonifractor_plautii_YL31	-1.000000000000001	1.000000000000001	-1.0	1.0000000000000004	-1.0000000000000004
118	Riboflavin	L-Histidine-e0	Flavonifractor_plautii_YL31	-11.393282031261313	11.393282031261313	-1.0	3.375393611308363	-3.375393611308363
121	Riboflavin	L-Proline-e0	Flavonifractor_plautii_YL31	-26.58432473961549	26.58432473961549	-1.0	5.155998908030867	-5.155998908030867
124	Riboflavin	Co2+-e0	Flavonifractor_plautii_YL31	-0.9241112603224279	0.9241112603224279	-1.0	0.9613070582922129	-0.9613070582922129
127	Riboflavin	L-Valine-e0	Flavonifractor_plautii_YL31	-50.88999307295737	50.88999307295737	-1.0	7.133722245290839	-7.133722245290839
130	Heme-e0	L-Threonine-e0	Flavonifractor_plautii_YL31	22.000000000016513	22.000000000016513	1.0	4.69041575982519	4.69041575982519
132	Spermidine-e0	L-Threonine-e0	Flavonifractor_plautii_YL31	2.000000000005418	2.000000000005418	1.0	1.4142135623750105	1.4142135623750105
134	Inosine-e0	L-Threonine-e0	Flavonifractor_plautii_YL31	3.000000000002033	3.000000000002033	1.0	1.7320508075694643	1.7320508075694643
142	O2-e0	L-Threonine-e0	Flavonifractor_plautii_YL31	-1.9999999999982412	1.9999999999982412	-1.0	1.4142135623724732	-1.4142135623724732
148	Riboflavin	L-Threonine-e0	Flavonifractor_plautii_YL31	-764.94549700407	764.94549700407	-1.0	27.657648074340486	-27.657648074340486
149	Puryvate	L-Threonine-e0	Flavonifractor_plautii_YL31	0.9999999999987742	0.9999999999987742	1.0	0.999999999999387	0.999999999999387
155	Spermidine-e0	Spermidine-e0	Flavonifractor_plautii_YL31	-0.9999999999999992	0.9999999999999992	-1.0	0.9999999999999996	-0.9999999999999996
156	Riboflavin	L-Isoleucine-e0	Flavonifractor_plautii_YL31	-34.93939822920285	34.93939822920285	-1.0	5.910955779669042	-5.910955779669042
157	Riboflavin	fe3-e0	Flavonifractor_plautii_YL31	-0.9241112603220584	0.9241112603220584	-1.0	0.9613070582920207	-0.9613070582920207
158	Heme-e0	H+-e0	Flavonifractor_plautii_YL31	-9.99999999999669	9.99999999999669	-1.0	3.162277660167856	-3.162277660167856
159	Putrescine-e0	H+-e0	Flavonifractor_plautii_YL31	0.9999999999999559	0.9999999999999559	1.0	0.9999999999999779	0.9999999999999779
160	Spermidine-e0	H+-e0	Flavonifractor_plautii_YL31	2.000000000000421	2.000000000000421	1.0	1.414213562373244	1.414213562373244
164	Inosine-e0	H+-e0	Flavonifractor_plautii_YL31	-0.9999999999996869	0.9999999999996869	-1.0	0.9999999999998435	-0.9999999999998435
170	O2-e0	H+-e0	Flavonifractor_plautii_YL31	1.9999999999997131	1.9999999999997131	1.0	1.4142135623729937	1.4142135623729937
174	Riboflavin	H+-e0	Flavonifractor_plautii_YL31	19.116931623733407	19.116931623733407	1.0	4.372291347078029	4.372291347078029
175	Puryvate	H+-e0	Flavonifractor_plautii_YL31	-0.9999999999998693	0.9999999999998693	-1.0	0.9999999999999346	-0.9999999999999346
183	Riboflavin	Uracil-e0	Flavonifractor_plautii_YL31	-39.64223087771656	39.64223087771656	-1.0	6.296207658401727	-6.296207658401727
189	Inosine-e0	XAN-e0	Flavonifractor_plautii_YL31	1.0000000000001399	1.0000000000001399	1.0	1.00000000000007	1.00000000000007
195	Riboflavin	XAN-e0	Flavonifractor_plautii_YL31	-57.58478561422178	57.58478561422178	-1.0	7.588463982534395	-7.588463982534395
206	Heme-e0	L-Alanine-e0	Flavonifractor_plautii_YL31	-6.999999999989925	6.999999999989925	-1.0	2.6457513110626865	-2.6457513110626865
210	Inosine-e0	L-Alanine-e0	Flavonifractor_plautii_YL31	-0.49999999999886624	0.49999999999886624	-1.0	0.7071067811857459	-0.7071067811857459
217	O2-e0	L-Alanine-e0	Flavonifractor_plautii_YL31	1.0000000000003626	1.0000000000003626	1.0	1.0000000000001812	1.0000000000001812
222	Riboflavin	L-Alanine-e0	Flavonifractor_plautii_YL31	-296.42595719124563	296.42595719124563	-1.0	17.217025213179124	-17.217025213179124
227	Spermidine-e0	L-Methionine-e0	Flavonifractor_plautii_YL31	1.0000000000001503	1.0000000000001503	1.0	1.000000000000075	1.000000000000075
230	Riboflavin	L-Methionine-e0	Flavonifractor_plautii_YL31	-19.48243529517136	19.48243529517136	-1.0	4.413891173915751	-4.413891173915751
236	Riboflavin	L-Cysteine-e0	Flavonifractor_plautii_YL31	-13.013505963544738	13.013505963544738	-1.0	3.6074237294147657	-3.6074237294147657
239	Riboflavin	L-Tyrosine-e0	Flavonifractor_plautii_YL31	-17.083554956628305	17.083554956628305	-1.0	4.133225732600181	-4.133225732600181
240	Inosine-e0	Inosine-e0	Flavonifractor_plautii_YL31	-0.999999999999998	0.999999999999998	-1.0	0.999999999999999	-0.999999999999999
