	Source	Target	Microbe	Weight	ABS_Weight	Sign_Weight	ABSRootWeight	SignedRootWeight
1	Riboflavin	Phosphate-e0	Flavonifractor_plautii_YL31	-127.45775495909665	127.45775495909665	-1.0	11.289718993805677	-11.289718993805677
6	Putrescine-e0	L-Glutamate-e0	Flavonifractor_plautii_YL31	-0.9999999999930503	0.9999999999930503	-1.0	0.9999999999965251	-0.9999999999965251
8	Spermidine-e0	L-Glutamate-e0	Flavonifractor_plautii_YL31	-0.3333333333157693	0.3333333333157693	-1.0	0.5773502691744149	-0.5773502691744149
12	Inosine-e0	L-Glutamate-e0	Flavonifractor_plautii_YL31	1.0000000000061373	1.0000000000061373	1.0	1.0000000000030687	1.0000000000030687
13	Adenosine-e0	L-Glutamate-e0	Flavonifractor_plautii_YL31	1.9999999999999278	1.9999999999999278	1.0	1.4142135623730696	1.4142135623730696
23	Folate-e0	L-Glutamate-e0	Flavonifractor_plautii_YL31	9.333333333276306	9.333333333276306	1.0	3.05505046329456	3.05505046329456
26	O2-e0	L-Glutamate-e0	Flavonifractor_plautii_YL31	-0.666666666671659	0.666666666671659	-1.0	0.8164965809307831	-0.8164965809307831
32	Riboflavin	L-Glutamate-e0	Flavonifractor_plautii_YL31	-1444.4951656596147	1444.4951656596147	-1.0	38.006514779174566	-38.006514779174566
33	Puryvate	L-Glutamate-e0	Flavonifractor_plautii_YL31	0.33333333332987397	0.33333333332987397	1.0	0.5773502691866299	0.5773502691866299
47	Riboflavin	D-Glucose-e0	Flavonifractor_plautii_YL31	-8.740871282611394	8.740871282611394	-1.0	2.9564964540163743	-2.9564964540163743
51	Riboflavin	Mn2+-e0	Flavonifractor_plautii_YL31	-0.924111260319557	0.924111260319557	-1.0	0.9613070582907196	-0.9613070582907196
52	Riboflavin	Zn2+-e0	Flavonifractor_plautii_YL31	-0.9241112603178032	0.9241112603178032	-1.0	0.9613070582898074	-0.9613070582898074
58	Riboflavin	L-Lysine-e0	Flavonifractor_plautii_YL31	-41.268999357441906	41.268999357441906	-1.0	6.424095217027991	-6.424095217027991
61	Adenosine-e0	L-Aspartate-e0	Flavonifractor_plautii_YL31	0.9999999999999701	0.9999999999999701	1.0	0.999999999999985	0.999999999999985
