	Source	Target	SourceType	Weight	Cofactor	Match	ABS_Weight	Sign_Weight	ABSRootWeight	SignedRootWeight
0	Riboflavin	Flavonifractor_plautii_YL31	Metabolite	126.68907411975722	None	-1	126.68907411975722	1.0	11.255624110628306	11.255624110628306
2	Flavonifractor_plautii_YL31	Phosphate-e0	Microbe	-127.45775496147311	Riboflavin	0	127.45775496147311	-1.0	11.289718993910926	-11.289718993910926
6	Flavonifractor_plautii_YL31	L-Glutamate-e0	Microbe	-2.00000000003487	Spermidine-e0	0	2.00000000003487	-1.0	1.4142135623854235	-1.4142135623854235
9	Flavonifractor_plautii_YL31	L-Glutamate-e0	Microbe	-2.0000000000348312	Inosine-e0	0	2.0000000000348312	-1.0	1.4142135623854097	-1.4142135623854097
15	Flavonifractor_plautii_YL31	L-Glutamate-e0	Microbe	-2.0000000000384786	Folate-e0	0	2.0000000000384786	-1.0	1.4142135623866994	-1.4142135623866994
20	Flavonifractor_plautii_YL31	L-Glutamate-e0	Microbe	1089.3060385393974	Riboflavin	0	1089.3060385393974	1.0	33.00463662183538	33.00463662183538
21	Flavonifractor_plautii_YL31	L-Glutamate-e0	Microbe	-1.0000000000115086	Puryvate	0	1.0000000000115086	-1.0	1.0000000000057543	-1.0000000000057543
22	Flavonifractor_plautii_YL31	L-Glutamate-e0	Microbe	-1.0000000000169746	5'-Deoxyadenosine-e0	0	1.0000000000169746	-1.0	1.0000000000084872	-1.0000000000084872
35	Flavonifractor_plautii_YL31	D-Glucose-e0	Microbe	-8.740871282783035	Riboflavin	0	8.740871282783035	-1.0	2.9564964540454017	-2.9564964540454017
39	Flavonifractor_plautii_YL31	Mn2+-e0	Microbe	-0.9241112603344618	Riboflavin	0	0.9241112603344618	-1.0	0.961307058298472	-0.961307058298472
40	Flavonifractor_plautii_YL31	Zn2+-e0	Microbe	-0.9241112603336502	Riboflavin	0	0.9241112603336502	-1.0	0.9613070582980499	-0.9613070582980499
43	Flavonifractor_plautii_YL31	L-Lysine-e0	Microbe	-41.268999358232236	Riboflavin	0	41.268999358232236	-1.0	6.424095217089503	-6.424095217089503
