	Source	Target	SourceType	Weight	Cofactor	Match	ABS_Weight	Sign_Weight	ABSRootWeight	SignedRootWeight
0	Riboflavin	Flavonifractor_plautii_YL31	Metabolite	126.68907411766916	None	-1	126.68907411766916	1.0	11.25562411053555	11.25562411053555
2	Flavonifractor_plautii_YL31	Phosphate-e0	Microbe	-127.45775495928083	Riboflavin	0	127.45775495928083	-1.0	11.289718993813834	-11.289718993813834
9	Flavonifractor_plautii_YL31	L-Glutamate-e0	Microbe	-73.54418554111079	Riboflavin	0	73.54418554111079	-1.0	8.575790665653564	-8.575790665653564
20	Flavonifractor_plautii_YL31	D-Glucose-e0	Microbe	-8.74087128261772	Riboflavin	0	8.74087128261772	-1.0	2.956496454017444	-2.956496454017444
24	Flavonifractor_plautii_YL31	Mn2+-e0	Microbe	-0.9241112603185673	Riboflavin	0	0.9241112603185673	-1.0	0.9613070582902048	-0.9613070582902048
25	Flavonifractor_plautii_YL31	Zn2+-e0	Microbe	-0.9241112603181765	Riboflavin	0	0.9241112603181765	-1.0	0.9613070582900015	-0.9613070582900015
28	Flavonifractor_plautii_YL31	L-Lysine-e0	Microbe	0.49999999999853	L-Threonine-e0	0	0.49999999999853	1.0	0.7071067811855081	0.7071067811855081
29	Flavonifractor_plautii_YL31	L-Lysine-e0	Microbe	1.0000000000009805	Spermidine-e0	0	1.0000000000009805	1.0	1.0000000000004903	1.0000000000004903
31	Flavonifractor_plautii_YL31	L-Lysine-e0	Microbe	1.499999999999043	Inosine-e0	0	1.499999999999043	1.0	1.2247448713911984	1.2247448713911984
39	Flavonifractor_plautii_YL31	L-Lysine-e0	Microbe	-0.9999999999995979	O2-e0	0	0.9999999999995979	-1.0	0.9999999999997989	-0.9999999999997989
44	Flavonifractor_plautii_YL31	L-Lysine-e0	Microbe	-413.99236523239955	Riboflavin	0	413.99236523239955	-1.0	20.346802334332526	-20.346802334332526
45	Flavonifractor_plautii_YL31	L-Lysine-e0	Microbe	0.4999999999981876	Puryvate	0	0.4999999999981876	1.0	0.7071067811852659	0.7071067811852659
52	Flavonifractor_plautii_YL31	L-Aspartate-e0	Microbe	-0.4999999999990022	L-Threonine-e0	0	0.4999999999990022	-1.0	0.7071067811858419	-0.7071067811858419
53	Flavonifractor_plautii_YL31	L-Aspartate-e0	Microbe	-1.0000000000007334	Spermidine-e0	0	1.0000000000007334	-1.0	1.0000000000003666	-1.0000000000003666
55	Flavonifractor_plautii_YL31	L-Aspartate-e0	Microbe	-1.4999999999994205	Inosine-e0	0	1.4999999999994205	-1.0	1.2247448713913525	-1.2247448713913525
63	Flavonifractor_plautii_YL31	L-Aspartate-e0	Microbe	0.9999999999997146	O2-e0	0	0.9999999999997146	1.0	0.9999999999998572	0.9999999999998572
68	Flavonifractor_plautii_YL31	L-Aspartate-e0	Microbe	285.9049559165376	Riboflavin	0	285.9049559165376	1.0	16.90872425455385	16.90872425455385
69	Flavonifractor_plautii_YL31	L-Aspartate-e0	Microbe	-0.4999999999987823	Puryvate	0	0.4999999999987823	-1.0	0.7071067811856865	-0.7071067811856865
70	Flavonifractor_plautii_YL31	L-Aspartate-e0	Microbe	1.0000000000002485	5'-Deoxyadenosine-e0	0	1.0000000000002485	1.0	1.0000000000001241	1.0000000000001241
75	Flavonifractor_plautii_YL31	Sulfate-e0	Microbe	-0.9241112603181464	Riboflavin	0	0.9241112603181464	-1.0	0.961307058289986	-0.961307058289986
99	Flavonifractor_plautii_YL31	L-Arginine-e0	Microbe	-1144.725248271802	Riboflavin	0	1144.725248271802	-1.0	33.83378855924654	-33.83378855924654
100	Flavonifractor_plautii_YL31	L-Arginine-e0	Microbe	2.9999999999995826	5'-Deoxyadenosine-e0	0	2.9999999999995826	1.0	1.7320508075687568	1.7320508075687568
107	Flavonifractor_plautii_YL31	Ornithine-e0	Microbe	1.000000000000478	Putrescine-e0	0	1.000000000000478	1.0	1.000000000000239	1.000000000000239
109	Flavonifractor_plautii_YL31	Ornithine-e0	Microbe	0.99999999999771	Spermidine-e0	0	0.99999999999771	1.0	0.999999999998855	0.999999999998855
130	Flavonifractor_plautii_YL31	Ornithine-e0	Microbe	1108.1528899299035	Riboflavin	0	1108.1528899299035	1.0	33.288930441362986	33.288930441362986
131	Flavonifractor_plautii_YL31	Ornithine-e0	Microbe	-2.9999999999995897	5'-Deoxyadenosine-e0	0	2.9999999999995897	-1.0	1.7320508075687588	-1.7320508075687588
139	Flavonifractor_plautii_YL31	L-Leucine-e0	Microbe	-64.72644010504655	Riboflavin	0	64.72644010504655	-1.0	8.04527439588275	-8.04527439588275
142	Flavonifractor_plautii_YL31	Putrescine-e0	Microbe	-1.0000000000000016	Putrescine-e0	1	1.0000000000000016	-1.0	1.0000000000000007	-1.0000000000000007
143	Flavonifractor_plautii_YL31	L-Histidine-e0	Microbe	-11.393282031221759	Riboflavin	0	11.393282031221759	-1.0	3.375393611302504	-3.375393611302504
146	Flavonifractor_plautii_YL31	L-Proline-e0	Microbe	-26.584324739525396	Riboflavin	0	26.584324739525396	-1.0	5.15599890802213	-5.15599890802213
149	Flavonifractor_plautii_YL31	Co2+-e0	Microbe	-0.92411126032055	Riboflavin	0	0.92411126032055	-1.0	0.9613070582912361	-0.9613070582912361
152	Flavonifractor_plautii_YL31	L-Valine-e0	Microbe	-50.88999307278373	Riboflavin	0	50.88999307278373	-1.0	7.133722245278669	-7.133722245278669
155	Flavonifractor_plautii_YL31	L-Threonine-e0	Microbe	-1.0000000000000002	L-Threonine-e0	1	1.0000000000000002	-1.0	1.0	-1.0
157	Flavonifractor_plautii_YL31	Spermidine-e0	Microbe	-0.9999999999999997	Spermidine-e0	1	0.9999999999999997	-1.0	0.9999999999999998	-0.9999999999999998
158	Flavonifractor_plautii_YL31	L-Isoleucine-e0	Microbe	-34.93939822908477	Riboflavin	0	34.93939822908477	-1.0	5.910955779659054	-5.910955779659054
159	Flavonifractor_plautii_YL31	fe3-e0	Microbe	-0.9241112603188179	Riboflavin	0	0.9241112603188179	-1.0	0.9613070582903351	-0.9613070582903351
161	Flavonifractor_plautii_YL31	H+-e0	Microbe	0.9999999999999609	Putrescine-e0	0	0.9999999999999609	1.0	0.9999999999999805	0.9999999999999805
162	Flavonifractor_plautii_YL31	H+-e0	Microbe	2.0000000000003304	Spermidine-e0	0	2.0000000000003304	1.0	1.414213562373212	1.414213562373212
166	Flavonifractor_plautii_YL31	H+-e0	Microbe	-0.9999999999998437	Inosine-e0	0	0.9999999999998437	-1.0	0.9999999999999218	-0.9999999999999218
172	Flavonifractor_plautii_YL31	H+-e0	Microbe	1.9999999999999556	O2-e0	0	1.9999999999999556	1.0	1.4142135623730794	1.4142135623730794
176	Flavonifractor_plautii_YL31	H+-e0	Microbe	37.151031608305296	Riboflavin	0	37.151031608305296	1.0	6.0951646087948514	6.0951646087948514
177	Flavonifractor_plautii_YL31	H+-e0	Microbe	-0.9999999999998608	Puryvate	0	0.9999999999998608	-1.0	0.9999999999999304	-0.9999999999999304
178	Flavonifractor_plautii_YL31	H+-e0	Microbe	-1.0000000000000138	5'-Deoxyadenosine-e0	0	1.0000000000000138	-1.0	1.0000000000000069	-1.0000000000000069
186	Flavonifractor_plautii_YL31	Uracil-e0	Microbe	-39.64223087758596	Riboflavin	0	39.64223087758596	-1.0	6.2962076583913555	-6.2962076583913555
192	Flavonifractor_plautii_YL31	XAN-e0	Microbe	0.9999999999998281	Inosine-e0	0	0.9999999999998281	1.0	0.9999999999999141	0.9999999999999141
198	Flavonifractor_plautii_YL31	XAN-e0	Microbe	-57.58478561402615	Riboflavin	0	57.58478561402615	-1.0	7.588463982521506	-7.588463982521506
199	Flavonifractor_plautii_YL31	XAN-e0	Microbe	0.9999999999999866	5'-Deoxyadenosine-e0	0	0.9999999999999866	1.0	0.9999999999999932	0.9999999999999932
212	Flavonifractor_plautii_YL31	L-Alanine-e0	Microbe	-0.4999999999993346	L-Threonine-e0	0	0.4999999999993346	-1.0	0.7071067811860771	-0.7071067811860771
213	Flavonifractor_plautii_YL31	L-Alanine-e0	Microbe	-1.0000000000003755	Spermidine-e0	0	1.0000000000003755	-1.0	1.0000000000001876	-1.0000000000001876
217	Flavonifractor_plautii_YL31	L-Alanine-e0	Microbe	-1.4999999999995672	Inosine-e0	0	1.4999999999995672	-1.0	1.2247448713914124	-1.2247448713914124
225	Flavonifractor_plautii_YL31	L-Alanine-e0	Microbe	0.9999999999998077	O2-e0	0	0.9999999999998077	1.0	0.9999999999999039	0.9999999999999039
230	Flavonifractor_plautii_YL31	L-Alanine-e0	Microbe	201.233662199563	Riboflavin	0	201.233662199563	1.0	14.185685115621418	14.185685115621418
231	Flavonifractor_plautii_YL31	L-Alanine-e0	Microbe	-0.49999999999915773	Puryvate	0	0.49999999999915773	-1.0	0.7071067811859519	-0.7071067811859519
237	Flavonifractor_plautii_YL31	L-Methionine-e0	Microbe	1.0000000000000555	Spermidine-e0	0	1.0000000000000555	1.0	1.0000000000000278	1.0000000000000278
240	Flavonifractor_plautii_YL31	L-Methionine-e0	Microbe	-20.48243529509641	Riboflavin	0	20.48243529509641	-1.0	4.52575245623271	-4.52575245623271
246	Flavonifractor_plautii_YL31	L-Cysteine-e0	Microbe	-13.013505963500624	Riboflavin	0	13.013505963500624	-1.0	3.6074237294086515	-3.6074237294086515
249	Flavonifractor_plautii_YL31	L-Tyrosine-e0	Microbe	-17.08355495657102	Riboflavin	0	17.08355495657102	-1.0	4.133225732593251	-4.133225732593251
250	Flavonifractor_plautii_YL31	Inosine-e0	Microbe	-1.0000000000000016	Inosine-e0	1	1.0000000000000016	-1.0	1.0000000000000007	-1.0000000000000007
254	Flavonifractor_plautii_YL31	Acetate-e0	Microbe	0.9999999999983755	L-Threonine-e0	0	0.9999999999983755	1.0	0.9999999999991878	0.9999999999991878
255	Flavonifractor_plautii_YL31	Acetate-e0	Microbe	2.0000000000011346	Spermidine-e0	0	2.0000000000011346	1.0	1.4142135623734962	1.4142135623734962
259	Flavonifractor_plautii_YL31	Acetate-e0	Microbe	1.9999999999989908	Inosine-e0	0	1.9999999999989908	1.0	1.4142135623727383	1.4142135623727383
268	Flavonifractor_plautii_YL31	Acetate-e0	Microbe	-459.2713748836315	Riboflavin	0	459.2713748836315	-1.0	21.43061769720209	-21.43061769720209
269	Flavonifractor_plautii_YL31	Acetate-e0	Microbe	0.9999999999980046	Puryvate	0	0.9999999999980046	1.0	0.9999999999990022	0.9999999999990022
275	Flavonifractor_plautii_YL31	Ca2+-e0	Microbe	-0.924111260318668	Riboflavin	0	0.924111260318668	-1.0	0.9613070582902572	-0.9613070582902572
280	Flavonifractor_plautii_YL31	Cu2+-e0	Microbe	-0.924111260318593	Riboflavin	0	0.924111260318593	-1.0	0.9613070582902182	-0.9613070582902182
284	Flavonifractor_plautii_YL31	Fe2+-e0	Microbe	-1.9241112603600163	Riboflavin	0	1.9241112603600163	-1.0	1.387123376041229	-1.387123376041229
293	Flavonifractor_plautii_YL31	Fumarate-e0	Microbe	25.591089365107862	Riboflavin	0	25.591089365107862	1.0	5.058763620204829	5.058763620204829
294	Flavonifractor_plautii_YL31	Fumarate-e0	Microbe	-1.0000000000000218	5'-Deoxyadenosine-e0	0	1.0000000000000218	-1.0	1.0000000000000109	-1.0000000000000109
298	Flavonifractor_plautii_YL31	Glycine-e0	Microbe	0.9999999999996038	L-Threonine-e0	0	0.9999999999996038	1.0	0.9999999999998018	0.9999999999998018
303	Flavonifractor_plautii_YL31	Glycine-e0	Microbe	-104.64878840992898	Riboflavin	0	104.64878840992898	-1.0	10.229799040544686	-10.229799040544686
310	Flavonifractor_plautii_YL31	K+-e0	Microbe	-0.9241112603203588	Riboflavin	0	0.9241112603203588	-1.0	0.9613070582911367	-0.9613070582911367
325	Flavonifractor_plautii_YL31	Cl--e0	Microbe	-0.9241112603179646	Riboflavin	0	0.9241112603179646	-1.0	0.9613070582898914	-0.9613070582898914
328	Flavonifractor_plautii_YL31	Mg-e0	Microbe	-0.9241112603157555	Riboflavin	0	0.9241112603157555	-1.0	0.9613070582887424	-0.9613070582887424
336	Flavonifractor_plautii_YL31	L-Serine-e0	Microbe	-34.53286523658428	Riboflavin	0	34.53286523658428	-1.0	5.876467071003145	-5.876467071003145
352	Flavonifractor_plautii_YL31	D-Mannose-e0	Microbe	-48.658858997671736	Riboflavin	0	48.658858997671736	-1.0	6.975590225756652	-6.975590225756652
353	Flavonifractor_plautii_YL31	D-Mannose-e0	Microbe	1.0000000000000033	5'-Deoxyadenosine-e0	0	1.0000000000000033	1.0	1.0000000000000016	1.0000000000000016
362	Flavonifractor_plautii_YL31	CO2-e0	Microbe	-1.0000000000001164	Putrescine-e0	0	1.0000000000001164	-1.0	1.0000000000000582	-1.0000000000000582
363	Flavonifractor_plautii_YL31	CO2-e0	Microbe	0.4999999999987651	L-Threonine-e0	0	0.4999999999987651	1.0	0.7071067811856743	0.7071067811856743
365	Flavonifractor_plautii_YL31	CO2-e0	Microbe	2.499999999999087	Inosine-e0	0	2.499999999999087	1.0	1.5811388300839009	1.5811388300839009
373	Flavonifractor_plautii_YL31	CO2-e0	Microbe	-0.9999999999996252	O2-e0	0	0.9999999999996252	-1.0	0.9999999999998126	-0.9999999999998126
378	Flavonifractor_plautii_YL31	CO2-e0	Microbe	-343.9338455120023	Riboflavin	0	343.9338455120023	-1.0	18.54545349976652	-18.54545349976652
379	Flavonifractor_plautii_YL31	CO2-e0	Microbe	1.49999999999847	Puryvate	0	1.49999999999847	1.0	1.2247448713909643	1.2247448713909643
380	Flavonifractor_plautii_YL31	CO2-e0	Microbe	-1.0000000000004081	5'-Deoxyadenosine-e0	0	1.0000000000004081	-1.0	1.000000000000204	-1.000000000000204
385	Flavonifractor_plautii_YL31	O2-e0	Microbe	-1.0000000000000009	O2-e0	1	1.0000000000000009	-1.0	1.0000000000000004	-1.0000000000000004
386	Flavonifractor_plautii_YL31	5-Methylthio-D-ribose-e0	Microbe	-0.9999999999999988	Spermidine-e0	0	0.9999999999999988	-1.0	0.9999999999999993	-0.9999999999999993
387	Flavonifractor_plautii_YL31	5-Methylthio-D-ribose-e0	Microbe	0.5000000000039333	Riboflavin	0	0.5000000000039333	1.0	0.7071067811893288	0.7071067811893288
