	Source	Target	SourceType	Weight	Cofactor	Match	ABS_Weight	Sign_Weight	ABSRootWeight	SignedRootWeight
0	Riboflavin	Flavonifractor_plautii_YL31	Metabolite	126.68907411668535	None	-1	126.68907411668535	1.0	11.255624110491846	11.255624110491846
2	Flavonifractor_plautii_YL31	Phosphate-e0	Microbe	-127.45775495822475	Riboflavin	0	127.45775495822475	-1.0	11.289718993767062	-11.289718993767062
6	Flavonifractor_plautii_YL31	L-Glutamate-e0	Microbe	-0.49999999999095157	L-Threonine-e0	0	0.49999999999095157	-1.0	0.7071067811801494	-0.7071067811801494
7	Flavonifractor_plautii_YL31	L-Glutamate-e0	Microbe	-1.000000000005235	Spermidine-e0	0	1.000000000005235	-1.0	1.0000000000026175	-1.0000000000026175
10	Flavonifractor_plautii_YL31	L-Glutamate-e0	Microbe	-0.9999999999951537	Inosine-e0	0	0.9999999999951537	-1.0	0.9999999999975768	-0.9999999999975768
16	Flavonifractor_plautii_YL31	L-Glutamate-e0	Microbe	0.5000000000055729	Folate-e0	0	0.5000000000055729	1.0	0.7071067811904881	0.7071067811904881
22	Flavonifractor_plautii_YL31	L-Glutamate-e0	Microbe	869.9189189279696	Riboflavin	0	869.9189189279696	1.0	29.494387922585705	29.494387922585705
37	Flavonifractor_plautii_YL31	D-Glucose-e0	Microbe	-8.740871282612138	Riboflavin	0	8.740871282612138	-1.0	2.9564964540165	-2.9564964540165
41	Flavonifractor_plautii_YL31	Mn2+-e0	Microbe	-0.9241112603129539	Riboflavin	0	0.9241112603129539	-1.0	0.9613070582872851	-0.9613070582872851
42	Flavonifractor_plautii_YL31	Zn2+-e0	Microbe	-0.9241112603106589	Riboflavin	0	0.9241112603106589	-1.0	0.9613070582860915	-0.9613070582860915
45	Flavonifractor_plautii_YL31	L-Lysine-e0	Microbe	-41.268999357207704	Riboflavin	0	41.268999357207704	-1.0	6.4240952170097625	-6.4240952170097625
49	Flavonifractor_plautii_YL31	L-Aspartate-e0	Microbe	0.9999999999899961	Putrescine-e0	0	0.9999999999899961	1.0	0.999999999994998	0.999999999994998
50	Flavonifractor_plautii_YL31	L-Aspartate-e0	Microbe	-2.4999999999643943	L-Threonine-e0	0	2.4999999999643943	-1.0	1.58113883007293	-1.58113883007293
55	Flavonifractor_plautii_YL31	L-Aspartate-e0	Microbe	-1.9999999999811233	Inosine-e0	0	1.9999999999811233	-1.0	1.4142135623664212	-1.4142135623664212
65	Flavonifractor_plautii_YL31	L-Aspartate-e0	Microbe	-4.499999999979179	Folate-e0	0	4.499999999979179	-1.0	2.121320343554735	-2.121320343554735
66	Flavonifractor_plautii_YL31	L-Aspartate-e0	Microbe	1.9999999999719242	O2-e0	0	1.9999999999719242	1.0	1.4142135623631689	1.4142135623631689
72	Flavonifractor_plautii_YL31	L-Aspartate-e0	Microbe	3480.450595125293	Riboflavin	0	3480.450595125293	1.0	58.995343842758416	58.995343842758416
73	Flavonifractor_plautii_YL31	L-Aspartate-e0	Microbe	1.9999999999886844	Puryvate	0	1.9999999999886844	1.0	1.4142135623690943	1.4142135623690943
80	Flavonifractor_plautii_YL31	Sulfate-e0	Microbe	-0.9241112603118723	Riboflavin	0	0.9241112603118723	-1.0	0.9613070582867226	-0.9613070582867226
81	Flavonifractor_plautii_YL31	L-Arginine-e0	Microbe	1.0000000000001057	Putrescine-e0	0	1.0000000000001057	1.0	1.0000000000000528	1.0000000000000528
82	Flavonifractor_plautii_YL31	L-Arginine-e0	Microbe	1.0000000000002263	Spermidine-e0	0	1.0000000000002263	1.0	1.000000000000113	1.000000000000113
85	Flavonifractor_plautii_YL31	L-Arginine-e0	Microbe	-36.57235834164836	Riboflavin	0	36.57235834164836	-1.0	6.04750844080836	-6.04750844080836
91	Flavonifractor_plautii_YL31	L-Leucine-e0	Microbe	-64.72644010453001	Riboflavin	0	64.72644010453001	-1.0	8.045274395850647	-8.045274395850647
94	Flavonifractor_plautii_YL31	Putrescine-e0	Microbe	-0.9999999999999988	Putrescine-e0	1	0.9999999999999988	-1.0	0.9999999999999993	-0.9999999999999993
95	Flavonifractor_plautii_YL31	L-Histidine-e0	Microbe	-11.393282031131978	Riboflavin	0	11.393282031131978	-1.0	3.3753936112892045	-3.3753936112892045
96	Flavonifractor_plautii_YL31	L-Proline-e0	Microbe	-26.584324739315136	Riboflavin	0	26.584324739315136	-1.0	5.15599890800174	-5.15599890800174
97	Flavonifractor_plautii_YL31	Co2+-e0	Microbe	-0.924111260315993	Riboflavin	0	0.924111260315993	-1.0	0.9613070582888659	-0.9613070582888659
100	Flavonifractor_plautii_YL31	L-Valine-e0	Microbe	-50.88999307239821	Riboflavin	0	50.88999307239821	-1.0	7.133722245251648	-7.133722245251648
103	Flavonifractor_plautii_YL31	L-Threonine-e0	Microbe	-1.0	L-Threonine-e0	1	1.0	-1.0	1.0	-1.0
105	Flavonifractor_plautii_YL31	Spermidine-e0	Microbe	-0.9999999999999998	Spermidine-e0	1	0.9999999999999998	-1.0	0.9999999999999999	-0.9999999999999999
106	Flavonifractor_plautii_YL31	L-Isoleucine-e0	Microbe	-34.939398228802624	Riboflavin	0	34.939398228802624	-1.0	5.910955779635187	-5.910955779635187
