	Source	Target	Microbe	Weight	ABS_Weight	Sign_Weight	ABSRootWeight	SignedRootWeight
1	Riboflavin	Phosphate-e0	Flavonifractor_plautii_YL31	-127.4577549597507	127.4577549597507	-1.0	11.289718993834644	-11.289718993834644
8	D-Glyceraldehyde-e0	L-Glutamate-e0	Flavonifractor_plautii_YL31	1.0000000000020968	1.0000000000020968	1.0	1.0000000000010483	1.0000000000010483
11	Riboflavin	L-Glutamate-e0	Flavonifractor_plautii_YL31	-68.22864673381488	68.22864673381488	-1.0	8.260063361368053	-8.260063361368053
24	Riboflavin	D-Glucose-e0	Flavonifractor_plautii_YL31	-8.740871282646545	8.740871282646545	-1.0	2.956496454022319	-2.956496454022319
28	Riboflavin	Mn2+-e0	Flavonifractor_plautii_YL31	-0.924111260325962	0.924111260325962	-1.0	0.961307058294051	-0.961307058294051
29	Riboflavin	Zn2+-e0	Flavonifractor_plautii_YL31	-0.9241112603235886	0.9241112603235886	-1.0	0.9613070582928166	-0.9613070582928166
32	Riboflavin	L-Lysine-e0	Flavonifractor_plautii_YL31	-41.26899935767474	41.26899935767474	-1.0	6.424095217046112	-6.424095217046112
39	Riboflavin	L-Aspartate-e0	Flavonifractor_plautii_YL31	-57.82883679025002	57.82883679025002	-1.0	7.604527387698069	-7.604527387698069
44	Riboflavin	Sulfate-e0	Flavonifractor_plautii_YL31	-0.9241112603231815	0.9241112603231815	-1.0	0.9613070582926048	-0.9613070582926048
45	Putrescine-e0	L-Arginine-e0	Flavonifractor_plautii_YL31	0.9999999999999729	0.9999999999999729	1.0	0.9999999999999865	0.9999999999999865
46	Spermidine-e0	L-Arginine-e0	Flavonifractor_plautii_YL31	1.0000000000004574	1.0000000000004574	1.0	1.0000000000002287	1.0000000000002287
49	Riboflavin	L-Arginine-e0	Flavonifractor_plautii_YL31	-36.57235834204647	36.57235834204647	-1.0	6.047508440841275	-6.047508440841275
53	Folate-e0	L-Glutamine-e0	Flavonifractor_plautii_YL31	1.0000000000019156	1.0000000000019156	1.0	1.0000000000009577	1.0000000000009577
55	Riboflavin	L-Glutamine-e0	Flavonifractor_plautii_YL31	-41.640702668566945	41.640702668566945	-1.0	6.4529607676296115	-6.4529607676296115
65	Riboflavin	L-Leucine-e0	Flavonifractor_plautii_YL31	-64.72644010525566	64.72644010525566	-1.0	8.045274395895746	-8.045274395895746
68	Putrescine-e0	Putrescine-e0	Flavonifractor_plautii_YL31	-0.9999999999999989	0.9999999999999989	-1.0	0.9999999999999994	-0.9999999999999994
69	Riboflavin	L-Histidine-e0	Flavonifractor_plautii_YL31	-11.393282031262581	11.393282031262581	-1.0	3.3753936113085508	-3.3753936113085508
70	Riboflavin	L-Proline-e0	Flavonifractor_plautii_YL31	-26.584324739606288	26.584324739606288	-1.0	5.155998908029974	-5.155998908029974
71	Riboflavin	Co2+-e0	Flavonifractor_plautii_YL31	-0.92411126032057	0.92411126032057	-1.0	0.9613070582912465	-0.9613070582912465
74	Riboflavin	L-Valine-e0	Flavonifractor_plautii_YL31	-50.88999307296696	50.88999307296696	-1.0	7.133722245291511	-7.133722245291511
78	D-Glyceraldehyde-e0	L-Threonine-e0	Flavonifractor_plautii_YL31	1.0000000000007832	1.0000000000007832	1.0	1.0000000000003915	1.0000000000003915
82	Riboflavin	L-Threonine-e0	Flavonifractor_plautii_YL31	-37.09933646768337	37.09933646768337	-1.0	6.090922464428798	-6.090922464428798
86	Spermidine-e0	Spermidine-e0	Flavonifractor_plautii_YL31	-1.0	1.0	-1.0	1.0	-1.0
87	Riboflavin	L-Isoleucine-e0	Flavonifractor_plautii_YL31	-34.93939822919899	34.93939822919899	-1.0	5.910955779668716	-5.910955779668716
88	Riboflavin	fe3-e0	Flavonifractor_plautii_YL31	-0.9241112603241239	0.9241112603241239	-1.0	0.961307058293095	-0.961307058293095
91	Putrescine-e0	H+-e0	Flavonifractor_plautii_YL31	0.9999999999997842	0.9999999999997842	1.0	0.9999999999998921	0.9999999999998921
92	Spermidine-e0	H+-e0	Flavonifractor_plautii_YL31	5.000000000003581	5.000000000003581	1.0	2.2360679775005905	2.2360679775005905
101	Folate-e0	H+-e0	Flavonifractor_plautii_YL31	9.000000000013074	9.000000000013074	1.0	3.000000000002179	3.000000000002179
104	O2-e0	H+-e0	Flavonifractor_plautii_YL31	6.00000000000469	6.00000000000469	1.0	2.4494897427841353	2.4494897427841353
105	D-Glyceraldehyde-e0	H+-e0	Flavonifractor_plautii_YL31	7.000000000005514	7.000000000005514	1.0	2.6457513110656325	2.6457513110656325
110	Riboflavin	H+-e0	Flavonifractor_plautii_YL31	-211.70090893650195	211.70090893650195	-1.0	14.549945324175686	-14.549945324175686
111	Puryvate	H+-e0	Flavonifractor_plautii_YL31	4.000000000003922	4.000000000003922	1.0	2.0000000000009805	2.0000000000009805
122	Folate-e0	Uracil-e0	Flavonifractor_plautii_YL31	1.0000000000017037	1.0000000000017037	1.0	1.0000000000008518	1.0000000000008518
123	D-Glyceraldehyde-e0	Uracil-e0	Flavonifractor_plautii_YL31	-0.9999999999994849	0.9999999999994849	-1.0	0.9999999999997424	-0.9999999999997424
126	Riboflavin	Uracil-e0	Flavonifractor_plautii_YL31	-43.06160133116471	43.06160133116471	-1.0	6.562133900734175	-6.562133900734175
135	Spermidine-e0	XAN-e0	Flavonifractor_plautii_YL31	0.9999999999988546	0.9999999999988546	1.0	0.9999999999994272	0.9999999999994272
142	Folate-e0	XAN-e0	Flavonifractor_plautii_YL31	7.999999999995861	7.999999999995861	1.0	2.8284271247454584	2.8284271247454584
145	O2-e0	XAN-e0	Flavonifractor_plautii_YL31	3.999999999998376	3.999999999998376	1.0	1.9999999999995939	1.9999999999995939
146	D-Glyceraldehyde-e0	XAN-e0	Flavonifractor_plautii_YL31	4.9999999999985665	4.9999999999985665	1.0	2.236067977499469	2.236067977499469
151	Riboflavin	XAN-e0	Flavonifractor_plautii_YL31	118.99154024793467	118.99154024793467	1.0	10.908324355643934	10.908324355643934
152	Puryvate	XAN-e0	Flavonifractor_plautii_YL31	2.9999999999986926	2.9999999999986926	1.0	1.7320508075685	1.7320508075685
165	Spermidine-e0	L-Methionine-e0	Flavonifractor_plautii_YL31	1.000000000000232	1.000000000000232	1.0	1.000000000000116	1.000000000000116
169	Riboflavin	L-Methionine-e0	Flavonifractor_plautii_YL31	-19.482435295157085	19.482435295157085	-1.0	4.413891173914133	-4.413891173914133
175	Riboflavin	L-Cysteine-e0	Flavonifractor_plautii_YL31	-13.013505963538499	13.013505963538499	-1.0	3.607423729413901	-3.607423729413901
178	Riboflavin	L-Tyrosine-e0	Flavonifractor_plautii_YL31	-17.083554956633744	17.083554956633744	-1.0	4.133225732600839	-4.133225732600839
181	Spermidine-e0	Inosine-e0	Flavonifractor_plautii_YL31	-0.9999999999981819	0.9999999999981819	-1.0	0.999999999999091	-0.999999999999091
190	Folate-e0	Inosine-e0	Flavonifractor_plautii_YL31	-6.999999999993464	6.999999999993464	-1.0	2.6457513110633553	-2.6457513110633553
