	Source	Target	SourceType	Weight	Cofactor	Match	ABS_Weight	Sign_Weight	ABSRootWeight	SignedRootWeight
0	Riboflavin	Flavonifractor_plautii_YL31	Metabolite	126.68907412074456	None	-1	126.68907412074456	1.0	11.255624110672166	11.255624110672166
2	Flavonifractor_plautii_YL31	Phosphate-e0	Microbe	-127.45775496242224	Riboflavin	0	127.45775496242224	-1.0	11.28971899395296	-11.28971899395296
6	Flavonifractor_plautii_YL31	L-Glutamate-e0	Microbe	-1.0000000000034241	L-Aspartate-e0	0	1.0000000000034241	-1.0	1.000000000001712	-1.000000000001712
7	Flavonifractor_plautii_YL31	L-Glutamate-e0	Microbe	0.9999999999919819	L-Arginine-e0	0	0.9999999999919819	1.0	0.9999999999959909	0.9999999999959909
26	Flavonifractor_plautii_YL31	L-Glutamate-e0	Microbe	-1140.541682910344	Riboflavin	0	1140.541682910344	-1.0	33.771906711205155	-33.771906711205155
40	Flavonifractor_plautii_YL31	D-Glucose-e0	Microbe	-8.740871282843367	Riboflavin	0	8.740871282843367	-1.0	2.956496454055605	-2.956496454055605
44	Flavonifractor_plautii_YL31	Mn2+-e0	Microbe	-0.924111260341793	Riboflavin	0	0.924111260341793	-1.0	0.9613070583022851	-0.9613070583022851
45	Flavonifractor_plautii_YL31	Zn2+-e0	Microbe	-0.9241112603463827	Riboflavin	0	0.9241112603463827	-1.0	0.9613070583046723	-0.9613070583046723
48	Flavonifractor_plautii_YL31	L-Lysine-e0	Microbe	-41.26899935854548	Riboflavin	0	41.26899935854548	-1.0	6.424095217113884	-6.424095217113884
51	Flavonifractor_plautii_YL31	L-Aspartate-e0	Microbe	-0.9999999999999998	L-Aspartate-e0	1	0.9999999999999998	-1.0	0.9999999999999999	-0.9999999999999999
52	Flavonifractor_plautii_YL31	Sulfate-e0	Microbe	-0.9241112603493785	Riboflavin	0	0.9241112603493785	-1.0	0.9613070583062305	-0.9613070583062305
53	Flavonifractor_plautii_YL31	L-Arginine-e0	Microbe	-0.9999999999999996	L-Arginine-e0	1	0.9999999999999996	-1.0	0.9999999999999998	-0.9999999999999998
54	Flavonifractor_plautii_YL31	Ornithine-e0	Microbe	0.9999999999997419	L-Arginine-e0	0	0.9999999999997419	1.0	0.9999999999998709	0.9999999999998709
55	Flavonifractor_plautii_YL31	Ornithine-e0	Microbe	1.0000000000000016	Putrescine-e0	0	1.0000000000000016	1.0	1.0000000000000007	1.0000000000000007
56	Flavonifractor_plautii_YL31	Ornithine-e0	Microbe	1.0000000000012907	Spermidine-e0	0	1.0000000000012907	1.0	1.0000000000006453	1.0000000000006453
59	Flavonifractor_plautii_YL31	Ornithine-e0	Microbe	-36.57235834280598	Riboflavin	0	36.57235834280598	-1.0	6.04750844090407	-6.04750844090407
65	Flavonifractor_plautii_YL31	L-Leucine-e0	Microbe	-64.72644010664092	Riboflavin	0	64.72644010664092	-1.0	8.045274395981838	-8.045274395981838
68	Flavonifractor_plautii_YL31	Putrescine-e0	Microbe	-0.9999999999999997	Putrescine-e0	1	0.9999999999999997	-1.0	0.9999999999999998	-0.9999999999999998
