	Source	Target	Microbe	Weight	ABS_Weight	Sign_Weight	ABSRootWeight	SignedRootWeight
11	Folate-e0	Phosphate-e0	Limosilactobacillus_reuteri_I49	-90.93786913918417	90.93786913918417	-1.0	9.536134916158861	-9.536134916158861
13	Thiamine	Phosphate-e0	Limosilactobacillus_reuteri_I49	-181.87573827847285	181.87573827847285	-1.0	13.486131331055354	-13.486131331055354
14	Riboflavin	Phosphate-e0	Limosilactobacillus_reuteri_I49	-272.81360741771005	272.81360741771005	-1.0	16.517070182623492	-16.517070182623492
24	Folate-e0	L-Glutamate-e0	Limosilactobacillus_reuteri_I49	-47.19066880928022	47.19066880928022	-1.0	6.8695464776999815	-6.8695464776999815
26	Thiamine	L-Glutamate-e0	Limosilactobacillus_reuteri_I49	-96.38133761861802	96.38133761861802	-1.0	9.817399738149508	-9.817399738149508
27	Riboflavin	L-Glutamate-e0	Limosilactobacillus_reuteri_I49	-144.57200642792418	144.57200642792418	-1.0	12.023809979699621	-12.023809979699621
29	D-Glucose-e0	D-Glucose-e0	Limosilactobacillus_reuteri_I49	-1.0000000000000007	1.0000000000000007	-1.0	1.0000000000000002	-1.0000000000000002
36	Folate-e0	Mn2+-e0	Limosilactobacillus_reuteri_I49	-0.49442286334896945	0.49442286334896945	-1.0	0.703152091192915	-0.703152091192915
38	Thiamine	Mn2+-e0	Limosilactobacillus_reuteri_I49	-0.9888457266985282	0.9888457266985282	-1.0	0.9944072237763201	-0.9944072237763201
39	Riboflavin	Mn2+-e0	Limosilactobacillus_reuteri_I49	-1.4832685900477427	1.4832685900477427	-1.0	1.217895147394776	-1.217895147394776
46	Folate-e0	Zn2+-e0	Limosilactobacillus_reuteri_I49	-0.49442286337233293	0.49442286337233293	-1.0	0.7031520912095284	-0.7031520912095284
48	Thiamine	Zn2+-e0	Limosilactobacillus_reuteri_I49	-0.9888457267452471	0.9888457267452471	-1.0	0.9944072237998108	-0.9944072237998108
49	Riboflavin	Zn2+-e0	Limosilactobacillus_reuteri_I49	-1.483268590118007	1.483268590118007	-1.0	1.2178951474236224	-1.2178951474236224
