	Source	Target	SourceType	Weight	ABS_Weight	Sign_Weight	ABSRootWeight	SignedRootWeight
0	Limosilactobacillus_reuteri_I49	L-Phenylalanine-e0	Microbe	-19.790702065735292	19.790702065735292	-1.0	4.448674191906538	-4.448674191906538
1	Limosilactobacillus_reuteri_I49	Cytosine	Microbe	-12.16542897724714	12.16542897724714	-1.0	3.4878975009663256	-3.4878975009663256
2	Acutalibacter_muris_KB1	Ca2+-e0	Microbe	-1.4121250719524001	1.4121250719524001	-1.0	1.188328688516944	-1.188328688516944
3	Limosilactobacillus_reuteri_I49	L-Aspartate-e0	Microbe	-2597.597575517099	2597.597575517099	-1.0	50.9666319812983	-50.9666319812983
4	Acutalibacter_muris_KB1	PAN	Microbe	-2.000000000009109	2.000000000009109	-1.0	1.4142135623763157	-1.4142135623763157
5	Acutalibacter_muris_KB1	CO2-e0	Microbe	7120.026703781528	7120.026703781528	1.0	84.38025067384861	84.38025067384861
6	Acutalibacter_muris_KB1	Fe2+-e0	Microbe	-4.2467721780711605	4.2467721780711605	-1.0	2.060769802299898	-2.060769802299898
7	Limosilactobacillus_reuteri_I49	Phosphate-e0	Microbe	-129.8641856200206	129.8641856200206	-1.0	11.39579684006435	-11.39579684006435
8	Limosilactobacillus_reuteri_I49	L-Proline-e0	Microbe	-18.08778119031319	18.08778119031319	-1.0	4.252973217681154	-4.252973217681154
9	Acutalibacter_muris_KB1	L-Lysine-e0	Microbe	-72.71932386926494	72.71932386926494	-1.0	8.527562598378562	-8.527562598378562
10	Acutalibacter_muris_KB1	Niacin	Microbe	-2.0000000000014	2.0000000000014	-1.0	1.41421356237359	-1.41421356237359
11	Limosilactobacillus_reuteri_I49	Urea-e0	Microbe	-0.9999999999999991	0.9999999999999991	-1.0	0.9999999999999996	-0.9999999999999996
12	Acutalibacter_muris_KB1	Zn2+-e0	Microbe	-1.4121250719213079	1.4121250719213079	-1.0	1.1883286885038618	-1.1883286885038618
13	Limosilactobacillus_reuteri_I49	Inosine	Microbe	-19.508390007128373	19.508390007128373	-1.0	4.416830312240711	-4.416830312240711
14	Limosilactobacillus_reuteri_I49	L-Asparagine-e0	Microbe	-16.66100964615958	16.66100964615958	-1.0	4.0817900051521	-4.0817900051521
15	Limosilactobacillus_reuteri_I49	L-Tyrosine-e0	Microbe	-11.972744790271886	11.972744790271886	-1.0	3.460165428165521	-3.460165428165521
16	Limosilactobacillus_reuteri_I49	D-Mannitol-e0	Microbe	1.0000000000000162	1.0000000000000162	1.0	1.000000000000008	1.000000000000008
17	Limosilactobacillus_reuteri_I49	fe3-e0	Microbe	-0.7060625359767816	0.7060625359767816	-1.0	0.8402752739291938	-0.8402752739291938
