	Source	Target	SourceType	Weight	Cofactor	Match	ABS_Weight	Sign_Weight	ABSRootWeight	SignedRootWeight
1	PAN	Limosilactobacillus_reuteri_I49	Metabolite	96.7961465174754	None	-1	96.7961465174754	1.0	9.838503266121092	9.838503266121092
14	Limosilactobacillus_reuteri_I49	Phosphate-e0	Microbe	-129.86418562000014	PAN	0	129.86418562000014	-1.0	11.39579684006345	-11.39579684006345
25	Limosilactobacillus_reuteri_I49	L-Glutamate-e0	Microbe	1.0000000000040903	Folate-e0	0	1.0000000000040903	1.0	1.000000000002045	1.000000000002045
27	Limosilactobacillus_reuteri_I49	L-Glutamate-e0	Microbe	-68.81887621341112	PAN	0	68.81887621341112	-1.0	8.29571432809804	-8.29571432809804
34	Limosilactobacillus_reuteri_I49	D-Glucose-e0	Microbe	0.999999999972689	Spermidine-e0	0	0.999999999972689	1.0	0.9999999999863445	0.9999999999863445
37	Limosilactobacillus_reuteri_I49	D-Glucose-e0	Microbe	1.0000000000025544	Pyruvate-e0	0	1.0000000000025544	1.0	1.0000000000012772	1.0000000000012772
43	Limosilactobacillus_reuteri_I49	D-Glucose-e0	Microbe	1.0000000000039437	D-Mannose-e0	0	1.0000000000039437	1.0	1.0000000000019718	1.0000000000019718
44	Limosilactobacillus_reuteri_I49	D-Glucose-e0	Microbe	4.00000000002731	Melitose-e0	0	4.00000000002731	1.0	2.0000000000068274	2.0000000000068274
54	Limosilactobacillus_reuteri_I49	D-Glucose-e0	Microbe	7.0000000000802025	Folate-e0	0	7.0000000000802025	1.0	2.6457513110797475	2.6457513110797475
60	Limosilactobacillus_reuteri_I49	D-Glucose-e0	Microbe	-10.000000000006976	O2-e0	0	10.000000000006976	-1.0	3.162277660169482	-3.162277660169482
65	Limosilactobacillus_reuteri_I49	D-Glucose-e0	Microbe	2.0000000000143867	Sucrose	0	2.0000000000143867	1.0	1.4142135623781815	1.4142135623781815
66	Limosilactobacillus_reuteri_I49	D-Glucose-e0	Microbe	13.000000000093559	Thiamine	0	13.000000000093559	1.0	3.6055512754769636	3.6055512754769636
67	Limosilactobacillus_reuteri_I49	D-Glucose-e0	Microbe	7.000000000055642	Riboflavin	0	7.000000000055642	1.0	2.645751311075106	2.645751311075106
68	Limosilactobacillus_reuteri_I49	D-Glucose-e0	Microbe	-1488.2150594668012	PAN	0	1488.2150594668012	-1.0	38.57739052173956	-38.57739052173956
75	Limosilactobacillus_reuteri_I49	Mn2+-e0	Microbe	-0.7060625359786611	PAN	0	0.7060625359786611	-1.0	0.8402752739303121	-0.8402752739303121
