	Source	Target	SourceType	Weight	Cofactor	Match	ABS_Weight	Sign_Weight	ABSRootWeight	SignedRootWeight
0	Uracil-e0	Limosilactobacillus_reuteri_I49	Metabolite	0.5498248331017331	None	-1	0.5498248331017331	1.0	0.7415017418062706	0.7415017418062706
13	Limosilactobacillus_reuteri_I49	Glycine-e0	Microbe	1.50000000000073	L-Glutamate-e0	0	1.50000000000073	1.0	1.2247448713918871	1.2247448713918871
14	Limosilactobacillus_reuteri_I49	Glycine-e0	Microbe	0.4999999999997617	D-Glucose-e0	0	0.4999999999997617	1.0	0.707106781186379	0.707106781186379
16	Limosilactobacillus_reuteri_I49	Glycine-e0	Microbe	1.5000000000001703	L-Aspartate-e0	0	1.5000000000001703	1.0	1.2247448713916587	1.2247448713916587
17	Limosilactobacillus_reuteri_I49	Glycine-e0	Microbe	2.749999999999979	L-Glutamine-e0	0	2.749999999999979	1.0	1.6583123951776937	1.6583123951776937
19	Limosilactobacillus_reuteri_I49	Glycine-e0	Microbe	0.4999999999996097	Galactose-e0	0	0.4999999999996097	1.0	0.7071067811862716	0.7071067811862716
20	Limosilactobacillus_reuteri_I49	Glycine-e0	Microbe	-2.499999999998323	Putrescine-e0	0	2.499999999998323	-1.0	1.5811388300836593	-1.5811388300836593
22	Limosilactobacillus_reuteri_I49	Glycine-e0	Microbe	1.7499999999997833	L-Threonine-e0	0	1.7499999999997833	1.0	1.3228756555322134	1.3228756555322134
25	Limosilactobacillus_reuteri_I49	Glycine-e0	Microbe	-0.9999999999971245	Spermidine-e0	0	0.9999999999971245	-1.0	0.9999999999985623	-0.9999999999985623
27	Limosilactobacillus_reuteri_I49	Glycine-e0	Microbe	-5.667901777907335	Uracil-e0	0	5.667901777907335	-1.0	2.380735553963803	-2.380735553963803
30	Limosilactobacillus_reuteri_I49	Glycine-e0	Microbe	0.25000000000010447	L-Malate-e0	0	0.25000000000010447	1.0	0.5000000000001045	0.5000000000001045
32	Limosilactobacillus_reuteri_I49	Glycine-e0	Microbe	0.749999999999777	Pyruvate-e0	0	0.749999999999777	1.0	0.8660254037843099	0.8660254037843099
33	Limosilactobacillus_reuteri_I49	Glycine-e0	Microbe	1.2500000000003566	Glycolate-e0	0	1.2500000000003566	1.0	1.1180339887500543	1.1180339887500543
35	Limosilactobacillus_reuteri_I49	Glycine-e0	Microbe	2.7499999999997415	L-Asparagine-e0	0	2.7499999999997415	1.0	1.658312395177622	1.658312395177622
42	Limosilactobacillus_reuteri_I49	Glycine-e0	Microbe	0.49999999999954353	D-Mannose-e0	0	0.49999999999954353	1.0	0.7071067811862247	0.7071067811862247
43	Limosilactobacillus_reuteri_I49	Glycine-e0	Microbe	4.249999999997313	Melitose-e0	0	4.249999999997313	1.0	2.061552812808179	2.061552812808179
55	Limosilactobacillus_reuteri_I49	Glycine-e0	Microbe	9.249999999996984	Folate-e0	0	9.249999999996984	1.0	3.041381265148614	3.041381265148614
61	Limosilactobacillus_reuteri_I49	Glycine-e0	Microbe	-1.5000000000007083	O2-e0	0	1.5000000000007083	-1.0	1.2247448713918783	-1.2247448713918783
62	Limosilactobacillus_reuteri_I49	Glycine-e0	Microbe	1.2499999999990756	Urea-e0	0	1.2499999999990756	1.0	1.1180339887494815	1.1180339887494815
69	Limosilactobacillus_reuteri_I49	Glycine-e0	Microbe	2.499999999998201	Sucrose	0	2.499999999998201	1.0	1.5811388300836207	1.5811388300836207
70	Limosilactobacillus_reuteri_I49	Glycine-e0	Microbe	16.24999999999976	Thiamine	0	16.24999999999976	1.0	4.031128874149245	4.031128874149245
71	Limosilactobacillus_reuteri_I49	Glycine-e0	Microbe	5.749999999999952	Riboflavin	0	5.749999999999952	1.0	2.39791576165635	2.39791576165635
76	Limosilactobacillus_reuteri_I49	Phosphate-e0	Microbe	-0.7376590572410378	Uracil-e0	0	0.7376590572410378	-1.0	0.8588708035793496	-0.8588708035793496
87	Limosilactobacillus_reuteri_I49	L-Glutamate-e0	Microbe	-1.0000000000000007	L-Glutamate-e0	1	1.0000000000000007	-1.0	1.0000000000000002	-1.0000000000000002
88	Limosilactobacillus_reuteri_I49	D-Glucose-e0	Microbe	-1.000000000000001	D-Glucose-e0	1	1.000000000000001	-1.0	1.0000000000000004	-1.0000000000000004
90	Limosilactobacillus_reuteri_I49	Mn2+-e0	Microbe	-0.004010600937855525	Uracil-e0	0	0.004010600937855525	-1.0	0.06332930552165818	-0.06332930552165818
99	Limosilactobacillus_reuteri_I49	Zn2+-e0	Microbe	-0.0040106009378505034	Uracil-e0	0	0.0040106009378505034	-1.0	0.06332930552161853	-0.06332930552161853
108	Limosilactobacillus_reuteri_I49	L-Lysine-e0	Microbe	-0.20653141446467277	Uracil-e0	0	0.20653141446467277	-1.0	0.4544572746306002	-0.4544572746306002
117	Limosilactobacillus_reuteri_I49	L-Aspartate-e0	Microbe	-0.9999999999999986	L-Aspartate-e0	1	0.9999999999999986	-1.0	0.9999999999999992	-0.9999999999999992
118	Limosilactobacillus_reuteri_I49	Sulfate-e0	Microbe	-0.00401060093785588	Uracil-e0	0	0.00401060093785588	-1.0	0.06332930552166098	-0.06332930552166098
128	Limosilactobacillus_reuteri_I49	L-Arginine-e0	Microbe	0.9999999999999902	Putrescine-e0	0	0.9999999999999902	1.0	0.9999999999999951	0.9999999999999951
129	Limosilactobacillus_reuteri_I49	L-Arginine-e0	Microbe	0.9999999999999754	Spermidine-e0	0	0.9999999999999754	1.0	0.9999999999999877	0.9999999999999877
130	Limosilactobacillus_reuteri_I49	L-Arginine-e0	Microbe	-0.12907621906758907	Uracil-e0	0	0.12907621906758907	-1.0	0.35927178996908327	-0.35927178996908327
139	Limosilactobacillus_reuteri_I49	L-Glutamine-e0	Microbe	-0.9999999999999998	L-Glutamine-e0	1	0.9999999999999998	-1.0	0.9999999999999999	-0.9999999999999999
142	Limosilactobacillus_reuteri_I49	Galactose-e0	Microbe	-1.0000000000000013	Galactose-e0	1	1.0000000000000013	-1.0	1.0000000000000007	-1.0000000000000007
143	Limosilactobacillus_reuteri_I49	Putrescine-e0	Microbe	-0.9999999999999993	Putrescine-e0	1	0.9999999999999993	-1.0	0.9999999999999997	-0.9999999999999997
144	Limosilactobacillus_reuteri_I49	L-Histidine-e0	Microbe	-0.05228643404164938	Uracil-e0	0	0.05228643404164938	-1.0	0.22866227069993286	-0.22866227069993286
153	Limosilactobacillus_reuteri_I49	L-Proline-e0	Microbe	-0.10274284289185173	Uracil-e0	0	0.10274284289185173	-1.0	0.32053524438328423	-0.32053524438328423
162	Limosilactobacillus_reuteri_I49	Co2+-e0	Microbe	-0.004010600937831393	Uracil-e0	0	0.004010600937831393	-1.0	0.06332930552146765	-0.06332930552146765
172	Limosilactobacillus_reuteri_I49	L-Valine-e0	Microbe	-0.1963355598264046	Uracil-e0	0	0.1963355598264046	-1.0	0.44309768655049936	-0.44309768655049936
181	Limosilactobacillus_reuteri_I49	L-Threonine-e0	Microbe	-0.9999999999999989	L-Threonine-e0	1	0.9999999999999989	-1.0	0.9999999999999994	-0.9999999999999994
184	Limosilactobacillus_reuteri_I49	Spermidine-e0	Microbe	-1.0000000000000009	Spermidine-e0	1	1.0000000000000009	-1.0	1.0000000000000004	-1.0000000000000004
186	Limosilactobacillus_reuteri_I49	fe3-e0	Microbe	-0.004010600937861276	Uracil-e0	0	0.004010600937861276	-1.0	0.06332930552170359	-0.06332930552170359
195	Limosilactobacillus_reuteri_I49	H+-e0	Microbe	2.50000000000158	L-Glutamate-e0	0	2.50000000000158	1.0	1.5811388300846894	1.5811388300846894
196	Limosilactobacillus_reuteri_I49	H+-e0	Microbe	1.499999999999548	D-Glucose-e0	0	1.499999999999548	1.0	1.2247448713914044	1.2247448713914044
198	Limosilactobacillus_reuteri_I49	H+-e0	Microbe	1.5000000000003988	L-Aspartate-e0	0	1.5000000000003988	1.0	1.224744871391752	1.224744871391752
199	Limosilactobacillus_reuteri_I49	H+-e0	Microbe	5.249999999999986	L-Glutamine-e0	0	5.249999999999986	1.0	2.291287847477917	2.291287847477917
201	Limosilactobacillus_reuteri_I49	H+-e0	Microbe	1.4999999999991995	Galactose-e0	0	1.4999999999991995	1.0	1.2247448713912623	1.2247448713912623
202	Limosilactobacillus_reuteri_I49	H+-e0	Microbe	-2.499999999996475	Putrescine-e0	0	2.499999999996475	-1.0	1.5811388300830749	-1.5811388300830749
204	Limosilactobacillus_reuteri_I49	H+-e0	Microbe	2.2499999999997065	L-Threonine-e0	0	2.2499999999997065	1.0	1.499999999999902	1.499999999999902
207	Limosilactobacillus_reuteri_I49	H+-e0	Microbe	3.0000000000078066	Spermidine-e0	0	3.0000000000078066	1.0	1.732050807571131	1.732050807571131
209	Limosilactobacillus_reuteri_I49	H+-e0	Microbe	-13.091584357077464	Uracil-e0	0	13.091584357077464	-1.0	3.6182294505845625	-3.6182294505845625
212	Limosilactobacillus_reuteri_I49	H+-e0	Microbe	-1.2499999999998181	L-Malate-e0	0	1.2499999999998181	-1.0	1.1180339887498134	-1.1180339887498134
214	Limosilactobacillus_reuteri_I49	H+-e0	Microbe	1.2499999999995133	Pyruvate-e0	0	1.2499999999995133	1.0	1.118033988749677	1.118033988749677
215	Limosilactobacillus_reuteri_I49	H+-e0	Microbe	-0.2499999999992122	Glycolate-e0	0	0.2499999999992122	-1.0	0.4999999999992122	-0.4999999999992122
217	Limosilactobacillus_reuteri_I49	H+-e0	Microbe	4.249999999999599	L-Asparagine-e0	0	4.249999999999599	1.0	2.061552812808733	2.061552812808733
