	Source	Target	SourceType	Weight	Cofactor	Match	ABS_Weight	Sign_Weight	ABSRootWeight	SignedRootWeight
3	Folate-e0	Limosilactobacillus_reuteri_I49	Metabolite	67.78185425221146	None	-1	67.78185425221146	1.0	8.232973597201163	8.232973597201163
5	Thiamine	Limosilactobacillus_reuteri_I49	Metabolite	135.56370850443395	None	-1	135.56370850443395	1.0	11.643182919821966	11.643182919821966
6	Riboflavin	Limosilactobacillus_reuteri_I49	Metabolite	203.34556275661154	None	-1	203.34556275661154	1.0	14.25992856772472	14.25992856772472
17	Limosilactobacillus_reuteri_I49	Phosphate-e0	Microbe	-90.93786910933085	Folate-e0	0	90.93786910933085	-1.0	9.536134914593587	-9.536134914593587
19	Limosilactobacillus_reuteri_I49	Phosphate-e0	Microbe	-181.87573821867474	Thiamine	0	181.87573821867474	-1.0	13.486131328838331	-13.486131328838331
20	Limosilactobacillus_reuteri_I49	Phosphate-e0	Microbe	-272.81360732796406	Riboflavin	0	272.81360732796406	-1.0	16.517070179906728	-16.517070179906728
28	Limosilactobacillus_reuteri_I49	L-Glutamate-e0	Microbe	-47.190668793276274	Folate-e0	0	47.190668793276274	-1.0	6.869546476535134	-6.869546476535134
30	Limosilactobacillus_reuteri_I49	L-Glutamate-e0	Microbe	-96.38133758656151	Thiamine	0	96.38133758656151	-1.0	9.81739973651687	-9.81739973651687
31	Limosilactobacillus_reuteri_I49	L-Glutamate-e0	Microbe	-144.57200637981677	Riboflavin	0	144.57200637981677	-1.0	12.023809977699115	-12.023809977699115
33	Limosilactobacillus_reuteri_I49	D-Glucose-e0	Microbe	-1.0000000000000007	D-Glucose-e0	1	1.0000000000000007	-1.0	1.0000000000000002	-1.0000000000000002
38	Limosilactobacillus_reuteri_I49	Mn2+-e0	Microbe	-0.4944228631897547	Folate-e0	0	0.4944228631897547	-1.0	0.7031520910797	-0.7031520910797
40	Limosilactobacillus_reuteri_I49	Mn2+-e0	Microbe	-0.9888457263796058	Thiamine	0	0.9888457263796058	-1.0	0.994407223615962	-0.994407223615962
41	Limosilactobacillus_reuteri_I49	Mn2+-e0	Microbe	-1.48326858956907	Riboflavin	0	1.48326858956907	-1.0	1.2178951471982595	-1.2178951471982595
46	Limosilactobacillus_reuteri_I49	Zn2+-e0	Microbe	-0.4944228631722168	Folate-e0	0	0.4944228631722168	-1.0	0.7031520910672291	-0.7031520910672291
48	Limosilactobacillus_reuteri_I49	Zn2+-e0	Microbe	-0.9888457263444868	Thiamine	0	0.9888457263444868	-1.0	0.9944072235983037	-0.9944072235983037
49	Limosilactobacillus_reuteri_I49	Zn2+-e0	Microbe	-1.4832685895164197	Riboflavin	0	1.4832685895164197	-1.0	1.2178951471766442	-1.2178951471766442
54	Limosilactobacillus_reuteri_I49	L-Lysine-e0	Microbe	-25.460985737574028	Folate-e0	0	25.460985737574028	-1.0	5.045888002876603	-5.045888002876603
56	Limosilactobacillus_reuteri_I49	L-Lysine-e0	Microbe	-50.92197147515213	Thiamine	0	50.92197147515213	-1.0	7.135963247884067	-7.135963247884067
57	Limosilactobacillus_reuteri_I49	L-Lysine-e0	Microbe	-76.38295721271383	Riboflavin	0	76.38295721271383	-1.0	8.739734390284056	-8.739734390284056
59	Limosilactobacillus_reuteri_I49	L-Aspartate-e0	Microbe	-2.2499999997718674	D-Glucose-e0	0	2.2499999997718674	-1.0	1.4999999999239557	-1.4999999999239557
64	Limosilactobacillus_reuteri_I49	L-Aspartate-e0	Microbe	-7.74999999872959	Spermidine-e0	0	7.74999999872959	-1.0	2.7838821811868386	-2.7838821811868386
68	Limosilactobacillus_reuteri_I49	L-Aspartate-e0	Microbe	-0.2499999999874607	Pyruvate-e0	0	0.2499999999874607	-1.0	0.4999999999874607	-0.4999999999874607
70	Limosilactobacillus_reuteri_I49	L-Aspartate-e0	Microbe	1.2499999999130353	L-Asparagine-e0	0	1.2499999999130353	1.0	1.1180339887110031	1.1180339887110031
77	Limosilactobacillus_reuteri_I49	L-Aspartate-e0	Microbe	-0.24999999997081523	D-Mannose-e0	0	0.24999999997081523	-1.0	0.49999999997081523	-0.49999999997081523
78	Limosilactobacillus_reuteri_I49	L-Aspartate-e0	Microbe	-5.499999999521742	Melitose-e0	0	5.499999999521742	-1.0	2.3452078798097498	-2.3452078798097498
