	Source	Target	SourceType	Weight	Cofactor	Match	ABS_Weight	Sign_Weight	ABSRootWeight	SignedRootWeight
3	Folate-e0	Limosilactobacillus_reuteri_I49	Metabolite	34.44663817394242	None	-1	34.44663817394242	1.0	5.869125844105102	5.869125844105102
5	Thiamine	Limosilactobacillus_reuteri_I49	Metabolite	68.89327634788707	None	-1	68.89327634788707	1.0	8.300197368008009	8.300197368008009
6	Riboflavin	Limosilactobacillus_reuteri_I49	Metabolite	103.3399145218476	None	-1	103.3399145218476	1.0	10.16562415800661	10.16562415800661
17	Limosilactobacillus_reuteri_I49	Phosphate-e0	Microbe	-46.21449070814096	Folate-e0	0	46.21449070814096	-1.0	6.798124058013428	-6.798124058013428
19	Limosilactobacillus_reuteri_I49	Phosphate-e0	Microbe	-92.42898141628316	Thiamine	0	92.42898141628316	-1.0	9.613999241537476	-9.613999241537476
20	Limosilactobacillus_reuteri_I49	Phosphate-e0	Microbe	-138.64347212445298	Riboflavin	0	138.64347212445298	-1.0	11.77469626463685	-11.77469626463685
22	Limosilactobacillus_reuteri_I49	L-Glutamate-e0	Microbe	-1.0000000000000002	L-Glutamate-e0	1	1.0000000000000002	-1.0	1.0	-1.0
23	Limosilactobacillus_reuteri_I49	D-Glucose-e0	Microbe	-1.0000000000000016	D-Glucose-e0	1	1.0000000000000016	-1.0	1.0000000000000007	-1.0000000000000007
28	Limosilactobacillus_reuteri_I49	Mn2+-e0	Microbe	-0.2512649684942137	Folate-e0	0	0.2512649684942137	-1.0	0.501263372384432	-0.501263372384432
30	Limosilactobacillus_reuteri_I49	Mn2+-e0	Microbe	-0.5025299369884957	Thiamine	0	0.5025299369884957	-1.0	0.708893459546987	-0.708893459546987
31	Limosilactobacillus_reuteri_I49	Mn2+-e0	Microbe	-0.7537949054828584	Riboflavin	0	0.7537949054828584	-1.0	0.8682136289432794	-0.8682136289432794
36	Limosilactobacillus_reuteri_I49	Zn2+-e0	Microbe	-0.2512649684923025	Folate-e0	0	0.2512649684923025	-1.0	0.5012633723825256	-0.5012633723825256
38	Limosilactobacillus_reuteri_I49	Zn2+-e0	Microbe	-0.5025299369846589	Thiamine	0	0.5025299369846589	-1.0	0.7088934595442807	-0.7088934595442807
39	Limosilactobacillus_reuteri_I49	Zn2+-e0	Microbe	-0.7537949054768969	Riboflavin	0	0.7537949054768969	-1.0	0.8682136289398461	-0.8682136289398461
44	Limosilactobacillus_reuteri_I49	L-Lysine-e0	Microbe	-12.939235329692922	Folate-e0	0	12.939235329692922	-1.0	3.597114861898758	-3.597114861898758
46	Limosilactobacillus_reuteri_I49	L-Lysine-e0	Microbe	-25.878470659388572	Thiamine	0	25.878470659388572	-1.0	5.087088623111315	-5.087088623111315
47	Limosilactobacillus_reuteri_I49	L-Lysine-e0	Microbe	-38.81770598909002	Riboflavin	0	38.81770598909002	-1.0	6.230385701470658	-6.230385701470658
49	Limosilactobacillus_reuteri_I49	L-Aspartate-e0	Microbe	-1.000000000000001	L-Aspartate-e0	1	1.000000000000001	-1.0	1.0000000000000004	-1.0000000000000004
53	Limosilactobacillus_reuteri_I49	Sulfate-e0	Microbe	-0.25126496849408364	Folate-e0	0	0.25126496849408364	-1.0	0.5012633723843022	-0.5012633723843022
55	Limosilactobacillus_reuteri_I49	Sulfate-e0	Microbe	-0.502529936988183	Thiamine	0	0.502529936988183	-1.0	0.7088934595467665	-0.7088934595467665
56	Limosilactobacillus_reuteri_I49	Sulfate-e0	Microbe	-0.7537949054823969	Riboflavin	0	0.7537949054823969	-1.0	0.8682136289430136	-0.8682136289430136
58	Limosilactobacillus_reuteri_I49	L-Arginine-e0	Microbe	-1.0000000000252618	D-Glucose-e0	0	1.0000000000252618	-1.0	1.0000000000126308	-1.0000000000126308
60	Limosilactobacillus_reuteri_I49	L-Arginine-e0	Microbe	0.5000000000005805	L-Aspartate-e0	0	0.5000000000005805	1.0	0.707106781186958	0.707106781186958
61	Limosilactobacillus_reuteri_I49	L-Arginine-e0	Microbe	0.5000000000005582	L-Glutamine-e0	0	0.5000000000005582	1.0	0.7071067811869423	0.7071067811869423
62	Limosilactobacillus_reuteri_I49	L-Arginine-e0	Microbe	-1.0000000000234275	Galactose-e0	0	1.0000000000234275	-1.0	1.0000000000117137	-1.0000000000117137
69	Limosilactobacillus_reuteri_I49	L-Arginine-e0	Microbe	1.00000000001172	L-Asparagine-e0	0	1.00000000001172	1.0	1.00000000000586	1.00000000000586
75	Limosilactobacillus_reuteri_I49	L-Arginine-e0	Microbe	0.5000000000114149	D-Mannose-e0	0	0.5000000000114149	1.0	0.707106781194619	0.707106781194619
76	Limosilactobacillus_reuteri_I49	L-Arginine-e0	Microbe	-2.0000000000511693	Melitose-e0	0	2.0000000000511693	-1.0	1.4142135623911862	-1.4142135623911862
87	Limosilactobacillus_reuteri_I49	L-Arginine-e0	Microbe	-158.40986078657264	Folate-e0	0	158.40986078657264	-1.0	12.586097917407628	-12.586097917407628
93	Limosilactobacillus_reuteri_I49	L-Arginine-e0	Microbe	0.5000000000115707	Urea-e0	0	0.5000000000115707	1.0	0.7071067811947293	0.7071067811947293
98	Limosilactobacillus_reuteri_I49	L-Arginine-e0	Microbe	-1.500000000038372	Sucrose	0	1.500000000038372	-1.0	1.2247448714072544	-1.2247448714072544
99	Limosilactobacillus_reuteri_I49	L-Arginine-e0	Microbe	-317.81972157315494	Thiamine	0	317.81972157315494	-1.0	17.827499027433852	-17.827499027433852
100	Limosilactobacillus_reuteri_I49	L-Arginine-e0	Microbe	-482.22958235981287	Riboflavin	0	482.22958235981287	-1.0	21.959726372607946	-21.959726372607946
104	Limosilactobacillus_reuteri_I49	L-Glutamine-e0	Microbe	-0.999999999999999	L-Glutamine-e0	1	0.999999999999999	-1.0	0.9999999999999994	-0.9999999999999994
106	Limosilactobacillus_reuteri_I49	Galactose-e0	Microbe	-1.0000000000000009	Galactose-e0	1	1.0000000000000009	-1.0	1.0000000000000004	-1.0000000000000004
107	Limosilactobacillus_reuteri_I49	Putrescine-e0	Microbe	-1.0000000000000002	Putrescine-e0	1	1.0000000000000002	-1.0	1.0	-1.0
111	Limosilactobacillus_reuteri_I49	L-Histidine-e0	Microbe	-3.275755779667851	Folate-e0	0	3.275755779667851	-1.0	1.8099049090125843	-1.8099049090125843
113	Limosilactobacillus_reuteri_I49	L-Histidine-e0	Microbe	-6.551511559335994	Thiamine	0	6.551511559335994	-1.0	2.5595920689312965	-2.5595920689312965
114	Limosilactobacillus_reuteri_I49	L-Histidine-e0	Microbe	-9.827267339005632	Riboflavin	0	9.827267339005632	-1.0	3.1348472592784535	-3.1348472592784535
119	Limosilactobacillus_reuteri_I49	L-Proline-e0	Microbe	-6.436860107050206	Folate-e0	0	6.436860107050206	-1.0	2.537096787087597	-2.537096787087597
121	Limosilactobacillus_reuteri_I49	L-Proline-e0	Microbe	-12.873720214100866	Thiamine	0	12.873720214100866	-1.0	3.587996685352547	-3.587996685352547
122	Limosilactobacillus_reuteri_I49	L-Proline-e0	Microbe	-19.310580321154283	Riboflavin	0	19.310580321154283	-1.0	4.394380538955893	-4.394380538955893
127	Limosilactobacillus_reuteri_I49	Co2+-e0	Microbe	-0.25126496849451063	Folate-e0	0	0.25126496849451063	-1.0	0.5012633723847282	-0.5012633723847282
129	Limosilactobacillus_reuteri_I49	Co2+-e0	Microbe	-0.5025299369887194	Thiamine	0	0.5025299369887194	-1.0	0.7088934595471448	-0.7088934595471448
130	Limosilactobacillus_reuteri_I49	Co2+-e0	Microbe	-0.7537949054835512	Riboflavin	0	0.7537949054835512	-1.0	0.8682136289436784	-0.8682136289436784
136	Limosilactobacillus_reuteri_I49	L-Valine-e0	Microbe	-12.300462952657767	Folate-e0	0	12.300462952657767	-1.0	3.507201584263124	-3.507201584263124
138	Limosilactobacillus_reuteri_I49	L-Valine-e0	Microbe	-24.6009259053163	Thiamine	0	24.6009259053163	-1.0	4.959932046441392	-4.959932046441392
139	Limosilactobacillus_reuteri_I49	L-Valine-e0	Microbe	-36.901388857980635	Riboflavin	0	36.901388857980635	-1.0	6.074651336330393	-6.074651336330393
145	Limosilactobacillus_reuteri_I49	L-Threonine-e0	Microbe	-47.18421778964821	Folate-e0	0	47.18421778964821	-1.0	6.869076924132398	-6.869076924132398
147	Limosilactobacillus_reuteri_I49	L-Threonine-e0	Microbe	-92.36843557929936	Thiamine	0	92.36843557929936	-1.0	9.610849888500983	-9.610849888500983
148	Limosilactobacillus_reuteri_I49	L-Threonine-e0	Microbe	-141.55265336897256	Riboflavin	0	141.55265336897256	-1.0	11.897590233697434	-11.897590233697434
152	Limosilactobacillus_reuteri_I49	Spermidine-e0	Microbe	-0.9999999999999977	Spermidine-e0	1	0.9999999999999977	-1.0	0.9999999999999988	-0.9999999999999988
157	Limosilactobacillus_reuteri_I49	fe3-e0	Microbe	-0.25126496849392477	Folate-e0	0	0.25126496849392477	-1.0	0.5012633723841438	-0.5012633723841438
159	Limosilactobacillus_reuteri_I49	fe3-e0	Microbe	-0.5025299369878652	Thiamine	0	0.5025299369878652	-1.0	0.7088934595465423	-0.7088934595465423
160	Limosilactobacillus_reuteri_I49	fe3-e0	Microbe	-0.7537949054819219	Riboflavin	0	0.7537949054819219	-1.0	0.86821362894274	-0.86821362894274
162	Limosilactobacillus_reuteri_I49	H+-e0	Microbe	0.9999999999378089	D-Glucose-e0	0	0.9999999999378089	1.0	0.9999999999689044	0.9999999999689044
164	Limosilactobacillus_reuteri_I49	H+-e0	Microbe	0.5000000000015603	L-Aspartate-e0	0	0.5000000000015603	1.0	0.7071067811876508	0.7071067811876508
165	Limosilactobacillus_reuteri_I49	H+-e0	Microbe	0.50000000000127	L-Glutamine-e0	0	0.50000000000127	1.0	0.7071067811874455	0.7071067811874455
166	Limosilactobacillus_reuteri_I49	H+-e0	Microbe	0.9999999999424287	Galactose-e0	0	0.9999999999424287	1.0	0.9999999999712144	0.9999999999712144
167	Limosilactobacillus_reuteri_I49	H+-e0	Microbe	1.9999999999448614	Putrescine-e0	0	1.9999999999448614	1.0	1.4142135623536005	1.4142135623536005
171	Limosilactobacillus_reuteri_I49	H+-e0	Microbe	4.999999999907156	Spermidine-e0	0	4.999999999907156	1.0	2.236067977479029	2.236067977479029
175	Limosilactobacillus_reuteri_I49	H+-e0	Microbe	1.0000000000288252	L-Asparagine-e0	0	1.0000000000288252	1.0	1.0000000000144125	1.0000000000144125
182	Limosilactobacillus_reuteri_I49	H+-e0	Microbe	0.5000000000278176	D-Mannose-e0	0	0.5000000000278176	1.0	0.7071067812062176	0.7071067812062176
183	Limosilactobacillus_reuteri_I49	H+-e0	Microbe	3.9999999998737996	Melitose-e0	0	3.9999999998737996	1.0	1.99999999996845	1.99999999996845
195	Limosilactobacillus_reuteri_I49	H+-e0	Microbe	-390.13178164358436	Folate-e0	0	390.13178164358436	-1.0	19.75175388778385	-19.75175388778385
201	Limosilactobacillus_reuteri_I49	H+-e0	Microbe	-1.499999999971702	Urea-e0	0	1.499999999971702	-1.0	1.2247448713800364	-1.2247448713800364
208	Limosilactobacillus_reuteri_I49	H+-e0	Microbe	2.4999999999053295	Sucrose	0	2.4999999999053295	1.0	1.5811388300542522	1.5811388300542522
209	Limosilactobacillus_reuteri_I49	H+-e0	Microbe	-776.2635632871877	Thiamine	0	776.2635632871877	-1.0	27.861506838058627	-27.861506838058627
210	Limosilactobacillus_reuteri_I49	H+-e0	Microbe	-1168.395344930979	Riboflavin	0	1168.395344930979	-1.0	34.18179844494697	-34.18179844494697
222	Limosilactobacillus_reuteri_I49	L-Malate-e0	Microbe	1.0000000000002267	L-Aspartate-e0	0	1.0000000000002267	1.0	1.0000000000001132	1.0000000000001132
224	Limosilactobacillus_reuteri_I49	L-Malate-e0	Microbe	1.00000000000527	L-Asparagine-e0	0	1.00000000000527	1.0	1.000000000002635	1.000000000002635
230	Limosilactobacillus_reuteri_I49	L-Malate-e0	Microbe	-74.16028786744869	Folate-e0	0	74.16028786744869	-1.0	8.611636770524445	-8.611636770524445
232	Limosilactobacillus_reuteri_I49	L-Malate-e0	Microbe	-147.3205757349022	Thiamine	0	147.3205757349022	-1.0	12.13756877364253	-12.13756877364253
233	Limosilactobacillus_reuteri_I49	L-Malate-e0	Microbe	-222.48086360238813	Riboflavin	0	222.48086360238813	-1.0	14.915792422878113	-14.915792422878113
246	Limosilactobacillus_reuteri_I49	L-Alanine-e0	Microbe	-18.339451254728715	Folate-e0	0	18.339451254728715	-1.0	4.282458552599046	-4.282458552599046
248	Limosilactobacillus_reuteri_I49	L-Alanine-e0	Microbe	-37.67890250945834	Thiamine	0	37.67890250945834	-1.0	6.138314305202882	-6.138314305202882
249	Limosilactobacillus_reuteri_I49	L-Alanine-e0	Microbe	-55.01835376419808	Riboflavin	0	55.01835376419808	-1.0	7.417435794410228	-7.417435794410228
251	Limosilactobacillus_reuteri_I49	L-Methionine-e0	Microbe	0.9999999999986922	Spermidine-e0	0	0.9999999999986922	1.0	0.9999999999993461	0.9999999999993461
256	Limosilactobacillus_reuteri_I49	L-Methionine-e0	Microbe	-5.248657488411636	Folate-e0	0	5.248657488411636	-1.0	2.290994868700416	-2.290994868700416
258	Limosilactobacillus_reuteri_I49	L-Methionine-e0	Microbe	-10.497314976823597	Thiamine	0	10.497314976823597	-1.0	3.2399560146433464	-3.2399560146433464
