	Source	Target	Microbe	Weight	ABS_Weight	Sign_Weight	ABSRootWeight	SignedRootWeight
5	L-Threonine-e0	Glycine-e0	Limosilactobacillus_reuteri_I49	1.0000000000006308	1.0000000000006308	1.0	1.0000000000003153	1.0000000000003153
11	Folate-e0	Glycine-e0	Limosilactobacillus_reuteri_I49	-92.79565455364519	92.79565455364519	-1.0	9.633050116844881	-9.633050116844881
13	Thiamine	Glycine-e0	Limosilactobacillus_reuteri_I49	-181.59130910729004	181.59130910729004	-1.0	13.475581958019106	-13.475581958019106
14	Riboflavin	Glycine-e0	Limosilactobacillus_reuteri_I49	-275.3869636609709	275.3869636609709	-1.0	16.59478724361873	-16.59478724361873
23	Folate-e0	Phosphate-e0	Limosilactobacillus_reuteri_I49	-90.93786913663965	90.93786913663965	-1.0	9.536134916025446	-9.536134916025446
25	Thiamine	Phosphate-e0	Limosilactobacillus_reuteri_I49	-181.87573827327768	181.87573827327768	-1.0	13.486131330862742	-13.486131330862742
26	Riboflavin	Phosphate-e0	Limosilactobacillus_reuteri_I49	-272.8136074099576	272.8136074099576	-1.0	16.517070182388814	-16.517070182388814
28	L-Glutamate-e0	L-Glutamate-e0	Limosilactobacillus_reuteri_I49	-1.0	1.0	-1.0	1.0	-1.0
29	D-Glucose-e0	D-Glucose-e0	Limosilactobacillus_reuteri_I49	-0.9999999999999999	0.9999999999999999	-1.0	0.9999999999999999	-0.9999999999999999
36	Folate-e0	Mn2+-e0	Limosilactobacillus_reuteri_I49	-0.49442286333563584	0.49442286333563584	-1.0	0.7031520911834337	-0.7031520911834337
38	Thiamine	Mn2+-e0	Limosilactobacillus_reuteri_I49	-0.9888457266712753	0.9888457266712753	-1.0	0.9944072237626169	-0.9944072237626169
39	Riboflavin	Mn2+-e0	Limosilactobacillus_reuteri_I49	-1.4832685900071076	1.4832685900071076	-1.0	1.2178951473780932	-1.2178951473780932
46	Folate-e0	Zn2+-e0	Limosilactobacillus_reuteri_I49	-0.4944228633565864	0.4944228633565864	-1.0	0.7031520911983313	-0.7031520911983313
48	Thiamine	Zn2+-e0	Limosilactobacillus_reuteri_I49	-0.9888457267130983	0.9888457267130983	-1.0	0.9944072237836461	-0.9944072237836461
49	Riboflavin	Zn2+-e0	Limosilactobacillus_reuteri_I49	-1.4832685900699925	1.4832685900699925	-1.0	1.2178951474039104	-1.2178951474039104
56	Folate-e0	L-Lysine-e0	Limosilactobacillus_reuteri_I49	-25.46098574521978	25.46098574521978	-1.0	5.045888003634224	-5.045888003634224
