	Source	Target	SourceType	Weight	Cofactor	Match	ABS_Weight	Sign_Weight	ABSRootWeight	SignedRootWeight
1	PAN	Muribaculum_intestinale_YL27	Metabolite	126.68907411767009	None	-1	126.68907411767009	1.0	11.25562411053559	11.25562411053559
11	Muribaculum_intestinale_YL27	Phosphate-e0	Microbe	-127.4577549593676	PAN	0	127.4577549593676	-1.0	11.289718993817676	-11.289718993817676
15	Muribaculum_intestinale_YL27	Mn2+-e0	Microbe	-0.9241112603202634	PAN	0	0.9241112603202634	-1.0	0.961307058291087	-0.961307058291087
17	Muribaculum_intestinale_YL27	Zn2+-e0	Microbe	-0.9241112603193964	PAN	0	0.9241112603193964	-1.0	0.9613070582906361	-0.9613070582906361
19	Muribaculum_intestinale_YL27	Co2+-e0	Microbe	-0.9241112603193161	PAN	0	0.9241112603193161	-1.0	0.9613070582905944	-0.9613070582905944
28	Muribaculum_intestinale_YL27	fe3-e0	Microbe	-0.9241112603057264	PAN	0	0.9241112603057264	-1.0	0.961307058283526	-0.961307058283526
34	Muribaculum_intestinale_YL27	H+-e0	Microbe	1.000000000011511	Adenosine-e0	0	1.000000000011511	1.0	1.0000000000057554	1.0000000000057554
35	Muribaculum_intestinale_YL27	H+-e0	Microbe	4.500000000008333	Neu5Ac-e0	0	4.500000000008333	1.0	2.1213203435616066	2.1213203435616066
37	Muribaculum_intestinale_YL27	H+-e0	Microbe	2.999999999990908	D-Glucose-e0	0	2.999999999990908	1.0	1.7320508075662526	1.7320508075662526
40	Muribaculum_intestinale_YL27	H+-e0	Microbe	2.9999999999941904	D-Mannose-e0	0	2.9999999999941904	1.0	1.7320508075672003	1.7320508075672003
53	Muribaculum_intestinale_YL27	H+-e0	Microbe	-1.0000000000065483	O2-e0	0	1.0000000000065483	-1.0	1.000000000003274	-1.000000000003274
58	Muribaculum_intestinale_YL27	H+-e0	Microbe	6.4999999999843645	Sucrose	0	6.4999999999843645	1.0	2.5495097567933263	2.5495097567933263
59	Muribaculum_intestinale_YL27	H+-e0	Microbe	2.0000000000046194	Folate	0	2.0000000000046194	1.0	1.4142135623747283	1.4142135623747283
60	Muribaculum_intestinale_YL27	H+-e0	Microbe	2.4999999999985083	Riboflavin	0	2.4999999999985083	1.0	1.581138830083718	1.581138830083718
