	Source	Target	SourceType	Weight	ABS_Weight	Sign_Weight	ABSRootWeight	SignedRootWeight
2	Sucrose	Muribaculum_intestinale_YL27	Metabolite	0.3982797733021049	0.3982797733021049	1.0	0.6310941081186743	0.6310941081186743
5	Folate	Muribaculum_intestinale_YL27	Metabolite	-0.49784971662760336	0.49784971662760336	-1.0	0.705584662976459	-0.705584662976459
8	Muribaculum_intestinale_YL27	D-Glucose-e0	Microbe	-1.0000000000000002	1.0000000000000002	-1.0	1.0	-1.0
9	Riboflavin	Turicimonas_muris_YL45	Metabolite	126.68907411739079	126.68907411739079	1.0	11.255624110523183	11.255624110523183
25	Muribaculum_intestinale_YL27	Riboflavin	Microbe	-1.000000000000001	1.000000000000001	-1.0	1.0000000000000004	-1.0000000000000004
29	Turicimonas_muris_YL45	Fumarate-e0	Microbe	365.74003733643144	365.74003733643144	1.0	19.124331029775433	19.124331029775433
30	Muribaculum_intestinale_YL27	Fumarate-e0	Microbe	-0.9999999999999992	0.9999999999999992	-1.0	0.9999999999999996	-0.9999999999999996
35	Turicimonas_muris_YL45	O2-e0	Microbe	-0.49999999998797395	0.49999999998797395	-1.0	0.7071067811780438	-0.7071067811780438
41	Muribaculum_intestinale_YL27	O2-e0	Microbe	-1.0000000000000002	1.0000000000000002	-1.0	1.0	-1.0
52	Turicimonas_muris_YL45	Riboflavin	Microbe	-0.9999999999997204	0.9999999999997204	-1.0	0.9999999999998602	-0.9999999999998602
61	Riboflavin	Muribaculum_intestinale_YL27	Metabolite	-0.497849716627627	0.497849716627627	-1.0	0.7055846629764758	-0.7055846629764758
64	Fumarate-e0	Muribaculum_intestinale_YL27	Metabolite	-0.09956994332549224	0.09956994332549224	-1.0	0.3155470540592833	-0.3155470540592833
66	Muribaculum_intestinale_YL27	Sucrose	Microbe	-0.9999999999999996	0.9999999999999996	-1.0	0.9999999999999998	-0.9999999999999998
67	Muribaculum_intestinale_YL27	Folate	Microbe	-0.9999999999999994	0.9999999999999994	-1.0	0.9999999999999997	-0.9999999999999997
74	D-Glucose-e0	Muribaculum_intestinale_YL27	Metabolite	0.1991398866510496	0.1991398866510496	1.0	0.44625092341758754	0.44625092341758754
79	O2-e0	Muribaculum_intestinale_YL27	Metabolite	-0.19913988665097013	0.19913988665097013	-1.0	0.4462509234174985	-0.4462509234174985
89	Turicimonas_muris_YL45	Folate	Microbe	-0.9999999999999978	0.9999999999999978	-1.0	0.9999999999999989	-0.9999999999999989
