	Source	Target	SourceType	Weight	Cofactor	Match	ABS_Weight	Sign_Weight	ABSRootWeight	SignedRootWeight
0	Riboflavin	Turicimonas_muris_YL45	Metabolite	126.68907411729502	None	-1	126.68907411729502	1.0	11.255624110518928	11.255624110518928
5	Turicimonas_muris_YL45	H2O-e0	Microbe	-1.9999999999906657	Spermidine-e0	0	1.9999999999906657	-1.0	1.414213562369795	-1.414213562369795
20	Turicimonas_muris_YL45	H2O-e0	Microbe	15.999999999925631	Folate	0	15.999999999925631	1.0	3.999999999990704	3.999999999990704
21	Turicimonas_muris_YL45	H2O-e0	Microbe	-5268.025377087682	Riboflavin	0	5268.025377087682	-1.0	72.58116406539428	-72.58116406539428
32	Turicimonas_muris_YL45	Phosphate-e0	Microbe	-127.45775495954494	Riboflavin	0	127.45775495954494	-1.0	11.289718993825531	-11.289718993825531
38	Turicimonas_muris_YL45	L-Glutamate-e0	Microbe	1.0000000000000593	Spermidine-e0	0	1.0000000000000593	1.0	1.0000000000000295	1.0000000000000295
44	Turicimonas_muris_YL45	L-Glutamate-e0	Microbe	0.9999999999986033	Folate	0	0.9999999999986033	1.0	0.9999999999993017	0.9999999999993017
45	Turicimonas_muris_YL45	L-Glutamate-e0	Microbe	-76.04418554076126	Riboflavin	0	76.04418554076126	-1.0	8.720331733412511	-8.720331733412511
47	Turicimonas_muris_YL45	Zn2+-e0	Microbe	-0.9241112603163952	Riboflavin	0	0.9241112603163952	-1.0	0.9613070582890751	-0.9613070582890751
53	Turicimonas_muris_YL45	L-Aspartate-e0	Microbe	-0.9999999999979287	Spermidine-e0	0	0.9999999999979287	-1.0	0.9999999999989643	-0.9999999999989643
64	Turicimonas_muris_YL45	L-Aspartate-e0	Microbe	7.999999999988448	Folate	0	7.999999999988448	1.0	2.828427124744148	2.828427124744148
65	Turicimonas_muris_YL45	L-Aspartate-e0	Microbe	-1073.2862451491403	Riboflavin	0	1073.2862451491403	-1.0	32.76104768088378	-32.76104768088378
74	Turicimonas_muris_YL45	Sulfate-e0	Microbe	-0.9241112603186987	Riboflavin	0	0.9241112603186987	-1.0	0.9613070582902732	-0.9613070582902732
84	Turicimonas_muris_YL45	L-Arginine-e0	Microbe	-35.57235834179052	Riboflavin	0	35.57235834179052	-1.0	5.964256730036905	-5.964256730036905
87	Turicimonas_muris_YL45	L-Histidine-e0	Microbe	-11.393282031179004	Riboflavin	0	11.393282031179004	-1.0	3.3753936112961704	-3.3753936112961704
88	Turicimonas_muris_YL45	L-Proline-e0	Microbe	-26.584324739438426	Riboflavin	0	26.584324739438426	-1.0	5.155998908013696	-5.155998908013696
89	Turicimonas_muris_YL45	Co2+-e0	Microbe	-0.924111260314989	Riboflavin	0	0.924111260314989	-1.0	0.9613070582883437	-0.9613070582883437
95	Turicimonas_muris_YL45	L-Threonine-e0	Microbe	-4.000000000001864	Spermidine-e0	0	4.000000000001864	-1.0	2.000000000000466	-2.000000000000466
104	Turicimonas_muris_YL45	L-Threonine-e0	Microbe	-0.9999999999981597	D-Lactate-e0	0	0.9999999999981597	-1.0	0.9999999999990798	-0.9999999999990798
112	Turicimonas_muris_YL45	L-Threonine-e0	Microbe	-1.9999999999849947	Folate	0	1.9999999999849947	-1.0	1.4142135623677898	-1.4142135623677898
113	Turicimonas_muris_YL45	L-Threonine-e0	Microbe	1365.9143411058196	Riboflavin	0	1365.9143411058196	1.0	36.958278383953704	36.958278383953704
117	Turicimonas_muris_YL45	Spermidine-e0	Microbe	-1.0000000000000013	Spermidine-e0	1	1.0000000000000013	-1.0	1.0000000000000007	-1.0000000000000007
134	Turicimonas_muris_YL45	fe3-e0	Microbe	-0.9241112603234671	Riboflavin	0	0.9241112603234671	-1.0	0.9613070582927534	-0.9613070582927534
140	Turicimonas_muris_YL45	H+-e0	Microbe	1.9999999999880054	Spermidine-e0	0	1.9999999999880054	1.0	1.4142135623688543	1.4142135623688543
157	Turicimonas_muris_YL45	H+-e0	Microbe	-30.999999999901256	Folate	0	30.999999999901256	-1.0	5.567764362821155	-5.567764362821155
158	Turicimonas_muris_YL45	H+-e0	Microbe	6967.942726556714	Riboflavin	0	6967.942726556714	1.0	83.47420395880822	83.47420395880822
161	Turicimonas_muris_YL45	Uracil-e0	Microbe	-39.6422308775567	Riboflavin	0	39.6422308775567	-1.0	6.296207658389032	-6.296207658389032
189	Turicimonas_muris_YL45	L-Methionine-e0	Microbe	-18.982435295077824	Riboflavin	0	18.982435295077824	-1.0	4.3568836678384955	-4.3568836678384955
199	Turicimonas_muris_YL45	L-Cysteine-e0	Microbe	-13.013505963485729	Riboflavin	0	13.013505963485729	-1.0	3.607423729406587	-3.607423729406587
205	Turicimonas_muris_YL45	L-Serine-e0	Microbe	2.0000000000150124	Spermidine-e0	0	2.0000000000150124	1.0	1.4142135623784027	1.4142135623784027
209	Turicimonas_muris_YL45	L-Serine-e0	Microbe	0.9999999999895465	Pyruvate-e0	0	0.9999999999895465	1.0	0.9999999999947732	0.9999999999947732
216	Turicimonas_muris_YL45	L-Serine-e0	Microbe	0.9999999999885606	D-Lactate-e0	0	0.9999999999885606	1.0	0.9999999999942802	0.9999999999942802
224	Turicimonas_muris_YL45	L-Serine-e0	Microbe	33.9999999998781	Folate	0	33.9999999998781	1.0	5.830951894834848	5.830951894834848
225	Turicimonas_muris_YL45	L-Serine-e0	Microbe	-9006.698538667288	Riboflavin	0	9006.698538667288	-1.0	94.90362763702602	-94.90362763702602
231	Turicimonas_muris_YL45	NH3-e0	Microbe	0.9999999999840522	Spermidine-e0	0	0.9999999999840522	1.0	0.999999999992026	0.999999999992026
235	Turicimonas_muris_YL45	NH3-e0	Microbe	-0.9999999999890363	Pyruvate-e0	0	0.9999999999890363	-1.0	0.9999999999945182	-0.9999999999945182
242	Turicimonas_muris_YL45	NH3-e0	Microbe	-0.9999999999880421	D-Lactate-e0	0	0.9999999999880421	-1.0	0.999999999994021	-0.999999999994021
250	Turicimonas_muris_YL45	NH3-e0	Microbe	-36.99999999987538	Folate	0	36.99999999987538	-1.0	6.082762530287976	-6.082762530287976
251	Turicimonas_muris_YL45	NH3-e0	Microbe	9432.68410529203	Riboflavin	0	9432.68410529203	1.0	97.12200628741166	97.12200628741166
253	Turicimonas_muris_YL45	Pyruvate-e0	Microbe	-1.0	Pyruvate-e0	1	1.0	-1.0	1.0	-1.0
259	Turicimonas_muris_YL45	Acetate-e0	Microbe	-2.000000000013537	Spermidine-e0	0	2.000000000013537	-1.0	1.414213562377881	-1.414213562377881
275	Turicimonas_muris_YL45	Acetate-e0	Microbe	-29.999999999891948	Folate	0	29.999999999891948	-1.0	5.477225575041797	-5.477225575041797
276	Turicimonas_muris_YL45	Acetate-e0	Microbe	7924.196380812864	Riboflavin	0	7924.196380812864	1.0	89.01795538436537	89.01795538436537
287	Turicimonas_muris_YL45	L-Asparagine-e0	Microbe	-28.989573168236127	Riboflavin	0	28.989573168236127	-1.0	5.384196613073869	-5.384196613073869
288	Turicimonas_muris_YL45	Ca2+-e0	Microbe	-0.9241112603161088	Riboflavin	0	0.9241112603161088	-1.0	0.9613070582889262	-0.9613070582889262
289	Turicimonas_muris_YL45	Cu2+-e0	Microbe	-0.9241112603197431	Riboflavin	0	0.9241112603197431	-1.0	0.9613070582908164	-0.9613070582908164
298	Turicimonas_muris_YL45	Fe2+-e0	Microbe	-1.924111260292797	Riboflavin	0	1.924111260292797	-1.0	1.387123376016999	-1.387123376016999
306	Turicimonas_muris_YL45	Fumarate-e0	Microbe	1.999999999998098	Spermidine-e0	0	1.999999999998098	1.0	1.4142135623724226	1.4142135623724226
319	Turicimonas_muris_YL45	Fumarate-e0	Microbe	-7.999999999990207	Folate	0	7.999999999990207	-1.0	2.828427124744459	-2.828427124744459
320	Turicimonas_muris_YL45	Fumarate-e0	Microbe	953.795045692597	Riboflavin	0	953.795045692597	1.0	30.883572424390884	30.883572424390884
328	Turicimonas_muris_YL45	Glycine-e0	Microbe	4.000000000002162	Spermidine-e0	0	4.000000000002162	1.0	2.0000000000005405	2.0000000000005405
337	Turicimonas_muris_YL45	Glycine-e0	Microbe	0.9999999999979463	D-Lactate-e0	0	0.9999999999979463	1.0	0.9999999999989732	0.9999999999989732
346	Turicimonas_muris_YL45	Glycine-e0	Microbe	2.9999999999823705	Folate	0	2.9999999999823705	1.0	1.7320508075637882	1.7320508075637882
347	Turicimonas_muris_YL45	Glycine-e0	Microbe	-1524.557256100909	Riboflavin	0	1524.557256100909	-1.0	39.04557921328494	-39.04557921328494
