	Source	Target	SourceType	Weight	Cofactor	Match	ABS_Weight	Sign_Weight	ABSRootWeight	SignedRootWeight
0	Riboflavin	Turicimonas_muris_YL45	Metabolite	126.68907411816424	None	-1	126.68907411816424	1.0	11.255624110557541	11.255624110557541
2	Turicimonas_muris_YL45	H2O-e0	Microbe	0.5000000000143537	L-Aspartate-e0	0	0.5000000000143537	1.0	0.7071067811966971	0.7071067811966971
6	Turicimonas_muris_YL45	H2O-e0	Microbe	-2.4999999999287636	Spermidine-e0	0	2.4999999999287636	-1.0	1.5811388300616627	-1.5811388300616627
10	Turicimonas_muris_YL45	H2O-e0	Microbe	0.9999999999995007	L-Serine-e0	0	0.9999999999995007	1.0	0.9999999999997503	0.9999999999997503
11	Turicimonas_muris_YL45	H2O-e0	Microbe	0.9999999999851928	Pyruvate-e0	0	0.9999999999851928	1.0	0.9999999999925964	0.9999999999925964
13	Turicimonas_muris_YL45	H2O-e0	Microbe	-0.4999999999969199	L-Asparagine-e0	0	0.4999999999969199	-1.0	0.7071067811843695	-0.7071067811843695
30	Turicimonas_muris_YL45	H2O-e0	Microbe	38.000000000152	Folate	0	38.000000000152	1.0	6.164414002981305	6.164414002981305
31	Turicimonas_muris_YL45	H2O-e0	Microbe	-13508.40022188342	Riboflavin	0	13508.40022188342	-1.0	116.22564356407504	-116.22564356407504
43	Turicimonas_muris_YL45	Phosphate-e0	Microbe	-127.45775496042948	Riboflavin	0	127.45775496042948	-1.0	11.289718993864705	-11.289718993864705
48	Turicimonas_muris_YL45	L-Glutamate-e0	Microbe	1.0000000000003244	Spermidine-e0	0	1.0000000000003244	1.0	1.000000000000162	1.000000000000162
55	Turicimonas_muris_YL45	L-Glutamate-e0	Microbe	1.0000000000004436	Folate	0	1.0000000000004436	1.0	1.0000000000002218	1.0000000000002218
56	Turicimonas_muris_YL45	L-Glutamate-e0	Microbe	-76.04418554127496	Riboflavin	0	76.04418554127496	-1.0	8.720331733441965	-8.720331733441965
58	Turicimonas_muris_YL45	Zn2+-e0	Microbe	-0.92411126032188	Riboflavin	0	0.92411126032188	-1.0	0.9613070582919279	-0.9613070582919279
59	Turicimonas_muris_YL45	L-Aspartate-e0	Microbe	-0.9999999999999994	L-Aspartate-e0	1	0.9999999999999994	-1.0	0.9999999999999997	-0.9999999999999997
68	Turicimonas_muris_YL45	Sulfate-e0	Microbe	-0.9241112602967022	Riboflavin	0	0.9241112602967022	-1.0	0.9613070582788322	-0.9613070582788322
78	Turicimonas_muris_YL45	L-Arginine-e0	Microbe	-35.57235834208574	Riboflavin	0	35.57235834208574	-1.0	5.9642567300616545	-5.9642567300616545
88	Turicimonas_muris_YL45	L-Histidine-e0	Microbe	-11.393282031258574	Riboflavin	0	11.393282031258574	-1.0	3.3753936113079575	-3.3753936113079575
89	Turicimonas_muris_YL45	L-Proline-e0	Microbe	-26.58432473962314	Riboflavin	0	26.58432473962314	-1.0	5.155998908031608	-5.155998908031608
90	Turicimonas_muris_YL45	Co2+-e0	Microbe	-0.9241112603153907	Riboflavin	0	0.9241112603153907	-1.0	0.9613070582885527	-0.9613070582885527
93	Turicimonas_muris_YL45	Spermidine-e0	Microbe	-1.0000000000000016	Spermidine-e0	1	1.0000000000000016	-1.0	1.0000000000000007	-1.0000000000000007
110	Turicimonas_muris_YL45	fe3-e0	Microbe	-0.9241112602340821	Riboflavin	0	0.9241112602340821	-1.0	0.961307058246262	-0.961307058246262
