	Source	Target	Microbe	Weight	ABS_Weight	Sign_Weight	ABSRootWeight	SignedRootWeight
4	Spermidine-e0	H2O-e0	Turicimonas_muris_YL45	-0.9999999999437716	0.9999999999437716	-1.0	0.9999999999718858	-0.9999999999718858
23	Folate	H2O-e0	Turicimonas_muris_YL45	10.500000000134591	10.500000000134591	1.0	3.240370349224698	3.240370349224698
24	Pyridoxal	H2O-e0	Turicimonas_muris_YL45	-10508.238706166061	10508.238706166061	-1.0	102.50970054666075	-102.50970054666075
36	Pyridoxal	Phosphate-e0	Turicimonas_muris_YL45	-254.91550992190543	254.91550992190543	-1.0	15.96607371653737	-15.96607371653737
42	Spermidine-e0	L-Glutamate-e0	Turicimonas_muris_YL45	3.0000000000047624	3.0000000000047624	1.0	1.732050807570252	1.732050807570252
57	Folate	L-Glutamate-e0	Turicimonas_muris_YL45	-1.4999999999877853	1.4999999999877853	-1.0	1.2247448713866025	-1.2247448713866025
58	Pyridoxal	L-Glutamate-e0	Turicimonas_muris_YL45	-932.4265381072887	932.4265381072887	-1.0	30.53566010596936	-30.53566010596936
60	Pyridoxal	Zn2+-e0	Turicimonas_muris_YL45	-1.8482225206544338	1.8482225206544338	-1.0	1.3594934794453535	-1.3594934794453535
69	Pyridoxal	L-Lysine-e0	Turicimonas_muris_YL45	-82.5379987157234	82.5379987157234	-1.0	9.085042581943323	-9.085042581943323
75	Spermidine-e0	L-Aspartate-e0	Turicimonas_muris_YL45	-2.9999999999924616	2.9999999999924616	-1.0	1.7320508075667012	-1.7320508075667012
93	Folate	L-Aspartate-e0	Turicimonas_muris_YL45	10.500000000021414	10.500000000021414	1.0	3.240370349207234	3.240370349207234
94	Pyridoxal	L-Aspartate-e0	Turicimonas_muris_YL45	-1376.2343232982132	1376.2343232982132	-1.0	37.09763231391207	-37.09763231391207
104	Pyridoxal	Sulfate-e0	Turicimonas_muris_YL45	-1.8482225206426306	1.8482225206426306	-1.0	1.3594934794410125	-1.3594934794410125
114	Pyridoxal	L-Arginine-e0	Turicimonas_muris_YL45	-71.14471668439833	71.14471668439833	-1.0	8.434732757141647	-8.434732757141647
117	Pyridoxal	L-Histidine-e0	Turicimonas_muris_YL45	-22.78656406261673	22.78656406261673	-1.0	4.773527423469643	-4.773527423469643
118	Pyridoxal	L-Proline-e0	Turicimonas_muris_YL45	-53.1686494794778	53.1686494794778	-1.0	7.291683583335045	-7.291683583335045
119	Pyridoxal	Co2+-e0	Turicimonas_muris_YL45	-1.8482225206522829	1.8482225206522829	-1.0	1.3594934794445623	-1.3594934794445623
129	Pyridoxal	L-Threonine-e0	Turicimonas_muris_YL45	-151.98626022810234	151.98626022810234	-1.0	12.328270772014312	-12.328270772014312
132	Spermidine-e0	Spermidine-e0	Turicimonas_muris_YL45	-0.9999999999999994	0.9999999999999994	-1.0	0.9999999999999997	-0.9999999999999997
149	Pyridoxal	fe3-e0	Turicimonas_muris_YL45	-1.8482225206603955	1.8482225206603955	-1.0	1.3594934794475462	-1.3594934794475462
155	Spermidine-e0	H+-e0	Turicimonas_muris_YL45	4.999999999939955	4.999999999939955	1.0	2.236067977486363	2.236067977486363
171	Folate	H+-e0	Turicimonas_muris_YL45	-20.500000000141547	20.500000000141547	-1.0	4.52769256908434	-4.52769256908434
172	Pyridoxal	H+-e0	Turicimonas_muris_YL45	11148.301564844092	11148.301564844092	1.0	105.58551777987402	105.58551777987402
175	Pyridoxal	Uracil-e0	Turicimonas_muris_YL45	-79.28446175599449	79.28446175599449	-1.0	8.904182262060592	-8.904182262060592
203	Pyridoxal	L-Methionine-e0	Turicimonas_muris_YL45	-37.96487059056775	37.96487059056775	-1.0	6.161563972772477	-6.161563972772477
213	Pyridoxal	L-Cysteine-e0	Turicimonas_muris_YL45	-26.027011927279975	26.027011927279975	-1.0	5.101667563383563	-5.101667563383563
218	Spermidine-e0	L-Serine-e0	Turicimonas_muris_YL45	-0.9999999999204708	0.9999999999204708	-1.0	0.9999999999602354	-0.9999999999602354
221	Pyruvate-e0	L-Serine-e0	Turicimonas_muris_YL45	0.9999999999990641	0.9999999999990641	1.0	0.999999999999532	0.999999999999532
238	Folate	L-Serine-e0	Turicimonas_muris_YL45	23.500000000193996	23.500000000193996	1.0	4.847679857436338	4.847679857436338
239	Pyridoxal	L-Serine-e0	Turicimonas_muris_YL45	-14889.896954280837	14889.896954280837	-1.0	122.02416545209739	-122.02416545209739
246	Spermidine-e0	NH3-e0	Turicimonas_muris_YL45	3.999999999915888	3.999999999915888	1.0	1.999999999978972	1.999999999978972
249	Pyruvate-e0	NH3-e0	Turicimonas_muris_YL45	-0.9999999999990113	0.9999999999990113	-1.0	0.9999999999995056	-0.9999999999995056
266	Folate	NH3-e0	Turicimonas_muris_YL45	-24.500000000208164	24.500000000208164	-1.0	4.94974746832686	-4.94974746832686
267	Pyridoxal	NH3-e0	Turicimonas_muris_YL45	15761.573847862854	15761.573847862854	1.0	125.54510682564595	125.54510682564595
269	Pyruvate-e0	Pyruvate-e0	Turicimonas_muris_YL45	-1.0	1.0	-1.0	1.0	-1.0
274	Spermidine-e0	Acetate-e0	Turicimonas_muris_YL45	0.9999999999296796	0.9999999999296796	1.0	0.9999999999648398	0.9999999999648398
292	Folate	Acetate-e0	Turicimonas_muris_YL45	-22.500000000170463	22.500000000170463	-1.0	4.743416490270537	-4.743416490270537
293	Pyridoxal	Acetate-e0	Turicimonas_muris_YL45	13133.370248572179	13133.370248572179	1.0	114.60091731121605	114.60091731121605
304	Pyridoxal	L-Asparagine-e0	Turicimonas_muris_YL45	-57.9791463371302	57.9791463371302	-1.0	7.614403872735554	-7.614403872735554
305	Pyridoxal	Ca2+-e0	Turicimonas_muris_YL45	-1.84822252065315	1.84822252065315	-1.0	1.3594934794448814	-1.3594934794448814
306	Pyridoxal	Cu2+-e0	Turicimonas_muris_YL45	-1.8482225206615588	1.8482225206615588	-1.0	1.359493479447974	-1.359493479447974
315	Pyridoxal	Fe2+-e0	Turicimonas_muris_YL45	-3.8482225206429908	3.8482225206429908	-1.0	1.961688691062624	-1.961688691062624
323	Spermidine-e0	Fumarate-e0	Turicimonas_muris_YL45	3.9999999999958415	3.9999999999958415	1.0	1.9999999999989604	1.9999999999989604
344	Folate	Fumarate-e0	Turicimonas_muris_YL45	-5.500000000012462	5.500000000012462	-1.0	2.345207879914372	-2.345207879914372
345	Pyridoxal	Fumarate-e0	Turicimonas_muris_YL45	743.1467413473555	743.1467413473555	1.0	27.260717916947005	27.260717916947005
359	Folate	Glycine-e0	Turicimonas_muris_YL45	-0.9999999999992965	0.9999999999992965	-1.0	0.9999999999996482	-0.9999999999996482
360	Pyridoxal	Glycine-e0	Turicimonas_muris_YL45	-19.929332657302	19.929332657302	-1.0	4.464228114389093	-4.464228114389093
363	Pyridoxal	K+-e0	Turicimonas_muris_YL45	-1.8482225206558065	1.8482225206558065	-1.0	1.3594934794458584	-1.3594934794458584
369	Spermidine-e0	Succinate-e0	Turicimonas_muris_YL45	-2.000000000003986	2.000000000003986	-1.0	1.4142135623745045	-1.4142135623745045
385	Folate	Succinate-e0	Turicimonas_muris_YL45	2.4999999999893157	2.4999999999893157	1.0	1.581138830080811	1.581138830080811
386	Pyridoxal	Succinate-e0	Turicimonas_muris_YL45	783.3381670241445	783.3381670241445	1.0	27.988179058740933	27.988179058740933
389	Pyridoxal	Cl--e0	Turicimonas_muris_YL45	-1.8482225206588923	1.8482225206588923	-1.0	1.3594934794469933	-1.3594934794469933
421	Spermidine-e0	CO2-e0	Turicimonas_muris_YL45	-4.0000000000120925	4.0000000000120925	-1.0	2.000000000003023	-2.000000000003023
440	Folate	CO2-e0	Turicimonas_muris_YL45	-1.5000000000315776	1.5000000000315776	-1.0	1.2247448714044806	-1.2247448714044806
441	Pyridoxal	CO2-e0	Turicimonas_muris_YL45	2328.158552854271	2328.158552854271	1.0	48.250995356098834	48.250995356098834
454	Pyridoxal	D-Glyceraldehyde-e0	Turicimonas_muris_YL45	7.908790834164241	7.908790834164241	1.0	2.8122572489308726	2.8122572489308726
466	Pyridoxal	L-Phenylalanine	Turicimonas_muris_YL45	-44.56039194477188	44.56039194477188	-1.0	6.6753570649645315	-6.6753570649645315
468	Pyridoxal	L-Tryptophan	Turicimonas_muris_YL45	-13.671938437578618	13.671938437578618	-1.0	3.6975584427536257	-3.6975584427536257
477	Pyridoxal	L-Tyrosine	Turicimonas_muris_YL45	-34.16710991337064	34.16710991337064	-1.0	5.845263887402401	-5.845263887402401
